seat_number,seat_name,winner_name,winner_party,winner_votes,runner_name,runner_party,runner_votes
165,Kishoreganj 4,Md. Fazlur Rahman,Bangladesh Nationalist Party (BNP),132472,Md. Rokan Reza Sheikh,Bangladesh Jamaat-e-Islami (Jamaat),57829
166,Kishoreganj 5,Sheikh Mujibur Rahman Iqbal,Independent Candidate (Independent),79604,Syed Ehsanul Huda,Bangladesh Nationalist Party (BNP),66450
167,Kishoreganj 6,Md. Shariful Alam,Bangladesh Nationalist Party (BNP),187159,Mohammad Mucha Khan,Islami Andolan Bangladesh (IAB),2411
168,Manikganj 1,SA Jinnah Kabir,Bangladesh Nationalist Party (BNP),137773,Md. Tozammel Haque,Independent Candidate (Independent),77818
169,Manikganj 2,Moinul Islam Khan,Bangladesh Nationalist Party (BNP),175776,Md. Salah Uddin,Khelafat Majlis,81531
170,Manikganj 3,Afroza Khanam,Bangladesh Nationalist Party (BNP),167345,Muhammad Said Noor,Bangladesh Khelafat Majlish (BKM),64242
171,Munshiganj 1,Md. Abdullah,Bangladesh Nationalist Party (BNP),167562,AKM Fakhruddin agreed,Bangladesh Jamaat-e-Islami (Jamaat),101568
172,Munshiganj 2,Abdus Salam Azad,Bangladesh Nationalist Party (BNP),121154,Majedul Islam,National Citizen Party (NCP),58573
173,Munshiganj 3,Md. Kamruzzaman,Bangladesh Nationalist Party (BNP),124691,Mohiuddin,Independent Candidate (Independent),88936
174,Dhaka 1,Khondkar Abu Ashfaq,Bangladesh Nationalist Party (BNP),173781,Mohammad Nazrul Islam,Bangladesh Jamaat-e-Islami (Jamaat),112622
175,Dhaka 2,Md. Amanullah Aman,Bangladesh Nationalist Party (BNP),163793,Md. Abdul Haque,Bangladesh Jamaat-e-Islami (Jamaat),80053
176,Dhaka 3,Gayeshwar Chandra Roy,Bangladesh Nationalist Party (BNP),99163,Md. Shahinur Islam,Bangladesh Jamaat-e-Islami (Jamaat),83264
177,Dhaka 4,Syed Zainul Abedin,Bangladesh Jamaat-e-Islami (Jamaat),77367,Tanveer Ahmed,Bangladesh Nationalist Party (BNP),74447
178,Dhaka 5,Mohammad Kamal Hossain,Bangladesh Jamaat-e-Islami (Jamaat),96641,Md Nabi Ulla,Bangladesh Nationalist Party (BNP),87491
179,Dhaka 6,Ishraq Hossain,Bangladesh Nationalist Party (BNP),78850,Md. Abdul Mannan,Bangladesh Jamaat-e-Islami (Jamaat),55697
180,Dhaka 7,Hamidur Rahman,Bangladesh Nationalist Party (BNP),104666,Md. Enayat Ulla,Bangladesh Jamaat-e-Islami (Jamaat),98483
181,Dhaka 8,Mirza Abbas Uddin Ahmed,Bangladesh Nationalist Party (BNP),59366,Muhammad Nasiruddin Patwari,National Citizen Party (NCP),54127
182,Dhaka 9,Habibur Rashid,Bangladesh Nationalist Party (BNP),111212,Mohammad Javed Mia,National Citizen Party (NCP),53460
183,Dhaka 10,Sheikh Rabiul Alam,Bangladesh Nationalist Party (BNP),80436,Md. Jasim Uddin Sarkar,Bangladesh Jamaat-e-Islami (Jamaat),77136
184,Dhaka 11,Md. Nahid Islam,National Citizen Party (NCP),93872,"M, A, Qayyum",Bangladesh Nationalist Party (BNP),91833
185,Dhaka 12,Md. Saiful Alam,Bangladesh Jamaat-e-Islami (Jamaat),53773,Saiful Haque,Revolutionary Workers Party of Bangladesh (RWPB),30963
186,Dhaka 13,Bobby Hajjaz,Bangladesh Nationalist Party (BNP),88387,Md. Mamunul Haque,Bangladesh Khelafat Majlish (BKM),86067
187,Dhaka 14,Mir Ahmad Binkasem,Bangladesh Jamaat-e-Islami (Jamaat),101113,Sanjida Islam,Bangladesh Nationalist Party (BNP),83323
188,Dhaka 15,Md. Shafiqur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),85131,Md. Shafiqul Islam Khan,Bangladesh Nationalist Party (BNP),63513
189,Dhaka 16,Md. Abdul Baten,Bangladesh Jamaat-e-Islami (Jamaat),88828,Md. Aminul Haque,Bangladesh Nationalist Party (BNP),85467
190,Dhaka 17,Tariq Rahman,Bangladesh Nationalist Party (BNP),72699,S. M. Khaliduzzaman,Bangladesh Jamaat-e-Islami (Jamaat),68300
191,Dhaka 18,"S, M, Jahangir Hossain",Bangladesh Nationalist Party (BNP),144715,Ariful Islam,National Citizen Party (NCP),111297
192,Dhaka 19,Dewan Mohammad Salauddin,Bangladesh Nationalist Party (BNP),190976,Dilshana Parul,National Citizen Party (NCP),123283
193,Dhaka 20,Md. Tamiz Uddin,Bangladesh Nationalist Party (BNP),162504,Nabila Tasnid,National Citizen Party (NCP),57787
194,Gazipur 1,Md. Mojibur Rahman,Bangladesh Nationalist Party (BNP),208688,Md. Shah Alam Bakshi,Bangladesh Jamaat-e-Islami (Jamaat),149553
195,Gazipur 2,M. Manjurul Karim Roni,Bangladesh Nationalist Party (BNP),188606,Ali Nacher Khan,National Citizen Party (NCP),140950
196,Gazipur 3,"SM, Rafiqul Islam",Bangladesh Nationalist Party (BNP),162343,Muhammad Ehsanul Haque,Bangladesh Khelafat Majlish (BKM),100539
197,Gazipur 4,Salah Uddin,Bangladesh Jamaat-e-Islami (Jamaat),101779,Shah Riazul Hannan,Bangladesh Nationalist Party (BNP),90390
198,Gazipur 5,"A, K, M, Fazlul Haque Milon",Bangladesh Nationalist Party (BNP),133869,Md. Khairul Hasan,Bangladesh Jamaat-e-Islami (Jamaat),78123
199,Narsingdi 1,Khairul Kabir Khokon,Bangladesh Nationalist Party (BNP),161405,Md. Ibrahim Bhuya,Bangladesh Jamaat-e-Islami (Jamaat),95349
200,Narsingdi 2,Dr. Abdul Moin Khan,Bangladesh Nationalist Party (BNP),92739,Md. Amjad Hossain,Bangladesh Jamaat-e-Islami (Jamaat),55920
201,Narsingdi 3,Manzoor Elahi,Bangladesh Nationalist Party (BNP),82061,Md. Arif-ul-Islam Mridha,Independent Candidate (Independent),45682
202,Narsingdi 4,Sardar Md Sakhawat Hossain,Bangladesh Nationalist Party (BNP),163392,Md. Jahangir Alam,Bangladesh Jamaat-e-Islami (Jamaat),78744
203,Narsingdi 5,Md. Ashraf Uddin,Bangladesh Nationalist Party (BNP),137690,Tajul Islam,Bangladesh Khelafat Majlish (BKM),44981
204,Narayanganj 1,Mustafizur Rahman Bhuiyan,Bangladesh Nationalist Party (BNP),158358,Md. Anwar Hossain Molla,Bangladesh Jamaat-e-Islami (Jamaat),91690
205,Narayanganj 2,Md. Nazrul Islam Azad,Bangladesh Nationalist Party (BNP),124291,Md Ilyach Molla,Bangladesh Jamaat-e-Islami (Jamaat),81054
206,Narayanganj 3,Azharul Islam Mannan,Bangladesh Nationalist Party (BNP),155400,Md. Iqbal Hossain Bhuiyan,Bangladesh Jamaat-e-Islami (Jamaat),134918
207,Narayanganj 4,Abdullah Al Amin,National Citizen Party (NCP),106171,Monir Hossain,Jamiat Ulema-e-Islam Bangladesh (JUIB),80619
208,Narayanganj 5,Abul Kalam,Bangladesh Nationalist Party (BNP),114799,ABM Sirajul Mamun,Khelafat Majlis,101196
209,Rajbari 1,Ali Newaz Mahmud Khayyam,Bangladesh Nationalist Party (BNP),154541,Md. Nurul Islam,Bangladesh Jamaat-e-Islami (Jamaat),101092
210,Rajbari 2,Md. Haroon-or-Rashid,Bangladesh Nationalist Party (BNP),237254,Jamil Hijazi,National Citizen Party (NCP),67299
211,Faridpur 1,Md. Elias Molla,Bangladesh Jamaat-e-Islami (Jamaat),154145,Khandokar Nasirul Islam,Bangladesh Nationalist Party (BNP),126476
212,Faridpur 2,Shama Obaid Islam,Bangladesh Nationalist Party (BNP),121694,Md. Akram Ali,Bangladesh Khelafat Majlish (BKM),89305
213,Faridpur 3,Nayab Yusuf Ahmed,Bangladesh Nationalist Party (BNP),148545,Md. Abdut Tawab,Bangladesh Jamaat-e-Islami (Jamaat),124115
214,Faridpur 4,Md. Shahidul Islam,Bangladesh Nationalist Party (BNP),127443,Md. Sarwar Hossain,Bangladesh Jamaat-e-Islami (Jamaat),75805
215,Gopalganj 1,Md. Selimuzzaman Molya,Bangladesh Nationalist Party (BNP),69462,Md. Kabir Miya,Gono Odhikar Parishad (GOP),54329
216,Gopalganj 2,KM Babar,Bangladesh Nationalist Party (BNP),40048,"M, H Khan Manju",Independent Candidate (Independent),33039
217,Gopalganj 3,"S, M, Jilani",Bangladesh Nationalist Party (BNP),60991,গোবিন্দ চন্দ্র প্রামাণিক,Unique - Govinda Chandra Pramanik,34339
218,Madaripur 1,Syed Uddin Ahmad Hanzala,Bangladesh Khelafat Majlish (BKM),64909,Nadira Akhter,Bangladesh Nationalist Party (BNP),64524
219,Madaripur 2,Md. Jahandar Ali Mia,Bangladesh Nationalist Party (BNP),61744,Milton baiddo,Independent Candidate (Independent),46476
220,Madaripur 3,Anishur Rahman,Bangladesh Nationalist Party (BNP),96188,Md. Rafiqul Islam,Bangladesh Jamaat-e-Islami (Jamaat),84646
221,Shariatpur 1,Saeed Ahmed,Bangladesh Nationalist Party (BNP),77398,Jalaluddin Ahmad,Bangladesh Khelafat Majlish (BKM),62717
222,Shariatpur 2,Md. Safiqur Rahman (Kiran),Bangladesh Nationalist Party (BNP),129814,Mahmud Hossain,Bangladesh Jamaat-e-Islami (Jamaat),70892
223,Shariatpur 3,Mia Nuruddin Ahmed Apu,Bangladesh Nationalist Party (BNP),107516,Muhammad Azharul Islam,Bangladesh Jamaat-e-Islami (Jamaat),69684
224,Sunamganj 1,Kamruzzaman Kamrul,Bangladesh Nationalist Party (BNP),161774,Tofail Ahmed,Bangladesh Jamaat-e-Islami (Jamaat),92966
225,Sunamganj 2,Md. Nashir Chowdhury,Bangladesh Nationalist Party (BNP),99522,Mohammad Shishir Monir,Bangladesh Jamaat-e-Islami (Jamaat),63220
226,Sunamganj 3,Mohammad Kaishar Ahmed,Bangladesh Nationalist Party (BNP),97313,Hussain Ahmed,Independent Candidate (Independent),42226
227,Sunamganj 4,Nurul Islam,Bangladesh Nationalist Party (BNP),98092,Md. Samach Uddin,Bangladesh Jamaat-e-Islami (Jamaat),75735
228,Sunamganj 5,Kalim Uddin Ahmed,Bangladesh Nationalist Party (BNP),151915,Abu Tahir Muhammad Abdus Salam,Bangladesh Jamaat-e-Islami (Jamaat),102121
229,Sylhet 1,Khandaker Abdul Muktadir,Bangladesh Nationalist Party (BNP),173932,Maulana Habibur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),134983
230,Sylhet 2,Deleted by Tahsina Rushdie,Bangladesh Nationalist Party (BNP),117956,Muhammad Muntashir Ali,Khelafat Majlis,38635
231,Sylhet 3,Mohammad Abdul Malik,Bangladesh Nationalist Party (BNP),115450,Musleh Uddin Raju,Bangladesh Khelafat Majlish (BKM),73614
232,Sylhet 4,Ariful Haque Chowdhury,Bangladesh Nationalist Party (BNP),186846,Md Zainal Abedin,Bangladesh Jamaat-e-Islami (Jamaat),71391
233,Sylhet 5,Mohammad Abul Hasan,Khelafat Majlis,79355,Ubaidullah Farooq,Jamiat Ulema-e-Islam Bangladesh (JUIB),69774
234,Sylhet 6,Emran Ahmed Chowdhury,Bangladesh Nationalist Party (BNP),109917,Mohammad Salim Uddin,Bangladesh Jamaat-e-Islami (Jamaat),101569
235,Moulvibazar 1,Nasir Uddin Ahmed,Bangladesh Nationalist Party (BNP),98282,Mohammad Aminul Islam,Bangladesh Jamaat-e-Islami (Jamaat),83013
236,Moulvibazar 2,Md Shawkatul Islam,Bangladesh Nationalist Party (BNP),88381,Md. Syed Ali,Bangladesh Jamaat-e-Islami (Jamaat),53458
237,Moulvibazar 3,Nasser Rahman,Bangladesh Nationalist Party (BNP),156757,Md. Abdul Mannan,Bangladesh Jamaat-e-Islami (Jamaat),77636
238,Moulvibazar 4,Md. Mujibur Rahman Chowdhury,Bangladesh Nationalist Party (BNP),169608,Sheikh Nur Alam Hamidi,Bangladesh Khelafat Majlish (BKM),49189
239,Habiganj 1,Reza Kibria,Bangladesh Nationalist Party (BNP),111999,Maulana Sirajul Islam,Bangladesh Khelafat Majlish (BKM),56132
240,Habiganj 2,Abu Mansoor Sakhawat Hasan,Bangladesh Nationalist Party (BNP),126583,Abdul Bachit Azad,Khelafat Majlis,65762
241,Habiganj 3,Alhaj Md. G. K. Gouch,Bangladesh Nationalist Party (BNP),142348,Qazi Mohsin Ahmad,Bangladesh Jamaat-e-Islami (Jamaat),45568
242,Habiganj 4,"S, M, Faisal",Bangladesh Nationalist Party (BNP),188072,Md Ghiyas Uddin,Bangladesh Islami Front (BIF),84323
243,Brahmanbaria 1,"M, A, Hannan",Bangladesh Nationalist Party (BNP),68092,"A, K, M, Aminul Islam",Bangladesh Jamaat-e-Islami (Jamaat),35220
244,Brahmanbaria 2,Rumin Farhana,Independent Candidate (Independent),118547,Mohammad Junaid Al Habib,Jamiat Ulema-e-Islam Bangladesh (JUIB),80434
245,Brahmanbaria 3,Md. Khaled Hossain Mahbub,Bangladesh Nationalist Party (BNP),209636,Ataullah,National Citizen Party (NCP),62547
246,Brahmanbaria 4,Mushfiqur Rahman,Bangladesh Nationalist Party (BNP),139842,Md. Ataur Rahman Sarkar,Bangladesh Jamaat-e-Islami (Jamaat),91796
247,Brahmanbaria 5,Md. Abdul Mannan,Bangladesh Nationalist Party (BNP),85769,Kazi Nazmul Hossain,Independent Candidate (Independent),84708
248,Brahmanbaria 6,Md. Jonaid Abdur Rahim Saki,Ganosanhati Andolan (GSA),95342,Md. Mohsin,Bangladesh Jamaat-e-Islami (Jamaat),39976
249,Cumilla 1,Dr. Khandkar Mosharraf Hossain,Bangladesh Nationalist Party (BNP),141440,Md. Moniruzzaman,Bangladesh Jamaat-e-Islami (Jamaat),94845
250,Cumilla 2,Md. Salim Bhuiyan,Bangladesh Nationalist Party (BNP),77037,Md. Abdul Matin,Independent Candidate (Independent),63045
251,Cumilla 3,Qazi Shah Mofazzal Hossain (Kaikobad),Bangladesh Nationalist Party (BNP),159291,Md Yusuf Sohail,Bangladesh Jamaat-e-Islami (Jamaat),109599
252,Cumilla 4,Md. Abul Hasnat,National Citizen Party (NCP),166583,Md. Jasim Uddin,Gono Odhikar Parishad (GOP),49885
253,Cumilla 5,Md. Jasim Uddin,Bangladesh Nationalist Party (BNP),134485,Mubarak Hossain,Bangladesh Jamaat-e-Islami (Jamaat),124587
254,Cumilla 6,Md. Monirul Haque Chowdhury,Bangladesh Nationalist Party (BNP),201706,Qazi Deen Mohammad,Bangladesh Jamaat-e-Islami (Jamaat),119851
255,Cumilla 7,Atiqul Alam,Independent Candidate (Independent),91690,Redwan Ahmed,Bangladesh Nationalist Party (BNP),48509
256,Cumilla 8,Zakaria Taher,Bangladesh Nationalist Party (BNP),169178,Md. Shafiqul Alam Helal,Bangladesh Jamaat-e-Islami (Jamaat),45091
257,Cumilla 9,Md. Abul Kalam,Bangladesh Nationalist Party (BNP),170008,Chayed AKM Sarwar Uddin Siddiqui,Bangladesh Jamaat-e-Islami (Jamaat),118961
258,Cumilla 10,Md. Mobashwer Alam Bhuiya,Bangladesh Nationalist Party (BNP),163667,মুহাম্মদ ইয়াছিন আরাফাত,Bangladesh Jamaat-e-Islami (Jamaat),123733
259,Cumilla 11,Syed Abdullah Mohammad Taher,Bangladesh Jamaat-e-Islami (Jamaat),133308,Md. Kamrul Huda,Bangladesh Nationalist Party (BNP),76638
260,Chandpur 1,A n m Ehsanul Haque Milon,Bangladesh Nationalist Party (BNP),133032,Abu Nashar Mohammad Maqbool Ahmad,Bangladesh Jamaat-e-Islami (Jamaat),70368
261,Chandpur 2,Md. Jalal Uddin,Bangladesh Nationalist Party (BNP),172506,Md. Billal Hossain,Bangladesh Liberal Democratic Party (LDP),57473
262,Chandpur 3,Sheikh Farid Ahmed,Bangladesh Nationalist Party (BNP),165404,Md. Shahjahan Mia,Bangladesh Jamaat-e-Islami (Jamaat),100865
263,Chandpur 4,Md. Abdul Hannan,Independent Candidate (Independent),74175,Md. Harunur Rashid,Bangladesh Nationalist Party (BNP),69155
264,Chandpur 5,Md. Mominul Haque,Bangladesh Nationalist Party (BNP),185404,Md. Neyamul Bashir,Bangladesh Liberal Democratic Party (LDP),75660
265,Feni 1,Munshi Rafiqul Alam,Bangladesh Nationalist Party (BNP),119904,SM Kamaluddin,Bangladesh Jamaat-e-Islami (Jamaat),85615
266,Feni 2,Zainal Abdin,Bangladesh Nationalist Party (BNP),131210,Mohammad Mojibur Rahman Bhunya,Amar Bangladesh Party (AB),80058
267,Feni 3,Abdul Awal Mintu,Bangladesh Nationalist Party (BNP),157425,Mohammad Fakhruddin,Bangladesh Jamaat-e-Islami (Jamaat),108160
268,Noakhali 1,AM Mahbub Uddin,Bangladesh Nationalist Party (BNP),126833,Md. Chaif ​​Ulyah,Bangladesh Jamaat-e-Islami (Jamaat),98036
269,Noakhali 2,Zainul Abdin Farooq,Bangladesh Nationalist Party (BNP),83982,Sultan Muhammad Zakaria Majumdar,National Citizen Party (NCP),67054
270,Noakhali 3,Md. Barkat Ullah Bulu,Bangladesh Nationalist Party (BNP),141031,Md. Borhan Uddin,Bangladesh Jamaat-e-Islami (Jamaat),123941
271,Noakhali 4,Md. Shahjahan,Bangladesh Nationalist Party (BNP),219182,Md. Ishaq Khandkar,Bangladesh Jamaat-e-Islami (Jamaat),148989
272,Noakhali 5,Mohammad Fakhrul Islam,Bangladesh Nationalist Party (BNP),147808,Mohammad Belayet Hossain,Bangladesh Jamaat-e-Islami (Jamaat),120453
273,Noakhali 6,Abdul Hannan Masood,National Citizen Party (NCP),91899,Mohammad Mahbuber Rahman,Bangladesh Nationalist Party (BNP),64021
274,Lakshmipur 1,Md. Shahadat Hossain,Bangladesh Nationalist Party (BNP),86811,Md. Mahbub Alam,National Citizen Party (NCP),59265
275,Lakshmipur 2,Md. Abul Khair Bhuiyan,Bangladesh Nationalist Party (BNP),146321,"S, U, M, Ruhul Amin Bhuiyan",Bangladesh Jamaat-e-Islami (Jamaat),133698
276,Lakshmipur 3,Md. Shahiduddin Chowdhury Annie,Bangladesh Nationalist Party (BNP),135612,Md. Rezaul Karim,Bangladesh Jamaat-e-Islami (Jamaat),122802
277,Lakshmipur 4,"A,B,M Ashraf Uddin (Nijan)",Bangladesh Nationalist Party (BNP),115199,Md. Ashrafur Rahman Hafizulya,Bangladesh Jamaat-e-Islami (Jamaat),73756
278,Chattogram 1,Nurul Amin,Bangladesh Nationalist Party (BNP),128799,Mohammad Chaifur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),84538
279,Chattogram 2,Mohammad Nurul Amin,Bangladesh Jamaat-e-Islami (Jamaat),0,Mohammad Zulfikar Ali Mannan,Islami Andolan Bangladesh (IAB),0
280,Chattogram 3,Mustafa Kamal Pasha,Bangladesh Nationalist Party (BNP),73037,Muhammad Ala Uddin,Bangladesh Jamaat-e-Islami (Jamaat),39662
281,Chattogram 4,Mohammad Aslam Chowdhury,Bangladesh Nationalist Party (BNP),0,Md. Anwar Siddique,Bangladesh Jamaat-e-Islami (Jamaat),0
282,Chattogram 5,Mir Mohammad Helal Uddin,Bangladesh Nationalist Party (BNP),147054,Md. Nasir Uddin,Bangladesh Khelafat Majlish (BKM),46589
283,Chattogram 6,Gias Uddin Quader Chowdhury,Bangladesh Nationalist Party (BNP),112237,Mohammad Ilyach Noori,Bangladesh Islami Front (BIF),27146
284,Chattogram 7,Humam Quader Chowdhury,Bangladesh Nationalist Party (BNP),101445,ATM Rezaul Karim,Bangladesh Jamaat-e-Islami (Jamaat),41719
285,Chattogram 8,Ershad Ullah,Bangladesh Nationalist Party (BNP),152969,Md. Abu Nasser,Bangladesh Jamaat-e-Islami (Jamaat),53564
286,Chattogram 9,Mohammad Abu Sufyan,Bangladesh Nationalist Party (BNP),109388,Dr. AKM Fazlul Haque,Bangladesh Jamaat-e-Islami (Jamaat),53807
287,Chattogram 10,Saeed Al Noman,Bangladesh Nationalist Party (BNP),122978,Muhammad Shamsuzzaman Helali,Bangladesh Jamaat-e-Islami (Jamaat),76919
288,Chattogram 11,Amir Khosru Mahmud Chowdhury,Bangladesh Nationalist Party (BNP),115999,Mohammad Shafiul Alam,Bangladesh Jamaat-e-Islami (Jamaat),76681
289,Chattogram 12,Mohammad Enamul Haque,Bangladesh Nationalist Party (BNP),135044,Syed Air Mohammad Payaru,Bangladesh Islami Front (BIF),28999
290,Chattogram 13,Sarwar Jamal Nizam,Bangladesh Nationalist Party (BNP),126192,"S, M, Shah Jahan",Bangladesh Islami Front (BIF),51450
291,Chattogram 14,Alhaj Jasim Uddin Ahmed,Bangladesh Nationalist Party (BNP),76493,Omar Farooq,Bangladesh Liberal Democratic Party (LDP),75467
292,Chattogram 15,Shahjahan Chowdhury,Bangladesh Jamaat-e-Islami (Jamaat),181238,Nazmul Mustafa Amin,Bangladesh Nationalist Party (BNP),130661
293,Chattogram 16,Mohammad Zahirul Islam,Bangladesh Jamaat-e-Islami (Jamaat),93167,Mishkatul Islam Chowdhury,Bangladesh Nationalist Party (BNP),83105
294,Cox's Bazar 1,Salahuddin Ahmed,Bangladesh Nationalist Party (BNP),222019,Abdullah Al Farooq,Bangladesh Jamaat-e-Islami (Jamaat),129728
295,Cox's Bazar 2,Alamgir Muhammad Mahfuz Ullah Farid,Bangladesh Nationalist Party (BNP),125543,"A, H, M Hamidur Rahman Azad",Bangladesh Jamaat-e-Islami (Jamaat),91889
296,Cox's Bazar 3,Lutfur Rahman,Bangladesh Nationalist Party (BNP),182096,Shahidul Alam (Bahadur),Bangladesh Jamaat-e-Islami (Jamaat),161827
297,Cox's Bazar 4,Shahjahan Chowdhury,Bangladesh Nationalist Party (BNP),123582,Noor Ahmad Anwari,Bangladesh Jamaat-e-Islami (Jamaat),122033
298,Khagrachhari 1,Abdul Wadud Bhunya,Bangladesh Nationalist Party (BNP),151040,Dharma Jyoti Chakma,Independent Candidate (Independent),68315
299,Rangamati 1,Deepen Dewan,Bangladesh Nationalist Party (BNP),201544,Pahel Chakma,Independent Candidate (Independent),31222
300,Bandarban 1,Sachin Ms,Bangladesh Nationalist Party (BNP),141455,Abu Saeed Md Suja Uddin,National Citizen Party (NCP),26162
