seat_number,seat_name,winner_name,winner_party,winner_votes,runner_name,runner_party,runner_votes
37,Bogura 2,Mir Shahe Alam,Bangladesh Nationalist Party (BNP),145024,Abul Azad Mohammad Shahaduzzaman,Bangladesh Jamaat-e-Islami (Jamaat),93548
38,Bogura 3,Md. Abdul Mohit Talukder,Bangladesh Nationalist Party (BNP),127406,Noor Mohammad,Bangladesh Jamaat-e-Islami (Jamaat),111026
39,Bogura 4,Md. Mosharraf Hossain,Bangladesh Nationalist Party (BNP),155339,Md. Mustafa Faisal,Bangladesh Jamaat-e-Islami (Jamaat),108978
40,Bogura 5,Ghulam Mohammad Siraj,Bangladesh Nationalist Party (BNP),248841,Md Dabibur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),143329
41,Bogura 6,Tariq Rahman,Bangladesh Nationalist Party (BNP),216284,Md. Abidur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),97626
42,Bogura 7,Morshed Milton,Bangladesh Nationalist Party (BNP),264212,Md. Golam Rabbani,Bangladesh Jamaat-e-Islami (Jamaat),116665
43,Chapainawabganj 1,Md. Keramat Ali,Bangladesh Jamaat-e-Islami (Jamaat),206893,Md. Shahjahan Mia,Bangladesh Nationalist Party (BNP),162515
44,Chapainawabganj 2,Md. Mizanur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),171227,Md. Aminul Islam,Bangladesh Nationalist Party (BNP),155119
45,Chapainawabganj 3,Md. Nurul Islam,Bangladesh Jamaat-e-Islami (Jamaat),189640,Md. Harunur Rashid,Bangladesh Nationalist Party (BNP),127037
46,Naogaon 1,Md. Mostafizur Rahman,Bangladesh Nationalist Party (BNP),173864,Moha: Mahbubul Alam,Bangladesh Jamaat-e-Islami (Jamaat),153816
47,Naogaon 2,Md. Enamul Haque,Bangladesh Jamaat-e-Islami (Jamaat),141526,Md. Samsujjoha Khan,Bangladesh Nationalist Party (BNP),134533
48,Naogaon 3,Md. Fazle Huda,Bangladesh Nationalist Party (BNP),166889,Md. Mahfuzur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),119421
