seat_name,BNP_Alliance_TBS,BNP_Alliance_DS,BNP_Diff_TBS_minus_DS,11_Party_TBS,11_Party_DS,11_Party_Diff_TBS_minus_DS
Chattogram 9,110428.0,109388.0,1040.0,53807.0,53807.0,0.0
Sherpur 2,118472.0,118472.0,0.0,109373.0,108335.0,1038.0
Rajshahi 6,148672.0,147672.0,1000.0,92965.0,92965.0,0.0
Gaibandha 3,139864.0,139864.0,0.0,162457.0,163457.0,-1000.0
Pabna 3,145192.0,144206.0,986.0,147475.0,147465.0,10.0
Kishoreganj 4,132472.0,132472.0,0.0,58708.0,57829.0,879.0
Dhaka 5,87584.0,87491.0,93.0,97510.0,96641.0,869.0
Barishal 3,81790.0,80930.0,860.0,61192.0,61192.0,0.0
Panchagarh 1,177005.0,176169.0,836.0,168732.0,168049.0,683.0
Noakhali 3,141031.0,141031.0,0.0,124741.0,123941.0,800.0
Narayanganj 4,106.0,0.0,106.0,106971.0,106171.0,800.0
Kishoreganj 1,124035.0,124035.0,0.0,101816.0,101132.0,684.0
Faridpur 2,122369.0,121694.0,675.0,89305.0,89305.0,0.0
Jashore 6,80141.0,80141.0,0.0,92906.0,92234.0,672.0
Cumilla 3,159924.0,159291.0,633.0,109599.0,109599.0,0.0
Rajbari 2,237887.0,237254.0,633.0,67620.0,67299.0,321.0
Faridpur 1,126476.0,126475.0,1.0,154145.0,154772.0,-627.0
Kushtia 1,166522.0,165909.0,613.0,86682.0,86682.0,0.0
Jhenaidah 1,173381.0,173381.0,0.0,57665.0,57055.0,610.0
Dhaka 8,59974.0,59366.0,608.0,54127.0,54127.0,0.0
Cox's Bazar 3,182096.0,182096.0,0.0,162429.0,161827.0,602.0
Dhaka 16,85576.0,85467.0,109.0,89424.0,88828.0,596.0
Thakurgaon 3,133349.0,132797.0,552.0,91934.0,91934.0,0.0
Shariatpur 1,77949.0,77398.0,551.0,63192.0,62717.0,475.0
Noakhali 4,219724.0,219182.0,542.0,148989.0,148989.0,0.0
Jamalpur 5,199883.0,199344.0,539.0,113201.0,113201.0,0.0
Dhaka 14,83323.0,83323.0,0.0,101636.0,101113.0,523.0
Cumilla 1,141440.0,141440.0,0.0,95356.0,94845.0,511.0
Bhola 4,189351.0,189351.0,0.0,81937.0,81437.0,500.0
Lakshmipur 3,135612.0,135612.0,0.0,123290.0,122802.0,488.0
Narsingdi 1,161890.0,161405.0,485.0,95349.0,95349.0,0.0
Dhaka 3,99647.0,99163.0,484.0,83264.0,83264.0,0.0
Tangail 5,131763.0,131279.0,484.0,80283.0,80283.0,0.0
Narsingdi 4,163392.0,163392.0,0.0,79208.0,78744.0,464.0
Sherpur 1,78342.0,78342.0,0.0,127811.0,128267.0,-456.0
Pabna 5,181925.0,181925.0,0.0,165436.0,164994.0,442.0
Lakshmipur 2,146745.0,146321.0,424.0,133698.0,133698.0,0.0
Sirajganj 2,177988.0,177578.0,410.0,138797.0,138797.0,0.0
Feni 3,157825.0,157425.0,400.0,108480.0,108160.0,320.0
Kishoreganj 2,144064.0,143669.0,395.0,120975.0,120975.0,0.0
Dinajpur 1,179709.0,179314.0,395.0,117481.0,117481.0,0.0
Jhenaidah 3,150209.0,149821.0,388.0,175857.0,175857.0,0.0
Bogura 2,145411.0,145024.0,387.0,93548.0,93548.0,0.0
Bhola 2,119085.0,119085.0,0.0,94084.0,93703.0,381.0
Chapainawabganj 3,127398.0,127037.0,361.0,189640.0,189640.0,0.0
Mymensingh 5,128898.0,128896.0,2.0,102576.0,102226.0,350.0
Dhaka 13,88723.0,88387.0,336.0,86067.0,86067.0,0.0
Chandpur 2,172821.0,172506.0,315.0,57756.0,57473.0,283.0
Shariatpur 2,130097.0,129814.0,283.0,71205.0,70892.0,313.0
Kushtia 4,139603.0,139603.0,0.0,148509.0,148201.0,308.0
Jashore 4,131917.0,131917.0,0.0,177213.0,176912.0,301.0
Patuakhali 1,152434.0,152434.0,0.0,46010.0,46310.0,-300.0
Natore 1,103024.0,102726.0,298.0,90568.0,90568.0,0.0
Cumilla 10,163960.0,163667.0,293.0,123733.0,123733.0,0.0
Bagerhat 1,114323.0,114323.0,0.0,117818.0,117527.0,291.0
Brahmanbaria 6,95631.0,95342.0,289.0,39976.0,39976.0,0.0
Netrakona 4,161083.0,160801.0,282.0,39840.0,39840.0,0.0
Dhaka 1,173781.0,173781.0,0.0,112893.0,112622.0,271.0
Bhola 3,146250.0,145990.0,260.0,57351.0,57351.0,0.0
Lakshmipur 4,115458.0,115199.0,259.0,73756.0,73756.0,0.0
Cumilla 4,49885.0,49885.0,0.0,166831.0,166583.0,248.0
Gazipur 2,188851.0,188606.0,245.0,140950.0,140950.0,0.0
Sirajganj 5,135224.0,134989.0,235.0,106805.0,106805.0,0.0
Narayanganj 1,158577.0,158358.0,219.0,91690.0,91690.0,0.0
Chandpur 1,133249.0,133032.0,217.0,70368.0,70368.0,0.0
Cumilla 6,201921.0,201706.0,215.0,119851.0,119851.0,0.0
Jhalokathi 2,113631.0,113419.0,212.0,70556.0,70556.0,0.0
Noakhali 6,64212.0,64021.0,191.0,91985.0,91899.0,86.0
Gazipur 1,208688.0,208688.0,0.0,149721.0,149553.0,168.0
Chattogram 10,122978.0,122978.0,0.0,77080.0,76919.0,161.0
Chattogram 7,101574.0,101445.0,129.0,41877.0,41719.0,158.0
Pirojpur 2,105330.0,105185.0,145.0,97287.0,97287.0,0.0
Narayanganj 2,124433.0,124291.0,142.0,81054.0,81054.0,0.0
Barishal 6,82356.0,82217.0,139.0,55988.0,55988.0,0.0
Dhaka 6,78988.0,78850.0,138.0,55697.0,55697.0,0.0
Chandpur 3,165536.0,165404.0,132.0,100865.0,100865.0,0.0
Jhalokathi 1,62142.0,62010.0,132.0,55120.0,55120.0,0.0
Brahmanbaria 4,139959.0,139842.0,117.0,91796.0,91796.0,0.0
Lakshmipur 1,86917.0,86811.0,106.0,59265.0,59265.0,0.0
Chattogram 11,116103.0,115999.0,104.0,76681.0,76681.0,0.0
Khulna 1,121436.0,121352.0,84.0,70346.0,70346.0,0.0
Dhaka 11,91914.0,91833.0,81.0,93872.0,93872.0,0.0
Dhaka 17,72699.0,72699.0,0.0,68360.0,68300.0,60.0
Naogaon 5,129385.0,129358.0,27.0,104747.0,104747.0,0.0
Mymensingh 4,179688.0,179668.0,20.0,171880.0,171880.0,0.0
Naogaon 4,133928.0,133924.0,4.0,97585.0,97585.0,0.0
