seat_id,seat_number,seat_name,division,district,upazila,voting_finalized,total_votes,top_three_candidates,top_three,bnp_votes,bnp_ratio,jamaat_votes,jamaat_ratio,democracy_platform_votes,democracy_platform_ratio,eleven_party_alliance_votes,eleven_party_alliance_ratio,bnp_alliance_votes,bnp_alliance_ratio,bnp_vs_eleven_party_alliance_votes,bnp_vs_eleven_party_alliance_ratio,Amar Bangladesh Party (AB),Amjanatar Dol,Bangladesh Congress,Bangladesh Development Party (BDP),Bangladesh Islami Front (BIF),Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jatiya Party (BJP),Bangladesh Jatiya Party (Matin),Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Bangladesh Kallyan Party (BKP),Bangladesh Khelafat Andolon (BKA),Bangladesh Khelafat Majlish (BKM),Bangladesh Labour Party,Bangladesh Liberal Democratic Party (LDP),Bangladesh Minority Janata Party (BMJP),Bangladesh Muslim League (BML),Bangladesh National Awami Party–Bangladesh NAP (BNAP),Bangladesh Nationalist Front (BNF),Bangladesh Nationalist Party (BNP),Bangladesh Nezame Islam Party (BNIP),Bangladesh Republican Party (BRP),Bangladesh Samajtantrik Dal (Basad),Bangladesh Sangskritik Muktijote (BSM),Bangladesh Somo Odhikar Party (BEP),Bangladesh Supreme Party (BSP),Communist Party of Bangladesh (CPB),Ganatantri Party (GP),Ganosanhati Andolan (GSA),Gono Forum (GF),Gono Front (GF),Gono Odhikar Parishad (GOP),Independent Candidate (Independent),Insaniyat Biplob Bangladesh (IBB),Islami Andolan Bangladesh (IAB),Islami Oikya Jote (IOJ),Islamic Front Bangladesh (IFB),Jamiat Ulema-e-Islam Bangladesh (JUIB),Janotar Dol,Jatiya Ganatantrik Party (JAGPA),Jatiya Party (JaPa),Jatiya Party (Manju) (JP–Manju),Jatiya Samajtantrik Dal (JSD),Jatiya Samajtantrik Dal-JASAD,Khelafat Majlis,Nagorik Oikya (NO),National Citizen Party (NCP),National People's Party (NPP),Nationalist Democratic Movement (NDM),Revolutionary Workers Party of Bangladesh (RWPB),Socialist Party of Bangladesh (Marxist) (SPB-M),Zaker Party (ZP)
319201,11,Dinajpur 6,Rangpur,Dinajpur,"Nawabganj Upazila, Birampur Upazila, Hakimpur Upazila, Ghoraghat Upazila",True,401188.0,"Abu Jafar Md. Zahid Hossain (Bangladesh Nationalist Party (BNP)) 51.1%, Md. Anwarul Islam (Bangladesh Jamaat-e-Islami (Jamaat)) 47.5%, Md. Rezaul Haque (Jatiya Party (JaPa)) 0.7%","Bangladesh Nationalist Party (BNP) (51.1%), Bangladesh Jamaat-e-Islami (Jamaat) (47.5%), Jatiya Party (JaPa) (0.7%)",205118.0,0.5112765087689563,190703.0,0.4753457232020898,449.0,0.0011191760471399943,190703.0,0.4753457232020898,205118.0,0.5112765087689563,0.0,0.0,-,-,-,-,-,190703.0,-,-,-,-,-,-,-,-,-,-,-,-,205118.0,-,-,449.0,-,-,-,-,-,-,-,-,-,570.0,-,1659.0,-,-,-,-,-,2689.0,-,-,-,-,-,-,-,-,-,-,-
319996,12,Nilphamari 1,Rangpur,Nilphamari,"Domar Upazila, Dimla Upazila",True,305806.0,"Md. Abdus Sattar (Bangladesh Jamaat-e-Islami (Jamaat)) 49.3%, Mawlana Md. Monzurul Islam (Jamiat Ulema-e-Islam Bangladesh (JUIB)) 38.9%, Md. Taslim Uddin (Jatiya Party (JaPa)) 4.0%","Bangladesh Jamaat-e-Islami (Jamaat) (49.3%), Jamiat Ulema-e-Islam Bangladesh (JUIB) (38.9%), Jatiya Party (JaPa) (4.0%)",0.0,0.0,150824.0,0.4932015722386088,0.0,0.0,150824.0,0.4932015722386088,0.0,0.0,0.0,0.0,-,-,-,-,-,150824.0,-,-,-,-,-,-,-,-,-,-,4477.0,210.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1871.0,-,-,119059.0,-,-,24552.0,4501.0,-,-,-,-,-,-,-,-,312.0,-
320001,13,Nilphamari 2,Rangpur,Nilphamari,Nilphamari Sadar Upazila,True,285959.0,"Alfaruq Abdul Latif (Bangladesh Jamaat-e-Islami (Jamaat)) 51.2%, Shahrin Islam (Bangladesh Nationalist Party (BNP)) 47.4%, Hasibul Islam (Islami Andolan Bangladesh (IAB)) 1.1%","Bangladesh Jamaat-e-Islami (Jamaat) (51.2%), Bangladesh Nationalist Party (BNP) (47.4%), Islami Andolan Bangladesh (IAB) (1.1%)",135418.0,0.47355739808853714,146430.0,0.5120664151154536,0.0,0.0,146781.0,0.5132938638056505,135418.0,0.47355739808853714,0.0,0.0,-,-,-,-,-,146430.0,-,-,-,-,-,-,-,-,-,-,-,193.0,135418.0,-,-,-,-,-,-,-,-,-,-,-,-,307.0,-,3260.0,-,-,-,-,-,-,-,-,-,351.0,-,-,-,-,-,-,-
320006,14,Nilphamari 3,Rangpur,Nilphamari,Jaldhaka Upazila,True,203874.0,"Obaidullah Salafi (Bangladesh Jamaat-e-Islami (Jamaat)) 53.8%, Alhaz Sayed Ali (Bangladesh Nationalist Party (BNP)) 44.1%, Rohan Chowdhury (Jatiya Party (JaPa)) 1.7%","Bangladesh Jamaat-e-Islami (Jamaat) (53.8%), Bangladesh Nationalist Party (BNP) (44.1%), Jatiya Party (JaPa) (1.7%)",89807.0,0.4405024672101396,109686.0,0.5380087701227229,0.0,0.0,109686.0,0.5380087701227229,89807.0,0.4405024672101396,0.0,0.0,-,-,-,-,-,109686.0,-,-,-,-,-,-,-,-,-,-,-,-,89807.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,990.0,-,-,-,-,-,3391.0,-,-,-,-,-,-,-,-,-,-,-
320011,15,Nilphamari 4,Rangpur,Nilphamari,"Saidpur Upazila, Kishoreganj Upazila",True,290397.0,"Abdul Muttakim (Bangladesh Jamaat-e-Islami (Jamaat)) 43.5%, Md. Abdul Gafur Sarkar (Bangladesh Nationalist Party (BNP)) 28.3%, Md. Siddiqul Alam (Jatiya Party (JaPa)) 23.3%","Bangladesh Jamaat-e-Islami (Jamaat) (43.5%), Bangladesh Nationalist Party (BNP) (28.3%), Jatiya Party (JaPa) (23.3%)",82086.0,0.28266820938232834,126222.0,0.434653250550109,0.0,0.0,126222.0,0.434653250550109,82086.0,0.28266820938232834,0.0,0.0,-,-,-,-,-,126222.0,-,97.0,-,-,-,-,-,-,-,-,-,-,82086.0,-,-,-,-,-,-,-,-,-,-,-,-,5270.0,-,8335.0,-,-,-,-,-,67757.0,-,-,-,-,-,-,-,-,-,630.0,-
319636,16,Lalmonirhat 1,Rangpur,Lalmonirhat,"Patgram Upazila, Hatibandha Upazila",True,268258.0,"Md. Hasan Razib Prodhan (Bangladesh Nationalist Party (BNP)) 51.7%, Anowarul Islam Razu (Bangladesh Jamaat-e-Islami (Jamaat)) 48.3%","Bangladesh Nationalist Party (BNP) (51.7%), Bangladesh Jamaat-e-Islami (Jamaat) (48.3%)",138686.0,0.5169873778228422,129572.0,0.4830126221771578,0.0,0.0,129572.0,0.4830126221771578,138686.0,0.5169873778228422,0.0,0.0,-,-,-,-,-,129572.0,-,-,-,-,-,-,-,-,-,-,-,-,138686.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
319641,17,Lalmonirhat 2,Rangpur,Lalmonirhat,"Kaliganj Upazila, Aditmari Upazila",True,226245.0,"Md. Rokon Uddin Babul (Bangladesh Nationalist Party (BNP)) 52.3%, Md. Firoz Haidar (Bangladesh Jamaat-e-Islami (Jamaat)) 47.7%","Bangladesh Nationalist Party (BNP) (52.3%), Bangladesh Jamaat-e-Islami (Jamaat) (47.7%)",118359.0,0.5231452628787376,107886.0,0.47685473712126236,0.0,0.0,107886.0,0.47685473712126236,118359.0,0.5231452628787376,0.0,0.0,-,-,-,-,-,107886.0,-,-,-,-,-,-,-,-,-,-,-,-,118359.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
319646,18,Lalmonirhat 3,Rangpur,Lalmonirhat,Lalmonirhat Sadar Upazila,True,195895.0,"Asadul Habib Dulu (Bangladesh Nationalist Party (BNP)) 71.3%, Md. Abu Taher (Bangladesh Jamaat-e-Islami (Jamaat)) 28.7%","Bangladesh Nationalist Party (BNP) (71.3%), Bangladesh Jamaat-e-Islami (Jamaat) (28.7%)",139651.0,0.7128870057939202,56244.0,0.2871129942060798,0.0,0.0,56244.0,0.2871129942060798,139651.0,0.7128870057939202,0.0,0.0,-,-,-,-,-,56244.0,-,-,-,-,-,-,-,-,-,-,-,-,139651.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320206,19,Rangpur 1,Rangpur,Rangpur,"Gangachara Upazila, Rangpur City Corporation (Wards 1-8)",True,214495.0,"Md. Raihan Siraji (Bangladesh Jamaat-e-Islami (Jamaat)) 67.6%, Md. Mokarram Hossain Sujon (Bangladesh Nationalist Party (BNP)) 32.4%","Bangladesh Jamaat-e-Islami (Jamaat) (67.6%), Bangladesh Nationalist Party (BNP) (32.4%)",69407.0,0.3235833003100305,145088.0,0.6764166996899694,0.0,0.0,145088.0,0.6764166996899694,69407.0,0.3235833003100305,0.0,0.0,-,-,-,-,-,145088.0,-,-,-,-,-,-,-,-,-,-,-,-,69407.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320211,20,Rangpur 2,Rangpur,Rangpur,"Taraganj Upazila, Badarganj Upazila",True,162775.0,"A. T. M. Azharul Islam (Bangladesh Jamaat-e-Islami (Jamaat)) 55.0%, Md. Ali Sarkar (Bangladesh Nationalist Party (BNP)) 32.9%, Anisul Islam Mondol (Jatiya Party (JaPa)) 12.1%","Bangladesh Jamaat-e-Islami (Jamaat) (55.0%), Bangladesh Nationalist Party (BNP) (32.9%), Jatiya Party (JaPa) (12.1%)",53626.0,0.3294486254031639,89456.0,0.5495684226693288,0.0,0.0,89456.0,0.5495684226693288,53626.0,0.3294486254031639,0.0,0.0,-,-,-,-,-,89456.0,-,-,-,-,-,-,-,-,-,-,-,-,53626.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19693.0,-,-,-,-,-,-,-,-,-,-,-
320216,21,Rangpur 3,Rangpur,Rangpur,"Rangpur Sadar Upazila, Rangpur City Corporation (Wards 9-15)",True,260405.0,"Mahbubur Rahman Belal (Bangladesh Jamaat-e-Islami (Jamaat)) 67.5%, Shamsuzzaman Shamu (Bangladesh Nationalist Party (BNP)) 32.5%","Bangladesh Jamaat-e-Islami (Jamaat) (67.5%), Bangladesh Nationalist Party (BNP) (32.5%)",84578.0,0.32479407077437067,175827.0,0.6752059292256293,0.0,0.0,175827.0,0.6752059292256293,84578.0,0.32479407077437067,0.0,0.0,-,-,-,-,-,175827.0,-,-,-,-,-,-,-,-,-,-,-,-,84578.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320221,22,Rangpur 4,Rangpur,Rangpur,"Pirgachha Upazila, Kaunia Upazila",True,290530.0,"Akhter Hossain (National Citizen Party (NCP)) 51.6%, Md. Emdadul Haque Varosha (Bangladesh Nationalist Party (BNP)) 48.4%","National Citizen Party (NCP) (51.6%), Bangladesh Nationalist Party (BNP) (48.4%)",140564.0,0.48381922693009327,0.0,0.0,0.0,0.0,149966.0,0.5161807730699067,140564.0,0.48381922693009327,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140564.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,149966.0,-,-,-,-,-
320226,23,Rangpur 5,Rangpur,Rangpur,Mithapukur Upazila,True,306471.0,"Md. Golam Rabbani (Bangladesh Jamaat-e-Islami (Jamaat)) 57.6%, Md. Golam Rabbani (Bangladesh Nationalist Party (BNP)) 37.6%, S. M. Fakhruz Zaman (Jatiya Party (JaPa)) 4.9%","Bangladesh Jamaat-e-Islami (Jamaat) (57.6%), Bangladesh Nationalist Party (BNP) (37.6%), Jatiya Party (JaPa) (4.9%)",115116.0,0.3756179214346545,176411.0,0.5756205317958306,0.0,0.0,176411.0,0.5756205317958306,115116.0,0.3756179214346545,0.0,0.0,-,-,-,-,-,176411.0,-,-,-,-,-,-,-,-,-,-,-,-,115116.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14944.0,-,-,-,-,-,-,-,-,-,-,-
320231,24,Rangpur 6,Rangpur,Rangpur,Pirganj Upazila,True,237831.0,"Md. Nurul Amin (Bangladesh Jamaat-e-Islami (Jamaat)) 50.5%, Md. Saiful Islam (Bangladesh Nationalist Party (BNP)) 49.5%","Bangladesh Jamaat-e-Islami (Jamaat) (50.5%), Bangladesh Nationalist Party (BNP) (49.5%)",117703.0,0.49490184206432297,120128.0,0.505098157935677,0.0,0.0,120128.0,0.505098157935677,117703.0,0.49490184206432297,0.0,0.0,-,-,-,-,-,120128.0,-,-,-,-,-,-,-,-,-,-,-,-,117703.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
319561,25,Kurigram 1,Rangpur,Kurigram,"Bhurungamari Upazila, Nageswari Upazila",True,264115.0,"Md. Anowarul Islam (Bangladesh Jamaat-e-Islami (Jamaat)) 53.4%, Saifur Rahman Rana (Bangladesh Nationalist Party (BNP)) 46.6%","Bangladesh Jamaat-e-Islami (Jamaat) (53.4%), Bangladesh Nationalist Party (BNP) (46.6%)",123025.0,0.46580088219146965,141090.0,0.5341991178085304,0.0,0.0,141090.0,0.5341991178085304,123025.0,0.46580088219146965,0.0,0.0,-,-,-,-,-,141090.0,-,-,-,-,-,-,-,-,-,-,-,-,123025.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
319566,26,Kurigram 2,Rangpur,Kurigram,"Kurigram Sadar Upazila, Rajarhat Upazila, Fulbari Upazila",True,349204.0,"Atiqur Rahman Mujahid (National Citizen Party (NCP)) 51.2%, Md. Sohel Hossain Kaikobad (Bangladesh Nationalist Party (BNP)) 48.8%","National Citizen Party (NCP) (51.2%), Bangladesh Nationalist Party (BNP) (48.8%)",170335.0,0.48778078143434783,0.0,0.0,0.0,0.0,178869.0,0.5122192185656522,170335.0,0.48778078143434783,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,170335.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,178869.0,-,-,-,-,-
319571,27,Kurigram 3,Rangpur,Kurigram,Ulipur Upazila,True,140975.0,"Md. Mahbubul Alam (Bangladesh Jamaat-e-Islami (Jamaat)) 75.8%, Md. Akkas Ali Sarker (Islami Andolan Bangladesh (IAB)) 23.7%, Tasvir Ul Islam (Bangladesh Nationalist Party (BNP)) 0.5%","Bangladesh Jamaat-e-Islami (Jamaat) (75.8%), Islami Andolan Bangladesh (IAB) (23.7%), Bangladesh Nationalist Party (BNP) (0.5%)",672.0,0.004766802624578826,106923.0,0.7584536265295265,0.0,0.0,106923.0,0.7584536265295265,672.0,0.004766802624578826,0.0,0.0,-,-,-,-,-,106923.0,-,-,-,-,-,-,-,-,-,-,-,-,672.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33380.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
319576,28,Kurigram 4,Rangpur,Kurigram,"Rowmari Upazila, Char Rajibpur Upazila, Chilmari Upazila",True,199558.0,"Md. Mostafizur Rahman (Bangladesh Jamaat-e-Islami (Jamaat)) 53.3%, Md. Azizur Rahman (Bangladesh Nationalist Party (BNP)) 42.0%, Md. Hafizur Rahman (Islami Andolan Bangladesh (IAB)) 4.7%","Bangladesh Jamaat-e-Islami (Jamaat) (53.3%), Bangladesh Nationalist Party (BNP) (42.0%), Islami Andolan Bangladesh (IAB) (4.7%)",83762.0,0.4197376201405105,106347.0,0.5329127371490995,0.0,0.0,106347.0,0.5329127371490995,83762.0,0.4197376201405105,0.0,0.0,-,-,-,-,-,106347.0,-,-,-,-,-,-,-,-,-,-,-,-,83762.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9449.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
