seat_name,division,district,party,candidate,votes
Barishal 4,Barisal,Barishal,Bangladesh Nationalist Party (BNP),Md. Rajib Ahsan,128322.0
Barishal 4,Barisal,Barishal,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Abdul Jabbar,74684.0
Barishal 4,Barisal,Barishal,Islami Andolan Bangladesh (IAB),Syed Ishaq Md. Abul Khair,-
Barishal 5,Barisal,Barishal,National People's Party (NPP),Abdul Hannan Sikder,-
Barishal 5,Barisal,Barishal,Jatiya Party (JaPa),Akhtar Rahman,-
Barishal 5,Barisal,Barishal,Bangladesh Samajtantrik Dal (Basad),Manisha Chakraborty,-
Barishal 5,Barisal,Barishal,Bangladesh Nationalist Party (BNP),Md. Mujibur Rahman Sarwar,135146.0
Barishal 5,Barisal,Barishal,Socialist Party of Bangladesh (Marxist) (SPB-M),Md. Saidur Rahman,-
Barishal 5,Barisal,Barishal,Islami Andolan Bangladesh (IAB),Mufti Syed Md. Faizul Karim,95044.0
Barishal 6,Barisal,Barishal,Bangladesh Muslim League (BML),Abdul Quddus,-
Barishal 6,Barisal,Barishal,Bangladesh Nationalist Party (BNP),Abul Hossain Khan,82217.0
Barishal 6,Barisal,Barishal,Independent Candidate (Independent),Md. Kamrul Islam Khan,-
Barishal 6,Barisal,Barishal,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mahmudunnabi,55988.0
Barishal 6,Barisal,Barishal,Gono Odhikar Parishad (GOP),Md. Salauddin Mia,-
Barishal 6,Barisal,Barishal,Islami Andolan Bangladesh (IAB),Mufti Syed Md. Faizul Karim,-
Bhola 1,Barisal,Bhola,Bangladesh Jatiya Party (BJP),Andalib Rahman,105543.0
Bhola 1,Barisal,Bhola,Gono Odhikar Parishad (GOP),Md. Ainur Rahman Jewel Mia,-
Bhola 1,Barisal,Bhola,Jatiya Party (JaPa),Md. Akbar Hossain,-
Bhola 1,Barisal,Bhola,National People's Party (NPP),Md. Mizanur Rahman,-
Bhola 1,Barisal,Bhola,Bangladesh Jamaat-e-Islami (Jamaat),Md. Nazrul Islam,75337.0
Bhola 1,Barisal,Bhola,Islami Andolan Bangladesh (IAB),Md. Obaidul Rahman,-
Bhola 1,Barisal,Bhola,Islamic Front Bangladesh (IFB),Mohammad Ashraf Ali,-
Bhola 1,Barisal,Bhola,Independent Candidate (Independent),Rafizul Hossain,-
Bhola 2,Barisal,Bhola,Jatiya Party (JaPa),Advocate Md. Jahangir Alam Rintu,-
Bhola 2,Barisal,Bhola,Amjanatar Dol,Md. Ala Uddin,-
Bhola 2,Barisal,Bhola,Bangladesh Nationalist Party (BNP),Md. Hafiz Ibrahim,119085.0
Bhola 2,Barisal,Bhola,Independent Candidate (Independent),Md. Zakir Hossain Laskar,-
Bhola 2,Barisal,Bhola,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Fazlul Karim,93703.0
Bhola 2,Barisal,Bhola,Independent Candidate (Independent),Mohibullah Khokon,-
Bhola 2,Barisal,Bhola,Bangladesh Liberal Democratic Party (LDP),Mokfar Uddin Chowdhury,-
Bhola 2,Barisal,Bhola,Independent Candidate (Independent),Tashlima Begum,-
Bhola 3,Barisal,Bhola,Bangladesh Nationalist Party (BNP),Hafiz Uddin Ahmed,145990.0
Bhola 3,Barisal,Bhola,Gono Odhikar Parishad (GOP),Md. Abu Tayyab,-
Bhola 3,Barisal,Bhola,Jatiya Party (JaPa),Md. Kamal Uddin,-
Bhola 3,Barisal,Bhola,Islami Andolan Bangladesh (IAB),Md. Mosleh Uddin,-
