seat_name,division,district,party,candidate,votes
Chattogram 4,Chattogram,Chattogram,Gono Odhikar Parishad (GOP),A T M Parvez,-
Chattogram 4,Chattogram,Chattogram,Ganosanhati Andolan (GSA),Jahidul Alam,-
Chattogram 4,Chattogram,Chattogram,Bangladesh Nationalist Party (BNP),Md Aslam Chowdhury,-
Chattogram 4,Chattogram,Chattogram,Bangladesh Jamaat-e-Islami (Jamaat),Md. Anwar Siddique,-
Chattogram 4,Chattogram,Chattogram,Islami Andolan Bangladesh (IAB),Md. Didarul Mowla,-
Chattogram 4,Chattogram,Chattogram,Communist Party of Bangladesh (CPB),Md. Mosiuddowlah,-
Chattogram 4,Chattogram,Chattogram,Bangladesh Supreme Party (BSP),Md. Shahidul Islam Chowdhury,-
Chattogram 4,Chattogram,Chattogram,Bangladesh Islami Front (BIF),Md. Sirajudollah,-
Chattogram 4,Chattogram,Chattogram,Bangladesh Nezame Islam Party (BNIP),Md. Zakaria Khaled,-
Chattogram 5,Chattogram,Chattogram,Islami Andolan Bangladesh (IAB),Mati Ullah Noori,-
Chattogram 5,Chattogram,Chattogram,Bangladesh Labour Party,Md. Alauddin,-
Chattogram 5,Chattogram,Chattogram,Bangladesh Khelafat Majlish (BKM),Md. Nasir Uddin,46589.0
Chattogram 5,Chattogram,Chattogram,Bangladesh Nationalist Party (BNP),Mir Mohammed Helal Uddin,147054.0
Chattogram 5,Chattogram,Chattogram,Independent Candidate (Independent),Mohammed Imam Uddin Riad,-
Chattogram 5,Chattogram,Chattogram,Islamic Front Bangladesh (IFB),Muhammad Rafiqul Islam,-
Chattogram 6,Chattogram,Chattogram,Bangladesh Nationalist Party (BNP),Gias Uddin Quader Chowdhury,112237.0
Chattogram 6,Chattogram,Chattogram,Bangladesh Jamaat-e-Islami (Jamaat),Md. Shahajahan Monjo,-
Chattogram 6,Chattogram,Chattogram,Bangladesh Islami Front (BIF),Mohammad Elias Nuri,27146.0
Chattogram 6,Chattogram,Chattogram,Ganosanhati Andolan (GSA),Nasir Uddin Talukder,-
Chattogram 7,Chattogram,Chattogram,Bangladesh Jamaat-e-Islami (Jamaat),A T M Rezaul Karim,41719.0
Chattogram 7,Chattogram,Chattogram,Islami Andolan Bangladesh (IAB),Abdullah Al Harun,-
Chattogram 7,Chattogram,Chattogram,Bangladesh Nationalist Party (BNP),Humam Quader Chowdhury,101445.0
Chattogram 7,Chattogram,Chattogram,Amar Bangladesh Party (AB),Md. Abdur Rahman,-
Chattogram 7,Chattogram,Chattogram,Gono Odhikar Parishad (GOP),Md. Belal Uddin,-
Chattogram 7,Chattogram,Chattogram,Jatiya Party (JaPa),Md. Mahade Rashed,-
Chattogram 7,Chattogram,Chattogram,Bangladesh Islami Front (BIF),Muhammad Ikbal Hasan,-
Chattogram 7,Chattogram,Chattogram,Communist Party of Bangladesh (CPB),Pramode Baran Barua,-
Chattogram 8,Chattogram,Chattogram,Bangladesh Nationalist Party (BNP),Ershad Ullah,152969.0
Chattogram 8,Chattogram,Chattogram,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abu Naser,53564.0
Chattogram 8,Chattogram,Chattogram,National Citizen Party (NCP),Md. Jubairul Hasan Arif,-
Chattogram 8,Chattogram,Chattogram,Insaniyat Biplob Bangladesh (IBB),Mohammad Amdadul Huq,-
Chattogram 8,Chattogram,Chattogram,Islami Andolan Bangladesh (IAB),Mohammad Nurul Alam,-
Chattogram 8,Chattogram,Chattogram,Bangladesh Islami Front (BIF),Syed Muhammad Hassan,-
Chattogram 9,Chattogram,Chattogram,Jatiya Samajtantrik Dal-JASAD,Abdul Momen Chowdhury,-
Chattogram 9,Chattogram,Chattogram,Islami Andolan Bangladesh (IAB),Abdus Sukkur,-
Chattogram 9,Chattogram,Chattogram,Bangladesh Jamaat-e-Islami (Jamaat),Dr. A. K. M. Fazlul Hoque,53807.0
Chattogram 9,Chattogram,Chattogram,Janotar Dol,Md. Haider Ali Chowdhury,-
Chattogram 9,Chattogram,Chattogram,Socialist Party of Bangladesh (Marxist) (SPB-M),Md. Shafi Uddin Kabir,-
Chattogram 9,Chattogram,Chattogram,Insaniyat Biplob Bangladesh (IBB),Mohammad Naim Uddin,-
Chattogram 9,Chattogram,Chattogram,Bangladesh Nationalist Party (BNP),Muhammad Abu Sufian,109388.0
Chattogram 9,Chattogram,Chattogram,Islamic Front Bangladesh (IFB),Muhammad Wahed Murad,-
Chattogram 9,Chattogram,Chattogram,Nagorik Oikya (NO),Nurul Afsar Mazumder,-
Chattogram 9,Chattogram,Chattogram,Ganosanhati Andolan (GSA),Sayed Mohammad Hasan Maruf,-
Chattogram 10,Chattogram,Chattogram,Socialist Party of Bangladesh (Marxist) (SPB-M),Asma Akther,-
Chattogram 10,Chattogram,Chattogram,Islamic Front Bangladesh (IFB),Md Liaket Ali,-
Chattogram 10,Chattogram,Chattogram,Bangladesh Labour Party,Md. Usman Gani,-
Chattogram 10,Chattogram,Chattogram,Independent Candidate (Independent),Mohammed Arman Ali,-
Chattogram 10,Chattogram,Chattogram,Jatiya Party (JaPa),Muhammad Emdad Hossain,-
Chattogram 10,Chattogram,Chattogram,Bangladesh Jamaat-e-Islami (Jamaat),Muhammad Shamsuzzaman Helaly,76919.0
Chattogram 10,Chattogram,Chattogram,Islami Andolan Bangladesh (IAB),Muhammed Jannatul Islam,-
Chattogram 10,Chattogram,Chattogram,Insaniyat Biplob Bangladesh (IBB),Sabina Khatun,-
Chattogram 10,Chattogram,Chattogram,Bangladesh Nationalist Party (BNP),Sayeed Al Noman,122978.0
Chattogram 11,Chattogram,Chattogram,Jatiya Party (JaPa),Abu Taher,-
Chattogram 11,Chattogram,Chattogram,Bangladesh Nationalist Party (BNP),Amir Khosru Mahmud Chowdhury,115999.0
Chattogram 11,Chattogram,Chattogram,Socialist Party of Bangladesh (Marxist) (SPB-M),Dipa Majumder,-
Chattogram 11,Chattogram,Chattogram,Independent Candidate (Independent),Md Jahangir Bhuiyan,-
Chattogram 11,Chattogram,Chattogram,Insaniyat Biplob Bangladesh (IBB),Md. Aziz Meah,-
Chattogram 11,Chattogram,Chattogram,Bangladesh Samajtantrik Dal (Basad),Md. Nizamul Hoq All kaderi,-
Chattogram 11,Chattogram,Chattogram,Islami Andolan Bangladesh (IAB),Md. Nur Uddin,-
Chattogram 11,Chattogram,Chattogram,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Shafiul Alam,76681.0
Chattogram 11,Chattogram,Chattogram,Islamic Front Bangladesh (IFB),Muhammad Abu Taher,-
Chattogram 11,Chattogram,Chattogram,Gono Odhikar Parishad (GOP),Muhammed Nezam Uddin,-
Chattogram 11,Chattogram,Chattogram,Gono Forum (GF),Uzzwal Bhowmik,-
Chattogram 12,Chattogram,Chattogram,Jatiya Party (JaPa),Farid Ahammed Chowdhury,-
Chattogram 12,Chattogram,Chattogram,Bangladesh Liberal Democratic Party (LDP),M. Yakub Ali,-
Chattogram 12,Chattogram,Chattogram,Bangladesh Nationalist Party (BNP),Md Enamul Hoque,135044.0
Chattogram 12,Chattogram,Chattogram,Bangladesh Jamaat-e-Islami (Jamaat),Md Faridul Alam,-
Chattogram 12,Chattogram,Chattogram,Independent Candidate (Independent),Md Shakawat Hossain,-
Chattogram 12,Chattogram,Chattogram,Insaniyat Biplob Bangladesh (IBB),Mohammad Abu Talab Halaly,-
Chattogram 12,Chattogram,Chattogram,Islami Andolan Bangladesh (IAB),SM Belal Nur,-
Chattogram 12,Chattogram,Chattogram,Bangladesh Islami Front (BIF),Sayed Ayar Mohammad Peyaru,28999.0
Chattogram 13,Chattogram,Chattogram,Jatiya Party (JaPa),Abdur Rob Chowdhury,-
Chattogram 13,Chattogram,Chattogram,Bangladesh Jamaat-e-Islami (Jamaat),Mahmudul Hassan,-
Chattogram 13,Chattogram,Chattogram,Gono Odhikar Parishad (GOP),Md. Mujibur Rahaman Chy.,-
Chattogram 13,Chattogram,Chattogram,Insaniyat Biplob Bangladesh (IBB),Md. Rezaul Mustafa,-
Chattogram 13,Chattogram,Chattogram,Nationalist Democratic Movement (NDM),Mohammad Amran,-
Chattogram 13,Chattogram,Chattogram,Bangladesh Islami Front (BIF),S. M. Shahjahan,51450.0
Chattogram 13,Chattogram,Chattogram,Bangladesh Nationalist Party (BNP),Sarwar Jamal Nizam,126192.0
Chattogram 14,Chattogram,Chattogram,Bangladesh Nationalist Party (BNP),Alhajj Jashim Uddin Ahammed,76493.0
Chattogram 14,Chattogram,Chattogram,Insaniyat Biplob Bangladesh (IBB),H. M. Elias,-
Chattogram 14,Chattogram,Chattogram,Islami Andolan Bangladesh (IAB),Mohammad Abdul Hamid,-
Chattogram 14,Chattogram,Chattogram,Jatiya Party (JaPa),Mohammad Badsha Meah,-
Chattogram 14,Chattogram,Chattogram,Independent Candidate (Independent),Mohammd Mizanul Hoque Chowdhury,-
Chattogram 14,Chattogram,Chattogram,Bangladesh Islami Front (BIF),Mow. Md. Solaiman,-
Chattogram 14,Chattogram,Chattogram,Bangladesh Liberal Democratic Party (LDP),Omar Faruq,75467.0
Chattogram 14,Chattogram,Chattogram,Independent Candidate (Independent),Shafiqul Islam Rahi,-
Chattogram 15,Chattogram,Chattogram,Bangladesh Nationalist Party (BNP),Najmul Mostafa Amin,130661.0
Chattogram 15,Chattogram,Chattogram,Bangladesh Jamaat-e-Islami (Jamaat),Shahjahan Chowdhury,181238.0
Chattogram 15,Chattogram,Chattogram,Islami Andolan Bangladesh (IAB),Shariful Alam Chowdhury,-
Chattogram 16,Chattogram,Chattogram,Islamic Front Bangladesh (IFB),Abdul Malak,844.0
Chattogram 16,Chattogram,Chattogram,Bangladesh Muslim League (BML),Ehsanul Hoque,105.0
Chattogram 16,Chattogram,Chattogram,Islami Andolan Bangladesh (IAB),Haez Rufiullah,4054.0
Chattogram 16,Chattogram,Chattogram,Gono Odhikar Parishad (GOP),Md. Ariful Hoque,243.0
Chattogram 16,Chattogram,Chattogram,Bangladesh Nationalist Party (BNP),Miskatul Islam Chowdhury,83105.0
Chattogram 16,Chattogram,Chattogram,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Zahirul Islam,93167.0
Chattogram 16,Chattogram,Chattogram,Independent Candidate (Independent),Mohammed Liaquat Ali,55492.0
Chuadanga 1,Khulna,Chuadanga,Bangladesh Jamaat-e-Islami (Jamaat),Md. Masud Parves,211041.0
Chuadanga 1,Khulna,Chuadanga,Bangladesh Nationalist Party (BNP),Md. Sharifuzzaman,153193.0
Chuadanga 1,Khulna,Chuadanga,Islami Andolan Bangladesh (IAB),Mohammad Zahurul Islam,10122.0
Chuadanga 2,Khulna,Chuadanga,Bangladesh Nationalist Party (BNP),Mahmud Hasan Khan,163877.0
Chuadanga 2,Khulna,Chuadanga,Islami Andolan Bangladesh (IAB),Md. Hasanuzzaman,-
Chuadanga 2,Khulna,Chuadanga,Bangladesh Jamaat-e-Islami (Jamaat),Md. Ruhul Amin,208011.0
Coxs Bazar 1,Chattogram,Coxs bazar,Bangladesh Jamaat-e-Islami (Jamaat),Abdullah Al Faruk,129728.0
Coxs Bazar 1,Chattogram,Coxs bazar,Islami Andolan Bangladesh (IAB),Md. Sarwar Alam Kotobi,4528.0
Coxs Bazar 1,Chattogram,Coxs bazar,Bangladesh Nationalist Party (BNP),Salahuddin Ahmed,222019.0
Coxs Bazar 2,Chattogram,Coxs bazar,Bangladesh Jamaat-e-Islami (Jamaat),A. H. M. Hamidur Rahaman Azad,89817.0
Coxs Bazar 2,Chattogram,Coxs bazar,Bangladesh Nationalist Party (BNP),Alamgir Mohammad Mahfuzullah Farid,124660.0
Coxs Bazar 2,Chattogram,Coxs bazar,Jatiya Party (JaPa),Md. Mahmudul Karim,-
Coxs Bazar 2,Chattogram,Coxs bazar,Gono Odhikar Parishad (GOP),S. M. Rukunuzzaman Khan,-
Coxs Bazar 2,Chattogram,Coxs bazar,Islami Andolan Bangladesh (IAB),Ziaul Haque,-
Coxs Bazar 3,Chattogram,Coxs bazar,Islami Andolan Bangladesh (IAB),Amirul Islam,-
Coxs Bazar 3,Chattogram,Coxs bazar,Bangladesh Labour Party,Jagadish Barua,-
Coxs Bazar 3,Chattogram,Coxs bazar,Bangladesh Nationalist Party (BNP),Lutfur Rahman,182096.0
Coxs Bazar 3,Chattogram,Coxs bazar,Independent Candidate (Independent),Md. Ilias Miah,-
Coxs Bazar 3,Chattogram,Coxs bazar,Amjanatar Dol,Nurul Absar,-
Coxs Bazar 3,Chattogram,Coxs bazar,Bangladesh Jamaat-e-Islami (Jamaat),Shahidul Alam (Bahadur),161827.0
Coxs Bazar 4,Chattogram,Coxs bazar,Bangladesh Jamaat-e-Islami (Jamaat),Nur Ahmed Anwary,122033.0
Coxs Bazar 4,Chattogram,Coxs bazar,Islami Andolan Bangladesh (IAB),Nurul Haque,-
Coxs Bazar 4,Chattogram,Coxs bazar,Bangladesh Nationalist Party (BNP),Shahjahan Chowdhury,123582.0
Coxs Bazar 4,Chattogram,Coxs bazar,Nationalist Democratic Movement (NDM),Sifuddin Khaled,-
Cumilla 1,Chattogram,Cumilla,Independent Candidate (Independent),Abu Zayed Al Mahmud,-
Cumilla 1,Chattogram,Cumilla,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Barua Monojit Dhimon,-
Cumilla 1,Chattogram,Cumilla,Islami Andolan Bangladesh (IAB),Bashir Ahmed,-
Cumilla 1,Chattogram,Cumilla,Bangladesh Nationalist Party (BNP),Dr. Khandaker Mosharraf Hossain,141440.0
Cumilla 1,Chattogram,Cumilla,Bangladesh Jamaat-e-Islami (Jamaat),Md. Moniruzzaman,94845.0
Cumilla 1,Chattogram,Cumilla,Amar Bangladesh Party (AB),Md. Shafiul Bashar,-
Cumilla 1,Chattogram,Cumilla,Bangladesh Republican Party (BRP),Mohammad Abul Kalam,-
Cumilla 1,Chattogram,Cumilla,Independent Candidate (Independent),Omar Faruk,-
Cumilla 1,Chattogram,Cumilla,Jatiya Party (JaPa),Sayed Md. Iftaker Ahsan,-
Cumilla 2,Chattogram,Cumilla,Bangladesh Islami Front (BIF),Abdus Salam,-
Cumilla 2,Chattogram,Cumilla,Independent Candidate (Independent),Md. Abdul Matin,63045.0
Cumilla 2,Chattogram,Cumilla,Jatiya Party (JaPa),Md. Amir Hossain,-
Cumilla 2,Chattogram,Cumilla,Bangladesh Jamaat-e-Islami (Jamaat),Md. Nazim Uddin,-
Cumilla 2,Chattogram,Cumilla,Bangladesh Nationalist Party (BNP),Md. Selim Bhuiyan,77037.0
Cumilla 2,Chattogram,Cumilla,Islami Andolan Bangladesh (IAB),Mohammad Ashraful Alam,-
Cumilla 3,Chattogram,Cumilla,Islami Andolan Bangladesh (IAB),Ahmad Abdul Kaiyum,-
Cumilla 3,Chattogram,Cumilla,Amjanatar Dol,Chowdhury Rakibul Hoque,-
Cumilla 3,Chattogram,Cumilla,Bangladesh Nationalist Party (BNP),Kazi Shah Mofazzal Hossain (Kaikobad),159291.0
Cumilla 3,Chattogram,Cumilla,Bangladesh Republican Party (BRP),Md. Amdadoll Huque,-
Cumilla 3,Chattogram,Cumilla,Bangladesh Congress,Md. Khurshed Alam,-
Cumilla 3,Chattogram,Cumilla,Insaniyat Biplob Bangladesh (IBB),Md. Sarifuddin Sarker,-
Cumilla 3,Chattogram,Cumilla,Bangladesh Jamaat-e-Islami (Jamaat),Md. Yousuf Sohel,109599.0
Cumilla 3,Chattogram,Cumilla,Gono Odhikar Parishad (GOP),Moniruzaman,-
Cumilla 3,Chattogram,Cumilla,Nationalist Democratic Movement (NDM),Riaz Md Sharif,-
Cumilla 4,Chattogram,Cumilla,Islami Andolan Bangladesh (IAB),Abdul Karim,-
Cumilla 4,Chattogram,Cumilla,Insaniyat Biplob Bangladesh (IBB),Erfanul Hoque Sarker,-
Cumilla 4,Chattogram,Cumilla,Khelafat Majlis,Md Mazibur Rahaman Farazi,-
Cumilla 4,Chattogram,Cumilla,Gono Odhikar Parishad (GOP),Md. A. Jasim Uddin,49885.0
Cumilla 4,Chattogram,Cumilla,National Citizen Party (NCP),Md. Abul Hasnat,166583.0
Cumilla 5,Chattogram,Cumilla,Communist Party of Bangladesh (CPB),Abdullah Al Kafee,-
Cumilla 5,Chattogram,Cumilla,Bangladesh Muslim League (BML),Abul Kalam Idrish,-
Cumilla 5,Chattogram,Cumilla,National People's Party (NPP),Md. Abul Bashar,-
Cumilla 5,Chattogram,Cumilla,Jatiya Party (JaPa),Md. Emranul Hoque,-
Cumilla 5,Chattogram,Cumilla,Bangladesh Nationalist Party (BNP),Md. Jashim Uddin,134485.0
Cumilla 5,Chattogram,Cumilla,Islami Andolan Bangladesh (IAB),Md. Rashedul Islam,-
Cumilla 5,Chattogram,Cumilla,Bangladesh Jamaat-e-Islami (Jamaat),Mobarak Hossen,124547.0
Cumilla 5,Chattogram,Cumilla,Jatiya Samajtantrik Dal-JASAD,Sherin Akter,-
Cumilla 5,Chattogram,Cumilla,Insaniyat Biplob Bangladesh (IBB),Tanzil Ahmed,-
Cumilla 5,Chattogram,Cumilla,Amar Bangladesh Party (AB),Zubair Ahmed Bhuiyan,-
Cumilla 6,Chattogram,Cumilla,Bangladesh Samajtantrik Dal (Basad),Kamrunnaher Sathi,-
Cumilla 6,Chattogram,Cumilla,Bangladesh Jamaat-e-Islami (Jamaat),Kazi Din Mohammed,119851.0
Cumilla 6,Chattogram,Cumilla,Bangladesh Sangskritik Muktijote (BSM),Md. Amir Hossain Farazi,-
Cumilla 6,Chattogram,Cumilla,Bangladesh Islami Front (BIF),Md. Mashum Billah Miazi,-
Cumilla 6,Chattogram,Cumilla,Bangladesh Nationalist Party (BNP),Md. Monirul Haque Chowdhury,201706.0
Cumilla 6,Chattogram,Cumilla,Bangladesh Muslim League (BML),Md. Yeasin,-
Cumilla 6,Chattogram,Cumilla,Islami Andolan Bangladesh (IAB),Mohammad Harunur Rashid,-
Cumilla 6,Chattogram,Cumilla,Gono Odhikar Parishad (GOP),Mubarak Hossain,-
Cumilla 6,Chattogram,Cumilla,Jatiya Samajtantrik Dal-JASAD,Obaidul Kabir Mohan,-
Cumilla 7,Chattogram,Cumilla,Independent Candidate (Independent),Atikul Alam,91690.0
Cumilla 7,Chattogram,Cumilla,Islami Andolan Bangladesh (IAB),Maolana Ehteshamul Hoque,-
Cumilla 7,Chattogram,Cumilla,Bangladesh Nationalist Party (BNP),Redwan Ahmed,48509.0
Cumilla 7,Chattogram,Cumilla,Bangladesh Sangskritik Muktijote (BSM),Sajal Kumar Kar,-
Cumilla 7,Chattogram,Cumilla,Khelafat Majlis,Soliman Khan,-
Cumilla 8,Chattogram,Cumilla,Islami Oikya Jote (IOJ),Abdul Kadir,-
Cumilla 8,Chattogram,Cumilla,Jatiya Party (JaPa),H M M Erfan,-
Cumilla 8,Chattogram,Cumilla,Bangladesh Samajtantrik Dal (Basad),Md. Ali Asraf,-
Cumilla 8,Chattogram,Cumilla,Bangladesh Republican Party (BRP),Md. Mafiz Uddin Ahmed,-
Cumilla 8,Chattogram,Cumilla,Bangladesh Jamaat-e-Islami (Jamaat),Md. Shafiqul Alam Helal,45091.0
Cumilla 8,Chattogram,Cumilla,Bangladesh Supreme Party (BSP),Mohammad Golam Morshad,-
Cumilla 8,Chattogram,Cumilla,Islami Andolan Bangladesh (IAB),Mohammad Golam Shadek,-
Cumilla 8,Chattogram,Cumilla,Bangladesh Nationalist Party (BNP),Zakaria Taher,169178.0
Cumilla 9,Chattogram,Cumilla,Islamic Front Bangladesh (IFB),Md. Abu Bakar Siddeq,-
Cumilla 9,Chattogram,Cumilla,Bangladesh Nationalist Party (BNP),Md. Abul Kalam,170008.0
Cumilla 9,Chattogram,Cumilla,Independent Candidate (Independent),Md. Abul Kashem,-
Cumilla 9,Chattogram,Cumilla,Jatiya Party (JaPa),Md. Golam Mostafa Kamal,-
Cumilla 9,Chattogram,Cumilla,Bangladesh Sangskritik Muktijote (BSM),Md. Mizanur Rahman Chowdury,-
Cumilla 9,Chattogram,Cumilla,Islami Andolan Bangladesh (IAB),Salim Mahmud,-
Cumilla 9,Chattogram,Cumilla,Independent Candidate (Independent),Samira Hossain,-
Cumilla 9,Chattogram,Cumilla,Bangladesh Jamaat-e-Islami (Jamaat),Syed A. K. M. Sarowar Uddin Seddique,118961.0
Cumilla 10,Chattogram,Cumilla,Bangladesh Congress,Hasan Ahmed,-
Cumilla 10,Chattogram,Cumilla,Bangladesh Sangskritik Muktijote (BSM),Kazi Nure Alam Siddik,-
Cumilla 10,Chattogram,Cumilla,Amjanatar Dol,Md. Abdullah Al Noman,-
Cumilla 10,Chattogram,Cumilla,Bangladesh Nationalist Party (BNP),Md. Mobasher Alam Bhuiyan,163667.0
Cumilla 10,Chattogram,Cumilla,Islami Andolan Bangladesh (IAB),Md. Shamsuddoha,-
Cumilla 10,Chattogram,Cumilla,Bangladesh Jamaat-e-Islami (Jamaat),Muhammad Yasin Arafath,123733.0
Cumilla 10,Chattogram,Cumilla,Gono Odhikar Parishad (GOP),Romiz Bin Arif,-
Cumilla 11,Chattogram,Cumilla,Bangladesh Congress,A F M Abdur Rahim,-
Cumilla 11,Chattogram,Cumilla,Gono Front (GF),Md. Alamgir,-
Cumilla 11,Chattogram,Cumilla,Bangladesh Nationalist Party (BNP),Md. Kamrul Huda,76638.0
Cumilla 11,Chattogram,Cumilla,Jatiya Party (JaPa),Md. Main Uddin,-
Cumilla 11,Chattogram,Cumilla,Islami Andolan Bangladesh (IAB),Md. Mohiuddin (Shohid),-
Cumilla 11,Chattogram,Cumilla,Bangladesh Sangskritik Muktijote (BSM),Mohammad Yousuf,-
Cumilla 11,Chattogram,Cumilla,Bangladesh Jamaat-e-Islami (Jamaat),Syed Abdullah Mohammed Taher,133308.0
Dhaka 1,Dhaka,Dhaka,Independent Candidate (Independent),Antara Selima Huda,-
Dhaka 1,Dhaka,Dhaka,Bangladesh Nationalist Party (BNP),Khondaker Abu Ashfaque,173781.0
Dhaka 1,Dhaka,Dhaka,Jatiya Party (JaPa),Md. Nasir Uddin Mollah,-
Dhaka 1,Dhaka,Dhaka,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Nazrul Islam,112622.0
Dhaka 1,Dhaka,Dhaka,Islami Andolan Bangladesh (IAB),Nurul Islam,-
Dhaka 1,Dhaka,Dhaka,Bangladesh Labour Party,Shakh Mohammed Ali,-
Dhaka 2,Dhaka,Dhaka,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdul Haque,80053.0
Dhaka 2,Dhaka,Dhaka,Bangladesh Nationalist Party (BNP),Md. Amanullah Aman,163793.0
Dhaka 2,Dhaka,Dhaka,Islami Andolan Bangladesh (IAB),Md. Jahirul Islam,-
Dhaka 3,Dhaka,Dhaka,Bangladesh Nationalist Party (BNP),Goyasawar Chandra Roy,99163.0
Dhaka 3,Dhaka,Dhaka,Ganosanhati Andolan (GSA),Md. Bacchu Buya,-
Dhaka 3,Dhaka,Dhaka,Jatiya Party (JaPa),Md. Faruk,-
Dhaka 3,Dhaka,Dhaka,Independent Candidate (Independent),Md. Manir Hossin,-
Dhaka 3,Dhaka,Dhaka,Gono Odhikar Parishad (GOP),Md. Sajjad,-
Dhaka 3,Dhaka,Dhaka,Bangladesh Jamaat-e-Islami (Jamaat),Md. Shahinur Islam,83264.0
Dhaka 3,Dhaka,Dhaka,Islami Andolan Bangladesh (IAB),Md. Sultan Ahamed Khan,-
Dhaka 3,Dhaka,Dhaka,Bangladesh Congress,Mohammad Jafor,-
Dhaka 3,Dhaka,Dhaka,Bangladesh Samajtantrik Dal (Basad),Mozibor Howlader,-
Dhaka 3,Dhaka,Dhaka,Gono Forum (GF),Muhammad Rowshen Yesdani,-
Dhaka 4,Dhaka,Dhaka,Janotar Dol,Md. Abul Kalam Azad,-
Dhaka 4,Dhaka,Dhaka,Bangladesh Samajtantrik Dal (Basad),Md. Zakir Hossain,-
Dhaka 4,Dhaka,Dhaka,Communist Party of Bangladesh (CPB),Mohammad Firoz Alam,-
Dhaka 4,Dhaka,Dhaka,Independent Candidate (Independent),Mohammad Mizanur Rahaman,-
Dhaka 4,Dhaka,Dhaka,Bangladesh Sangskritik Muktijote (BSM),Sahel Ahmed Sohel,-
Dhaka 4,Dhaka,Dhaka,Bangladesh Jamaat-e-Islami (Jamaat),Syed Joynul Abedin,77367.0
Dhaka 4,Dhaka,Dhaka,Islami Andolan Bangladesh (IAB),Syed Md. Mosaddek Billah,-
Dhaka 4,Dhaka,Dhaka,Bangladesh Nationalist Party (BNP),Tanveer Ahmed,74447.0
Dhaka 5,Dhaka,Dhaka,Bangladesh Labour Party,Md. Golam Azam,-
Dhaka 5,Dhaka,Dhaka,Bangladesh Liberal Democratic Party (LDP),Md. Humayun Kabir,-
Dhaka 5,Dhaka,Dhaka,Islami Andolan Bangladesh (IAB),Md. Ibrahim,-
Dhaka 5,Dhaka,Dhaka,Bangladesh Nationalist Party (BNP),Md. Nabi Ullah,87491.0
Dhaka 5,Dhaka,Dhaka,Bangladesh Congress,Md. Saiful Alam,-
Dhaka 5,Dhaka,Dhaka,Bangladesh Sangskritik Muktijote (BSM),Md. Taifur Rahman Rahi,-
Dhaka 5,Dhaka,Dhaka,Jatiya Party (JaPa),Mir Abdus Sabur,-
Dhaka 5,Dhaka,Dhaka,Bangladesh Jamaat-e-Islami (Jamaat),Mohammed Kamal Hossain,96641.0
Dhaka 5,Dhaka,Dhaka,Socialist Party of Bangladesh (Marxist) (SPB-M),Sahinur Akter Sumi,-
Dhaka 5,Dhaka,Dhaka,Gono Odhikar Parishad (GOP),Syed Mohammad Ibrahim,-
Dhaka 5,Dhaka,Dhaka,Communist Party of Bangladesh (CPB),Tofazzal Hossain Mostafa,-
Dhaka 6,Dhaka,Dhaka,Gono Front (GF),Ahmed Ali Sheikh,-
Dhaka 6,Dhaka,Dhaka,Jatiya Party (JaPa),Amir Uddin Ahmed (Dalu),-
Dhaka 6,Dhaka,Dhaka,Bangladesh Nationalist Party (BNP),Ishraque Hossain,78850.0
Dhaka 6,Dhaka,Dhaka,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdul Mannan,55697.0
Dhaka 6,Dhaka,Dhaka,Bangladesh Muslim League (BML),Md. Akter Hossain,-
Dhaka 6,Dhaka,Dhaka,Gono Odhikar Parishad (GOP),Md. Fakrul Islam,-
Dhaka 7,Dhaka,Dhaka,Bangladesh Nationalist Party (BNP),Hamidur Rahman,104666.0
Dhaka 7,Dhaka,Dhaka,Bangladesh Sangskritik Muktijote (BSM),Maksudur Rahman,-
Dhaka 7,Dhaka,Dhaka,Islami Andolan Bangladesh (IAB),Md. Abdur Rahman,-
Dhaka 7,Dhaka,Dhaka,Bangladesh Jamaat-e-Islami (Jamaat),Md. Enayat Ullah,98483.0
Dhaka 7,Dhaka,Dhaka,Bangladesh Khelafat Andolon (BKA),Md. Habibullah,-
Dhaka 7,Dhaka,Dhaka,Bangladesh Jatiya Party (BJP),Md. Shahidul Islam,-
Dhaka 7,Dhaka,Dhaka,Independent Candidate (Independent),Mohammad Ishaque Sarker,-
Dhaka 7,Dhaka,Dhaka,Jatiya Party (JaPa),Mohammad Saifuddin Ahmed Milon,-
Dhaka 7,Dhaka,Dhaka,Bangladesh Republican Party (BRP),Shafiqur Rahman,-
Dhaka 7,Dhaka,Dhaka,Jatiya Samajtantrik Dal-JASAD,Shana Salim,-
Dhaka 7,Dhaka,Dhaka,Socialist Party of Bangladesh (Marxist) (SPB-M),Shima Dutta,-
Dhaka 8,Dhaka,Dhaka,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),A. F. M. Ismail Chowdhury,-
Dhaka 8,Dhaka,Dhaka,Socialist Party of Bangladesh (Marxist) (SPB-M),AHM Rafiquzzaman Akhand,-
