seat_id,seat_number,seat_name,division,district,party,candidate,votes
319181,7,Dinajpur 2,Rangpur,Dinajpur,Independent Candidate (Independent),Anm Bazlur Rashid,15618
319181,7,Dinajpur 2,Rangpur,Dinajpur,Jatiya Party (JaPa),Md. Zulfikar Hossain,4647
319181,7,Dinajpur 2,Rangpur,Dinajpur,Bangladesh Muslim League (BML),Md. Mokaram Hossain,4610
319181,7,Dinajpur 2,Rangpur,Dinajpur,Bangladesh Nationalist Party (BNP),Md. Sadiq Riaz,139622
319186,8,Dinajpur 3,Rangpur,Dinajpur,Communist Party of Bangladesh (CPB),Amrit Kumar Roy,701
319186,8,Dinajpur 3,Rangpur,Dinajpur,Jatiya Party (JaPa),Ahmed Shafi Rubel,3838
319186,8,Dinajpur 3,Rangpur,Dinajpur,Islami Andolan Bangladesh (IAB),Md. Khairuzzaman,1408
319186,8,Dinajpur 3,Rangpur,Dinajpur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mainul Alam,136239
319186,8,Dinajpur 3,Rangpur,Dinajpur,Bangladesh Nationalist Party (BNP),Syed Jahangir Alam,140608
319186,8,Dinajpur 3,Rangpur,Dinajpur,Janotar Dol,Md. Rabiul Islam,337
319186,8,Dinajpur 3,Rangpur,Dinajpur,Bangladesh Samajtantrik Dal (Basad),Kibria Hossain,283
319191,9,Dinajpur 4,Rangpur,Dinajpur,Bangladesh Nationalist Party (BNP),Md. Akhtaruzzaman Mia,166717
319191,9,Dinajpur 4,Rangpur,Dinajpur,Islami Andolan Bangladesh (IAB),Md. Anwar Hossain,1699
319191,9,Dinajpur 4,Rangpur,Dinajpur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Aftabuddin Molla,129056
319191,9,Dinajpur 4,Rangpur,Dinajpur,Jatiya Party (JaPa),Md. Nurul Amin Shah,3152
319196,10,Dinajpur 5,Rangpur,Dinajpur,Bangladesh Nationalist Party (BNP),Akm Kamruzzaman,98544
319196,10,Dinajpur 5,Rangpur,Dinajpur,Independent Candidate (Independent),Azm Rezwanul Haque,114484
319196,10,Dinajpur 5,Rangpur,Dinajpur,Independent Candidate (Independent),S. M. Zakaria Bacchu,4725
319196,10,Dinajpur 5,Rangpur,Dinajpur,Jatiya Party (JaPa),Md. Kazi Abdul Gafur,1503
319196,10,Dinajpur 5,Rangpur,Dinajpur,Independent Candidate (Independent),Md. Rustam Ali,567
319196,10,Dinajpur 5,Rangpur,Dinajpur,Independent Candidate (Independent),Md. Hazrat Ali Belal,3027
319196,10,Dinajpur 5,Rangpur,Dinajpur,National Citizen Party (NCP),Md. Abdul Ahad,110195
319201,11,Dinajpur 6,Rangpur,Dinajpur,Bangladesh Nationalist Party (BNP),Abu Jafar Md. Zahid Hossain,205118
319201,11,Dinajpur 6,Rangpur,Dinajpur,Independent Candidate (Independent),Md. Abdullah,418
319201,11,Dinajpur 6,Rangpur,Dinajpur,Islami Andolan Bangladesh (IAB),Md. Nur Alam Siddiqui,1659
319201,11,Dinajpur 6,Rangpur,Dinajpur,Jatiya Party (JaPa),Md. Rezaul Haque,2689
319201,11,Dinajpur 6,Rangpur,Dinajpur,Independent Candidate (Independent),Md. Shahnewaz Firoz Shuvo Shah,152
319201,11,Dinajpur 6,Rangpur,Dinajpur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Anwarul Islam,190703
319201,11,Dinajpur 6,Rangpur,Dinajpur,Bangladesh Samajtantrik Dal (Basad),Md. Abdul Hakim,449
319996,12,Nilphamari 1,Rangpur,Nilphamari,Bangladesh National Awami Party–Bangladesh NAP (BNAP),Jebel Rahman Ghaani,4477
319996,12,Nilphamari 1,Rangpur,Nilphamari,Jamiat Ulema-e-Islam Bangladesh (JUIB),Mawlana Md. Monzurul Islam,119059
319996,12,Nilphamari 1,Rangpur,Nilphamari,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdus Sattar,150824
319996,12,Nilphamari 1,Rangpur,Nilphamari,Islami Andolan Bangladesh (IAB),Md. Abdul Jalil,1871
