seat_name,party,candidate,votes
Barishal 3,Bangladesh Socialist Party (BASAD),Md. Azmul Hasan Jihad,214
Barishal 4,Bangladesh Nationalist Party (BNP),Md. Rajib Ahsan,128322
Barishal 4,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Abdul Jabbar,74684
Barishal 4,Islami Andolan Bangladesh (IAB),Syed Eshaq Md. Abul Khayer,36753
Barishal 4,Bangladesh Cultural Liberation Front (Muktijot),Abdul Jalil,413
Barishal 4,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Abdus Salam (Khokon),334
Barishal 5,Bangladesh Nationalist Party (BNP),Md. Mojibur Rahman Sarwar,135146
Barishal 5,Islami Andolan Bangladesh (IAB),Mufti Syed Md. Fayzul Karim,95044
Barishal 5,Bangladesh Socialist Party (BASAD),Monisha Chakraborty,22486
Barishal 5,Jatiya Party (JaPa),Akhtar Rahman,909
Barishal 5,National People's Party (NPP),Abdul Hannan Sikder,494
Barishal 5,Bangladesh Socialist Party (Marxist),Md. Saidur Rahman,300
Barishal 6,Bangladesh Nationalist Party (BNP),Abul Hossain Khan,82217
Barishal 6,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mahmudunnabi,55988
Barishal 6,Islami Andolan Bangladesh (IAB),Mufti Syed Md. Fayzul Karim,29146
Barishal 6,Independent Candidate (Independent),Md. Kamrul Islam Khan,366
Barishal 6,Bangladesh Muslim League (BML),Abdul Quddus,244
Barishal 6,Gono Odhikar Parishad (GOP),Md. Salauddin Mia,139
Jhalokathi 1,Bangladesh Nationalist Party (BNP),Rafiqul Islam Jamal,62010
Jhalokathi 1,Bangladesh Jamaat-e-Islami (Jamaat),Foyzul Haque,55120
Jhalokathi 1,Islami Andolan Bangladesh (IAB),Ibrahim,7744
Jhalokathi 1,Jatiya Party (JaPa),Md. Rubel Howladar,2562
Jhalokathi 1,Jatiya Party (JaPa),M. Main Alam Firozi,593
Jhalokathi 1,Jatiya Party (JaPa),Md. Sabbir Ahmed,345
Jhalokathi 1,Jatiya Party (JaPa),Md. Kamruzzaman Khan,321
Jhalokathi 1,Gono Odhikar Parishad (GOP),Md. Shahadat Hossain,132
Jhalokathi 1,Jatiya Samajtantrik Dal (JSD),Md. Sohrab Hossain,110
Jhalokathi 1,Janata Party,Md. Jasim Uddin Talukdar,63
Jhalokathi 2,Bangladesh Nationalist Party (BNP),Israt Sultana Elen Bhutto,113419
