seat_name,party,candidate,votes
Noakhali 3,Bangladesh Nationalist Party (BNP),Md. Borkot Ullah Bulu,141031
Noakhali 3,Bangladesh Jamaat-e-Islami (Jamaat),Md. Borhan Uddin,123941
Noakhali 3,Islami Andolan Bangladesh (IAB),Mohammad Nur Uddin,9861
Noakhali 3,Khelafat Majlis,Morshed Alam,800
Noakhali 3,Jatiya Samajtantrik Dal (JSD),Md. Siraj Mia,747
Noakhali 3,Independent Candidate (Independent),Md. Rajib Uddoula Chowdhury,534
Noakhali 3,Independent Candidate (Independent),Sharif Ahmed,260
Noakhali 4,Bangladesh Nationalist Party (BNP),Md. Shahjahan,219182
Noakhali 4,Bangladesh Jamaat-e-Islami (Jamaat),Md. Ishaq Khandaker,148989
Noakhali 4,Islami Andolan Bangladesh (IAB),Md. Firoz Alam Masud,14783
Noakhali 4,Jatiya Party (JaPa),Md. Shariful Islam,2344
Noakhali 4,Bangladesh Socialist Party (Marxist),Bitul Chandra Talukder,917
Noakhali 4,Gono Odhikar Parishad (GOP),Abduj Jaher,542
Noakhali 4,Insaniyat Biplob Bangladesh,Md. Yunus Nabi,493
Noakhali 5,Bangladesh Nationalist Party (BNP),Mohammad Fakhrul Islam,147808
Noakhali 5,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Belayet Hossain,120453
Noakhali 5,Islami Andolan Bangladesh (IAB),Abu Naser,6224
Noakhali 5,Janata Party,Md. Shawkat Hossain,4855
Noakhali 5,Jatiya Party (JaPa),Khaja Tanvir Ahmed,1684
Noakhali 5,Independent Candidate (Independent),Omar Ali,814
Noakhali 5,Jatiya Samajtantrik Dal (JSD),Md. Kamal Uddin Patwari,298
Noakhali 5,Islamic Front Bangladesh (IFB),Mohammad Shamchuddoha,277
Noakhali 5,Bangladesh Socialist Party (Marxist),Mun Tahar Begum,173
Noakhali 5,Insaniyat Biplob Bangladesh,Touhidul Islam,162
Noakhali 5,Bangladesh Republican Party (BRP),Mohammad Anisul Haque,141
Noakhali 5,Independent Candidate (Independent),Muhammad Yunus,133
Noakhali 6,National Citizen Party (NCP),Abdul Hannan Masud,91899
Noakhali 6,Bangladesh Nationalist Party (BNP),Mohammad Mahbuber Rahman,64021
Noakhali 6,Independent Candidate (Independent),Mohammad Fazlul Azim,4783
Noakhali 6,Independent Candidate (Independent),Tanbir Uddin Rajib,3764
Noakhali 6,Islami Andolan Bangladesh (IAB),Mohammad Nurul Islam Sharif,2197
Noakhali 6,Jatiya Samajtantrik Dal (JSD),Mohammad Abdul Motaleb,1239
Noakhali 6,Bangladesh Supreme Party (BSP),Amirul Islam Mohammad Abdul Malek,505
Noakhali 6,Jatiya Party (JaPa),A. T. M. Nabi Ullah,280
Noakhali 6,Gono Odhikar Parishad (GOP),Mohammad Azhar Uddin,191
Noakhali 6,Liberal Democratic Party (LDP),Mohammad Abul Hossain,86
Lakshmipur 1,Bangladesh Nationalist Party (BNP),Md. Shahadat Hossain,86811
Lakshmipur 1,National Citizen Party (NCP),Md. Mahbub Alam,59265
Lakshmipur 1,Islami Andolan Bangladesh (IAB),Md. Zakir Hossain Patwary,11156
Lakshmipur 1,Jatiya Party (JaPa),Mohammad Mahmudur Rahman Mahmud,414
Lakshmipur 1,Bangladesh Socialist Party (BASAD),Md. Billal Hossain,203
Lakshmipur 1,Gono Odhikar Parishad (GOP),Md. Kawsar Alam,115
Lakshmipur 1,Nationalist Democratic Movement (NDM),Md. Alamgir Hossain,106
Lakshmipur 2,Bangladesh Nationalist Party (BNP),Md. Abul Khair Bhuiyan,146321
Lakshmipur 2,Bangladesh Jamaat-e-Islami (Jamaat),S. U. M. Ruhul Amin Bhuiyan,133698
Lakshmipur 2,Islami Andolan Bangladesh (IAB),Helal Uddin,6774
Lakshmipur 2,Bangladesh Supreme Party (BSP),Md. Ibrahim Mia,1780
Lakshmipur 2,Gono Odhikar Parishad (GOP),Abul Bashar,424
Lakshmipur 2,Bangladesh Kallyan Party (BKP),Md. Farhad Mia,288
Lakshmipur 2,Nagorik Oikya (NO),Mohammad Rezaul Karim,253
Lakshmipur 3,Bangladesh Nationalist Party (BNP),Md. Shahid Uddin Chowdhury Annie,135612
Lakshmipur 3,Bangladesh Jamaat-e-Islami (Jamaat),Md. Rezaul Karim,122802
Lakshmipur 3,Islami Andolan Bangladesh (IAB),Md. Ibrahim,5051
Lakshmipur 3,Jatiya Party (JaPa),A. K. M. Mahi Uddin,1139
Lakshmipur 3,Liberal Democratic Party (LDP),Md. Samsuddin,488
Lakshmipur 3,National People's Party (NPP),Selim Mahmud,289
Lakshmipur 4,Bangladesh Nationalist Party (BNP),A. B. M. Ashraf Uddin (Nizan),115199
Lakshmipur 4,Bangladesh Jamaat-e-Islami (Jamaat),Md. Ashrafur Rahman Hafizullah,73756
Lakshmipur 4,Jatiya Samajtantrik Dal (JSD),Tania Rob,22040
Lakshmipur 4,Islami Andolan Bangladesh (IAB),Khaled Saifullah,21103
Lakshmipur 4,Bangladesh Socialist Party (BASAD),Milon Krishna Mondol,440
Lakshmipur 4,Independent Candidate (Independent),Nurul Huda Chowdhury,422
Lakshmipur 4,Independent Candidate (Independent),Sharaf Uddin Azad,411
Lakshmipur 4,Independent Candidate (Independent),A. N. M. Manjur Morshed,396
Lakshmipur 4,Gono Odhikar Parishad (GOP),Md. Redowan Ullah,259
Chattogram 1,Bangladesh Nationalist Party (BNP),Nurul Amin,128799
Chattogram 1,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Saifur Rahman,84538
Chattogram 1,Islami Andolan Bangladesh (IAB),Ferdous Ahmed Chowdhury,2108
Chattogram 1,Jatiya Party (JaPa),Syed Shahadat Hossain,1659
Chattogram 1,Insaniyat Biplob Bangladesh,Rezaul Karim,780
Chattogram 1,Bangladesh Muslim League (BML),Sheikh Zulfikar Bulbul Chowdhury,269
Chattogram 1,Jatiya Samajtantrik Dal (JSD),A. K. M. Abu Yusuf,258
Chattogram 2,Bangladesh Nationalist Party (BNP),Sarwar Alamgir,139831
Chattogram 2,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Nurul Amin,65550
Chattogram 2,Bangladesh Supreme Party (BSP),Shahzada Syed Saifuddin Ahmed,12737
Chattogram 2,Islami Andolan Bangladesh (IAB),Mohammad Zulfikar Ali Mannan,2248
Chattogram 2,Janata Party,Mohammad Golam Nawsher Ali,397
Chattogram 2,Independent Candidate (Independent),Jinnat Akter,276
Chattogram 2,Jatiya Party (JaPa),Ahmed Kabir,270
Chattogram 2,Gono Odhikar Parishad (GOP),Rabiul Hasan,266
Chattogram 3,Bangladesh Nationalist Party (BNP),Mostafa Kamal Pasha,73037
Chattogram 3,Bangladesh Jamaat-e-Islami (Jamaat),Muhammad Alauddin,39662
Chattogram 3,Islami Andolan Bangladesh (IAB),Mohammad Amzad Hossain,5145
Chattogram 3,Independent Candidate (Independent),Md. Moyahidul Mawla,308
Chattogram 4,Bangladesh Nationalist Party (BNP),Mohammad Aslam Chowdhury,143552
Chattogram 4,Bangladesh Jamaat-e-Islami (Jamaat),Md. Anwar Siddique,91404
Chattogram 4,Bangladesh Islami Front,Md. Sirajuddaula,7267
Chattogram 4,Islami Andolan Bangladesh (IAB),Md. Didarul Mawla,1337
Chattogram 4,Bangladesh Supreme Party (BSP),Md. Shahidul Islam Chowdhury,923
Chattogram 4,Communist Party of Bangladesh (CPB),Md. Masuddaula,738
Chattogram 4,Ganosanhati Andolan (GSA),Zahidul Alam,301
Chattogram 4,Bangladesh Nezam-e-Islam Party,Md. Zakaria Khaled,193
Chattogram 4,Gono Odhikar Parishad (GOP),A. T. M. Parvez,166
Chattogram 5,Bangladesh Nationalist Party (BNP),Mir Mohammad Helal Uddin,147054
Chattogram 5,Bangladesh Khelafat Majlish (BKM),Md. Nasir Uddin,46589
Chattogram 5,Islamic Front Bangladesh (IFB),Muhammad Rafiqul Islam,15420
Chattogram 5,Islami Andolan Bangladesh (IAB),Mati Ullah Nuri,2422
Chattogram 5,Jatiya Party (JaPa),Mohammad Imam Uddin Riyad,1129
Chattogram 5,Bangladesh Labour Party,Md. Alauddin,396
Chattogram 6,Bangladesh Nationalist Party (BNP),Giasuddin Qader Chowdhury,112237
Chattogram 6,Bangladesh Islami Front,Mohammad Ilias Nuri,27146
Chattogram 6,Bangladesh Jamaat-e-Islami (Jamaat),Md. Shahjahan Manju,22118
Chattogram 6,Ganosanhati Andolan (GSA),Nasir Uddin Talukdar,829
Chattogram 7,Bangladesh Nationalist Party (BNP),Humam Qader Chowdhury,101445
Chattogram 7,Bangladesh Jamaat-e-Islami (Jamaat),A. T. M. Rezaul Karim,41719
Chattogram 7,Bangladesh Islami Front,Muhammad Iqbal Hasan,30239
Chattogram 7,Islami Andolan Bangladesh (IAB),Abdullah Al Harun,1307
Chattogram 7,Communist Party of Bangladesh (CPB),Promod Baran Barua,441
Chattogram 7,Jatiya Party (JaPa),Md. Mehdi Rased,411
Chattogram 7,Amar Bangladesh Party (AB),Md. Abdur Rahman,158
Chattogram 7,Gono Odhikar Parishad (GOP),Md. Belal Uddin,129
Chattogram 8,Bangladesh Nationalist Party (BNP),Ershad Ullah,152969
Chattogram 8,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abu Naser,53564
Chattogram 8,Bangladesh Islami Front,Syed Muhammad Hasan,42585
Chattogram 8,National Citizen Party (NCP),Md. Jobairul Hasan Arif,3349
Chattogram 8,Islami Andolan Bangladesh (IAB),Mohammad Nurul Alam,1208
Chattogram 8,Jatiya Party (JaPa),Mohammad Emdadul Haque,884
Chattogram 9,Bangladesh Nationalist Party (BNP),Mohammad Abu Sufian,109388
Chattogram 9,Bangladesh Jamaat-e-Islami (Jamaat),Dr. A. K. M. Fazlul Haque,53807
Chattogram 9,Islamic Front Bangladesh (IFB),Muhammad Wahed Murad,4204
Chattogram 9,Ganosanhati Andolan (GSA),Syed Mohammad Hasan Maruf,1040
Chattogram 9,Islami Andolan Bangladesh (IAB),Abdus Shukkur,941
Chattogram 9,Janata Party,Md. Haidar Ali Chowdhury,561
Chattogram 9,Bangladesh Socialist Party (Marxist),Md. Shafi Uddin Kabir,494
Chattogram 9,Jatiya Samajtantrik Dal (JSD),Abdul Momen Chowdhury,128
Chattogram 9,Jatiya Party (JaPa),Mohammad Naim Uddin,112
Chattogram 9,Nagorik Oikya (NO),Md. Nurul Absar Majumdar,107
Chattogram 10,Bangladesh Nationalist Party (BNP),Saeed Al Noman,122978
Chattogram 10,Bangladesh Jamaat-e-Islami (Jamaat),Muhammad Shamsuzzaman Helali,76919
Chattogram 10,Islami Andolan Bangladesh (IAB),Muhammad Jannatul Islam,3880
Chattogram 10,Islamic Front Bangladesh (IFB),Md. Liaqat Ali,2441
Chattogram 10,Jatiya Party (JaPa),Mohammad Emdad Hossain Chowdhury,1079
Chattogram 10,Insaniyat Biplob Bangladesh,Sabina Khatun,960
Chattogram 10,Jatiya Party (JaPa),Mohammad Arman Ali,357
Chattogram 10,Bangladesh Socialist Party (Marxist),Asma Akter,305
Chattogram 10,Bangladesh Labour Party,Md. Osman Gani,161
Chattogram 11,Bangladesh Nationalist Party (BNP),Amir Khasru Mahmud Chowdhury,115999
Chattogram 11,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Shafiul Alam,76681
Chattogram 11,Islamic Front Bangladesh (IFB),Muhammad Abu Taher,5127
Chattogram 11,Islami Andolan Bangladesh (IAB),Md. Nur Uddin,2557
Chattogram 11,Jatiya Party (JaPa),Abu Taher,1004
Chattogram 11,Gono Forum (GF),Ujjal Bhowmik,307
Chattogram 11,Bangladesh Socialist Party (Marxist),Deepa Majumdar,231
Chattogram 11,Insaniyat Biplob Bangladesh,Md. Aziz Mia,210
Chattogram 11,Independent Candidate (Independent),Mohammad Jahangir Bhuiyan,178
Chattogram 11,Bangladesh Socialist Party (BASAD),Md. Nizamul Haque Al Qaderi,120
Chattogram 11,Gono Odhikar Parishad (GOP),Muhammad Nezam Uddin,104
Chattogram 12,Bangladesh Nationalist Party (BNP),Mohammad Enamul Haque,135044
Chattogram 12,Bangladesh Islami Front,Syed Air Mohammad Peyaru,28999
Chattogram 12,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Faridul Alam,21706
Chattogram 12,Insaniyat Biplob Bangladesh,Mohammad Abu Taleb Helali,929
Chattogram 12,Islami Andolan Bangladesh (IAB),S. M. Belal Nur,901
Chattogram 12,Jatiya Party (JaPa),Farid Ahmed Chowdhury,732
Chattogram 12,Independent Candidate (Independent),Muhammad Shakhawat Hossain,243
Chattogram 12,Liberal Democratic Party (LDP),M. Yakub Ali,118
Chattogram 13,Bangladesh Nationalist Party (BNP),Sarwar Jamal Nizam,126192
Chattogram 13,Bangladesh Islami Front,S. M. Shahjahan,51450
Chattogram 13,Bangladesh Jamaat-e-Islami (Jamaat),Mahmudul Hasan,35030
Chattogram 13,Jatiya Party (JaPa),Abdur Rab Chowdhury,440
Chattogram 13,Nationalist Democratic Movement (NDM),Mohammad Emran,204
Chattogram 13,Insaniyat Biplob Bangladesh,Md. Rezaul Mostafa,191
Chattogram 13,Gono Odhikar Parishad (GOP),Md. Mujibur Rahman Chowdhury,168
Chattogram 14,Bangladesh Nationalist Party (BNP),Alhaj Jasim Uddin Ahmed,76493
Chattogram 14,Liberal Democratic Party (LDP),Omar Faruk,75467
Chattogram 14,Bangladesh Islami Front,Mawlana Md. Solaiman,22992
Chattogram 14,Independent Candidate (Independent),Mohammad Mizanul Haque Chowdhury,3630
Chattogram 14,Islami Andolan Bangladesh (IAB),Mohammad Abdul Hamid,1539
Chattogram 14,Jatiya Party (JaPa),Shafiqul Islam Rahi,1165
Chattogram 14,Jatiya Party (JaPa),Mohammad Badsha Mia,293
Chattogram 14,Insaniyat Biplob Bangladesh,H. M. Iliyas,149
Chattogram 15,Bangladesh Jamaat-e-Islami (Jamaat),Shahjahan Chowdhury,181238
Chattogram 15,Bangladesh Nationalist Party (BNP),Nazmul Mostafa Amin,130661
Chattogram 15,Islami Andolan Bangladesh (IAB),Shariful Alam Chowdhury,2909
Chattogram 16,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Jahirul Islam,93167
Chattogram 16,Bangladesh Nationalist Party (BNP),Mishkatul Islam Chowdhury,83105
Chattogram 16,Islami Andolan Bangladesh (IAB),Mohammad Liaqat Ali,55492
Chattogram 16,Islami Andolan Bangladesh (IAB),Hafez Ruhullah,4054
Chattogram 16,Islamic Front Bangladesh (IFB),Abdul Malek,844
Chattogram 16,Gono Odhikar Parishad (GOP),Md. Ariful Haque,243
Chattogram 16,Bangladesh Muslim League (BML),Ehsanul Haque,105
Cox's Bazar 1,Bangladesh Nationalist Party (BNP),Salahuddin Ahmed,222019
Cox's Bazar 1,Bangladesh Jamaat-e-Islami (Jamaat),Abdullah Al Faruq,129728
Cox's Bazar 1,Islami Andolan Bangladesh (IAB),Md. Sarwar Alam Kutubi,4528
Cox's Bazar 2,Bangladesh Nationalist Party (BNP),Alamgir Muhammad Mahfuz Ullah Farid,125543
Cox's Bazar 2,Bangladesh Jamaat-e-Islami (Jamaat),A. H. M. Hamidur Rahman Azad,91889
Cox's Bazar 2,Islami Andolan Bangladesh (IAB),Ziaul Haque,8799
Cox's Bazar 2,Jatiya Party (JaPa),Md. Mahmudul Karim,757
Cox's Bazar 2,Gono Odhikar Parishad (GOP),S. M. Rokonuzzaman Khan,197
Cox's Bazar 3,Bangladesh Nationalist Party (BNP),Lutfur Rahman,182096
Cox's Bazar 3,Bangladesh Jamaat-e-Islami (Jamaat),Shahidul Alam (Bahadur),161827
Cox's Bazar 3,Islami Andolan Bangladesh (IAB),Amirul Islam,5149
Cox's Bazar 3,Independent Candidate (Independent),Md. Ilias Mia,947
Cox's Bazar 3,Bangladesh Labour Party,Jagadish Barua,602
Cox's Bazar 3,Am Janata Party,Nurul Absar,367
Cox's Bazar 4,Bangladesh Nationalist Party (BNP),Shahjahan Chowdhury,123582
Cox's Bazar 4,Bangladesh Jamaat-e-Islami (Jamaat),Nur Ahmed Anwari,122033
Cox's Bazar 4,Islami Andolan Bangladesh (IAB),Nurul Haque,4338
Cox's Bazar 4,Nationalist Democratic Movement (NDM),Saifuddin Khaled,379
Khagrachhari 1,Bangladesh Nationalist Party (BNP),Abdul Wadud Bhuiyan,151040
Khagrachhari 1,Independent Candidate (Independent),Dharma Jyoti Chakma,68315
Khagrachhari 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Yakub Ali,58545
Khagrachhari 1,Independent Candidate (Independent),Samiran Dewan,47910
Khagrachhari 1,Islami Andolan Bangladesh (IAB),Md. Kawsar,3089
Khagrachhari 1,Bangladesh Minority People’s Party (BMJP),Ushyepru Marma,1030
Khagrachhari 1,Jatiya Party (JaPa),Mithila Roaza,1024
Khagrachhari 1,Independent Candidate (Independent),Jiruna Tripura,904
Khagrachhari 1,Gono Odhikar Parishad (GOP),Dinmoy Roaza,755
Khagrachhari 1,Insaniyat Biplob Bangladesh,Md. Nur Islam,683
Khagrachhari 1,Bangladesh Muslim League (BML),Md. Mostafa,184
Rangamati 1,Bangladesh Nationalist Party (BNP),Dipen Dewan,201544
Rangamati 1,Independent Candidate (Independent),Pahel Chakma,31222
Rangamati 1,Bangladesh Khelafat Majlish (BKM),Muhammad Abu Bakar Siddique,22715
Rangamati 1,Islami Andolan Bangladesh (IAB),Md. Jasim Uddin,3672
Rangamati 1,Jatiya Party (JaPa),Ashok Talukder,2974
Rangamati 1,Revolutionary Workers Party of Bangladesh (RWPB),Jui Chakma,1071
Rangamati 1,Gono Odhikar Parishad (GOP),Md. Abul Bashar (Badsha),449
Bandarban 1,Bangladesh Nationalist Party (BNP),Saching Pru,141455
Bandarban 1,National Citizen Party (NCP),Abu Sayeed Md. Suja Uddin,26162
Bandarban 1,Islami Andolan Bangladesh (IAB),Md. Abul Kalam Azad,4718
Bandarban 1,Jatiya Party (JaPa),Abu Zafar Mohammad Waliullah,2435
Tangail 1,Bangladesh Nationalist Party (BNP),Fakir Mahbub Anam,153932
Tangail 1,Bangladesh Jamaat-e-Islami (Jamaat),Muhammad Abdullahel Kafi,94462
Tangail 1,Independent Candidate (Independent),Md. Asadul Islam,28259
Tangail 1,Jatiya Party (JaPa),Muhammad Ilias Hossain,2194
Tangail 1,Islami Andolan Bangladesh (IAB),Md. Harun Or Rashid,1731
Tangail 1,Independent Candidate (Independent),Mohammad Ali,723
Tangail 2,Bangladesh Nationalist Party (BNP),Md. Abdus Salam Pintu,198213
Tangail 2,Bangladesh Jamaat-e-Islami (Jamaat),Md. Humayun Kabir,60871
Tangail 2,Islami Andolan Bangladesh (IAB),Md. Monowar Hossain Sagar,4777
Tangail 2,Jatiya Party (JaPa),Md. Humayun Kabir Talukdar,1854
Tangail 3,Independent Candidate (Independent),Md. Lutfar Rahman Khan Azad,107901
Tangail 3,Bangladesh Nationalist Party (BNP),S. M. Obaidul Haque,82769
Tangail 3,National Citizen Party (NCP),Saifullah Haider,34588
Tangail 3,Islami Andolan Bangladesh (IAB),Md. Rezaul Karim,4075
Tangail 3,Independent Candidate (Independent),Ainin Nahar,1087
Tangail 4,Bangladesh Nationalist Party (BNP),Md. Lutfar Rahman,105342
Tangail 4,Bangladesh Jamaat-e-Islami (Jamaat),Abdul Latif Siddiqui,62509
Tangail 4,Bangladesh Jamaat-e-Islami (Jamaat),Khandaker Abdur Razzak,50192
Tangail 4,Independent Candidate (Independent),Md. Abdul Halim Mia,4152
Tangail 4,Islami Andolan Bangladesh (IAB),Ali Amjad Hossain,1822
Tangail 4,Jatiya Party (JaPa),Md. Liaqat Ali,758
Tangail 5,Bangladesh Nationalist Party (BNP),Sultan Salauddin Tuku,131279
Tangail 5,Bangladesh Jamaat-e-Islami (Jamaat),Ahsan Habib,80283
Tangail 5,Jatiya Party (JaPa),Md. Farhad Iqbal,69408
Tangail 5,Islami Andolan Bangladesh (IAB),Khandaker Zakir Hossain,2600
Tangail 5,Jatiya Party (JaPa),Md. Mozammel Haque,1636
Tangail 5,Bangladesh Supreme Party (BSP),Md. Hasrat Khan Bhasani,1189
Tangail 5,Jatiya Samajtantrik Dal (JSD),Syed Khalekuzzaman Mostafa,1092
Tangail 5,Gono Odhikar Parishad (GOP),Md. Shafiqul Islam,263
Tangail 5,Ganosanhati Andolan (GSA),Fatema Akter,221
Tangail 5,Bangladesh Congress,A. K. M. Shafiqul Islam,109
Tangail 6,Bangladesh Nationalist Party (BNP),Md. Rabiul Awal,150952
Tangail 6,Bangladesh Jamaat-e-Islami (Jamaat),A. K. M. Abdul Hamid,91914
Tangail 6,Independent Candidate (Independent),Md. Jewel Sarkar,15161
Tangail 6,Islami Andolan Bangladesh (IAB),Md. Akhinur Mia,12068
Tangail 6,Islami Andolan Bangladesh (IAB),Md. Akhinur Mia,12068
Tangail 6,Jatiya Party (JaPa),Tarek Shams Khan,3489
Tangail 6,Independent Candidate (Independent),Muhammad Ashraful Islam,2996
Tangail 6,Jatiya Party (JaPa),Mohammad Mamunur Rahim,1166
Tangail 7,Bangladesh Nationalist Party (BNP),Abul Kalam Azad Siddiqui,141253
Tangail 7,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Abdullah Ebne Abul Hossain,71040
Tangail 7,Bangladesh Republican Party (BRP),Md. Tofazzal Hossain,1492
Tangail 8,Bangladesh Nationalist Party (BNP),Ahmed Azam Khan,114217
Tangail 8,Jatiya Party (JaPa),Salauddin Alamgir,77130
Tangail 8,Bangladesh Jamaat-e-Islami (Jamaat),Md. Shafiqul Islam Khan,55709
Tangail 8,Jatiya Party (JaPa),Md. Nazmul Hasan,565
Tangail 8,Revolutionary Workers Party of Bangladesh (RWPB),Awal Mahmud,510
Tangail 8,Am Janata Party,Md. Alamgir Hossain,330
Kishoreganj 1,Bangladesh Nationalist Party (BNP),Mazharul Islam,124035
Kishoreganj 1,Bangladesh Khelafat Majlish (BKM),Hedayatullah Hadi,101132
Kishoreganj 1,Independent Candidate (Independent),Md. Rezaul Karim Khan,37334
Kishoreganj 1,Bangladesh Socialist Party (Marxist),Alal Mia,960
Kishoreganj 1,Communist Party of Bangladesh (CPB),Md. Enamul Haque,925
Kishoreganj 1,Khelafat Majlis,Ahmed Ali,684
Kishoreganj 1,National People's Party (NPP),Tarek Mohammad Shahidul Islam,247
Kishoreganj 1,Bangladesh Socialist Party (BASAD),Md. Masud Mia,234
Kishoreganj 2,Bangladesh Nationalist Party (BNP),Advocate Md. Jalal Uddin,143669
Kishoreganj 2,Bangladesh Jamaat-e-Islami (Jamaat),Md. Shafiqul Islam,120975
Kishoreganj 2,Islami Andolan Bangladesh (IAB),Md. Abul Basar Rezwan,3566
Kishoreganj 2,Jatiya Party (JaPa),Md. Afzal Hossain Bhuiyan,2113
Kishoreganj 2,Independent Candidate (Independent),Nur Uddin Ahmed,1313
Kishoreganj 2,Gono Odhikar Parishad (GOP),Md. Shafiqul Islam,395
Kishoreganj 2,Independent Candidate (Independent),Md. Anisuzzaman Khokon,363
Kishoreganj 2,Bangladesh Nationalist Front (BNF),Md. Billal Hossain,222
Kishoreganj 3,Bangladesh Nationalist Party (BNP),Dr. Muhammad Osman Faruq,112466
Kishoreganj 3,Bangladesh Jamaat-e-Islami (Jamaat),Jihad Khan,102476
Kishoreganj 3,Islami Andolan Bangladesh (IAB),Md. Alamgir Hossain,10777
Kishoreganj 3,Independent Candidate (Independent),A. K. M. Alamgir,1487
Kishoreganj 3,Jatiya Party (JaPa),Md. Abu Bakar Siddique,1249
Kishoreganj 3,Ganatantri Party (GP),Dilowar Hossain Bhuiyan,191
Kishoreganj 3,National People's Party (NPP),Mohammad Aminul Islam,118
Kishoreganj 4,Bangladesh Nationalist Party (BNP),Md. Fazlur Rahman,132553
Kishoreganj 4,Bangladesh Jamaat-e-Islami (Jamaat),Md. Rokon Reza Sheikh,55646
Kishoreganj 4,Independent Candidate (Independent),Kazi Reha Kabir,2972
Kishoreganj 4,Independent Candidate (Independent),Md. Shaheen Reza Chowdhury,2537
Kishoreganj 4,Islami Andolan Bangladesh (IAB),Billal Ahmed Majumdar,2487
Kishoreganj 4,Bangladesh Khelafat Majlish (BKM),Khairul Islam Thakur,879
Kishoreganj 4,Jatiya Party (JaPa),Nurul Islam,516
Kishoreganj 4,National People's Party (NPP),Md. Zainal Abedin,105
Kishoreganj 5,Independent Candidate (Independent),Sheikh Mojibur Rahman Iqbal,79604
Kishoreganj 5,Bangladesh Nationalist Party (BNP),Syed Ehsanul Huda,66450
Kishoreganj 5,Bangladesh Jamaat-e-Islami (Jamaat),Md. Ramzan Ali,54400
Kishoreganj 5,Islami Andolan Bangladesh (IAB),Mohammad Delawar Hossain,2688
Kishoreganj 5,Independent Candidate (Independent),A. H. M. Qayyum (Hasnat Qayyum),1897
Kishoreganj 5,Bangladesh Islami Front,Md. Oli Ullah,1313
Kishoreganj 5,Jatiya Party (JaPa),Md. Mahbubul Alam,295
Kishoreganj 5,Bangladesh Muslim League (BML),Md. Sazzad Hossain,135
Kishoreganj 6,Bangladesh Nationalist Party (BNP),Md. Shariful Alam,187159
Kishoreganj 6,Bangladesh Khelafat Majlish (BKM),Ataullah Amin,44095
Kishoreganj 6,Islami Andolan Bangladesh (IAB),Mohammad Musa Khan,2411
Kishoreganj 6,Bangladesh Islami Front,Md. Rubel Hossain,2172
Kishoreganj 6,Jatiya Party (JaPa),Mohammad Ayub Hossain,806
Kishoreganj 6,Insaniyat Biplob Bangladesh,Naimul Hasan,630
Kishoreganj 6,Communist Party of Bangladesh (CPB),Dr. Mohammad Habil Mia,312
Kishoreganj 6,Gono Forum (GF),Shafi Uddin Ahmad,220
Kishoreganj 6,National People's Party (NPP),Md. Nazrul Islam,185
Manikganj 1,Bangladesh Nationalist Party (BNP),S. A. Jinnah Kabir,137773
Manikganj 1,Independent Candidate (Independent),Md. Tozammel Haque,77818
Manikganj 1,Bangladesh Jamaat-e-Islami (Jamaat),Abu Bakar Siddique,71310
Manikganj 1,Independent Candidate (Independent),Md. Abdul Ali Bepari,6966
Manikganj 1,Islami Andolan Bangladesh (IAB),Md. Khorshed Alam,3247
Manikganj 1,Gono Odhikar Parishad (GOP),Mohammad Ilias Hossain,1066
Manikganj 1,Janata Party,Mohammad Shahjahan Khan,283
Manikganj 2,Bangladesh Nationalist Party (BNP),Mainul Islam Khan,175776
Manikganj 2,Khelafat Majlis,Md. Salah Uddin,81531
Manikganj 2,Jatiya Party (JaPa),S. M. Abdul Mannan,7081
Manikganj 2,Islami Andolan Bangladesh (IAB),Mohammad Ali,3847
Manikganj 3,Bangladesh Nationalist Party (BNP),Afroza Khanam,167345
Manikganj 3,Bangladesh Khelafat Majlish (BKM),Muhammad Saeed Noor,64242
Manikganj 3,Independent Candidate (Independent),Md. Ataur Rahman Ata,20551
Manikganj 3,Independent Candidate (Independent),Rafiqul Islam Khan,3610
Manikganj 3,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Md. Shahjahan Ali,3510
Manikganj 3,Islami Andolan Bangladesh (IAB),Samsuddin,2787
Manikganj 3,Jatiya Party (JaPa),Abul Bashar Badsha,1966
Manikganj 3,Jatiya Party (JaPa),Moyazzem Hossain Khan Majlish,1337
Manikganj 3,Independent Candidate (Independent),Mofijul Islam Khan Kamal,684
Munshiganj 1,Bangladesh Nationalist Party (BNP),Md. Abdullah,167562
Munshiganj 1,Bangladesh Jamaat-e-Islami (Jamaat),A. K. M. Fakhruddin Razi,101568
Munshiganj 1,Independent Candidate (Independent),Mohammad Momin Ali,30678
Munshiganj 1,Islami Andolan Bangladesh (IAB),Md. Atiqur Rahman Khan,9039
Munshiganj 1,Communist Party of Bangladesh (CPB),Abdur Rahman,443
Munshiganj 1,Insaniyat Biplob Bangladesh,Rokeya Akter,320
