seat_name,party_ds,party_tbs,candidate_ds,tbs_votes,ds_votes,diff,issue
Kurigram 4,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mostafizur Rahman,106347,108210,1863,Vote count mismatch
Kushtia 3,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Md. Amir Hamza,182476,180690,-1786,Vote count mismatch
Kushtia 3,BNP,Bangladesh Nationalist Party (BNP),Md. Zakir Hossain Sarker,127559,126909,-650,Vote count mismatch
Lalmonirhat 2,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Md. Firoz Haider,107886,117252,9366,Vote count mismatch
Lalmonirhat 2,BNP,Bangladesh Nationalist Party (BNP),Md. Rokon Uddin Babul,118359,123946,5587,Vote count mismatch
Madaripur 2,Independent,Independent Candidate (Independent),Milton Baidya,2779,46476,43697,Vote count mismatch
Manikganj 1,Independent,Independent Candidate (Independent),Md. Tozammel Haque,6966,77818,70852,Vote count mismatch
Manikganj 2,Khilafat Majlis,Khelafat Majlis,Md. Salauddin,-,81531,-,Party not found in TBS (mapping needed?)
Moulvibazar 4,BNP,Bangladesh Nationalist Party (BNP),Md. Mujibur Rahman Chowdhury,170877,169608,-1269,Vote count mismatch
Moulvibazar 4,Bangladesh Khilafat Majlis,Bangladesh Khelafat Majlish (BKM),Sheikh Noor-e-Alam Hamidi,50204,49189,-1015,Vote count mismatch
Mymensingh 4,BNP,Bangladesh Nationalist Party (BNP),Md. Abu Wahab Akand Wahid,179688,179668,-20,Vote count mismatch
Mymensingh 5,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Md. Matiur Rahman Akand,102228,102226,-2,Vote count mismatch
Mymensingh 5,BNP,Bangladesh Nationalist Party (BNP),Mohammad Zakir Hossain,128898,128896,-2,Vote count mismatch
Mymensingh 6,Independent,Independent Candidate (Independent),Akhtar Sultana,51970,53331,1361,Vote count mismatch
Naogaon 4,BNP,Bangladesh Nationalist Party (BNP),Ekramul Bari Tipu,133928,133924,-4,Vote count mismatch
Naogaon 5,BNP,Bangladesh Nationalist Party (BNP),Md. Zahidul Islam Dhulu,129385,129358,-27,Vote count mismatch
Natore 1,Independent,Independent Candidate (Independent),Md. Taiful Islam Tipu,80,73173,73093,Vote count mismatch
Natore 3,Independent,Independent Candidate (Independent),Md. Daudar Mahmud,372,66492,66120,Vote count mismatch
Nilphamari 1,Jamiat Ulama-e-Islam Bangladesh,Jamiat Ulema-e-Islam Bangladesh (JUIB),Maolana Md. Monjurul Islam,119059,118160,-899,Vote count mismatch
Nilphamari 1,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdus Sattar,150824,149224,-1600,Vote count mismatch
Nilphamari 2,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Al Faruq Abdul Latif,146430,145202,-1228,Vote count mismatch
Nilphamari 2,BNP,Bangladesh Nationalist Party (BNP),Shahrin Islam,135418,134579,-839,Vote count mismatch
Nilphamari 3,BNP,Bangladesh Nationalist Party (BNP),Alhaj Syed Ali,89807,89102,-705,Vote count mismatch
Nilphamari 3,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Obaidullah Salafi,109686,108560,-1126,Vote count mismatch
Nilphamari 4,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Abdul Muntakim,126222,124865,-1357,Vote count mismatch
Nilphamari 4,BNP,Bangladesh Nationalist Party (BNP),Md. Abdul Gafur Sarker,82086,81526,-560,Vote count mismatch
Pabna 3,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Muhammad Ali Asghar,147475,147465,-10,Vote count mismatch
Patuakhali 1,Amar Bangladesh Party (AB Party),Amar Bangladesh Party (AB),Mohammad Abdul Wahab,46010,46310,300,Vote count mismatch
Patuakhali 4,Bangladesh Khilafat Majlis,Bangladesh Khelafat Majlish (BKM),Dr. Zahir Uddin Ahmed,-,14985,-,Party not found in TBS (mapping needed?)
Rajshahi 2,BNP,Bangladesh Nationalist Party (BNP),Md. Mizanur Rahman,128546,188546,60000,Vote count mismatch
Rajshahi 6,BNP,Bangladesh Nationalist Party (BNP),Md. Abu Sayed Chad,148672,147672,-1000,Vote count mismatch
Rangpur 2,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),ATM Azharul Islam,89456,43076,-46380,Vote count mismatch
Rangpur 2,BNP,Bangladesh Nationalist Party (BNP),Mohammad Ali Sarkar,53626,22100,-31526,Vote count mismatch
Rangpur 4,National Citizens Party - NCP,National Citizen Party (NCP),Akhtar Hossain,149966,147947,-2019,Vote count mismatch
Rangpur 4,BNP,Bangladesh Nationalist Party (BNP),Mohammad Emdadul Haque Bhorsa,140564,139616,-948,Vote count mismatch
Rangpur 5,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Md. Golam Rabbani,176411,175208,-1203,Vote count mismatch
Rangpur 5,BNP,Bangladesh Nationalist Party (BNP),Md. Golam Rabbani,115116,114141,-975,Vote count mismatch
Rangpur 6,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Md. Nurul Amin,120128,118890,-1238,Vote count mismatch
Rangpur 6,BNP,Bangladesh Nationalist Party (BNP),Md. Saiful Islam,117703,116919,-784,Vote count mismatch
Satkhira 1,Jatiya Party,Jatiya Party (JaPa),Md. Habibul Islam Habib,2544,169995,167451,Vote count mismatch
Satkhira 4,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),G. M. Nazrul Islam,106913,105805,-1108,Vote count mismatch
Satkhira 4,BNP,Bangladesh Nationalist Party (BNP),Md. Moniruzzaman,85426,84868,-558,Vote count mismatch
Sherpur 1,Independent,Independent Candidate (Independent),Md. Ilias Uddin,-,205,-,Party not found in TBS (mapping needed?)
Sherpur 1,National Citizens Party - NCP,National Citizen Party (NCP),Md. Likhon Mia,-,456,-,Party not found in TBS (mapping needed?)
Sherpur 1,Jatiya Party,Jatiya Party (JaPa),Md. Mahmudul Haque Moni,-,751,-,Party not found in TBS (mapping needed?)
Sherpur 1,Independent,Independent Candidate (Independent),Md. Shafiqul Islam Masud,-,62415,-,Party not found in TBS (mapping needed?)
Sirajganj 1,BNP,Bangladesh Nationalist Party (BNP),Md. Selim Reza,115132,116613,1481,Vote count mismatch
Sirajganj 1,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Md. Shahinur Alam,106732,108815,2083,Vote count mismatch
Sirajganj 4,Islamic Andolon Bangladesh,Islami Andolan Bangladesh (IAB),Abdur Rahman,-,2216,-,Party not found in TBS (mapping needed?)
Sirajganj 4,Communist Party of Bangladesh,Communist Party of Bangladesh (CPB),Md. Abdul Hakim,-,695,-,Party not found in TBS (mapping needed?)
Sirajganj 4,Jatiya Party,Jatiya Party (JaPa),Md. Hilton Pramanik,-,1213,-,Party not found in TBS (mapping needed?)
Sylhet 1,BNP,Bangladesh Nationalist Party (BNP),Khandaker Abdul Muktadir,176936,173932,-3004,Vote count mismatch
Sylhet 2,BNP,Bangladesh Nationalist Party (BNP),Ms. Tahsina Rushdeer,116697,117956,1259,Vote count mismatch
Sylhet 2,Khilafat Majlis,Khelafat Majlis,Muhammad Muntasir Ali,37446,38635,1189,Vote count mismatch
Sylhet 3,BNP,Bangladesh Nationalist Party (BNP),Mohammad Abdul Malik,114255,115450,1195,Vote count mismatch
Sylhet 4,BNP,Bangladesh Nationalist Party (BNP),Ariful Haque Chowdhury,181609,186846,5237,Vote count mismatch
Sylhet 4,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Md. Joynal Abedin,65776,71391,5615,Vote count mismatch
Sylhet 6,BNP,Bangladesh Nationalist Party (BNP),Emran Ahmed Chowdhury,108612,109917,1305,Vote count mismatch
Sylhet 6,Bangladesh Jamaat-e-Islami,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Selim Uddin,97748,101569,3821,Vote count mismatch
Tangail 4,Independent,Independent Candidate (Independent),Abdul Latif Siddique,4152,62509,58357,Vote count mismatch
