seat_name,total_voters,total_votes,top_three_candidates,top_three,bnp_votes,bnp_ratio,jamaat_votes,jamaat_ratio,democracy_platform_votes,democracy_platform_ratio,eleven_party_alliance_votes,eleven_party_alliance_ratio,bnp_alliance_votes,bnp_alliance_ratio,bnp_vs_eleven_party_alliance_votes,bnp_vs_eleven_party_alliance_ratio,Am Janata Party,Amar Bangladesh Party (AB),Bangladesh Congress,Bangladesh Cultural Liberation Front (Muktijot),Bangladesh Development Party,Bangladesh Islami Front,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jatiya Party (BJP),Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Bangladesh Kallyan Party (BKP),Bangladesh Khelafat Andolon (BKA),Bangladesh Khelafat Majlish (BKM),Bangladesh Labour Party,Bangladesh Minority People’s Party (BMJP),Bangladesh Muslim League (BML),Bangladesh National Awami Party (Bangladesh NAP),Bangladesh Nationalist Front (BNF),Bangladesh Nationalist Party (BNP),Bangladesh Nezam-e-Islam Party,Bangladesh Republican Party (BRP),Bangladesh Samo Odhikar Party (BEP),Bangladesh Socialist Party (BASAD),Bangladesh Socialist Party (Marxist),Bangladesh Supreme Party (BSP),Communist Party of Bangladesh (CPB),Ganatantri Party (GP),Ganosanhati Andolan (GSA),Gono Forum (GF),Gono Front,Gono Odhikar Parishad (GOP),Independent Candidate (Independent),Insaniyat Biplob Bangladesh,Islami Andolan Bangladesh (IAB),Islamic Front Bangladesh (IFB),JAGPA,Jamiat Ulema-e-Islam Bangladesh,Janata Party,Jatiya Party (JaPa),Jatiya Samajtantrik Dal (JSD),Khelafat Majlis,Liberal Democratic Party (LDP),Nagorik Oikya (NO),National Citizen Party (NCP),National People's Party (NPP),Nationalist Democratic Movement (NDM),Revolutionary Workers Party of Bangladesh (RWPB),Zaker Party (ZP)
Barishal 1,328198,199585,"Zahir Uddin Swapan (Bangladesh Nationalist Party (BNP)) 50.4%, Md. Kamrul Islam Khan (Bangladesh Jamaat-e-Islami (Jamaat)) 23.2%, Abdus Sobhan (Independent Candidate (Independent)) 22.1%","Bangladesh Nationalist Party (BNP) (50.4%), Bangladesh Jamaat-e-Islami (Jamaat) (23.2%), Independent Candidate (Independent) (22.1%)",100552,0.503805,46263,0.231796,-,-,46263,0.231796,100552,0.503805,-,-,-,-,-,-,-,-,46263,-,-,-,-,-,-,-,-,-,-,100552,-,-,-,-,-,-,-,-,-,-,-,-,44188,-,6846,-,-,-,-,1736,-,-,-,-,-,-,-,-,-
Barishal 2,385807,226273,"Sardar Sarfuddin Ahmed (Bangladesh Nationalist Party (BNP)) 62.6%, Abdul Mannan (Bangladesh Jamaat-e-Islami (Jamaat)) 32.7%, Mohammad Nesar Uddin (Islami Andolan Bangladesh (IAB)) 2.7%","Bangladesh Nationalist Party (BNP) (62.6%), Bangladesh Jamaat-e-Islami (Jamaat) (32.7%), Islami Andolan Bangladesh (IAB) (2.7%)",141622,0.62589,74082,0.327401,135,0.000597,74082,0.327401,142322,0.628984,-,-,-,-,-,-,-,-,74082,-,135,-,-,-,-,-,-,-,-,141622,-,-,-,-,-,-,-,-,-,-,-,700,-,-,6021,-,-,-,-,3528,-,-,-,-,-,185,-,-,-
Barishal 3,332097,173705,"Zainul Abedin (Bangladesh Nationalist Party (BNP)) 46.6%, Mohammad Asaduzzaman Bhuiyan (Amar Bangladesh Party (AB)) 35.2%, Muhammad Sirajul Islam (Islami Andolan Bangladesh (IAB)) 9.4%","Bangladesh Nationalist Party (BNP) (46.6%), Amar Bangladesh Party (AB) (35.2%), Islami Andolan Bangladesh (IAB) (9.4%)",80930,0.465905,-,-,-,-,61192,0.352275,81790,0.470856,-,-,-,61192,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80930,-,-,-,214,-,-,-,-,-,-,-,860,-,-,16325,-,-,-,-,14184,-,-,-,-,-,-,-,-,-
Barishal 4,421975,240506,"Md. Rajib Ahsan (Bangladesh Nationalist Party (BNP)) 53.4%, Mohammad Abdul Jabbar (Bangladesh Jamaat-e-Islami (Jamaat)) 31.1%, Syed Eshaq Md. Abul Khayer (Islami Andolan Bangladesh (IAB)) 15.3%","Bangladesh Nationalist Party (BNP) (53.4%), Bangladesh Jamaat-e-Islami (Jamaat) (31.1%), Islami Andolan Bangladesh (IAB) (15.3%)",128322,0.53355,74684,0.310529,334,0.001389,74684,0.310529,128322,0.53355,-,-,-,-,-,413,-,-,74684,-,334,-,-,-,-,-,-,-,-,128322,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36753,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Barishal 5,501304,254379,"Md. Mojibur Rahman Sarwar (Bangladesh Nationalist Party (BNP)) 53.1%, Mufti Syed Md. Fayzul Karim (Islami Andolan Bangladesh (IAB)) 37.4%, Monisha Chakraborty (Bangladesh Socialist Party (BASAD)) 8.8%","Bangladesh Nationalist Party (BNP) (53.1%), Islami Andolan Bangladesh (IAB) (37.4%), Bangladesh Socialist Party (BASAD) (8.8%)",135146,0.531278,-,-,-,-,-,-,135146,0.531278,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,135146,-,-,-,22486,300,-,-,-,-,-,-,-,-,-,95044,-,-,-,-,909,-,-,-,-,-,494,-,-,-
Barishal 6,315597,168100,"Abul Hossain Khan (Bangladesh Nationalist Party (BNP)) 48.9%, Md. Mahmudunnabi (Bangladesh Jamaat-e-Islami (Jamaat)) 33.3%, Mufti Syed Md. Fayzul Karim (Islami Andolan Bangladesh (IAB)) 17.3%","Bangladesh Nationalist Party (BNP) (48.9%), Bangladesh Jamaat-e-Islami (Jamaat) (33.3%), Islami Andolan Bangladesh (IAB) (17.3%)",82217,0.489096,55988,0.333064,-,-,55988,0.333064,82356,0.489923,-,-,-,-,-,-,-,-,55988,-,-,-,-,-,-,-,244,-,-,82217,-,-,-,-,-,-,-,-,-,-,-,139,366,-,29146,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jhalokathi 1,228431,129000,"Rafiqul Islam Jamal (Bangladesh Nationalist Party (BNP)) 48.1%, Foyzul Haque (Bangladesh Jamaat-e-Islami (Jamaat)) 42.7%, Ibrahim (Islami Andolan Bangladesh (IAB)) 6.0%","Bangladesh Nationalist Party (BNP) (48.1%), Bangladesh Jamaat-e-Islami (Jamaat) (42.7%), Islami Andolan Bangladesh (IAB) (6.0%)",62010,0.480698,55120,0.427287,110,0.000853,55120,0.427287,62142,0.481721,-,-,-,-,-,-,-,-,55120,-,-,-,-,-,-,-,-,-,-,62010,-,-,-,-,-,-,-,-,-,-,-,132,-,-,7744,-,-,-,63,3821,110,-,-,-,-,-,-,-,-
Jhalokathi 2,365397,212164,"Israt Sultana Elen Bhutto (Bangladesh Nationalist Party (BNP)) 53.5%, S. M. Niamul Karim (Bangladesh Jamaat-e-Islami (Jamaat)) 33.3%, Muhammad Sirajul Islam Siraji (Islami Andolan Bangladesh (IAB)) 11.6%","Bangladesh Nationalist Party (BNP) (53.5%), Bangladesh Jamaat-e-Islami (Jamaat) (33.3%), Islami Andolan Bangladesh (IAB) (11.6%)",113419,0.534582,70556,0.332554,105,0.000495,70556,0.332554,113631,0.535581,-,-,-,-,-,-,-,-,70556,-,-,-,-,-,-,-,-,-,-,113419,-,-,-,-,-,-,-,-,-,-,-,212,3202,-,24543,-,-,-,-,-,105,-,-,-,-,127,-,-,-
Pirojpur 1,392178,239764,"Masud Saeedi (Bangladesh Jamaat-e-Islami (Jamaat)) 55.3%, Alamgir Hossain (Bangladesh Nationalist Party (BNP)) 44.7%","Bangladesh Jamaat-e-Islami (Jamaat) (55.3%), Bangladesh Nationalist Party (BNP) (44.7%)",107105,0.44671,132659,0.55329,-,-,132659,0.55329,107105,0.44671,-,-,-,-,-,-,-,-,132659,-,-,-,-,-,-,-,-,-,-,107105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pirojpur 2,409288,230238,"Ahmed Sohel Manjur (Bangladesh Nationalist Party (BNP)) 45.7%, Shamim Saeedi (Bangladesh Jamaat-e-Islami (Jamaat)) 42.1%, Mahmud Hossain (Independent Candidate (Independent)) 7.0%","Bangladesh Nationalist Party (BNP) (45.7%), Bangladesh Jamaat-e-Islami (Jamaat) (42.1%), Independent Candidate (Independent) (7.0%)",105185,0.456853,96897,0.420856,-,-,97287,0.42255,105330,0.457483,-,-,-,390,-,-,-,-,96897,-,-,-,-,-,-,-,-,-,-,105185,-,-,-,-,-,-,-,-,-,-,-,145,16219,-,6697,-,-,-,-,4705,-,-,-,-,-,-,-,-,-
Pirojpur 3,241361,136987,"Md. Ruhul Amin Dulal (Bangladesh Nationalist Party (BNP)) 46.6%, Md. Shamim Hamidi (National Citizen Party (NCP)) 26.7%, Md. Rustam Ali Farazi (Islami Andolan Bangladesh (IAB)) 26.3%","Bangladesh Nationalist Party (BNP) (46.6%), National Citizen Party (NCP) (26.7%), Islami Andolan Bangladesh (IAB) (26.3%)",63791,0.465672,-,-,212,0.001548,36616,0.267295,63791,0.465672,-,-,-,-,-,-,-,-,-,-,212,-,-,-,-,-,-,-,-,63791,-,-,-,-,-,-,-,-,-,-,-,-,231,-,35968,-,-,-,-,169,-,-,-,-,36616,-,-,-,-
Brahmanbaria 1,275629,146825,"M. A. Hannan (Bangladesh Nationalist Party (BNP)) 46.4%, A. K. M. Kamruzzaman (Independent Candidate (Independent)) 36.1%, A. K. M. Aminul Islam (Bangladesh Jamaat-e-Islami (Jamaat)) 16.6%","Bangladesh Nationalist Party (BNP) (46.4%), Independent Candidate (Independent) (36.1%), Bangladesh Jamaat-e-Islami (Jamaat) (16.6%)",68092,0.463763,24430,0.166389,-,-,24430,0.166389,68092,0.463763,-,-,-,-,-,-,-,-,24430,-,-,-,-,-,-,-,-,-,-,68092,-,-,-,-,-,-,-,-,-,-,-,-,52992,139,907,-,-,-,-,265,-,-,-,-,-,-,-,-,-
Brahmanbaria 2,499448,237592,"Rumin Farhana (Independent Candidate (Independent)) 55.2%, Mohammad Junayed Al Habib (Jamiat Ulema-e-Islam Bangladesh) 33.9%, Ashraf Uddin (National Citizen Party (NCP)) 8.6%","Independent Candidate (Independent) (55.2%), Jamiat Ulema-e-Islam Bangladesh (33.9%), National Citizen Party (NCP) (8.6%)",-,-,-,-,-,-,20401,0.085866,-,-,-,-,181,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,131107,1419,3851,-,-,80434,-,199,0,-,-,-,20401,-,-,-,-
Brahmanbaria 3,624601,287362,"Md. Khaled Hossain Mahbub (Bangladesh Nationalist Party (BNP)) 73.0%, Ataullah (National Citizen Party (NCP)) 21.8%, Niazul Karim (Islami Andolan Bangladesh (IAB)) 2.2%","Bangladesh Nationalist Party (BNP) (73.0%), National Citizen Party (NCP) (21.8%), Islami Andolan Bangladesh (IAB) (2.2%)",209636,0.729519,-,-,-,-,62547,0.217659,209636,0.729519,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,209636,-,-,-,-,-,-,-,-,-,-,-,-,278,3345,6321,1344,-,-,-,3891,-,-,-,-,62547,-,-,-,-
Brahmanbaria 4,443909,237367,"Mushfiqur Rahman (Bangladesh Nationalist Party (BNP)) 58.9%, Md. Ataur Rahman Sarkar (Bangladesh Jamaat-e-Islami (Jamaat)) 38.7%, Md. Jahirul Haque Khan (Jatiya Party (JaPa)) 1.0%","Bangladesh Nationalist Party (BNP) (58.9%), Bangladesh Jamaat-e-Islami (Jamaat) (38.7%), Jatiya Party (JaPa) (1.0%)",139842,0.589138,91796,0.386726,-,-,91796,0.386726,139959,0.589631,-,-,-,-,-,-,-,-,91796,-,-,-,-,-,-,-,-,-,-,139842,-,-,-,-,-,-,-,-,-,-,-,117,-,773,2277,-,-,-,-,2453,-,-,-,-,-,109,-,-,-
Brahmanbaria 5,474826,253284,"Md. Abdul Mannan (Bangladesh Nationalist Party (BNP)) 33.9%, Kazi Nazmul Hossain (Independent Candidate (Independent)) 33.4%, Amzad Hossain (Bangladesh Khelafat Majlish (BKM)) 24.0%","Bangladesh Nationalist Party (BNP) (33.9%), Independent Candidate (Independent) (33.4%), Bangladesh Khelafat Majlish (BKM) (24.0%)",85769,0.338628,-,-,266,0.00105,60857,0.240272,86035,0.339678,-,-,-,-,-,-,-,-,-,-,-,-,-,60857,-,-,-,-,-,85769,-,-,-,-,-,-,359,-,266,-,-,-,84708,257,20696,-,-,-,-,372,-,-,-,-,-,-,-,-,-
Brahmanbaria 6,289674,139536,"Md. Jonaed Abdur Rahim Saki (Ganosanhati Andolan (GSA)) 68.3%, Md. Mohsin (Bangladesh Jamaat-e-Islami (Jamaat)) 21.5%, Saiduddin Khan (Islami Andolan Bangladesh (IAB)) 6.1%","Ganosanhati Andolan (GSA) (68.3%), Bangladesh Jamaat-e-Islami (Jamaat) (21.5%), Islami Andolan Bangladesh (IAB) (6.1%)",-,-,29976,0.214826,95509,0.684476,29976,0.214826,95631,0.68535,-,-,-,-,-,-,-,2353,29976,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95342,-,-,289,2592,139,8572,-,-,-,-,-,167,-,-,-,-,106,-,-,-
Cumilla 1,438616,244890,"Dr. Khandaker Mosharraf Hossain (Bangladesh Nationalist Party (BNP)) 57.8%, Md. Moniruzzaman (Bangladesh Jamaat-e-Islami (Jamaat)) 38.7%, Bashir Ahmed (Islami Andolan Bangladesh (IAB)) 2.7%","Bangladesh Nationalist Party (BNP) (57.8%), Bangladesh Jamaat-e-Islami (Jamaat) (38.7%), Islami Andolan Bangladesh (IAB) (2.7%)",141440,0.577565,94845,0.387296,144,0.000588,95356,0.389383,141440,0.577565,-,-,-,511,-,-,-,-,94845,-,144,-,-,-,-,-,-,-,-,141440,-,411,-,-,-,-,-,-,-,-,-,-,406,-,6502,-,-,-,-,631,-,-,-,-,-,-,-,-,-
Cumilla 2,375067,201414,"Md. Selim Bhuiyan (Bangladesh Nationalist Party (BNP)) 38.2%, Md. Abdul Matin (Independent Candidate (Independent)) 31.3%, Md. Nazim Uddin (Bangladesh Jamaat-e-Islami (Jamaat)) 26.5%","Bangladesh Nationalist Party (BNP) (38.2%), Independent Candidate (Independent) (31.3%), Bangladesh Jamaat-e-Islami (Jamaat) (26.5%)",77037,0.382481,53384,0.265046,-,-,53384,0.265046,77037,0.382481,-,-,-,-,-,-,-,-,53384,-,-,-,-,-,-,-,-,-,-,77037,-,-,-,-,-,-,-,-,-,-,-,-,63045,-,6611,767,-,-,-,570,-,-,-,-,-,-,-,-,-
Cumilla 3,500726,274507,"Kazi Shah Mofazzal Hossain (Kaikobad) (Bangladesh Nationalist Party (BNP)) 58.0%, Md. Yusuf Sohel (Bangladesh Jamaat-e-Islami (Jamaat)) 39.9%, Ahmed Abdul Qayyum (Islami Andolan Bangladesh (IAB)) 1.3%","Bangladesh Nationalist Party (BNP) (58.0%), Bangladesh Jamaat-e-Islami (Jamaat) (39.9%), Islami Andolan Bangladesh (IAB) (1.3%)",159291,0.58028,109599,0.399258,-,-,109599,0.399258,159924,0.582586,-,-,244,-,717,-,-,-,109599,-,-,-,-,-,-,-,-,-,-,159291,-,111,-,-,-,-,-,-,-,-,-,633,-,167,3593,-,-,-,-,-,-,-,-,-,-,-,152,-,-
