seat_name,total_voters,total_votes,top_three_candidates,top_three,bnp_votes,bnp_ratio,jamaat_votes,jamaat_ratio,democracy_platform_votes,democracy_platform_ratio,eleven_party_alliance_votes,eleven_party_alliance_ratio,bnp_alliance_votes,bnp_alliance_ratio,bnp_vs_eleven_party_alliance_votes,bnp_vs_eleven_party_alliance_ratio,Am Janata Party,Amar Bangladesh Party (AB),Bangladesh Congress,Bangladesh Cultural Liberation Front (Muktijot),Bangladesh Development Party,Bangladesh Islami Front,Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jatiya Party (BJP),Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Bangladesh Kallyan Party (BKP),Bangladesh Khelafat Andolon (BKA),Bangladesh Khelafat Majlish (BKM),Bangladesh Labour Party,Bangladesh Minority People’s Party (BMJP),Bangladesh Muslim League (BML),Bangladesh National Awami Party (Bangladesh NAP),Bangladesh Nationalist Front (BNF),Bangladesh Nationalist Party (BNP),Bangladesh Nezam-e-Islam Party,Bangladesh Republican Party (BRP),Bangladesh Samo Odhikar Party (BEP),Bangladesh Socialist Party (BASAD),Bangladesh Socialist Party (Marxist),Bangladesh Supreme Party (BSP),Communist Party of Bangladesh (CPB),Ganatantri Party (GP),Ganosanhati Andolan (GSA),Gono Forum (GF),Gono Front,Gono Odhikar Parishad (GOP),Independent Candidate (Independent),Insaniyat Biplob Bangladesh,Islami Andolan Bangladesh (IAB),Islamic Front Bangladesh (IFB),JAGPA,Jamiat Ulema-e-Islam Bangladesh,Janata Party,Jatiya Party (JaPa),Jatiya Samajtantrik Dal (JSD),Khelafat Majlis,Liberal Democratic Party (LDP),Nagorik Oikya (NO),National Citizen Party (NCP),National People's Party (NPP),Nationalist Democratic Movement (NDM),Revolutionary Workers Party of Bangladesh (RWPB),Zaker Party (ZP)
Cumilla 4,410559,219375,"Md. Abul Hasnat (National Citizen Party (NCP)) 75.9%, Md. A. Jasim Uddin (Gono Odhikar Parishad (GOP)) 22.7%, Md. Abdul Karim (Islami Andolan Bangladesh (IAB)) 1.0%","National Citizen Party (NCP) (75.9%), Gono Odhikar Parishad (GOP) (22.7%), Islami Andolan Bangladesh (IAB) (1.0%)",-,-,-,-,-,-,166831,0.760483,49885,0.227396,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49885,-,-,2232,-,-,-,-,427,-,248,-,-,166583,-,-,-,-
Cumilla 5,476172,264184,"Md. Jasim Uddin (Bangladesh Nationalist Party (BNP)) 50.9%, Mobarak Hossain (Bangladesh Jamaat-e-Islami (Jamaat)) 47.1%, Zobaer Ahmed Bhuiyan (Amar Bangladesh Party (AB)) 0.8%","Bangladesh Nationalist Party (BNP) (50.9%), Bangladesh Jamaat-e-Islami (Jamaat) (47.1%), Amar Bangladesh Party (AB) (0.8%)",134485,0.509058,124547,0.47144,153,0.000579,126576,0.479121,134485,0.509058,-,-,-,2029,-,-,-,-,124547,-,-,-,-,-,-,-,147,-,-,134485,-,-,-,-,-,-,342,-,-,-,-,-,-,167,1505,-,-,-,-,705,153,-,-,-,-,104,-,-,-
Cumilla 6,644777,330017,"Md. Monirul Haque Chowdhury (Bangladesh Nationalist Party (BNP)) 61.1%, Kazi Din Mohammad (Bangladesh Jamaat-e-Islami (Jamaat)) 36.3%, Md. Masum Billah Miazhi (Bangladesh Islami Front) 1.4%","Bangladesh Nationalist Party (BNP) (61.1%), Bangladesh Jamaat-e-Islami (Jamaat) (36.3%), Bangladesh Islami Front (1.4%)",201706,0.611199,119851,0.363166,453,0.001373,119851,0.363166,201921,0.61185,-,-,-,-,-,153,-,4648,119851,-,-,-,-,-,-,-,-,-,-,201706,-,-,-,515,-,-,-,-,-,-,-,215,-,-,2476,-,-,-,-,-,453,-,-,-,-,-,-,-,-
Cumilla 7,329166,181056,"Atikul Alam (Independent Candidate (Independent)) 50.6%, Redowan Ahmed (Bangladesh Nationalist Party (BNP)) 26.8%, Solaiman Khan (Khelafat Majlis) 14.5%","Independent Candidate (Independent) (50.6%), Bangladesh Nationalist Party (BNP) (26.8%), Khelafat Majlis (14.5%)",48509,0.267923,-,-,-,-,26319,0.145364,48509,0.267923,-,-,-,-,-,261,-,-,-,-,-,-,-,-,-,-,-,-,-,48509,-,-,-,-,-,-,-,-,-,-,-,-,91690,-,14277,-,-,-,-,-,-,26319,-,-,-,-,-,-,-
Cumilla 8,380833,221093,"Zakaria Taher (Bangladesh Nationalist Party (BNP)) 76.5%, Md. Shafiqul Alam Helal (Bangladesh Jamaat-e-Islami (Jamaat)) 20.4%, Mohammad Golam Morshed (Bangladesh Supreme Party (BSP)) 1.5%","Bangladesh Nationalist Party (BNP) (76.5%), Bangladesh Jamaat-e-Islami (Jamaat) (20.4%), Bangladesh Supreme Party (BSP) (1.5%)",169178,0.765189,45091,0.203946,-,-,45091,0.203946,169178,0.765189,-,-,-,-,-,-,-,-,45091,-,-,-,-,-,-,-,-,-,-,169178,-,161,-,160,-,3224,-,-,-,-,-,-,-,-,2273,279,-,-,-,727,-,-,-,-,-,-,-,-,-
Cumilla 9,478535,302665,"Md. Abul Kalam (Bangladesh Nationalist Party (BNP)) 56.2%, Syed A. K. M. Sarwar Uddin Siddiqui (Bangladesh Jamaat-e-Islami (Jamaat)) 39.3%, Selim Mahmud (Islami Andolan Bangladesh (IAB)) 2.5%","Bangladesh Nationalist Party (BNP) (56.2%), Bangladesh Jamaat-e-Islami (Jamaat) (39.3%), Islami Andolan Bangladesh (IAB) (2.5%)",170008,0.561704,118961,0.393045,-,-,118961,0.393045,170008,0.561704,-,-,-,-,-,124,-,-,118961,-,-,-,-,-,-,-,-,-,-,170008,-,-,-,-,-,-,-,-,-,-,-,-,811,-,7626,3919,-,-,-,1216,-,-,-,-,-,-,-,-,-
Cumilla 10,536227,296747,"Md. Mobasher Alam Bhuiyan (Bangladesh Nationalist Party (BNP)) 55.2%, Muhammad Yasin Arafat (Bangladesh Jamaat-e-Islami (Jamaat)) 41.7%, Md. Shamsuddoha (Islami Andolan Bangladesh (IAB)) 2.7%","Bangladesh Nationalist Party (BNP) (55.2%), Bangladesh Jamaat-e-Islami (Jamaat) (41.7%), Islami Andolan Bangladesh (IAB) (2.7%)",163667,0.551537,123733,0.416965,-,-,123733,0.416965,163960,0.552525,-,-,373,-,400,322,-,-,123733,-,-,-,-,-,-,-,-,-,-,163667,-,-,-,-,-,-,-,-,-,-,-,293,-,-,7959,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cumilla 11,421632,213894,"Syed Abdullah Mohammad Taher (Bangladesh Jamaat-e-Islami (Jamaat)) 62.3%, Md. Kamrul Huda (Bangladesh Nationalist Party (BNP)) 35.8%, Md. Mahiuddin (Shaheed) (Islami Andolan Bangladesh (IAB)) 1.3%","Bangladesh Jamaat-e-Islami (Jamaat) (62.3%), Bangladesh Nationalist Party (BNP) (35.8%), Islami Andolan Bangladesh (IAB) (1.3%)",76638,0.358299,133308,0.623243,-,-,133308,0.623243,76638,0.358299,-,-,-,-,194,186,-,-,133308,-,-,-,-,-,-,-,-,-,-,76638,-,-,-,-,-,-,-,-,-,-,98,-,-,-,2766,-,-,-,-,704,-,-,-,-,-,-,-,-,-
Chandpur 1,356485,208969,"A. N. M. Ehsanul Haque Milon (Bangladesh Nationalist Party (BNP)) 63.7%, Abu Nasr Mohammad Mokbul Ahmed (Bangladesh Jamaat-e-Islami (Jamaat)) 33.7%, Mohammad Nasir Uddin (Bangladesh Islami Front) 2.1%","Bangladesh Nationalist Party (BNP) (63.7%), Bangladesh Jamaat-e-Islami (Jamaat) (33.7%), Bangladesh Islami Front (2.1%)",133032,0.636611,70368,0.336739,-,-,70368,0.336739,133249,0.63765,-,-,-,-,-,-,-,4371,70368,-,-,-,-,-,-,-,-,-,-,133032,-,-,-,-,-,-,-,-,-,329,-,217,-,-,-,-,-,-,-,652,-,-,-,-,-,-,-,-,-
Chandpur 2,501061,244864,"Md. Jalal Uddin (Bangladesh Nationalist Party (BNP)) 70.4%, Md. Billal Hossain (Liberal Democratic Party (LDP)) 23.5%, Mansur (Islami Andolan Bangladesh (IAB)) 5.0%","Bangladesh Nationalist Party (BNP) (70.4%), Liberal Democratic Party (LDP) (23.5%), Islami Andolan Bangladesh (IAB) (5.0%)",172506,0.704497,-,-,143,0.000584,57473,0.234714,172821,0.705784,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172506,-,509,-,-,-,-,-,-,-,-,-,315,-,-,12307,-,-,-,-,1611,-,-,57473,143,-,-,-,-,-
Chandpur 3,546334,283839,"Sheikh Farid Ahmed (Bangladesh Nationalist Party (BNP)) 58.3%, Md. Shahjahan Mia (Bangladesh Jamaat-e-Islami (Jamaat)) 35.5%, Md. Zainal Abedin Sheikh (Islami Andolan Bangladesh (IAB)) 5.0%","Bangladesh Nationalist Party (BNP) (58.3%), Bangladesh Jamaat-e-Islami (Jamaat) (35.5%), Islami Andolan Bangladesh (IAB) (5.0%)",165404,0.582739,100865,0.35536,-,-,100865,0.35536,165536,0.583204,-,-,-,-,-,-,-,2274,100865,-,-,-,-,-,-,-,-,-,-,165404,-,-,-,-,-,-,676,-,-,307,-,132,-,-,14181,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chandpur 4,400631,216493,"Md. Abdul Hannan (Independent Candidate (Independent)) 34.3%, Md. Harunur Rashid (Bangladesh Nationalist Party (BNP)) 31.9%, Md. Billal Hossain Miazhi (Bangladesh Jamaat-e-Islami (Jamaat)) 30.8%","Independent Candidate (Independent) (34.3%), Bangladesh Nationalist Party (BNP) (31.9%), Bangladesh Jamaat-e-Islami (Jamaat) (30.8%)",69155,0.319433,66692,0.308056,-,-,66692,0.308056,69155,0.319433,-,-,-,-,-,-,-,509,66692,-,-,-,-,-,-,-,-,-,-,69155,-,-,-,-,-,-,-,-,-,240,-,-,74359,-,5261,-,-,-,-,277,-,-,-,-,-,-,-,-,-
Chandpur 5,526679,282963,"Md. Mominul Haque (Bangladesh Nationalist Party (BNP)) 65.5%, Md. Niamul Bashir (Liberal Democratic Party (LDP)) 26.7%, Syed Bahadur Shah Mujaddedi (Islamic Front Bangladesh (IFB)) 4.7%","Bangladesh Nationalist Party (BNP) (65.5%), Liberal Democratic Party (LDP) (26.7%), Islamic Front Bangladesh (IFB) (4.7%)",185404,0.655223,-,-,-,-,75660,0.267385,185404,0.655223,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,185404,-,-,-,-,-,-,-,-,-,-,-,-,268,256,6681,13178,-,-,-,1516,-,-,75660,-,-,-,-,-,-
Feni 1,385652,212495,"Munshi Rafiqul Alam (Bangladesh Nationalist Party (BNP)) 56.4%, S. M. Kamal Uddin (Bangladesh Jamaat-e-Islami (Jamaat)) 40.3%, Kazi Golam Kibria (Islami Andolan Bangladesh (IAB)) 2.5%","Bangladesh Nationalist Party (BNP) (56.4%), Bangladesh Jamaat-e-Islami (Jamaat) (40.3%), Islami Andolan Bangladesh (IAB) (2.5%)",119904,0.564267,85615,0.402904,-,-,85925,0.404362,119904,0.564267,-,-,-,-,215,-,-,-,85615,-,-,-,310,-,-,-,188,-,-,119904,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5323,-,-,-,-,940,-,-,-,-,-,-,-,-,-
Feni 2,437078,215422,"Zainal Abedin (Bangladesh Nationalist Party (BNP)) 60.9%, Mohammad Mojibur Rahman Bhuiyan (Amar Bangladesh Party (AB)) 36.4%, Mohammad Ekramul Haque Bhuiyan (Islami Andolan Bangladesh (IAB)) 0.9%","Bangladesh Nationalist Party (BNP) (60.9%), Amar Bangladesh Party (AB) (36.4%), Islami Andolan Bangladesh (IAB) (0.9%)",131210,0.609084,-,-,240,0.001114,79571,0.369373,131619,0.610982,-,-,801,78447,-,-,-,-,-,-,-,-,304,820,-,-,-,-,-,131210,-,-,-,-,322,-,-,-,-,-,-,409,703,239,1927,-,-,-,-,-,240,-,-,-,-,-,-,-,-
Feni 3,508194,275622,"Abdul Awwal Mintoo (Bangladesh Nationalist Party (BNP)) 57.1%, Mohammad Fakhruddin (Bangladesh Jamaat-e-Islami (Jamaat)) 39.2%, Md. Saif Uddin (Islami Andolan Bangladesh (IAB)) 2.4%","Bangladesh Nationalist Party (BNP) (57.1%), Bangladesh Jamaat-e-Islami (Jamaat) (39.2%), Islami Andolan Bangladesh (IAB) (2.4%)",157425,0.571163,108160,0.392422,-,-,108480,0.393583,157425,0.571163,-,-,-,-,-,-,-,-,108160,-,-,-,320,-,-,-,-,-,-,157425,-,-,-,731,-,-,-,-,-,-,-,-,-,327,6701,531,-,-,-,1427,-,-,-,-,-,-,-,-,-
Noakhali 1,452425,246177,"A. M. Mahbub Uddin (Bangladesh Nationalist Party (BNP)) 51.5%, Md. Saiful Ullah (Bangladesh Jamaat-e-Islami (Jamaat)) 39.8%, Jahirul Islam (Islami Andolan Bangladesh (IAB)) 7.8%","Bangladesh Nationalist Party (BNP) (51.5%), Bangladesh Jamaat-e-Islami (Jamaat) (39.8%), Islami Andolan Bangladesh (IAB) (7.8%)",126833,0.515211,98036,0.398234,482,0.001958,98036,0.398234,126833,0.515211,-,-,-,-,274,-,-,-,98036,-,-,-,-,-,-,-,-,-,-,126833,-,-,-,-,-,-,-,-,-,-,-,-,-,188,19289,-,-,-,-,1075,482,-,-,-,-,-,-,-,-
Noakhali 2,360081,202522,"Zainul Abdin Faruk (Bangladesh Nationalist Party (BNP)) 41.5%, Sultan Mohammad Zakaria Majumder (National Citizen Party (NCP)) 33.1%, Kazi Mohammad Mofizur Rahman (Independent Candidate (Independent)) 22.1%","Bangladesh Nationalist Party (BNP) (41.5%), National Citizen Party (NCP) (33.1%), Independent Candidate (Independent) (22.1%)",83982,0.414681,-,-,-,-,67054,0.331095,83982,0.414681,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83982,-,-,-,-,-,-,-,-,-,-,-,-,44712,-,6217,-,-,-,-,557,-,-,-,-,67054,-,-,-,-
Noakhali 3,511759,277174,"Md. Borkot Ullah Bulu (Bangladesh Nationalist Party (BNP)) 50.9%, Md. Borhan Uddin (Bangladesh Jamaat-e-Islami (Jamaat)) 44.7%, Mohammad Nur Uddin (Islami Andolan Bangladesh (IAB)) 3.6%","Bangladesh Nationalist Party (BNP) (50.9%), Bangladesh Jamaat-e-Islami (Jamaat) (44.7%), Islami Andolan Bangladesh (IAB) (3.6%)",141031,0.508818,123941,0.44716,747,0.002695,124741,0.450046,141031,0.508818,-,-,-,-,-,-,-,-,123941,-,-,-,-,-,-,-,-,-,-,141031,-,-,-,-,-,-,-,-,-,-,-,-,794,-,9861,-,-,-,-,-,747,800,-,-,-,-,-,-,-
Noakhali 4,700339,387250,"Md. Shahjahan (Bangladesh Nationalist Party (BNP)) 56.6%, Md. Ishaq Khandaker (Bangladesh Jamaat-e-Islami (Jamaat)) 38.5%, Md. Firoz Alam Masud (Islami Andolan Bangladesh (IAB)) 3.8%","Bangladesh Nationalist Party (BNP) (56.6%), Bangladesh Jamaat-e-Islami (Jamaat) (38.5%), Islami Andolan Bangladesh (IAB) (3.8%)",219182,0.565996,148989,0.384736,-,-,148989,0.384736,219724,0.567396,-,-,-,-,-,-,-,-,148989,-,-,-,-,-,-,-,-,-,-,219182,-,-,-,-,917,-,-,-,-,-,-,542,-,493,14783,-,-,-,-,2344,-,-,-,-,-,-,-,-,-
Noakhali 5,503851,283022,"Mohammad Fakhrul Islam (Bangladesh Nationalist Party (BNP)) 52.2%, Mohammad Belayet Hossain (Bangladesh Jamaat-e-Islami (Jamaat)) 42.6%, Abu Naser (Islami Andolan Bangladesh (IAB)) 2.2%","Bangladesh Nationalist Party (BNP) (52.2%), Bangladesh Jamaat-e-Islami (Jamaat) (42.6%), Islami Andolan Bangladesh (IAB) (2.2%)",147808,0.522249,120453,0.425596,298,0.001053,120453,0.425596,147808,0.522249,-,-,-,-,-,-,-,-,120453,-,-,-,-,-,-,-,-,-,-,147808,-,141,-,-,173,-,-,-,-,-,-,-,947,162,6224,277,-,-,4855,1684,298,-,-,-,-,-,-,-,-
Noakhali 6,339185,168965,"Abdul Hannan Masud (National Citizen Party (NCP)) 54.4%, Mohammad Mahbuber Rahman (Bangladesh Nationalist Party (BNP)) 37.9%, Mohammad Fazlul Azim (Independent Candidate (Independent)) 5.1%","National Citizen Party (NCP) (54.4%), Bangladesh Nationalist Party (BNP) (37.9%), Independent Candidate (Independent) (5.1%)",64021,0.378901,-,-,1239,0.007333,91985,0.544403,64212,0.380031,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64021,-,-,-,-,-,505,-,-,-,-,-,191,8547,-,2197,-,-,-,-,280,1239,-,86,-,91899,-,-,-,-
Lakshmipur 1,281302,158070,"Md. Shahadat Hossain (Bangladesh Nationalist Party (BNP)) 54.9%, Md. Mahbub Alam (National Citizen Party (NCP)) 37.5%, Md. Zakir Hossain Patwary (Islami Andolan Bangladesh (IAB)) 7.1%","Bangladesh Nationalist Party (BNP) (54.9%), National Citizen Party (NCP) (37.5%), Islami Andolan Bangladesh (IAB) (7.1%)",86811,0.549193,-,-,-,-,59265,0.374929,86926,0.549921,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86811,-,-,-,203,-,-,-,-,-,-,-,115,-,-,11156,-,-,-,-,414,-,-,-,-,59265,-,106,-,-
Lakshmipur 2,493970,289538,"Md. Abul Khair Bhuiyan (Bangladesh Nationalist Party (BNP)) 50.5%, S. U. M. Ruhul Amin Bhuiyan (Bangladesh Jamaat-e-Islami (Jamaat)) 46.2%, Helal Uddin (Islami Andolan Bangladesh (IAB)) 2.3%","Bangladesh Nationalist Party (BNP) (50.5%), Bangladesh Jamaat-e-Islami (Jamaat) (46.2%), Islami Andolan Bangladesh (IAB) (2.3%)",146321,0.50536,133698,0.461763,253,0.000874,133698,0.461763,146745,0.506825,-,-,-,-,-,-,-,-,133698,-,-,288,-,-,-,-,-,-,-,146321,-,-,-,-,-,1780,-,-,-,-,-,424,-,-,6774,-,-,-,-,-,-,-,-,253,-,-,-,-,-
Lakshmipur 3,444472,265381,"Md. Shahid Uddin Chowdhury Annie (Bangladesh Nationalist Party (BNP)) 51.1%, Md. Rezaul Karim (Bangladesh Jamaat-e-Islami (Jamaat)) 46.3%, Md. Ibrahim (Islami Andolan Bangladesh (IAB)) 1.9%","Bangladesh Nationalist Party (BNP) (51.1%), Bangladesh Jamaat-e-Islami (Jamaat) (46.3%), Islami Andolan Bangladesh (IAB) (1.9%)",135612,0.511009,122802,0.462738,-,-,123290,0.464577,135612,0.511009,-,-,-,-,-,-,-,-,122802,-,-,-,-,-,-,-,-,-,-,135612,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5051,-,-,-,-,1139,-,-,488,-,-,289,-,-,-
Lakshmipur 4,418160,234026,"A. B. M. Ashraf Uddin (Nizan) (Bangladesh Nationalist Party (BNP)) 49.2%, Md. Ashrafur Rahman Hafizullah (Bangladesh Jamaat-e-Islami (Jamaat)) 31.5%, Tania Rob (Jatiya Samajtantrik Dal (JSD)) 9.4%","Bangladesh Nationalist Party (BNP) (49.2%), Bangladesh Jamaat-e-Islami (Jamaat) (31.5%), Jatiya Samajtantrik Dal (JSD) (9.4%)",115199,0.492249,73756,0.315162,22040,0.094178,73756,0.315162,115458,0.493355,-,-,-,-,-,-,-,-,73756,-,-,-,-,-,-,-,-,-,-,115199,-,-,-,440,-,-,-,-,-,-,-,259,1229,-,21103,-,-,-,-,-,22040,-,-,-,-,-,-,-,-
Chattogram 1,386674,218411,"Nurul Amin (Bangladesh Nationalist Party (BNP)) 59.0%, Mohammad Saifur Rahman (Bangladesh Jamaat-e-Islami (Jamaat)) 38.7%, Ferdous Ahmed Chowdhury (Islami Andolan Bangladesh (IAB)) 1.0%","Bangladesh Nationalist Party (BNP) (59.0%), Bangladesh Jamaat-e-Islami (Jamaat) (38.7%), Islami Andolan Bangladesh (IAB) (1.0%)",128799,0.589709,84538,0.387059,258,0.001181,84538,0.387059,128799,0.589709,-,-,-,-,-,-,-,-,84538,-,-,-,-,-,-,-,269,-,-,128799,-,-,-,-,-,-,-,-,-,-,-,-,-,780,2108,-,-,-,-,1659,258,-,-,-,-,-,-,-,-
Chattogram 2,488465,221575,"Sarwar Alamgir (Bangladesh Nationalist Party (BNP)) 63.1%, Mohammad Nurul Amin (Bangladesh Jamaat-e-Islami (Jamaat)) 29.6%, Shahzada Syed Saifuddin Ahmed (Bangladesh Supreme Party (BSP)) 5.7%","Bangladesh Nationalist Party (BNP) (63.1%), Bangladesh Jamaat-e-Islami (Jamaat) (29.6%), Bangladesh Supreme Party (BSP) (5.7%)",139831,0.631078,65550,0.295837,-,-,65550,0.295837,140097,0.632278,-,-,-,-,-,-,-,-,65550,-,-,-,-,-,-,-,-,-,-,139831,-,-,-,-,-,12737,-,-,-,-,-,266,276,-,2248,-,-,-,397,270,-,-,-,-,-,-,-,-,-
Chattogram 3,260485,118152,"Mostafa Kamal Pasha (Bangladesh Nationalist Party (BNP)) 61.8%, Muhammad Alauddin (Bangladesh Jamaat-e-Islami (Jamaat)) 33.6%, Mohammad Amzad Hossain (Islami Andolan Bangladesh (IAB)) 4.4%","Bangladesh Nationalist Party (BNP) (61.8%), Bangladesh Jamaat-e-Islami (Jamaat) (33.6%), Islami Andolan Bangladesh (IAB) (4.4%)",73037,0.618161,39662,0.335686,-,-,39662,0.335686,73037,0.618161,-,-,-,-,-,-,-,-,39662,-,-,-,-,-,-,-,-,-,-,73037,-,-,-,-,-,-,-,-,-,-,-,-,308,-,5145,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chattogram 4,448380,245881,"Mohammad Aslam Chowdhury (Bangladesh Nationalist Party (BNP)) 58.4%, Md. Anwar Siddique (Bangladesh Jamaat-e-Islami (Jamaat)) 37.2%, Md. Sirajuddaula (Bangladesh Islami Front) 3.0%","Bangladesh Nationalist Party (BNP) (58.4%), Bangladesh Jamaat-e-Islami (Jamaat) (37.2%), Bangladesh Islami Front (3.0%)",143552,0.583827,91404,0.371741,301,0.001224,91404,0.371741,144019,0.585726,-,-,-,-,-,-,-,7267,91404,-,-,-,-,-,-,-,-,-,-,143552,193,-,-,-,-,923,738,-,301,-,-,166,-,-,1337,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chattogram 5,501916,213010,"Mir Mohammad Helal Uddin (Bangladesh Nationalist Party (BNP)) 69.0%, Md. Nasir Uddin (Bangladesh Khelafat Majlish (BKM)) 21.9%, Muhammad Rafiqul Islam (Islamic Front Bangladesh (IFB)) 7.2%","Bangladesh Nationalist Party (BNP) (69.0%), Bangladesh Khelafat Majlish (BKM) (21.9%), Islamic Front Bangladesh (IFB) (7.2%)",147054,0.690362,-,-,-,-,46985,0.220576,147054,0.690362,-,-,-,-,-,-,-,-,-,-,-,-,-,46589,396,-,-,-,-,147054,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2422,15420,-,-,-,1129,-,-,-,-,-,-,-,-,-
Chattogram 6,339988,162330,"Giasuddin Qader Chowdhury (Bangladesh Nationalist Party (BNP)) 69.1%, Mohammad Ilias Nuri (Bangladesh Islami Front) 16.7%, Md. Shahjahan Manju (Bangladesh Jamaat-e-Islami (Jamaat)) 13.6%","Bangladesh Nationalist Party (BNP) (69.1%), Bangladesh Islami Front (16.7%), Bangladesh Jamaat-e-Islami (Jamaat) (13.6%)",112237,0.691413,22118,0.136253,829,0.005107,22118,0.136253,113066,0.696519,-,-,-,-,-,-,-,27146,22118,-,-,-,-,-,-,-,-,-,-,112237,-,-,-,-,-,-,-,-,829,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chattogram 7,319008,175849,"Humam Qader Chowdhury (Bangladesh Nationalist Party (BNP)) 57.7%, A. T. M. Rezaul Karim (Bangladesh Jamaat-e-Islami (Jamaat)) 23.7%, Muhammad Iqbal Hasan (Bangladesh Islami Front) 17.2%","Bangladesh Nationalist Party (BNP) (57.7%), Bangladesh Jamaat-e-Islami (Jamaat) (23.7%), Bangladesh Islami Front (17.2%)",101445,0.576887,41719,0.237243,-,-,41877,0.238142,101574,0.577621,-,-,-,158,-,-,-,30239,41719,-,-,-,-,-,-,-,-,-,-,101445,-,-,-,-,-,-,441,-,-,-,-,129,-,-,1307,-,-,-,-,411,-,-,-,-,-,-,-,-,-
Chattogram 8,554729,254559,"Ershad Ullah (Bangladesh Nationalist Party (BNP)) 60.1%, Md. Abu Naser (Bangladesh Jamaat-e-Islami (Jamaat)) 21.0%, Syed Muhammad Hasan (Bangladesh Islami Front) 16.7%","Bangladesh Nationalist Party (BNP) (60.1%), Bangladesh Jamaat-e-Islami (Jamaat) (21.0%), Bangladesh Islami Front (16.7%)",152969,0.600918,53564,0.210419,-,-,56913,0.223575,152969,0.600918,-,-,-,-,-,-,-,42585,53564,-,-,-,-,-,-,-,-,-,-,152969,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1208,-,-,-,-,884,-,-,-,-,3349,-,-,-,-
Chattogram 9,416363,170782,"Mohammad Abu Sufian (Bangladesh Nationalist Party (BNP)) 64.1%, Dr. A. K. M. Fazlul Haque (Bangladesh Jamaat-e-Islami (Jamaat)) 31.5%, Muhammad Wahed Murad (Islamic Front Bangladesh (IFB)) 2.5%","Bangladesh Nationalist Party (BNP) (64.1%), Bangladesh Jamaat-e-Islami (Jamaat) (31.5%), Islamic Front Bangladesh (IFB) (2.5%)",109388,0.640512,53807,0.315062,1275,0.007466,53807,0.315062,110428,0.646602,-,-,-,-,-,-,-,-,53807,-,-,-,-,-,-,-,-,-,-,109388,-,-,-,-,494,-,-,-,1040,-,-,-,-,-,941,4204,-,-,561,112,128,-,-,107,-,-,-,-,-
Chattogram 10,492444,209080,"Saeed Al Noman (Bangladesh Nationalist Party (BNP)) 58.8%, Muhammad Shamsuzzaman Helali (Bangladesh Jamaat-e-Islami (Jamaat)) 36.8%, Muhammad Jannatul Islam (Islami Andolan Bangladesh (IAB)) 1.9%","Bangladesh Nationalist Party (BNP) (58.8%), Bangladesh Jamaat-e-Islami (Jamaat) (36.8%), Islami Andolan Bangladesh (IAB) (1.9%)",122978,0.588186,76919,0.367893,-,-,77080,0.368663,122978,0.588186,-,-,-,-,-,-,-,-,76919,-,-,-,-,-,161,-,-,-,-,122978,-,-,-,-,305,-,-,-,-,-,-,-,-,960,3880,2441,-,-,-,1436,-,-,-,-,-,-,-,-,-
Chattogram 11,495278,202518,"Amir Khasru Mahmud Chowdhury (Bangladesh Nationalist Party (BNP)) 57.3%, Mohammad Shafiul Alam (Bangladesh Jamaat-e-Islami (Jamaat)) 37.9%, Muhammad Abu Taher (Islamic Front Bangladesh (IFB)) 2.5%","Bangladesh Nationalist Party (BNP) (57.3%), Bangladesh Jamaat-e-Islami (Jamaat) (37.9%), Islamic Front Bangladesh (IFB) (2.5%)",115999,0.572784,76681,0.378638,-,-,76681,0.378638,116103,0.573297,-,-,-,-,-,-,-,-,76681,-,-,-,-,-,-,-,-,-,-,115999,-,-,-,120,231,-,-,-,-,307,-,104,178,210,2557,5127,-,-,-,1004,-,-,-,-,-,-,-,-,-
