seat_name,division,district,total_voters,total_votes,top_three_candidates,top_three,bnp_votes,bnp_ratio,jamaat_votes,jamaat_ratio,democracy_platform_votes,democracy_platform_ratio,eleven_party_alliance_votes,eleven_party_alliance_ratio,bnp_alliance_votes,bnp_alliance_ratio,bnp_vs_eleven_party_alliance_votes,bnp_vs_eleven_party_alliance_ratio,Am Janata Party,Amar Bangladesh Party (AB),Amjanatar Dol,Bangladesh Congress,Bangladesh Cultural Liberation Front (Muktijot),Bangladesh Development Party,Bangladesh Development Party (BDP),Bangladesh Islami Front,Bangladesh Islami Front (BIF),Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jatiya Party (BJP),Bangladesh Jatiya Party (Matin),Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Bangladesh Kallyan Party (BKP),Bangladesh Khelafat Andolon (BKA),Bangladesh Khelafat Majlish (BKM),Bangladesh Labour Party,Bangladesh Liberal Democratic Party (LDP),Bangladesh Minority Janata Party (BMJP),Bangladesh Minority People’s Party (BMJP),Bangladesh Muslim League (BML),Bangladesh National Awami Party (Bangladesh NAP),Bangladesh National Awami Party–Bangladesh NAP (BNAP),Bangladesh Nationalist Front (BNF),Bangladesh Nationalist Party (BNP),Bangladesh Nezam-e-Islam Party,Bangladesh Nezame Islam Party (BNIP),Bangladesh Republican Party (BRP),Bangladesh Samajtantrik Dal (Basad),Bangladesh Samo Odhikar Party (BEP),Bangladesh Sangskritik Muktijote (BSM),Bangladesh Socialist Party (BASAD),Bangladesh Socialist Party (Marxist),Bangladesh Somo Odhikar Party (BEP),Bangladesh Supreme Party (BSP),Communist Party of Bangladesh (CPB),Ganatantri Party (GP),Ganosanhati Andolan (GSA),Gono Forum (GF),Gono Front,Gono Front (GF),Gono Odhikar Parishad (GOP),Independent Candidate (Independent),Insaniyat Biplob Bangladesh,Insaniyat Biplob Bangladesh (IBB),Islami Andolan Bangladesh (IAB),Islami Oikya Jote (IOJ),Islamic Front Bangladesh (IFB),JAGPA,Jamiat Ulema-e-Islam Bangladesh,Jamiat Ulema-e-Islam Bangladesh (JUIB),Janata Party,Janotar Dol,Jatiya Ganatantrik Party (JAGPA),Jatiya Party (JaPa),Jatiya Party (Manju) (JP–Manju),Jatiya Samajtantrik Dal (JSD),Liberal Democratic Party (LDP),My Bangladesh Party (AB Party),Nagorik Oikya (NO),National Citizen Party (NCP),National People's Party (NPP),Nationalist Democratic Movement (NDM),Revolutionary Workers Party of Bangladesh (RWPB),Socialist Party of Bangladesh (Marxist) (SPB-M),Unique - Akhtar Sultana,Unique - Govinda Chandra Pramanik,Zaker Party (ZP),comments,winner_verification
Bogura 5,Rajshahi,Bogura,572340.0,401778,"Bangladesh Nationalist Party (BNP) 61.9%, Bangladesh Jamaat-e-Islami (Jamaat) 35.7%, Islami Andolan Bangladesh (IAB) 1.4%","Bangladesh Nationalist Party (BNP) (61.9%), Bangladesh Jamaat-e-Islami (Jamaat) (35.7%), Islami Andolan Bangladesh (IAB) (1.4%)",248841,0.619349,143329,0.356737,-,-,145597,0.362382,248841,0.619349,-,-,-,-,-,-,-,-,-,-,-,143329,-,-,-,-,-,-,-,1134,-,-,-,-,-,-,248841,-,-,-,-,-,-,-,-,-,-,1782,-,-,-,-,-,-,-,-,-,5558,-,-,-,-,-,-,-,-,-,-,-,1134,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Bogura 6,Rajshahi,Bogura,454043.0,318284,"Bangladesh Nationalist Party (BNP) 68.0%, Bangladesh Jamaat-e-Islami (Jamaat) 30.7%, Islami Andolan Bangladesh (IAB) 0.8%","Bangladesh Nationalist Party (BNP) (68.0%), Bangladesh Jamaat-e-Islami (Jamaat) (30.7%), Islami Andolan Bangladesh (IAB) (0.8%)",216284,0.679531,97626,0.306726,1071,0.003365,97626,0.306726,216284,0.679531,-,-,-,-,-,-,-,-,-,-,-,97626,-,-,-,-,-,-,-,-,-,-,-,-,-,-,216284,-,-,-,795,-,-,795,-,-,-,-,-,-,-,-,-,-,-,-,-,2508,-,-,-,-,-,-,-,-,-,-,276,-,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+BSS+DT
Bogura 7,Rajshahi,Bogura,538092.0,383474,"Bangladesh Nationalist Party (BNP) 68.9%, Bangladesh Jamaat-e-Islami (Jamaat) 30.4%, Islami Andolan Bangladesh (IAB) 0.5%","Bangladesh Nationalist Party (BNP) (68.9%), Bangladesh Jamaat-e-Islami (Jamaat) (30.4%), Islami Andolan Bangladesh (IAB) (0.5%)",264212,0.688996,116665,0.304232,-,-,116665,0.304232,264212,0.688996,-,-,-,-,-,-,-,-,-,-,-,116665,-,-,-,-,-,-,-,-,-,-,536,-,-,-,264212,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2061,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"OVERRIDE Bangladesh Nationalist Party (BNP): 264,212 -> 264,212 (4-source verified)",Winner confirmed by TBS+DS+BSS+DT
Brahmanbaria 1,Chattogram,Brahmanbaria,275629.0,146964,"Bangladesh Nationalist Party (BNP) 46.3%, Independent Candidate (Independent) 36.1%, Bangladesh Jamaat-e-Islami (Jamaat) 16.6%","Bangladesh Nationalist Party (BNP) (46.3%), Independent Candidate (Independent) (36.1%), Bangladesh Jamaat-e-Islami (Jamaat) (16.6%)",68092,0.463324,24430,0.166231,-,-,24430,0.166231,68092,0.463324,-,-,-,-,-,-,-,-,-,-,-,24430,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68092,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52992,139,139,907,-,-,-,-,-,-,-,-,265,-,-,-,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Brahmanbaria 2,Chattogram,Brahmanbaria,499448.0,320010,"Independent Candidate (Independent) 41.0%, Jamiat Ulema-e-Islam Bangladesh 25.1%, Jamiat Ulema-e-Islam Bangladesh (JUIB) 25.1%","Independent Candidate (Independent) (41.0%), Jamiat Ulema-e-Islam Bangladesh (25.1%), Jamiat Ulema-e-Islam Bangladesh (JUIB) (25.1%)",-,-,-,-,384,0.0012,20401,0.063751,-,-,-,-,181,-,181,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,131107,1419,1419,3851,-,-,-,80434,80434,-,-,-,199,-,384,-,-,-,20401,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Brahmanbaria 3,Chattogram,Brahmanbaria,624601.0,290707,"Bangladesh Nationalist Party (BNP) 72.1%, National Citizen Party (NCP) 21.5%, Islami Andolan Bangladesh (IAB) 2.2%","Bangladesh Nationalist Party (BNP) (72.1%), National Citizen Party (NCP) (21.5%), Islami Andolan Bangladesh (IAB) (2.2%)",209636,0.721125,-,-,-,-,62547,0.215155,209636,0.721125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,209636,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,278,3345,3345,6321,-,1344,-,-,-,-,-,-,3891,-,-,-,-,-,62547,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Brahmanbaria 4,Chattogram,Brahmanbaria,443909.0,238140,"Bangladesh Nationalist Party (BNP) 58.7%, Bangladesh Jamaat-e-Islami (Jamaat) 38.5%, Jatiya Party (JaPa) 1.0%","Bangladesh Nationalist Party (BNP) (58.7%), Bangladesh Jamaat-e-Islami (Jamaat) (38.5%), Jatiya Party (JaPa) (1.0%)",139842,0.587226,91796,0.385471,-,-,91796,0.385471,139959,0.587717,-,-,-,-,-,-,-,-,-,-,-,91796,-,-,-,-,-,-,-,-,-,-,-,-,-,-,139842,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,117,-,773,773,2277,-,-,-,-,-,-,-,-,2453,-,-,-,-,-,-,109,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Brahmanbaria 5,Chattogram,Brahmanbaria,474826.0,253541,"Bangladesh Nationalist Party (BNP) 33.8%, Independent Candidate (Independent) 33.4%, Bangladesh Khelafat Majlish (BKM) 24.0%","Bangladesh Nationalist Party (BNP) (33.8%), Independent Candidate (Independent) (33.4%), Bangladesh Khelafat Majlish (BKM) (24.0%)",85769,0.338285,-,-,266,0.001049,60857,0.240028,86035,0.339334,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60857,-,-,-,-,-,-,-,-,85769,-,-,-,-,-,-,-,-,-,-,359,-,266,-,-,-,-,84708,257,257,20696,-,-,-,-,-,-,-,-,372,-,-,-,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Brahmanbaria 6,Chattogram,Brahmanbaria,289674.0,154381,"Ganosanhati Andolan (GSA) 61.8%, Bangladesh Jamaat-e-Islami (Jamaat) 25.9%, Islami Andolan Bangladesh (IAB) 5.6%","Ganosanhati Andolan (GSA) (61.8%), Bangladesh Jamaat-e-Islami (Jamaat) (25.9%), Islami Andolan Bangladesh (IAB) (5.6%)",-,-,39976,0.258944,95509,0.618658,39976,0.258944,95631,0.619448,-,-,-,-,-,-,-,-,-,2353,2353,39976,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95342,-,-,-,289,2592,139,139,8572,-,2353,-,-,-,-,-,-,-,-,167,-,-,-,-,106,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Chandpur 1,Chattogram,Chandpur,356485.0,213340,"Bangladesh Nationalist Party (BNP) 62.4%, Bangladesh Jamaat-e-Islami (Jamaat) 33.0%, Bangladesh Islami Front 2.0%","Bangladesh Nationalist Party (BNP) (62.4%), Bangladesh Jamaat-e-Islami (Jamaat) (33.0%), Bangladesh Islami Front (2.0%)",133032,0.623568,70368,0.32984,-,-,70368,0.32984,133249,0.624585,-,-,-,-,-,-,-,-,-,4371,4371,70368,-,-,-,-,-,-,-,-,-,-,-,-,-,-,133032,-,-,-,-,-,-,-,-,-,-,-,-,-,329,-,-,217,-,-,-,-,-,-,-,-,-,-,-,-,652,-,-,-,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Chandpur 2,Chattogram,Chandpur,501061.0,302478,"Bangladesh Nationalist Party (BNP) 57.0%, Bangladesh Liberal Democratic Party (LDP) 19.0%, Liberal Democratic Party (LDP) 19.0%","Bangladesh Nationalist Party (BNP) (57.0%), Bangladesh Liberal Democratic Party (LDP) (19.0%), Liberal Democratic Party (LDP) (19.0%)",172506,0.570309,-,-,143,0.000473,115229,0.38095,172821,0.571351,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,283,57473,-,-,-,-,-,-,172506,-,-,509,-,-,-,-,-,-,-,-,-,-,-,-,-,315,-,-,-,12307,-,-,-,-,-,-,-,-,1469,-,-,57473,-,143,-,-,-,-,-,-,-,-,"Jatiya Party (JaPa): no consensus, used median (TBS=1,328, DT=1,611)",Winner confirmed by TBS+DS+BSS+DT
Chandpur 3,Chattogram,Chandpur,546334.0,286113,"Bangladesh Nationalist Party (BNP) 57.8%, Bangladesh Jamaat-e-Islami (Jamaat) 35.3%, Islami Andolan Bangladesh (IAB) 5.0%","Bangladesh Nationalist Party (BNP) (57.8%), Bangladesh Jamaat-e-Islami (Jamaat) (35.3%), Islami Andolan Bangladesh (IAB) (5.0%)",165404,0.578107,100865,0.352536,-,-,100865,0.352536,165536,0.578569,-,-,-,-,-,-,-,-,-,2274,2274,100865,-,-,-,-,-,-,-,-,-,-,-,-,-,-,165404,-,-,-,-,-,-,-,-,-,-,676,-,-,307,-,-,132,-,-,-,14181,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Chandpur 4,Chattogram,Chandpur,400631.0,217002,"Independent Candidate (Independent) 34.3%, Bangladesh Nationalist Party (BNP) 31.9%, Bangladesh Jamaat-e-Islami (Jamaat) 30.7%","Independent Candidate (Independent) (34.3%), Bangladesh Nationalist Party (BNP) (31.9%), Bangladesh Jamaat-e-Islami (Jamaat) (30.7%)",69155,0.318684,66692,0.307334,-,-,66692,0.307334,69155,0.318684,-,-,-,-,-,-,-,-,-,509,509,66692,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69155,-,-,-,-,-,-,-,-,-,-,-,-,-,240,-,-,-,74359,-,-,5261,-,-,-,-,-,-,-,-,277,-,-,-,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Chandpur 5,Chattogram,Chandpur,526679.0,358879,"Bangladesh Nationalist Party (BNP) 51.7%, Bangladesh Liberal Democratic Party (LDP) 21.1%, Liberal Democratic Party (LDP) 21.1%","Bangladesh Nationalist Party (BNP) (51.7%), Bangladesh Liberal Democratic Party (LDP) (21.1%), Liberal Democratic Party (LDP) (21.1%)",185404,0.51662,-,-,-,-,151320,0.421646,185404,0.51662,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75660,-,-,-,-,-,-,185404,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,268,256,256,6681,-,13178,-,-,-,-,-,-,1516,-,-,75660,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Chapainawabganj 1,Rajshahi,Chapainawabganj,500181.0,374760,"Bangladesh Jamaat-e-Islami (Jamaat) 55.2%, Bangladesh Nationalist Party (BNP) 43.4%, Jatiya Party (JaPa) 0.6%","Bangladesh Jamaat-e-Islami (Jamaat) (55.2%), Bangladesh Nationalist Party (BNP) (43.4%), Jatiya Party (JaPa) (0.6%)",162515,0.433651,206893,0.552068,-,-,206893,0.552068,162515,0.433651,-,-,-,-,-,-,557,-,-,446,446,206893,-,-,-,-,-,-,-,-,-,-,-,-,-,-,162515,-,-,-,-,-,557,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1083,-,-,-,-,-,-,-,-,2263,-,-,-,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Chapainawabganj 2,Rajshahi,Chapainawabganj,461000.0,336216,"Bangladesh Jamaat-e-Islami (Jamaat) 50.9%, Bangladesh Nationalist Party (BNP) 46.1%, Jatiya Party (JaPa) 2.4%","Bangladesh Jamaat-e-Islami (Jamaat) (50.9%), Bangladesh Nationalist Party (BNP) (46.1%), Jatiya Party (JaPa) (2.4%)",155119,0.461367,171227,0.509277,-,-,171227,0.509277,155119,0.461367,-,-,-,-,-,-,-,-,-,-,-,171227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155119,-,-,-,-,-,-,-,-,-,-,626,-,-,-,-,-,-,-,-,-,1069,-,-,-,-,-,-,-,-,8175,-,-,-,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Chapainawabganj 3,Rajshahi,Chapainawabganj,468479.0,318495,"Bangladesh Jamaat-e-Islami (Jamaat) 59.5%, Bangladesh Nationalist Party (BNP) 39.9%, Islami Andolan Bangladesh (IAB) 0.3%","Bangladesh Jamaat-e-Islami (Jamaat) (59.5%), Bangladesh Nationalist Party (BNP) (39.9%), Islami Andolan Bangladesh (IAB) (0.3%)",127037,0.398867,189640,0.595425,637,0.002,189640,0.595425,127398,0.4,-,-,-,-,-,-,-,-,-,-,-,189640,-,-,-,-,-,-,-,-,-,-,-,-,-,-,127037,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,361,-,-,-,820,-,-,-,-,-,-,-,-,-,-,637,-,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Chattogram 1,Chattogram,Chattogram,386674.0,219191,"Bangladesh Nationalist Party (BNP) 58.8%, Bangladesh Jamaat-e-Islami (Jamaat) 38.6%, Islami Andolan Bangladesh (IAB) 1.0%","Bangladesh Nationalist Party (BNP) (58.8%), Bangladesh Jamaat-e-Islami (Jamaat) (38.6%), Islami Andolan Bangladesh (IAB) (1.0%)",128799,0.587611,84538,0.385682,258,0.001177,84538,0.385682,128799,0.587611,-,-,-,-,-,-,-,-,-,-,-,84538,-,-,-,-,-,-,-,-,-,-,269,-,-,-,128799,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,780,780,2108,-,-,-,-,-,-,-,-,1659,-,258,-,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Chattogram 10,Chattogram,Chattogram,492444.0,210523,"Bangladesh Nationalist Party (BNP) 58.4%, Bangladesh Jamaat-e-Islami (Jamaat) 36.5%, Islami Andolan Bangladesh (IAB) 1.8%","Bangladesh Nationalist Party (BNP) (58.4%), Bangladesh Jamaat-e-Islami (Jamaat) (36.5%), Islami Andolan Bangladesh (IAB) (1.8%)",122978,0.584155,76919,0.365371,-,-,77080,0.366136,122978,0.584155,-,-,-,-,-,-,-,-,-,-,-,76919,-,-,-,-,-,-,161,-,-,-,-,-,-,-,122978,-,-,-,-,-,-,-,305,-,-,-,-,-,-,-,-,-,357,960,960,3880,-,2441,-,-,-,-,-,-,1257,-,-,-,-,-,-,-,-,-,305,-,-,-,"Jatiya Party (JaPa): no consensus, used median (TBS=1,079, DT=1,436)",Winner confirmed by TBS+DS+BSS+DT
Chattogram 11,Chattogram,Chattogram,495278.0,203079,"Bangladesh Nationalist Party (BNP) 57.1%, Bangladesh Jamaat-e-Islami (Jamaat) 37.8%, Islamic Front Bangladesh (IFB) 2.5%","Bangladesh Nationalist Party (BNP) (57.1%), Bangladesh Jamaat-e-Islami (Jamaat) (37.8%), Islamic Front Bangladesh (IFB) (2.5%)",115999,0.571201,76681,0.377592,120,0.000591,76681,0.377592,116103,0.571713,-,-,-,-,-,-,-,-,-,-,-,76681,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115999,-,-,-,120,-,-,120,231,-,-,-,-,-,307,-,-,104,178,210,210,2557,-,5127,-,-,-,-,-,-,1004,-,-,-,-,-,-,-,-,-,231,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Chattogram 12,Chattogram,Chattogram,352695.0,247717,"Bangladesh Nationalist Party (BNP) 54.5%, Bangladesh Islami Front 11.7%, Bangladesh Islami Front (BIF) 11.7%","Bangladesh Nationalist Party (BNP) (54.5%), Bangladesh Islami Front (11.7%), Bangladesh Islami Front (BIF) (11.7%)",135044,0.545154,21706,0.087624,-,-,21942,0.088577,135044,0.545154,-,-,-,-,-,-,-,-,-,28999,28999,21706,-,-,-,-,-,-,-,118,-,-,-,-,-,-,135044,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,243,929,929,901,-,28999,-,-,-,-,-,-,732,-,-,118,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Chattogram 13,Chattogram,Chattogram,395246.0,316766,"Bangladesh Nationalist Party (BNP) 39.8%, Bangladesh Islami Front 16.2%, Bangladesh Islami Front (BIF) 16.2%","Bangladesh Nationalist Party (BNP) (39.8%), Bangladesh Islami Front (16.2%), Bangladesh Islami Front (BIF) (16.2%)",126192,0.398376,35030,0.110586,-,-,35030,0.110586,126360,0.398906,-,-,-,-,-,-,-,-,-,51450,51450,35030,-,-,-,-,-,-,-,-,-,-,-,-,-,-,126192,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,168,-,191,191,-,-,51450,-,-,-,-,-,-,440,-,-,-,-,-,-,-,204,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Chattogram 14,Chattogram,Chattogram,313513.0,280335,"Bangladesh Nationalist Party (BNP) 27.3%, Bangladesh Liberal Democratic Party (LDP) 26.9%, Liberal Democratic Party (LDP) 26.9%","Bangladesh Nationalist Party (BNP) (27.3%), Bangladesh Liberal Democratic Party (LDP) (26.9%), Liberal Democratic Party (LDP) (26.9%)",76493,0.272863,-,-,-,-,150934,0.538406,76493,0.272863,-,-,-,-,-,-,-,-,-,22992,22992,-,-,-,-,-,-,-,-,75467,-,-,-,-,-,-,76493,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4212,149,149,1539,-,-,-,-,-,-,-,-,875,-,-,75467,-,-,-,-,-,-,-,-,-,-,"Independent Candidate (Independent): no consensus, used median (TBS=4,795, DT=3,630); Jatiya Party (JaPa): no consensus, used median (TBS=293, DT=1,458)",Winner confirmed by TBS+DS+BSS+DT
Chattogram 15,Chattogram,Chattogram,506059.0,314808,"Bangladesh Jamaat-e-Islami (Jamaat) 57.6%, Bangladesh Nationalist Party (BNP) 41.5%, Islami Andolan Bangladesh (IAB) 0.9%","Bangladesh Jamaat-e-Islami (Jamaat) (57.6%), Bangladesh Nationalist Party (BNP) (41.5%), Islami Andolan Bangladesh (IAB) (0.9%)",130661,0.41505,181238,0.57571,-,-,181238,0.57571,130661,0.41505,-,-,-,-,-,-,-,-,-,-,-,181238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,130661,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2909,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Chattogram 16,Chattogram,Chattogram,411274.0,237854,"Bangladesh Jamaat-e-Islami (Jamaat) 39.2%, Bangladesh Nationalist Party (BNP) 34.9%, Independent Candidate (Independent) 23.3%","Bangladesh Jamaat-e-Islami (Jamaat) (39.2%), Bangladesh Nationalist Party (BNP) (34.9%), Independent Candidate (Independent) (23.3%)",83105,0.349395,93167,0.391698,-,-,93167,0.391698,83348,0.350417,-,-,-,-,-,-,-,-,-,-,844,93167,-,-,-,-,-,-,-,-,-,-,105,-,-,-,83105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,243,55492,-,-,4054,-,844,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Chattogram 2,Chattogram,Chattogram,488465.0,221575,"Bangladesh Nationalist Party (BNP) 63.1%, Bangladesh Jamaat-e-Islami (Jamaat) 29.6%, Bangladesh Supreme Party (BSP) 5.7%","Bangladesh Nationalist Party (BNP) (63.1%), Bangladesh Jamaat-e-Islami (Jamaat) (29.6%), Bangladesh Supreme Party (BSP) (5.7%)",139831,0.631078,65550,0.295837,-,-,65550,0.295837,140097,0.632278,-,-,-,-,-,-,-,-,-,-,-,65550,-,-,-,-,-,-,-,-,-,-,-,-,-,-,139831,-,-,-,-,-,-,-,-,-,12737,-,-,-,-,-,-,266,276,-,-,2248,-,-,-,-,-,397,-,-,270,-,-,-,-,-,-,-,-,-,-,-,-,-,,Winner only confirmed by DT
Chattogram 3,Chattogram,Chattogram,260485.0,118152,"Bangladesh Nationalist Party (BNP) 61.8%, Bangladesh Jamaat-e-Islami (Jamaat) 33.6%, Islami Andolan Bangladesh (IAB) 4.4%","Bangladesh Nationalist Party (BNP) (61.8%), Bangladesh Jamaat-e-Islami (Jamaat) (33.6%), Islami Andolan Bangladesh (IAB) (4.4%)",73037,0.618161,39662,0.335686,-,-,39662,0.335686,73037,0.618161,-,-,-,-,-,-,-,-,-,-,-,39662,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73037,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,308,-,-,5145,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Chattogram 4,Chattogram,Chattogram,448380.0,245881,"Bangladesh Nationalist Party (BNP) 58.4%, Bangladesh Jamaat-e-Islami (Jamaat) 37.2%, Bangladesh Islami Front 3.0%","Bangladesh Nationalist Party (BNP) (58.4%), Bangladesh Jamaat-e-Islami (Jamaat) (37.2%), Bangladesh Islami Front (3.0%)",143552,0.583827,91404,0.371741,301,0.001224,91404,0.371741,144019,0.585726,-,-,-,-,-,-,-,-,-,7267,-,91404,-,-,-,-,-,-,-,-,-,-,-,-,-,-,143552,193,-,-,-,-,-,-,-,-,923,738,-,301,-,-,-,166,-,-,-,1337,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Winner only confirmed by DT
Chattogram 5,Chattogram,Chattogram,501916.0,213010,"Bangladesh Nationalist Party (BNP) 69.0%, Bangladesh Khelafat Majlish (BKM) 21.9%, Islamic Front Bangladesh (IFB) 7.2%","Bangladesh Nationalist Party (BNP) (69.0%), Bangladesh Khelafat Majlish (BKM) (21.9%), Islamic Front Bangladesh (IFB) (7.2%)",147054,0.690362,-,-,-,-,46985,0.220576,147054,0.690362,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46589,396,-,-,-,-,-,-,-,147054,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2422,-,15420,-,-,-,-,-,-,1129,-,-,-,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Chattogram 6,Chattogram,Chattogram,339988.0,216622,"Bangladesh Nationalist Party (BNP) 51.8%, Bangladesh Islami Front 12.5%, Bangladesh Islami Front (BIF) 12.5%","Bangladesh Nationalist Party (BNP) (51.8%), Bangladesh Islami Front (12.5%), Bangladesh Islami Front (BIF) (12.5%)",112237,0.518124,22118,0.102104,829,0.003827,22118,0.102104,113066,0.521951,-,-,-,-,-,-,-,-,-,27146,27146,22118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,112237,-,-,-,-,-,-,-,-,-,-,-,-,829,-,-,-,-,-,-,-,-,-,27146,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Chattogram 7,Chattogram,Chattogram,319008.0,206088,"Bangladesh Nationalist Party (BNP) 49.2%, Bangladesh Jamaat-e-Islami (Jamaat) 20.2%, Bangladesh Islami Front 14.7%","Bangladesh Nationalist Party (BNP) (49.2%), Bangladesh Jamaat-e-Islami (Jamaat) (20.2%), Bangladesh Islami Front (14.7%)",101445,0.492241,41719,0.202433,-,-,41877,0.2032,101574,0.492867,-,-,-,158,-,-,-,-,-,30239,30239,41719,-,-,-,-,-,-,-,-,-,-,-,-,-,-,101445,-,-,-,-,-,-,-,-,-,-,441,-,-,-,-,-,129,-,-,-,1307,-,-,-,-,-,-,-,-,411,-,-,-,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Chattogram 8,Chattogram,Chattogram,554729.0,298028,"Bangladesh Nationalist Party (BNP) 51.3%, Bangladesh Jamaat-e-Islami (Jamaat) 18.0%, Bangladesh Islami Front 14.3%","Bangladesh Nationalist Party (BNP) (51.3%), Bangladesh Jamaat-e-Islami (Jamaat) (18.0%), Bangladesh Islami Front (14.3%)",152969,0.513271,53564,0.179728,-,-,56913,0.190965,152969,0.513271,-,-,-,-,-,-,-,-,-,42585,42585,53564,-,-,-,-,-,-,-,-,-,-,-,-,-,-,152969,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,884,1208,-,-,-,-,-,-,-,-,884,-,-,-,-,-,3349,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
