seat_name,division,district,total_voters,total_votes,top_three_candidates,top_three,bnp_votes,bnp_ratio,jamaat_votes,jamaat_ratio,democracy_platform_votes,democracy_platform_ratio,eleven_party_alliance_votes,eleven_party_alliance_ratio,bnp_alliance_votes,bnp_alliance_ratio,bnp_vs_eleven_party_alliance_votes,bnp_vs_eleven_party_alliance_ratio,Am Janata Party,Amar Bangladesh Party (AB),Amjanatar Dol,Bangladesh Congress,Bangladesh Cultural Liberation Front (Muktijot),Bangladesh Development Party,Bangladesh Development Party (BDP),Bangladesh Islami Front,Bangladesh Islami Front (BIF),Bangladesh Jamaat-e-Islami (Jamaat),Bangladesh Jatiya Party (BJP),Bangladesh Jatiya Party (Matin),Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Bangladesh Kallyan Party (BKP),Bangladesh Khelafat Andolon (BKA),Bangladesh Khelafat Majlish (BKM),Bangladesh Labour Party,Bangladesh Liberal Democratic Party (LDP),Bangladesh Minority Janata Party (BMJP),Bangladesh Minority People’s Party (BMJP),Bangladesh Muslim League (BML),Bangladesh National Awami Party (Bangladesh NAP),Bangladesh National Awami Party–Bangladesh NAP (BNAP),Bangladesh Nationalist Front (BNF),Bangladesh Nationalist Party (BNP),Bangladesh Nezam-e-Islam Party,Bangladesh Nezame Islam Party (BNIP),Bangladesh Republican Party (BRP),Bangladesh Samajtantrik Dal (Basad),Bangladesh Samo Odhikar Party (BEP),Bangladesh Sangskritik Muktijote (BSM),Bangladesh Socialist Party (BASAD),Bangladesh Socialist Party (Marxist),Bangladesh Somo Odhikar Party (BEP),Bangladesh Supreme Party (BSP),Communist Party of Bangladesh (CPB),Ganatantri Party (GP),Ganosanhati Andolan (GSA),Gono Forum (GF),Gono Front,Gono Front (GF),Gono Odhikar Parishad (GOP),Independent Candidate (Independent),Insaniyat Biplob Bangladesh,Insaniyat Biplob Bangladesh (IBB),Islami Andolan Bangladesh (IAB),Islami Oikya Jote (IOJ),Islamic Front Bangladesh (IFB),JAGPA,Jamiat Ulema-e-Islam Bangladesh,Jamiat Ulema-e-Islam Bangladesh (JUIB),Janata Party,Janotar Dol,Jatiya Ganatantrik Party (JAGPA),Jatiya Party (JaPa),Jatiya Party (Manju) (JP–Manju),Jatiya Samajtantrik Dal (JSD),Liberal Democratic Party (LDP),My Bangladesh Party (AB Party),Nagorik Oikya (NO),National Citizen Party (NCP),National People's Party (NPP),Nationalist Democratic Movement (NDM),Revolutionary Workers Party of Bangladesh (RWPB),Socialist Party of Bangladesh (Marxist) (SPB-M),Unique - Akhtar Sultana,Unique - Govinda Chandra Pramanik,Zaker Party (ZP),comments,winner_verification
Barishal 4,Barishal,Barishal,421975.0,240919,"Bangladesh Nationalist Party (BNP) 53.3%, Bangladesh Jamaat-e-Islami (Jamaat) 31.0%, Islami Andolan Bangladesh (IAB) 15.3%","Bangladesh Nationalist Party (BNP) (53.3%), Bangladesh Jamaat-e-Islami (Jamaat) (31.0%), Islami Andolan Bangladesh (IAB) (15.3%)",128322,0.532635,74684,0.309996,334,0.001386,74684,0.309996,128322,0.532635,-,-,-,-,-,-,413,-,-,-,-,74684,-,-,334,-,-,-,-,-,-,-,-,-,-,-,128322,-,-,-,-,-,413,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36753,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Barishal 5,Barishal,Barishal,501304.0,277165,"Bangladesh Nationalist Party (BNP) 48.8%, Islami Andolan Bangladesh (IAB) 34.3%, Bangladesh Samajtantrik Dal (Basad) 8.1%","Bangladesh Nationalist Party (BNP) (48.8%), Islami Andolan Bangladesh (IAB) (34.3%), Bangladesh Samajtantrik Dal (Basad) (8.1%)",135146,0.487601,-,-,22486,0.081129,-,-,135146,0.487601,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,135146,-,-,-,22486,-,-,22486,300,-,-,-,-,-,-,-,-,-,-,-,-,95044,-,-,-,-,-,-,-,-,909,-,-,-,-,-,-,494,-,-,300,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Barishal 6,Barishal,Barishal,315597.0,168100,"Bangladesh Nationalist Party (BNP) 48.9%, Bangladesh Jamaat-e-Islami (Jamaat) 33.3%, Islami Andolan Bangladesh (IAB) 17.3%","Bangladesh Nationalist Party (BNP) (48.9%), Bangladesh Jamaat-e-Islami (Jamaat) (33.3%), Islami Andolan Bangladesh (IAB) (17.3%)",82217,0.489096,55988,0.333064,-,-,55988,0.333064,82356,0.489923,-,-,-,-,-,-,-,-,-,-,-,55988,-,-,-,-,-,-,-,-,-,-,244,-,-,-,82217,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,139,366,-,-,29146,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Bhola 1,Barishal,Bhola,406567.0,208481,"Bangladesh Jatiya Party (BJP) 50.6%, Bangladesh Jamaat-e-Islami (Jamaat) 36.1%, Islami Andolan Bangladesh (IAB) 12.1%","Bangladesh Jatiya Party (BJP) (50.6%), Bangladesh Jamaat-e-Islami (Jamaat) (36.1%), Islami Andolan Bangladesh (IAB) (12.1%)",-,-,75337,0.361361,-,-,75337,0.361361,1103,0.005291,-,-,-,-,-,-,-,-,-,-,-,75337,105543,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1103,134,-,-,25245,-,303,-,-,-,-,-,-,599,-,-,-,-,-,-,217,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Bhola 2,Barishal,Bhola,395546.0,216173,"Bangladesh Nationalist Party (BNP) 55.1%, Bangladesh Jamaat-e-Islami (Jamaat) 43.3%, Independent Candidate (Independent) 0.7%","Bangladesh Nationalist Party (BNP) (55.1%), Bangladesh Jamaat-e-Islami (Jamaat) (43.3%), Independent Candidate (Independent) (0.7%)",119085,0.550878,93703,0.433463,-,-,94465,0.436988,119085,0.550878,-,-,370,-,370,-,-,-,-,-,-,93703,-,-,-,-,-,-,-,381,-,-,-,-,-,-,119085,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1433,-,-,-,-,-,-,-,-,-,-,-,450,-,-,381,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Bhola 3,Barishal,Bhola,388550.0,269504,"Bangladesh Nationalist Party (BNP) 54.2%, Bangladesh Development Party 21.3%, Bangladesh Development Party (BDP) 21.3%","Bangladesh Nationalist Party (BNP) (54.2%), Bangladesh Development Party (21.3%), Bangladesh Development Party (BDP) (21.3%)",145990,0.541699,-,-,-,-,114702,0.425604,146250,0.542664,-,-,-,-,-,-,-,57351,57351,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,145990,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,260,508,-,-,7255,-,-,-,-,-,-,-,-,789,-,-,-,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Bhola 4,Barishal,Bhola,502026.0,297583,"Bangladesh Nationalist Party (BNP) 63.6%, Bangladesh Jamaat-e-Islami (Jamaat) 27.5%, Islami Andolan Bangladesh (IAB) 8.4%","Bangladesh Nationalist Party (BNP) (63.6%), Bangladesh Jamaat-e-Islami (Jamaat) (27.5%), Islami Andolan Bangladesh (IAB) (8.4%)",189351,0.636296,81937,0.275342,-,-,81937,0.275342,189351,0.636296,-,-,176,-,176,-,-,-,-,-,-,81937,-,-,-,-,-,-,-,-,-,-,-,-,-,-,189351,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,235,-,-,24935,-,-,-,-,-,-,-,-,565,-,-,-,-,-,-,-,208,-,-,-,-,-,"Jatiya Party (JaPa): no consensus, used median (TBS=545, DT=585)",Winner confirmed by TBS+DS+BSS+DT
Bogura 1,Rajshahi,Bogura,376019.0,231320,"Bangladesh Nationalist Party (BNP) 74.1%, Bangladesh Jamaat-e-Islami (Jamaat) 25.1%, Islami Andolan Bangladesh (IAB) 0.4%","Bangladesh Nationalist Party (BNP) (74.1%), Bangladesh Jamaat-e-Islami (Jamaat) (25.1%), Islami Andolan Bangladesh (IAB) (0.4%)",171440,0.741138,57959,0.250558,-,-,57959,0.250558,171440,0.741138,-,-,-,-,-,597,-,-,-,-,-,57959,-,-,-,-,-,-,-,-,-,-,-,-,-,-,171440,-,-,-,-,-,-,-,-,-,-,-,-,-,298,-,-,-,-,-,-,1026,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Bogura 2,Rajshahi,Bogura,342155.0,243915,"Bangladesh Nationalist Party (BNP) 59.5%, Bangladesh Jamaat-e-Islami (Jamaat) 38.4%, Nagorik Oikya (NO) 1.4%","Bangladesh Nationalist Party (BNP) (59.5%), Bangladesh Jamaat-e-Islami (Jamaat) (38.4%), Nagorik Oikya (NO) (1.4%)",145137,0.595031,93548,0.383527,3426,0.014046,93548,0.383527,145411,0.596154,-,-,-,-,-,-,-,-,-,-,-,93548,-,-,-,-,-,-,-,-,-,-,-,-,-,-,145137,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,274,183,-,-,913,-,-,-,-,-,-,-,-,434,-,-,-,-,3426,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Bogura 3,Rajshahi,Bogura,339181.0,241716,"Bangladesh Nationalist Party (BNP) 52.7%, Bangladesh Jamaat-e-Islami (Jamaat) 45.9%, Islami Andolan Bangladesh (IAB) 0.7%","Bangladesh Nationalist Party (BNP) (52.7%), Bangladesh Jamaat-e-Islami (Jamaat) (45.9%), Islami Andolan Bangladesh (IAB) (0.7%)",127406,0.52709,111026,0.459324,-,-,111026,0.459324,127406,0.52709,-,-,-,-,-,-,-,-,-,-,-,111026,-,-,-,-,-,-,-,-,-,-,-,-,-,-,127406,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1789,-,-,-,-,-,-,-,-,1495,-,-,-,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
Bogura 4,Rajshahi,Bogura,359523.0,268378,"Bangladesh Nationalist Party (BNP) 57.9%, Bangladesh Jamaat-e-Islami (Jamaat) 40.6%, Islami Andolan Bangladesh (IAB) 1.1%","Bangladesh Nationalist Party (BNP) (57.9%), Bangladesh Jamaat-e-Islami (Jamaat) (40.6%), Islami Andolan Bangladesh (IAB) (1.1%)",155339,0.578807,108978,0.406062,-,-,108978,0.406062,155339,0.578807,-,-,-,-,-,-,-,-,-,-,-,108978,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155339,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2954,-,-,-,-,-,-,-,-,1107,-,-,-,-,-,-,-,-,-,-,-,-,-,,Winner confirmed by TBS+DS+BSS+DT
