district,district_bn,seat_count,total_voters,total_votes_cast,valid_votes,rejected_votes,absent_voters,turnout_pct,rejection_pct,absence_pct,total_centers,total_candidates,avg_voters_per_center,avg_candidates_per_seat,safe_seats,competitive_seats,marginal_seats,very_close_seats,bnp_plus_votes,bnp_plus_pct,eleven_parties_votes,eleven_parties_pct,duf_votes,duf_pct,ndf_votes,ndf_pct,greater_sunni_votes,greater_sunni_pct,independent_votes,independent_pct,other_party_votes,other_party_pct,bnp_votes,bnp_pct,jamaat_votes,jamaat_pct,ncp_votes,ncp_pct,leading_party,leading_party_votes,leading_party_pct,runner_up_party,runner_up_votes,runner_up_pct,vote_margin,vote_margin_pct,most_winning_seats_party,most_winning_seats_count,bnp_won_seats,jamaat_won_seats,ncp_won_seats,independent_won_seats,other_party_won_seats,effective_num_parties
Chuadanga,চুয়াডাঙ্গা,2,993536,758236,745131,13105,235300,76.32,1.73,23.68,354,6,2806.6,3.0,0,2,0,0,315094,42.29,413722,55.52,0,0.0,0,0.0,0,0.0,0,0.0,16315,2.19,315094,42.29,413722,55.52,0,0.0,Bangladesh Jamaat-e-Islami,413722,55.52,Bangladesh Nationalist Party - BNP,315094,42.29,98628,13.24,Bangladesh Jamaat-e-Islami,2,0,2,0,0,0,2.05
Cox's Bazar,কক্সবাজার,4,1821362,1186746,1164978,21768,634616,65.16,1.83,34.84,598,18,3045.76,4.5,1,1,1,1,648511,55.67,491817,42.22,0,0.0,749,0.06,0,0.0,937,0.08,22964,1.97,647946,55.62,491243,42.17,0,0.0,Bangladesh Nationalist Party - BNP,647946,55.62,Bangladesh Jamaat-e-Islami,491243,42.17,156703,13.45,Bangladesh Nationalist Party - BNP,4,4,0,0,0,0,2.05
Cumilla,কুমিল্লা,11,4868048,2756415,2685225,71190,2111633,56.62,2.58,43.38,1488,83,3271.54,7.55,6,3,2,0,1378993,51.35,1070168,39.85,1240,0.05,5657,0.21,12428,0.46,154305,5.75,62434,2.33,1328401,49.47,882285,32.86,160527,5.98,Bangladesh Nationalist Party - BNP,1328401,49.47,Bangladesh Jamaat-e-Islami,882285,32.86,446116,16.61,Bangladesh Nationalist Party - BNP,8,8,1,1,1,0,2.77
Dhaka,ঢাকা,20,8366808,3989541,3919726,69815,4377267,47.68,1.75,52.32,3024,190,2766.8,9.5,5,4,2,9,2031887,51.84,1640163,41.84,6240,0.16,29694,0.76,2742,0.07,115418,2.94,93582,2.39,1995520,50.91,1053153,26.87,486191,12.4,Bangladesh Nationalist Party - BNP,1995520,50.91,Bangladesh Jamaat-e-Islami,1053153,26.87,942367,24.04,Bangladesh Nationalist Party - BNP,13,13,6,1,0,0,2.87
Dinajpur,দিনাজপুর,6,2638366,1920135,1877849,42286,718231,72.78,2.2,27.22,844,40,3126.03,6.67,1,2,0,3,924158,49.21,781176,41.6,1411,0.08,17829,0.95,0,0.0,141841,7.55,11434,0.61,923765,49.19,671184,35.74,108948,5.8,Bangladesh Nationalist Party - BNP,923765,49.19,Bangladesh Jamaat-e-Islami,671184,35.74,252581,13.45,Bangladesh Nationalist Party - BNP,5,5,0,0,1,0,2.64
Faridpur,ফরিদপুর,4,1753922,1097703,1076765,20938,656219,62.59,1.91,37.41,657,28,2669.59,7.0,0,2,2,0,521748,48.46,437696,40.65,1657,0.15,1034,0.1,0,0.0,95052,8.83,19578,1.82,521073,48.39,348682,32.38,0,0.0,Bangladesh Nationalist Party - BNP,521073,48.39,Bangladesh Jamaat-e-Islami,348682,32.38,172391,16.01,Bangladesh Nationalist Party - BNP,3,3,1,0,0,0,2.83
Feni,ফেনী,3,1290913,700885,682916,17969,590028,54.29,2.56,45.71,428,26,3016.15,8.67,2,1,0,0,400065,58.58,258213,37.81,1009,0.15,2458,0.36,507,0.07,698,0.1,19966,2.92,399666,58.52,181482,26.57,0,0.0,Bangladesh Nationalist Party - BNP,399666,58.52,Bangladesh Jamaat-e-Islami,181482,26.57,218184,31.95,Bangladesh Nationalist Party - BNP,3,3,0,0,0,0,2.35
Gaibandha,গাইবান্ধা,5,2172468,1320253,1288823,31430,852215,60.77,2.38,39.23,675,40,3218.47,8.0,1,1,2,1,485323,37.66,646683,50.18,4554,0.35,62379,4.84,0,0.0,78459,6.09,11425,0.89,483184,37.49,646683,50.18,0,0.0,Bangladesh Jamaat-e-Islami,646683,50.18,Bangladesh Nationalist Party - BNP,483184,37.49,163499,12.69,Bangladesh Jamaat-e-Islami,4,1,4,0,0,0,2.51
Gazipur,গাজীপুর,5,2715322,1463394,1431959,31435,1251928,53.89,2.15,46.11,935,42,2904.09,8.4,2,2,1,0,779224,54.42,562550,39.29,4895,0.34,12904,0.9,832,0.06,30358,2.12,41196,2.88,778855,54.39,323696,22.61,139337,9.73,Bangladesh Nationalist Party - BNP,778855,54.39,Bangladesh Jamaat-e-Islami,323696,22.61,455159,31.79,Bangladesh Nationalist Party - BNP,4,4,1,0,0,0,2.76
Gopalganj,গোপালগঞ্জ,3,1082653,481561,466921,14640,601092,44.48,3.04,55.52,397,30,2727.09,10.0,0,1,1,1,226068,48.42,86492,18.52,325,0.07,990,0.21,0,0.0,137956,29.55,15090,3.23,168650,36.12,33673,7.21,0,0.0,Bangladesh Nationalist Party - BNP,168650,36.12,Independent,137956,29.55,30694,6.57,Bangladesh Nationalist Party - BNP,3,3,0,0,0,0,3.98
Habiganj,হবিগঞ্জ,4,1818609,930334,906709,23625,888275,51.16,2.54,48.84,647,25,2810.83,6.25,4,0,0,0,565243,62.34,190100,20.97,1404,0.15,3315,0.37,103204,11.38,37549,4.14,5894,0.65,565243,62.34,44581,4.92,0,0.0,Bangladesh Nationalist Party - BNP,565243,62.34,Bangladesh Islami Front,97960,10.8,467283,51.54,Bangladesh Nationalist Party - BNP,4,4,0,0,0,0,2.39
Jamalpur,জামালপুর,5,2118833,1283810,1260828,22982,835023,60.59,1.79,39.41,623,34,3401.02,6.8,5,0,0,0,821183,65.13,393901,31.24,1840,0.15,5478,0.43,0,0.0,23440,1.86,14986,1.19,818998,64.96,393901,31.24,0,0.0,Bangladesh Nationalist Party - BNP,818998,64.96,Bangladesh Jamaat-e-Islami,393901,31.24,425097,33.72,Bangladesh Nationalist Party - BNP,5,5,0,0,0,0,1.92
Jashore,যশোর,6,2441728,1751584,1719664,31920,690144,71.74,1.82,28.26,824,37,2963.26,6.17,0,3,2,1,702736,40.86,878669,51.1,1194,0.07,9597,0.56,0,0.0,87694,5.1,39774,2.31,702483,40.85,875543,50.91,0,0.0,Bangladesh Jamaat-e-Islami,875543,50.91,Bangladesh Nationalist Party - BNP,702483,40.85,173060,10.06,Bangladesh Jamaat-e-Islami,5,1,5,0,0,0,2.33
Jhalokati,ঝালকাঠি,2,586338,342105,335771,6334,244233,58.35,1.85,41.65,237,18,2474.0,9.0,1,0,1,0,173963,51.81,122693,36.54,0,0.0,2867,0.85,0,0.0,4068,1.21,32180,9.58,173495,51.67,122693,36.54,0,0.0,Bangladesh Nationalist Party - BNP,173495,51.67,Bangladesh Jamaat-e-Islami,122693,36.54,50802,15.13,Bangladesh Nationalist Party - BNP,2,2,0,0,0,0,2.44
Jhenaidah,ঝিনাইদহ,4,1575346,1189600,1169262,20338,385746,75.51,1.71,24.49,588,21,2679.16,5.25,1,1,1,1,550819,47.11,526125,45.0,1184,0.1,2489,0.21,0,0.0,76241,6.52,12404,1.06,550451,47.08,525517,44.94,0,0.0,Bangladesh Nationalist Party - BNP,550451,47.08,Bangladesh Jamaat-e-Islami,525517,44.94,24934,2.13,Bangladesh Jamaat-e-Islami,3,1,3,0,0,0,2.34
Joypurhat,জয়পুরহাট,2,810359,593975,581605,12370,216384,73.3,2.08,26.7,255,8,3177.88,4.0,1,0,0,1,311448,53.55,255807,43.98,1188,0.2,0,0.0,0,0.0,13162,2.26,0,0.0,311448,53.55,254291,43.72,0,0.0,Bangladesh Nationalist Party - BNP,311448,53.55,Bangladesh Jamaat-e-Islami,254291,43.72,57157,9.83,Bangladesh Nationalist Party - BNP,1,1,1,0,0,0,2.09
Khagrachhari,খাগড়াছড়ি,1,547042,338030,328159,9871,209012,61.79,2.92,38.21,203,11,2694.79,11.0,1,0,0,0,149895,45.68,56509,17.22,0,0.0,1149,0.35,0,0.0,115902,35.32,4704,1.43,149149,45.45,56509,17.22,0,0.0,Bangladesh Nationalist Party - BNP,149149,45.45,Independent,115902,35.32,33247,10.13,Bangladesh Nationalist Party - BNP,1,1,0,0,0,0,2.77
Khulna,খুলনা,6,2076412,1382287,1354195,28092,694125,66.57,2.03,33.43,840,38,2471.92,6.33,1,0,3,2,673659,49.75,626823,46.29,8063,0.6,5605,0.41,859,0.06,3391,0.25,35795,2.64,673439,49.73,518632,38.3,0,0.0,Bangladesh Nationalist Party - BNP,673439,49.73,Bangladesh Jamaat-e-Islami,518632,38.3,154807,11.43,Bangladesh Nationalist Party - BNP,4,4,2,0,0,0,2.49
Kishoreganj,কিশোরগঞ্জ,6,2698461,1430642,1395969,34673,1267819,53.02,2.42,46.98,913,47,2955.6,7.83,2,0,3,1,879961,63.04,355513,25.47,2391,0.17,4500,0.32,3457,0.25,126642,9.07,23505,1.68,760962,54.51,211546,15.15,0,0.0,Bangladesh Nationalist Party - BNP,760962,54.51,Bangladesh Jamaat-e-Islami,211546,15.15,549416,39.36,Bangladesh Nationalist Party - BNP,5,5,0,0,1,0,2.89
Kurigram,কুড়িগ্রাম,4,1886407,1210682,1186925,23757,675725,64.18,1.96,35.82,706,28,2671.96,7.0,0,2,0,2,456220,38.44,532547,44.87,1157,0.1,68355,5.76,0,0.0,21278,1.79,107368,9.05,455398,38.37,352778,29.72,178869,15.07,Bangladesh Nationalist Party - BNP,455398,38.37,Bangladesh Jamaat-e-Islami,352778,29.72,102620,8.65,Bangladesh Jamaat-e-Islami,3,0,3,1,0,0,3.71
