district,district_bn,seat_count,total_voters,total_votes_cast,valid_votes,rejected_votes,absent_voters,turnout_pct,rejection_pct,absence_pct,total_centers,total_candidates,avg_voters_per_center,avg_candidates_per_seat,safe_seats,competitive_seats,marginal_seats,very_close_seats,bnp_plus_votes,bnp_plus_pct,eleven_parties_votes,eleven_parties_pct,duf_votes,duf_pct,ndf_votes,ndf_pct,greater_sunni_votes,greater_sunni_pct,independent_votes,independent_pct,other_party_votes,other_party_pct,bnp_votes,bnp_pct,jamaat_votes,jamaat_pct,ncp_votes,ncp_pct,leading_party,leading_party_votes,leading_party_pct,runner_up_party,runner_up_votes,runner_up_pct,vote_margin,vote_margin_pct,most_winning_seats_party,most_winning_seats_count,bnp_won_seats,jamaat_won_seats,ncp_won_seats,independent_won_seats,other_party_won_seats,effective_num_parties
Narayanganj,নারায়ণগঞ্জ,5,2368219,1366105,1336086,30019,1002114,57.68,2.2,42.32,797,48,2971.42,9.6,1,1,3,0,631073,47.23,510364,38.2,3641,0.27,1037,0.08,5261,0.39,121947,9.13,62763,4.7,547895,41.01,303823,22.74,104482,7.82,Bangladesh Nationalist Party - BNP,547895,41.01,Bangladesh Jamaat-e-Islami,303823,22.74,244072,18.27,Bangladesh Nationalist Party - BNP,4,4,0,1,0,0,4.08
Narsingdi,নরসিংদী,5,1947947,1121068,1098277,22791,826879,57.55,2.03,42.45,663,41,2938.08,8.2,5,0,0,0,633438,57.68,318075,28.96,817,0.07,4165,0.38,4037,0.37,72044,6.56,65701,5.98,632957,57.63,229728,20.92,19236,1.75,Bangladesh Nationalist Party - BNP,632957,57.63,Bangladesh Jamaat-e-Islami,229728,20.92,403229,36.71,Bangladesh Nationalist Party - BNP,5,5,0,0,0,0,2.58
Natore,নাটোর,4,1536097,1124354,1102294,22060,411743,73.2,1.96,26.8,566,27,2713.95,6.75,1,2,0,1,554419,50.3,372851,33.83,0,0.0,7967,0.72,0,0.0,140241,12.72,26816,2.43,553110,50.18,352330,31.96,20267,1.84,Bangladesh Nationalist Party - BNP,553110,50.18,Bangladesh Jamaat-e-Islami,352330,31.96,200780,18.21,Bangladesh Nationalist Party - BNP,4,4,0,0,0,0,2.69
Netrakona,নেত্রকোনা,5,2026916,1135616,1105822,29794,891300,56.03,2.62,43.97,676,25,2998.4,5.0,4,0,0,1,681498,61.63,316264,28.6,7660,0.69,6290,0.57,348,0.03,68137,6.16,25625,2.32,681228,61.6,161245,14.58,66347,6.0,Bangladesh Nationalist Party - BNP,681228,61.6,Bangladesh Jamaat-e-Islami,161245,14.58,519983,47.02,Bangladesh Nationalist Party - BNP,4,4,1,0,0,0,2.41
Nilphamari,নীলফামারী,4,1580288,1085805,1064512,21293,494483,68.71,1.96,31.29,562,27,2811.9,6.75,0,2,1,1,423367,39.77,528187,49.62,932,0.09,87212,8.19,0,0.0,5500,0.52,19314,1.81,305207,28.67,527841,49.59,0,0.0,Bangladesh Jamaat-e-Islami,527841,49.59,Bangladesh Nationalist Party - BNP,305207,28.67,222634,20.91,Bangladesh Jamaat-e-Islami,4,0,4,0,0,0,2.88
Noakhali,নোয়াখালী,6,2806692,1566208,1523640,42568,1240484,55.8,2.72,44.2,875,48,3207.65,8.0,0,4,2,0,772716,50.72,622904,40.88,1046,0.07,5805,0.38,777,0.05,54356,3.57,66036,4.33,771996,50.67,468549,30.75,153487,10.07,Bangladesh Nationalist Party - BNP,771996,50.67,Bangladesh Jamaat-e-Islami,468549,30.75,303447,19.92,Bangladesh Nationalist Party - BNP,5,5,0,1,0,0,2.75
Pabna,পাবনা,5,2274303,1545956,1515522,30434,728347,67.97,1.97,32.03,702,28,3239.75,5.6,1,1,1,2,776467,51.23,649902,42.88,456,0.03,4213,0.28,1420,0.09,66793,4.41,16271,1.07,775485,51.17,649470,42.85,0,0.0,Bangladesh Nationalist Party - BNP,775485,51.17,Bangladesh Jamaat-e-Islami,649470,42.85,126015,8.31,Bangladesh Jamaat-e-Islami,3,2,3,0,0,0,2.23
Panchagarh,পঞ্চগড়,2,873151,674906,659067,15839,198245,77.3,2.35,22.7,287,15,3042.34,7.5,0,1,0,1,348942,52.94,294412,44.67,4781,0.73,2126,0.32,2368,0.36,1821,0.28,4617,0.7,348116,52.82,127608,19.36,166126,25.21,Bangladesh Nationalist Party - BNP,348116,52.82,Jatiyo Nagorik Party - NCP,166126,25.21,181990,27.61,Bangladesh Nationalist Party - BNP,2,2,0,0,0,0,2.63
Patuakhali,পটুয়াখালী,4,1497872,898675,882698,15977,599197,60.0,1.78,40.0,513,20,2919.83,5.0,2,1,1,0,443568,50.25,175408,19.87,1313,0.15,1036,0.12,0,0.0,81553,9.24,179820,20.37,345920,39.19,115211,13.05,0,0.0,Bangladesh Nationalist Party - BNP,345920,39.19,Islamic Andolan Bangladesh,179820,20.37,166100,18.82,Bangladesh Nationalist Party - BNP,2,2,1,0,0,1,4.24
Pirojpur,পিরোজপুর,3,1031028,611716,598925,12791,419312,59.33,2.09,40.67,418,15,2466.57,5.0,1,1,0,1,273806,45.72,261503,43.66,209,0.03,4840,0.81,0,0.0,16300,2.72,42267,7.06,273663,45.69,225797,37.7,35318,5.9,Bangladesh Nationalist Party - BNP,273663,45.69,Bangladesh Jamaat-e-Islami,225797,37.7,47866,7.99,Bangladesh Nationalist Party - BNP,2,2,1,0,0,0,2.78
