seat,party,ec_votes,our_votes,diff,diff_pct
Bhola 3,Bangladesh Development Party,56214,57351,1137,2.0
Bhola 3,Bangladesh Nationalist Party - BNP,145127,145990,863,0.6
Bhola 3,Gonodhikar Parishad - GOP,257,260,3,1.2
Bhola 3,Independent,507,508,1,0.2
Bhola 3,Islamic Andolan Bangladesh,7176,7255,79,1.1
Bhola 3,Jatiya Party,774,789,15,1.9
Bhola 4,Amjanatar Dol,174,176,2,1.1
Bhola 4,Bangladesh Jamaat-e-Islami,79728,81937,2209,2.8
Bhola 4,Bangladesh Nationalist Party - BNP,188390,189351,961,0.5
Bhola 4,Independent,232,235,3,1.3
Bhola 4,Islamic Andolan Bangladesh,24835,24935,100,0.4
Bhola 4,Jatiya Party,534,585,51,9.6
Bhola 4,Jatiyatabadi Ganotantrik Andolon - NDM,207,208,1,0.5
Bogura 1,Bangladesh Congress,593,597,4,0.7
Bogura 1,Bangladesh Jamaat-e-Islami,56933,57959,1026,1.8
Bogura 1,Bangladesh Nationalist Party - BNP,169861,171440,1579,0.9
Bogura 1,Gonoforum,297,298,1,0.3
Bogura 1,Islamic Andolan Bangladesh,1009,1026,17,1.7
Bogura 2,Bangladesh Jamaat-e-Islami,92630,93548,918,1.0
Bogura 2,Bangladesh Nationalist Party - BNP,144339,145137,798,0.6
Bogura 2,Gonodhikar Parishad - GOP,273,274,1,0.4
Bogura 2,Independent,181,183,2,1.1
Bogura 2,Islamic Andolan Bangladesh,904,913,9,1.0
Bogura 2,Jatiya Party,428,434,6,1.4
Bogura 2,Nagorik Oikko,3404,3426,22,0.6
Bogura 3,Bangladesh Jamaat-e-Islami,109676,111026,1350,1.2
Bogura 3,Bangladesh Nationalist Party - BNP,126674,127406,732,0.6
Bogura 3,Islamic Andolan Bangladesh,1771,1789,18,1.0
Bogura 3,Jatiya Party,1475,1495,20,1.4
Bogura 4,Bangladesh Jamaat-e-Islami,108191,108978,787,0.7
Bogura 4,Bangladesh Nationalist Party - BNP,154697,155339,642,0.4
Bogura 4,Islamic Andolan Bangladesh,2938,2954,16,0.5
Bogura 4,Jatiya Party,1100,1107,7,0.6
Bogura 5,Bangladesh Jamaat-e-Islami,142322,143329,1007,0.7
Bogura 5,Bangladesh Nationalist Party - BNP,247816,248841,1025,0.4
Bogura 5,Communist Party of Bangladesh,1774,1782,8,0.5
Bogura 5,Islamic Andolan Bangladesh,5540,5558,18,0.3
Bogura 5,Liberal Democratic Party - LDP,1128,1134,6,0.5
Bogura 6,Bangladesh Jamaat-e-Islami,96564,97626,1062,1.1
Bogura 6,Bangladesh Nationalist Party - BNP,214739,216284,1545,0.7
Bogura 6,Bangladesh Samajtantrik Dal - BASAD,789,795,6,0.8
Bogura 6,Islamic Andolan Bangladesh,2495,2508,13,0.5
Bogura 6,Jatiya Samajtantrik Dal - JSD,268,276,8,3.0
Bogura 7,Bangladesh Jamaat-e-Islami,115184,116665,1481,1.3
Bogura 7,Bangladesh Muslim League,528,0,-528,-100.0
Bogura 7,Bangladesh Muslim League - BML,0,536,536,0
Bogura 7,Bangladesh Nationalist Party - BNP,262501,264212,1711,0.7
Bogura 7,Islamic Andolan Bangladesh,2037,2061,24,1.2
Brahmanbaria 1,Bangladesh Jamaat-e-Islami,23888,24430,542,2.3
Brahmanbaria 1,Bangladesh Nationalist Party - BNP,67783,68092,309,0.5
Brahmanbaria 1,Independent,52841,52992,151,0.3
Brahmanbaria 1,Insaniyat Biplob Bangladesh,138,139,1,0.7
Brahmanbaria 1,Islamic Andolan Bangladesh,894,907,13,1.5
Brahmanbaria 1,Jatiya Party,264,265,1,0.4
Brahmanbaria 2,Amjanatar Dol,180,181,1,0.6
Brahmanbaria 2,Independent,130031,131107,1076,0.8
Brahmanbaria 2,Insaniyat Biplob Bangladesh,1416,1419,3,0.2
Brahmanbaria 2,Islamic Andolan Bangladesh,3798,3851,53,1.4
Brahmanbaria 2,Jamiate Ulama-e-Islam Bangladesh,79927,80434,507,0.6
Brahmanbaria 2,Jatiya Party,157,199,42,26.8
Brahmanbaria 2,Jatiya Samajtantrik Dal - JSD,382,0,-382,-100.0
Brahmanbaria 2,Jatiyo Nagorik Party - NCP,18784,20401,1617,8.6
Brahmanbaria 3,Bangladesh Islami Front,0,1344,1344,0
Brahmanbaria 3,Bangladesh Nationalist Party - BNP,207454,209636,2182,1.1
Brahmanbaria 3,Independent,268,278,10,3.7
Brahmanbaria 3,Insaniyat Biplob Bangladesh,3299,3345,46,1.4
Brahmanbaria 3,Islamic Andolan Bangladesh,6108,6321,213,3.5
Brahmanbaria 3,Islamic Front Bangladesh,1317,0,-1317,-100.0
Brahmanbaria 3,Jatiya Party,3842,3891,49,1.3
Brahmanbaria 3,Jatiyo Nagorik Party - NCP,59567,62547,2980,5.0
Brahmanbaria 4,Bangladesh Jamaat-e-Islami,87326,91796,4470,5.1
Brahmanbaria 4,Bangladesh Nationalist Party - BNP,138124,139842,1718,1.2
Brahmanbaria 4,Gonodhikar Parishad - GOP,100,117,17,17.0
Brahmanbaria 4,Insaniyat Biplob Bangladesh,758,773,15,2.0
Brahmanbaria 4,Islamic Andolan Bangladesh,2209,2277,68,3.1
Brahmanbaria 4,Jatiya Party,2398,2453,55,2.3
Brahmanbaria 4,National Peoples Party - NPP,99,109,10,10.1
Brahmanbaria 5,Bangladesh Khelafat Majlis,57749,0,-57749,-100.0
Brahmanbaria 5,Bangladesh Nationalist Party - BNP,84761,85769,1008,1.2
Brahmanbaria 5,Communist Party of Bangladesh,354,359,5,1.4
Brahmanbaria 5,Gonoshonghoti Andolon,259,266,7,2.7
Brahmanbaria 5,Independent,83995,84708,713,0.8
Brahmanbaria 5,Insaniyat Biplob Bangladesh,256,257,1,0.4
Brahmanbaria 5,Islamic Andolan Bangladesh,20588,20696,108,0.5
Brahmanbaria 5,Jatiya Party,368,372,4,1.1
Brahmanbaria 5,Khelafat Majlis,0,60857,60857,0
Brahmanbaria 6,Bangladesh Islami Front,2305,2353,48,2.1
Brahmanbaria 6,Bangladesh Jamaat-e-Islami,37965,39976,2011,5.3
Brahmanbaria 6,Gonodhikar Parishad - GOP,287,289,2,0.7
Brahmanbaria 6,Gonoshonghoti Andolon,94231,95342,1111,1.2
Brahmanbaria 6,Independent,2544,2592,48,1.9
Brahmanbaria 6,Insaniyat Biplob Bangladesh,139,139,0,0.0
Brahmanbaria 6,Islamic Andolan Bangladesh,8487,8572,85,1.0
Brahmanbaria 6,Jatiya Samajtantrik Dal - JSD,161,167,6,3.7
Brahmanbaria 6,National Peoples Party - NPP,104,106,2,1.9
Chandpur 1,Bangladesh Islami Front,4248,4371,123,2.9
Chandpur 1,Bangladesh Jamaat-e-Islami,66781,70368,3587,5.4
Chandpur 1,Bangladesh Nationalist Party - BNP,131329,133032,1703,1.3
Chandpur 1,Gonodhikar Parishad - GOP,216,217,1,0.5
Chandpur 1,Gonoforum,326,329,3,0.9
Chandpur 1,Jatiya Party,626,652,26,4.2
Chandpur 2,Bangladesh Labour Party,265,283,18,6.8
Chandpur 2,Bangladesh Nationalist Party - BNP,170583,172506,1923,1.1
Chandpur 2,Bangladesh Republican Party - BRP,502,509,7,1.4
Chandpur 2,Gonodhikar Parishad - GOP,306,315,9,2.9
Chandpur 2,Islamic Andolan Bangladesh,12050,12307,257,2.1
Chandpur 2,Jatiya Party,1280,1328,48,3.8
Chandpur 2,Liberal Democratic Party - LDP,54733,57473,2740,5.0
Chandpur 2,Nagorik Oikko,138,143,5,3.6
Chandpur 3,Bangladesh Islami Front,2210,2274,64,2.9
Chandpur 3,Bangladesh Jamaat-e-Islami,96811,100865,4054,4.2
Chandpur 3,Bangladesh Nationalist Party - BNP,163610,165404,1794,1.1
Chandpur 3,Communist Party of Bangladesh,652,676,24,3.7
Chandpur 3,Gonodhikar Parishad - GOP,128,132,4,3.1
Chandpur 3,Gonoforum,296,307,11,3.7
Chandpur 3,Islamic Andolan Bangladesh,14003,14181,178,1.3
Chandpur 4,Bangladesh Islami Front,495,509,14,2.8
Chandpur 4,Bangladesh Jamaat-e-Islami,62273,66692,4419,7.1
Chandpur 4,Bangladesh Nationalist Party - BNP,67833,69155,1322,1.9
Chandpur 4,Gonoforum,235,240,5,2.1
Chandpur 4,Independent,73783,74359,576,0.8
Chandpur 4,Islamic Andolan Bangladesh,5141,5261,120,2.3
Chandpur 4,Jatiya Party,273,277,4,1.5
Chandpur 5,Bangladesh Islami Front,0,13178,13178,0
Chandpur 5,Bangladesh Nationalist Party - BNP,182588,185404,2816,1.5
Chandpur 5,Independent,253,268,15,5.9
Chandpur 5,Insaniyat Biplob Bangladesh,245,256,11,4.5
Chandpur 5,Islamic Andolan Bangladesh,6494,6681,187,2.9
Chandpur 5,Islamic Front Bangladesh,12963,0,-12963,-100.0
Chandpur 5,Jatiya Party,1469,1516,47,3.2
Chandpur 5,Liberal Democratic Party - LDP,71751,75660,3909,5.4
Chapainawabganj 1,Bangladesh Islami Front,418,446,28,6.7
Chapainawabganj 1,Bangladesh Jamaat-e-Islami,203442,206893,3451,1.7
Chapainawabganj 1,Bangladesh Nationalist Party - BNP,161118,162515,1397,0.9
Chapainawabganj 1,Bangladesh Shanskritik Muktijot (Muktijot),546,557,11,2.0
Chapainawabganj 1,Islamic Andolan Bangladesh,1064,1083,19,1.8
Chapainawabganj 1,Jatiya Party,2179,2263,84,3.9
Chapainawabganj 2,Bangladesh Jamaat-e-Islami,168821,171227,2406,1.4
Chapainawabganj 2,Bangladesh Nationalist Party - BNP,154053,155119,1066,0.7
Chapainawabganj 2,Communist Party of Bangladesh,585,626,41,7.0
Chapainawabganj 2,Islamic Andolan Bangladesh,1050,1069,19,1.8
Chapainawabganj 2,Jatiya Party,8051,8175,124,1.5
Chapainawabganj 3,Bangladesh Jamaat-e-Islami,185166,189640,4474,2.4
Chapainawabganj 3,Bangladesh Nationalist Party - BNP,126018,127037,1019,0.8
Chapainawabganj 3,Gonodhikar Parishad - GOP,350,361,11,3.1
Chapainawabganj 3,Islamic Andolan Bangladesh,785,820,35,4.5
Chapainawabganj 3,Jatiya Samajtantrik Dal - JSD,614,637,23,3.7
Chattogram 1,Bangladesh Jamaat-e-Islami,81227,84538,3311,4.1
Chattogram 1,Bangladesh Muslim League - BML,266,269,3,1.1
Chattogram 1,Bangladesh Nationalist Party - BNP,127645,128799,1154,0.9
Chattogram 1,Insaniyat Biplob Bangladesh,758,780,22,2.9
Chattogram 1,Islamic Andolan Bangladesh,2064,2108,44,2.1
Chattogram 1,Jatiya Party,1631,1659,28,1.7
Chattogram 1,Jatiya Samajtantrik Dal - JSD,252,258,6,2.4
Chattogram 10,Bangladesh Islami Front,0,2441,2441,0
Chattogram 10,Bangladesh Jamaat-e-Islami,74707,76919,2212,3.0
Chattogram 10,Bangladesh Labour Party,157,161,4,2.5
Chattogram 10,Bangladesh Nationalist Party - BNP,121391,122978,1587,1.3
Chattogram 10,Bangladesh Samajtantrik Dal (Marxist),300,305,5,1.7
Chattogram 10,Independent,339,357,18,5.3
Chattogram 10,Insaniyat Biplob Bangladesh,952,960,8,0.8
Chattogram 10,Islamic Andolan Bangladesh,3818,3880,62,1.6
Chattogram 10,Islamic Front Bangladesh,2430,0,-2430,-100.0
Chattogram 10,Jatiya Party,1037,1079,42,4.1
Chattogram 11,Bangladesh Islami Front,0,5127,5127,0
Chattogram 11,Bangladesh Jamaat-e-Islami,73632,76681,3049,4.1
Chattogram 11,Bangladesh Nationalist Party - BNP,114995,115999,1004,0.9
