seat,party,ec_votes,our_votes,diff,diff_pct
Cumilla 3,Insaniyat Biplob Bangladesh,163,167,4,2.5
Cumilla 3,Islamic Andolan Bangladesh,3505,3593,88,2.5
Cumilla 3,Jatiyatabadi Ganotantrik Andolon - NDM,148,152,4,2.7
Cumilla 4,Gonodhikar Parishad - GOP,49644,49885,241,0.5
Cumilla 4,Insaniyat Biplob Bangladesh,414,427,13,3.1
Cumilla 4,Islamic Andolan Bangladesh,2191,2232,41,1.9
Cumilla 4,Jatiyo Nagorik Party - NCP,160527,166583,6056,3.8
Cumilla 4,Khelafat Majlis,239,248,9,3.8
Cumilla 5,Amar Bangladesh Party - AB Party,2009,2029,20,1.0
Cumilla 5,Bangladesh Jamaat-e-Islami,118198,124587,6389,5.4
Cumilla 5,Bangladesh Muslim League,145,0,-145,-100.0
Cumilla 5,Bangladesh Muslim League - BML,0,147,147,0
Cumilla 5,Bangladesh Nationalist Party - BNP,132538,134485,1947,1.5
Cumilla 5,Communist Party of Bangladesh,334,342,8,2.4
Cumilla 5,Insaniyat Biplob Bangladesh,162,167,5,3.1
Cumilla 5,Islamic Andolan Bangladesh,1451,1505,54,3.7
Cumilla 5,Jatiya Party,672,705,33,4.9
Cumilla 5,Jatiya Samajtantrik Dal - JSD,137,153,16,11.7
Cumilla 5,National Peoples Party - NPP,97,104,7,7.2
Cumilla 6,Bangladesh Islami Front,4604,4648,44,1.0
Cumilla 6,Bangladesh Jamaat-e-Islami,114289,119851,5562,4.9
Cumilla 6,Bangladesh Muslim League - BML,1588,1597,9,0.6
Cumilla 6,Bangladesh Nationalist Party - BNP,199541,201706,2165,1.1
Cumilla 6,Bangladesh Samajtantrik Dal - BASAD,505,515,10,2.0
Cumilla 6,Bangladesh Shanskritik Muktijot (Muktijot),151,153,2,1.3
Cumilla 6,Gonodhikar Parishad - GOP,209,215,6,2.9
Cumilla 6,Islamic Andolan Bangladesh,2414,2476,62,2.6
Cumilla 6,Jatiya Samajtantrik Dal - JSD,446,453,7,1.6
Cumilla 7,Bangladesh Nationalist Party - BNP,47925,48509,584,1.2
Cumilla 7,Bangladesh Shanskritik Muktijot (Muktijot),259,261,2,0.8
Cumilla 7,Independent,90819,91690,871,1.0
Cumilla 7,Islamic Andolan Bangladesh,14080,14277,197,1.4
Cumilla 7,Khelafat Majlis,24597,26319,1722,7.0
Cumilla 8,Bangladesh Jamaat-e-Islami,41345,45091,3746,9.1
Cumilla 8,Bangladesh Nationalist Party - BNP,167431,169178,1747,1.0
Cumilla 8,Bangladesh Republican Party - BRP,161,161,0,0.0
Cumilla 8,Bangladesh Samajtantrik Dal - BASAD,159,160,1,0.6
Cumilla 8,Bangladesh Supreme Party - BSP,3189,3224,35,1.1
Cumilla 8,Islami Oikyajote,272,279,7,2.6
Cumilla 8,Islamic Andolan Bangladesh,2184,2276,92,4.2
Cumilla 8,Jatiya Party,722,727,5,0.7
Cumilla 9,Bangladesh Islami Front,0,3919,3919,0
Cumilla 9,Bangladesh Jamaat-e-Islami,113454,118961,5507,4.9
Cumilla 9,Bangladesh Nationalist Party - BNP,168108,170008,1900,1.1
Cumilla 9,Bangladesh Shanskritik Muktijot (Muktijot),124,124,0,0.0
Cumilla 9,Independent,697,811,114,16.4
Cumilla 9,Islamic Andolan Bangladesh,7459,7626,167,2.2
Cumilla 9,Islamic Front Bangladesh,3875,0,-3875,-100.0
Cumilla 9,Jatiya Party,1199,1216,17,1.4
Dhaka 1,Bangladesh Jamaat-e-Islami,108910,112622,3712,3.4
Dhaka 1,Bangladesh Labour Party,268,271,3,1.1
Dhaka 1,Bangladesh Nationalist Party - BNP,172402,173781,1379,0.8
Dhaka 1,Independent,4824,4880,56,1.2
Dhaka 1,Islamic Andolan Bangladesh,6538,6607,69,1.1
Dhaka 1,Jatiya Party,1345,1362,17,1.3
Dhaka 10,Amar Bangladesh Party - AB Party,1434,0,-1434,-100.0
Dhaka 10,Amjanatar Dol,209,0,-209,-100.0
Dhaka 10,Bangladesh Jamaat-e-Islami,74670,77136,2466,3.3
Dhaka 10,Bangladesh Labour Party,138,0,-138,-100.0
Dhaka 10,Bangladesh Nationalist Party - BNP,79051,80436,1385,1.8
Dhaka 10,Bangladesh Republican Party - BRP,238,0,-238,-100.0
Dhaka 10,Bangladesh Shanskritik Muktijot (Muktijot),198,0,-198,-100.0
Dhaka 10,Islamic Andolan Bangladesh,3407,0,-3407,-100.0
Dhaka 10,Jatiya Party,1529,0,-1529,-100.0
Dhaka 10,Jonotar Dol,1046,0,-1046,-100.0
Dhaka 11,Bangladesh Nationalist Party - BNP,90969,91833,864,0.9
Dhaka 11,Bangladesh Republican Party - BRP,280,283,3,1.1
Dhaka 11,Bangladesh Shanskritik Muktijot (Muktijot),193,196,3,1.6
Dhaka 11,Gonodhikar Parishad - GOP,80,81,1,1.2
Dhaka 11,Gonoforum,129,130,1,0.8
Dhaka 11,Independent,781,794,13,1.7
Dhaka 11,Islamic Andolan Bangladesh,4328,4375,47,1.1
Dhaka 11,Jatiya Party,1018,1048,30,2.9
Dhaka 11,Jatiyo Nagorik Party - NCP,92038,93872,1834,2.0
Dhaka 11,National Peoples Party - NPP,237,241,4,1.7
Dhaka 12,Amjanatar Dol,1001,1044,43,4.3
Dhaka 12,Bangladesh Islami Front,177,184,7,4.0
Dhaka 12,Bangladesh Jamaat-e-Islami,52127,53773,1646,3.2
Dhaka 12,Bangladesh Jatiya Party,44,0,-44,-100.0
Dhaka 12,Bangladesh Jatiya Party - BJP,0,47,47,0
Dhaka 12,Bangladesh Shanskritik Muktijot (Muktijot),109,115,6,5.5
Dhaka 12,Biplabi Workers Party,30640,30963,323,1.1
Dhaka 12,Communist Party of Bangladesh,437,453,16,3.7
Dhaka 12,Gonodhikar Parishad - GOP,84,115,31,36.9
Dhaka 12,Gonoshonghoti Andolon,1463,1511,48,3.3
Dhaka 12,Independent,29590,29869,279,0.9
Dhaka 12,Insaniyat Biplob Bangladesh,128,133,5,3.9
Dhaka 12,Islamic Andolan Bangladesh,2030,2058,28,1.4
Dhaka 12,Jatiya Party,1746,1770,24,1.4
Dhaka 12,Jatiyatabadi Ganotantrik Andolon - NDM,58,58,0,0.0
Dhaka 12,Jonotar Dol,171,175,4,2.3
Dhaka 13,Bangladesh Khelafat Majlis,84001,0,-84001,-100.0
Dhaka 13,Bangladesh Minority Janta Party - BMJP,321,331,10,3.1
Dhaka 13,Bangladesh Muslim League,449,0,-449,-100.0
Dhaka 13,Bangladesh Muslim League - BML,0,464,464,0
Dhaka 13,Bangladesh Nationalist Party - BNP,86804,88387,1583,1.8
Dhaka 13,Bangladesh Samajtantrik Dal - BASAD,460,486,26,5.7
Dhaka 13,Gonodhikar Parishad - GOP,324,336,12,3.7
Dhaka 13,Independent,1658,1683,25,1.5
Dhaka 13,Insaniyat Biplob Bangladesh,487,513,26,5.3
Dhaka 13,Khelafat Majlis,0,86067,86067,0
Dhaka 14,Amar Bangladesh Party - AB Party,136,138,2,1.5
Dhaka 14,Bangladesh Jamaat-e-Islami,98912,101113,2201,2.2
Dhaka 14,Bangladesh Nationalist Party - BNP,82329,83323,994,1.2
Dhaka 14,Bangladesh Republican Party - BRP,80,83,3,3.8
Dhaka 14,Bangladesh Supreme Party - BSP,302,302,0,0.0
Dhaka 14,Communist Party of Bangladesh,360,369,9,2.5
Dhaka 14,Gonoforum,74,79,5,6.8
Dhaka 14,Independent,16253,16328,75,0.5
Dhaka 14,Islamic Andolan Bangladesh,3718,3760,42,1.1
Dhaka 14,Jatiya Party,825,857,32,3.9
Dhaka 14,Jatiya Samajtantrik Dal - JSD,214,219,5,2.3
Dhaka 14,Liberal Democratic Party - LDP,381,385,4,1.0
Dhaka 15,Amjanatar Dol,243,0,-243,-100.0
Dhaka 15,Bangladesh Jamaat-e-Islami,82364,85131,2767,3.4
Dhaka 15,Bangladesh Jatiyo Samajtantrik Dal - Jasod,201,0,-201,-100.0
Dhaka 15,Bangladesh Nationalist Party - BNP,62007,63517,1510,2.4
Dhaka 15,Bangladesh Supreme Party - BSP,318,326,8,2.5
Dhaka 15,Communist Party of Bangladesh,775,1501,726,93.7
Dhaka 15,Jatiya Party,1338,1421,83,6.2
Dhaka 15,Jatiya Samajtantrik Dal - JSD,0,210,210,0
Dhaka 15,Jonotar Dol,347,378,31,8.9
Dhaka 16,Bangladesh Jamaat-e-Islami,87027,88828,1801,2.1
Dhaka 16,Bangladesh Jatiya Party - BJP,133,138,5,3.8
Dhaka 16,Bangladesh Khilafat Andolan,100,102,2,2.0
Dhaka 16,Bangladesh Labour Party,488,494,6,1.2
Dhaka 16,Bangladesh Nationalist Party - BNP,84632,85467,835,1.0
Dhaka 16,Bangladesh Samajtantrik Dal (Marxist),204,209,5,2.5
Dhaka 16,Bangladesh Shanskritik Muktijot (Muktijot),141,142,1,0.7
Dhaka 16,Gonodhikar Parishad - GOP,103,109,6,5.8
Dhaka 16,Islamic Andolan Bangladesh,3632,3679,47,1.3
Dhaka 16,Jatiya Party,1444,1464,20,1.4
Dhaka 16,National Peoples Party - NPP,159,167,8,5.0
Dhaka 17,Bangladesh Congress,130,130,0,0.0
Dhaka 17,Bangladesh Jamaat-e-Islami,65972,68300,2328,3.5
Dhaka 17,Bangladesh Jatiya Party,90,0,-90,-100.0
Dhaka 17,Bangladesh Jatiya Party - BJP,0,92,92,0
Dhaka 17,Bangladesh Labour Party,59,60,1,1.7
Dhaka 17,Bangladesh Nationalist Front - BNF,59,61,2,3.4
Dhaka 17,Bangladesh Nationalist Party - BNP,71443,72699,1256,1.8
Dhaka 17,Independent,260,278,18,6.9
Dhaka 17,Insaniyat Biplob Bangladesh,78,80,2,2.6
Dhaka 17,Islamic Andolan Bangladesh,1740,1768,28,1.6
Dhaka 17,Jatiya Party,1142,1168,26,2.3
Dhaka 17,National Party - JP,1034,1041,7,0.7
Dhaka 18,Bangladesh Islami Front,1634,1647,13,0.8
Dhaka 18,Bangladesh Nationalist Party - BNP,143037,144715,1678,1.2
Dhaka 18,Bangladesh Samajtantrik Dal - BASAD,257,260,3,1.2
Dhaka 18,Independent,3980,4135,155,3.9
Dhaka 18,Islamic Andolan Bangladesh,4650,4727,77,1.7
Dhaka 18,Jatiya Party,2515,2557,42,1.7
Dhaka 18,Jatiyo Nagorik Party - NCP,108711,111297,2586,2.4
Dhaka 18,Nagorik Oikko,303,350,47,15.5
Dhaka 18,National Peoples Party - NPP,296,301,5,1.7
Dhaka 19,Bangladesh Muslim League,211,0,-211,-100.0
Dhaka 19,Bangladesh Muslim League - BML,0,0,0,0
Dhaka 19,Bangladesh Nationalist Party - BNP,191327,190976,-351,-0.2
Dhaka 19,Gonodhikar Parishad - GOP,683,0,-683,-100.0
Dhaka 19,Islamic Andolan Bangladesh,10530,0,-10530,-100.0
Dhaka 19,Jatiya Party,2408,0,-2408,-100.0
Dhaka 19,Jatiyo Nagorik Party - NCP,125153,123283,-1870,-1.5
Dhaka 19,Liberal Democratic Party - LDP,633,0,-633,-100.0
Dhaka 19,National Peoples Party - NPP,640,0,-640,-100.0
Dhaka 2,Bangladesh Jamaat-e-Islami,78655,80053,1398,1.8
Dhaka 2,Bangladesh Nationalist Party - BNP,163020,163793,773,0.5
Dhaka 2,Islamic Andolan Bangladesh,6301,6352,51,0.8
Dhaka 20,Amar Bangladesh Party - AB Party,478,492,14,2.9
Dhaka 20,Bangladesh Jatiyo Samajtantrik Dal - Jasod,198,0,-198,-100.0
Dhaka 20,Bangladesh Nationalist Party - BNP,160428,162504,2076,1.3
Dhaka 20,Jatiya Party,3076,3135,59,1.9
Dhaka 20,Jatiya Samajtantrik Dal - JSD,0,207,207,0
Dhaka 20,Jatiyo Nagorik Party - NCP,56343,57787,1444,2.6
Dhaka 20,Khelafat Majlis,9083,9255,172,1.9
Dhaka 3,Bangladesh Congress,150,155,5,3.3
Dhaka 3,Bangladesh Jamaat-e-Islami,82232,83264,1032,1.3
Dhaka 3,Bangladesh Nationalist Party - BNP,98785,99163,378,0.4
Dhaka 3,Bangladesh Samajtantrik Dal - BASAD,196,196,0,0.0
Dhaka 3,Gonodhikar Parishad - GOP,96,97,1,1.0
Dhaka 3,Gonoforum,174,182,8,4.6
Dhaka 3,Gonoshonghoti Andolon,378,387,9,2.4
Dhaka 3,Independent,310,313,3,1.0
Dhaka 3,Islamic Andolan Bangladesh,6245,6286,41,0.7
Dhaka 3,Jatiya Party,1070,1075,5,0.5
Dhaka 4,Bangladesh Jamaat-e-Islami,75683,77367,1684,2.2
Dhaka 4,Bangladesh Nationalist Party - BNP,73762,74447,685,0.9
Dhaka 4,Bangladesh Samajtantrik Dal - BASAD,179,184,5,2.8
Dhaka 4,Bangladesh Shanskritik Muktijot (Muktijot),128,128,0,0.0
Dhaka 4,Communist Party of Bangladesh,365,367,2,0.5
Dhaka 4,Independent,2782,2867,85,3.1
Dhaka 4,Islamic Andolan Bangladesh,6450,6518,68,1.1
Dhaka 4,Jonotar Dol,189,191,2,1.1
Dhaka 5,Bangladesh Congress,258,262,4,1.6
Dhaka 5,Bangladesh Jamaat-e-Islami,94668,96641,1973,2.1
Dhaka 5,Bangladesh Labour Party,77,81,4,5.2
Dhaka 5,Bangladesh Nationalist Party - BNP,86628,87491,863,1.0
Dhaka 5,Bangladesh Samajtantrik Dal (Marxist),213,221,8,3.8
Dhaka 5,Bangladesh Shanskritik Muktijot (Muktijot),35,35,0,0.0
Dhaka 5,Communist Party of Bangladesh,198,206,8,4.0
Dhaka 5,Gonodhikar Parishad - GOP,90,93,3,3.3
Dhaka 5,Islamic Andolan Bangladesh,14080,14206,126,0.9
Dhaka 5,Jatiya Party,1325,1346,21,1.6
Dhaka 5,Liberal Democratic Party - LDP,779,788,9,1.2
Dhaka 6,Bangladesh Congress,313,319,6,1.9
Dhaka 6,Bangladesh Jamaat-e-Islami,54665,55697,1032,1.9
Dhaka 6,Bangladesh Muslim League,243,0,-243,-100.0
Dhaka 6,Bangladesh Muslim League - BML,0,245,245,0
Dhaka 6,Bangladesh Nationalist Party - BNP,78142,78850,708,0.9
Dhaka 6,Gonodhikar Parishad - GOP,132,138,6,4.5
Dhaka 6,Gonofront,147,152,5,3.4
Dhaka 6,Jatiya Party,1747,1778,31,1.8
Dhaka 7,Bangladesh Jamaat-e-Islami,97268,98483,1215,1.2
Dhaka 7,Bangladesh Jatiya Party,98,0,-98,-100.0
Dhaka 7,Bangladesh Jatiya Party - BJP,0,98,98,0
Dhaka 7,Bangladesh Khilafat Andolan,2764,2783,19,0.7
Dhaka 7,Bangladesh Nationalist Party - BNP,104091,104666,575,0.6
Dhaka 7,Bangladesh Republican Party - BRP,217,218,1,0.5
Dhaka 7,Bangladesh Samajtantrik Dal (Marxist),665,677,12,1.8
Dhaka 7,Bangladesh Shanskritik Muktijot (Muktijot),149,150,1,0.7
Dhaka 7,Independent,11461,11517,56,0.5
Dhaka 7,Islamic Andolan Bangladesh,5044,5081,37,0.7
Dhaka 7,Jatiya Party,2266,2294,28,1.2
Dhaka 7,Jatiya Samajtantrik Dal - JSD,203,208,5,2.5
Dhaka 8,Bangladesh Islami Front,311,326,15,4.8
Dhaka 8,Bangladesh Jatiyo Samajtantrik Dal - Jasod,49,0,-49,-100.0
Dhaka 8,Bangladesh Nationalist Party - BNP,56552,59366,2814,5.0
Dhaka 8,Bangladesh Samajtantrik Dal (Marxist),93,96,3,3.2
Dhaka 8,Bangladesh Shanskritik Muktijot (Muktijot),70,78,8,11.4
Dhaka 8,Communist Party of Bangladesh,688,714,26,3.8
Dhaka 8,Gonodhikar Parishad - GOP,567,608,41,7.2
Dhaka 8,Islamic Andolan Bangladesh,1322,1436,114,8.6
Dhaka 8,Jatiya Party,642,731,89,13.9
Dhaka 8,Jatiya Samajtantrik Dal - JSD,0,56,56,0
Dhaka 8,Jatiyo Nagorik Party - NCP,51572,54127,2555,5.0
Dhaka 8,Jonotar Dol,109,129,20,18.3
Dhaka 9,Bangladesh Muslim League,115,0,-115,-100.0
Dhaka 9,Bangladesh Muslim League - BML,0,118,118,0
Dhaka 9,Bangladesh Nationalist Front - BNF,124,124,0,0.0
Dhaka 9,Bangladesh Nationalist Party - BNP,110111,111212,1101,1.0
Dhaka 9,Bangladesh Samajtantrik Dal (Marxist),93,93,0,0.0
Dhaka 9,Communist Party of Bangladesh,462,462,0,0.0
Dhaka 9,Gonoforum,171,171,0,0.0
Dhaka 9,Independent,43519,44684,1165,2.7
Dhaka 9,Insaniyat Biplob Bangladesh,129,131,2,1.6
Dhaka 9,Islamic Andolan Bangladesh,5760,5827,67,1.2
Dhaka 9,Jatiya Party,1183,1202,19,1.6
Dhaka 9,Jatiyo Nagorik Party - NCP,52374,53460,1086,2.1
Dhaka 9,National Peoples Party - NPP,204,204,0,0.0
Dinajpur 1,Bangladesh Jamaat-e-Islami,116488,117481,993,0.9
Dinajpur 1,Bangladesh Nationalist Party - BNP,178489,179314,825,0.5
Dinajpur 1,Gonodhikar Parishad - GOP,393,395,2,0.5
Dinajpur 1,Islamic Andolan Bangladesh,3074,3095,21,0.7
Dinajpur 1,Jatiya Party,1515,1530,15,1.0
Dinajpur 1,Zaker Party,2262,2280,18,0.8
Dinajpur 2,Bangladesh Jamaat-e-Islami,103693,104887,1194,1.2
Dinajpur 2,Bangladesh Khelafat Majlis,1044,0,-1044,-100.0
Dinajpur 2,Bangladesh Muslim League,453,0,-453,-100.0
Dinajpur 2,Bangladesh Muslim League - BML,0,461,461,0
Dinajpur 2,Bangladesh Nationalist Party - BNP,138878,144317,5439,3.9
Dinajpur 2,Independent,19377,19475,98,0.5
Dinajpur 2,Islamic Andolan Bangladesh,1049,1067,18,1.7
Dinajpur 2,Jatiya Party,4613,4647,34,0.7
Dinajpur 2,Khelafat Majlis,0,1046,1046,0
Dinajpur 3,Bangladesh Jamaat-e-Islami,134618,136239,1621,1.2
Dinajpur 3,Bangladesh Muslim League,205,0,-205,-100.0
Dinajpur 3,Bangladesh Muslim League - BML,0,214,214,0
Dinajpur 3,Bangladesh Nationalist Party - BNP,139207,140608,1401,1.0
Dinajpur 3,Bangladesh Samajtantrik Dal - BASAD,279,283,4,1.4
Dinajpur 3,Communist Party of Bangladesh,685,701,16,2.3
Dinajpur 3,Islamic Andolan Bangladesh,1392,1408,16,1.1
Dinajpur 3,Jatiya Party,3797,3838,41,1.1
Dinajpur 3,Jonotar Dol,329,337,8,2.4
Dinajpur 4,Bangladesh Jamaat-e-Islami,127666,129056,1390,1.1
Dinajpur 4,Bangladesh Nationalist Party - BNP,165577,166717,1140,0.7
Dinajpur 4,Islamic Andolan Bangladesh,1686,1699,13,0.8
Dinajpur 4,Jatiya Party,3105,3152,47,1.5
Dinajpur 5,Bangladesh Nationalist Party - BNP,97727,98544,817,0.8
Dinajpur 5,Independent,121906,122803,897,0.7
Dinajpur 5,Jatiya Party,1472,1503,31,2.1
Dinajpur 5,Jatiyo Nagorik Party - NCP,108948,110195,1247,1.1
Dinajpur 6,Bangladesh Jamaat-e-Islami,188719,190703,1984,1.1
Dinajpur 6,Bangladesh Nationalist Party - BNP,203887,205118,1231,0.6
Dinajpur 6,Bangladesh Samajtantrik Dal - BASAD,447,449,2,0.4
Dinajpur 6,Independent,558,570,12,2.2
Dinajpur 6,Islamic Andolan Bangladesh,1642,1659,17,1.0
Dinajpur 6,Jatiya Party,2669,2689,20,0.7
Faridpur 1,Bangladesh Jamaat-e-Islami,152610,154772,2162,1.4
Faridpur 1,Bangladesh Minority Janta Party - BMJP,769,786,17,2.2
Faridpur 1,Bangladesh Nationalist Party - BNP,125786,126476,690,0.5
Faridpur 1,Independent,36317,37085,768,2.1
Faridpur 1,Jatiya Party,493,506,13,2.6
Faridpur 2,Bangladesh Congress,251,257,6,2.4
Faridpur 2,Bangladesh Khelafat Majlis,87956,0,-87956,-100.0
Faridpur 2,Bangladesh Nationalist Party - BNP,120909,121694,785,0.6
Faridpur 2,Gonodhikar Parishad - GOP,675,675,0,0.0
Faridpur 2,Insaniyat Biplob Bangladesh,609,0,-609,-100.0
Faridpur 2,Islamic Andolan Bangladesh,2335,2368,33,1.4
Faridpur 2,Khelafat Majlis,0,89305,89305,0
Faridpur 3,Bangladesh Jamaat-e-Islami,122449,124115,1666,1.4
Faridpur 3,Bangladesh Nationalist Party - BNP,147846,148545,699,0.5
Faridpur 3,Communist Party of Bangladesh,950,967,17,1.8
Faridpur 3,Independent,1236,1253,17,1.4
Faridpur 3,Islamic Andolan Bangladesh,3970,4022,52,1.3
Faridpur 3,Jatiya Samajtantrik Dal - JSD,251,251,0,0.0
Faridpur 4,Bangladesh Jamaat-e-Islami,73623,75805,2182,3.0
Faridpur 4,Bangladesh Khelafat Majlis,1058,0,-1058,-100.0
Faridpur 4,Bangladesh Nationalist Party - BNP,126532,127443,911,0.7
Faridpur 4,Communist Party of Bangladesh,707,714,7,1.0
Faridpur 4,Independent,57499,57868,369,0.6
Faridpur 4,Islamic Andolan Bangladesh,11393,11498,105,0.9
Faridpur 4,Jatiya Party,541,550,9,1.7
Faridpur 4,Khelafat Majlis,0,1118,1118,0
Feni 1,Bangladesh Congress,205,215,10,4.9
Feni 1,Bangladesh Jamaat-e-Islami,80661,85615,4954,6.1
Feni 1,Bangladesh Khilafat Andolan,298,310,12,4.0
Feni 1,Bangladesh Muslim League,184,0,-184,-100.0
Feni 1,Bangladesh Muslim League - BML,0,188,188,0
Feni 1,Bangladesh Nationalist Party - BNP,117231,119904,2673,2.3
Feni 1,Islamic Andolan Bangladesh,5149,5323,174,3.4
Feni 1,Jatiya Party,905,940,35,3.9
Feni 2,Amar Bangladesh Party - AB Party,75090,80058,4968,6.6
Feni 2,Amjanatar Dol,789,801,12,1.5
Feni 2,Bangladesh Khelafat Majlis,748,0,-748,-100.0
Feni 2,Bangladesh Khilafat Andolan,280,304,24,8.6
Feni 2,Bangladesh Nationalist Party - BNP,128206,131210,3004,2.3
Feni 2,Bangladesh Samajtantrik Dal (Marxist),305,322,17,5.6
Feni 2,Gonodhikar Parishad - GOP,399,409,10,2.5
Feni 2,Independent,698,703,5,0.7
Feni 2,Insaniyat Biplob Bangladesh,234,239,5,2.1
Feni 2,Islamic Andolan Bangladesh,6552,1927,-4625,-70.6
Feni 2,Jatiya Samajtantrik Dal - JSD,235,240,5,2.1
Feni 2,Khelafat Majlis,0,820,820,0
Feni 3,Bangladesh Islami Front,0,531,531,0
Feni 3,Bangladesh Jamaat-e-Islami,100821,108160,7339,7.3
Feni 3,Bangladesh Khilafat Andolan,315,320,5,1.6
Feni 3,Bangladesh Nationalist Party - BNP,154229,157825,3596,2.3
Feni 3,Bangladesh Samajtantrik Dal - BASAD,704,731,27,3.8
Feni 3,Insaniyat Biplob Bangladesh,309,327,18,5.8
Feni 3,Islamic Andolan Bangladesh,6493,6701,208,3.2
Feni 3,Islamic Front Bangladesh,507,0,-507,-100.0
Feni 3,Jatiya Party,1369,1427,58,4.2
Gaibandha 1,Amjanatar Dol,174,141,-33,-19.0
Gaibandha 1,Bangladesh Jamaat-e-Islami,138945,140726,1781,1.3
Gaibandha 1,Bangladesh Nationalist Party - BNP,37851,37997,146,0.4
Gaibandha 1,Bangladesh Samajtantrik Dal (Marxist),394,305,-89,-22.6
Gaibandha 1,Independent,27498,20777,-6721,-24.4
Gaibandha 1,Islamic Andolan Bangladesh,2044,1557,-487,-23.8
Gaibandha 1,Jatiya Party,33927,25523,-8404,-24.8
Gaibandha 2,Bangladesh Jamaat-e-Islami,121073,122630,1557,1.3
Gaibandha 2,Bangladesh Nationalist Party - BNP,92180,92890,710,0.8
Gaibandha 2,Bangladesh Samajtantrik Dal (Marxist),620,620,0,0.0
Gaibandha 2,Communist Party of Bangladesh,2318,2318,0,0.0
Gaibandha 2,Islamic Andolan Bangladesh,2351,2351,0,0.0
Gaibandha 2,Jatiya Party,21143,21143,0,0.0
Gaibandha 2,Jonotar Dol,196,196,0,0.0
Gaibandha 3,Bangladesh Jamaat-e-Islami,160552,162457,1905,1.2
Gaibandha 3,Bangladesh Nationalist Party - BNP,138700,139864,1164,0.8
Gaibandha 3,Communist Party of Bangladesh,515,298,-217,-42.1
Gaibandha 3,Gonodhikar Parishad - GOP,1773,995,-778,-43.9
Gaibandha 3,Independent,3095,853,-2242,-72.4
Gaibandha 3,Insaniyat Biplob Bangladesh,141,49,-92,-65.2
Gaibandha 3,Islamic Andolan Bangladesh,2816,1246,-1570,-55.8
Gaibandha 3,Jatiya Party,1604,904,-700,-43.6
Gaibandha 3,Jonotar Dol,156,71,-85,-54.5
Gaibandha 4,Bangladesh Jamaat-e-Islami,138200,139738,1538,1.1
Gaibandha 4,Bangladesh Nationalist Party - BNP,141712,142772,1060,0.7
Gaibandha 4,Biplabi Workers Party,366,98,-268,-73.2
Gaibandha 4,Independent,1540,777,-763,-49.5
Gaibandha 4,Islamic Andolan Bangladesh,1357,710,-647,-47.7
Gaibandha 4,Jatiya Party,2330,1174,-1156,-49.6
Gaibandha 5,Bangladesh Jamaat-e-Islami,87913,89274,1361,1.5
Gaibandha 5,Bangladesh Nationalist Party - BNP,72741,73483,742,1.0
Gaibandha 5,Bangladesh Samajtantrik Dal (Marxist),246,217,-29,-11.8
Gaibandha 5,Communist Party of Bangladesh,461,434,-27,-5.9
Gaibandha 5,Independent,46326,41766,-4560,-9.8
Gaibandha 5,Islamic Andolan Bangladesh,2190,1839,-351,-16.0
Gaibandha 5,Jatiya Party,3375,3102,-273,-8.1
Gazipur 1,Bangladesh Jamaat-e-Islami,147856,149553,1697,1.1
Gazipur 1,Bangladesh Labour Party,163,168,5,3.1
Gazipur 1,Bangladesh Nationalist Party - BNP,207622,208688,1066,0.5
Gazipur 1,Bangladesh Samajtantrik Dal (Marxist),225,232,7,3.1
Gazipur 1,Gonofront,127,129,2,1.6
Gazipur 1,Independent,6615,6703,88,1.3
Gazipur 1,Islamic Andolan Bangladesh,5668,5696,28,0.5
Gazipur 1,Jatiya Party,3281,3325,44,1.3
Gazipur 2,Bangladesh Nationalist Party - BNP,187558,188606,1048,0.6
Gazipur 2,Bangladesh Samajtantrik Dal (Marxist),246,250,4,1.6
Gazipur 2,Bangladesh Samajtantrik Dal - BASAD,1154,1155,1,0.1
Gazipur 2,Communist Party of Bangladesh,1396,1397,1,0.1
Gazipur 2,Gonodhikar Parishad - GOP,243,245,2,0.8
Gazipur 2,Gonofront,196,200,4,2.0
Gazipur 2,Independent,434,444,10,2.3
Gazipur 2,Insaniyat Biplob Bangladesh,408,417,9,2.2
Gazipur 2,Islamic Andolan Bangladesh,12571,12657,86,0.7
Gazipur 2,Jatiya Party,4097,4125,28,0.7
Gazipur 2,Jatiyo Nagorik Party - NCP,139337,140950,1613,1.2
Gazipur 2,Jonotar Dol,534,537,3,0.6
Gazipur 3,Bangladesh Khelafat Majlis,99354,0,-99354,-100.0
Gazipur 3,Bangladesh Nationalist Party - BNP,161258,162343,1085,0.7
Gazipur 3,Bangladesh Samajtantrik Dal - BASAD,480,484,4,0.8
Gazipur 3,Independent,21843,21963,120,0.5
Gazipur 3,Islami Oikyajote,2295,2332,37,1.6
Gazipur 3,Islamic Andolan Bangladesh,5983,6036,53,0.9
Gazipur 3,Jatiya Party,1955,1995,40,2.0
Gazipur 3,Khelafat Majlis,0,100539,100539,0
Gazipur 4,Amjanatar Dol,273,278,5,1.8
Gazipur 4,Bangladesh Jamaat-e-Islami,99271,101779,2508,2.5
Gazipur 4,Bangladesh Nationalist Party - BNP,89354,90390,1036,1.2
Gazipur 4,Communist Party of Bangladesh,1071,1091,20,1.9
Gazipur 4,Independent,1466,1521,55,3.8
Gazipur 4,Islamic Andolan Bangladesh,2299,2348,49,2.1
Gazipur 4,Jatiya Party,2089,2147,58,2.8
Gazipur 4,National Peoples Party - NPP,126,0,-126,-100.0
