seat,ec_id,ec_valid,our_tvc,our_known,tvc_diff,known_diff,ec_ncand,our_ncand,ec_winner_party,ec_winner_votes,our_winner,our_winner_votes,winner_vote_diff
Natore 3,60,227108,228563,228563,1455,1455,6,6,Bangladesh Nationalist Party - BNP,119170,Md. Anwarul Islam,119768,598
Natore 4,61,310878,312840,312840,1962,1962,5,5,Bangladesh Nationalist Party - BNP,169847,Md. Abdul Aziz,170551,704
Sirajganj 1,62,227882,229416,229416,1534,1534,6,6,Bangladesh Nationalist Party - BNP,116061,Md. Selim Reza,116613,552
Sirajganj 2,63,318050,320766,320766,2716,2716,7,7,Bangladesh Nationalist Party - BNP,176585,Iqbal Hassan Mahmud,177578,993
Sirajganj 3,64,291961,293896,293896,1935,1935,4,4,Bangladesh Nationalist Party - BNP,173514,Md. Aynul Haque,174430,916
Sirajganj 4,65,324253,327274,327274,3021,3021,5,5,Bangladesh Nationalist Party - BNP,160458,Md. Rafiqul Islam Khan,161872,1414
Sirajganj 5,66,246828,241794,241794,-5034,-5034,6,6,Bangladesh Nationalist Party - BNP,134197,Md. Amirul Islam Khan,134989,792
Sirajganj 6,67,279901,282810,282810,2909,2909,11,11,Bangladesh Nationalist Party - BNP,170129,M. A. Muhit,171508,1379
Pabna 1,68,234257,236366,236366,2109,2109,4,4,Bangladesh Jamaat-e-Islami,128467,Mohammad Najibur Rahman,129974,1507
Pabna 2,69,297907,301125,301125,3218,3218,5,5,Bangladesh Nationalist Party - BNP,213840,A. K. M. Selim Reza Habib,215406,1566
Pabna 3,70,332618,335128,335128,2510,2510,8,8,Bangladesh Jamaat-e-Islami,145837,Muhammad Ali Ashgar,147475,1638
Pabna 4,71,301709,303777,303807,2068,2098,7,7,Bangladesh Jamaat-e-Islami,136287,Md. Abu Taleb Mondol,137675,1388
Pabna 5,72,349031,351629,351629,2598,2598,4,4,Bangladesh Nationalist Party - BNP,181169,Md. Shamshur Rahman Shimul Biswas,181925,756
Meherpur 1,73,228419,230933,230933,2514,2514,4,4,Bangladesh Jamaat-e-Islami,121461,Md. Tajuddin Khan,123271,1810
Meherpur 2,74,181904,182294,184085,390,2181,3,3,Bangladesh Jamaat-e-Islami,94658,Md. Nazmul Huda,96306,1648
Jhenaidah 1,81,229534,232324,232324,2790,2790,5,5,Bangladesh Nationalist Party - BNP,171756,Md. Asaduzzaman,173381,1625
Jhenaidah 2,82,372996,378148,378148,5152,5152,6,6,Bangladesh Jamaat-e-Islami,192352,Ali Azam Md. Abu Bakar,195702,3350
Jhenaidah 3,83,325916,329886,329886,3970,3970,4,4,Bangladesh Jamaat-e-Islami,173154,Md. Motiyar Rahman,175857,2703
Jhenaidah 4,84,240816,244114,244150,3298,3334,6,6,Bangladesh Jamaat-e-Islami,104081,Md. Abu Talib,105999,1918
Jashore 1,85,213480,215801,215801,2321,2321,4,4,Bangladesh Jamaat-e-Islami,117377,Muhammad Azizur Rahman.,119093,1716
Jashore 2,86,329870,334891,334891,5021,5021,8,8,Bangladesh Jamaat-e-Islami,177472,Mohammad Mosleh Uddin Farid,180965,3493
Jashore 3,87,403186,408053,408053,4867,4867,6,6,Bangladesh Nationalist Party - BNP,199647,Anindya Islam Amit,201339,1692
Jashore 4,88,321960,325283,325283,3323,3323,8,8,Bangladesh Jamaat-e-Islami,174621,Md. Gholam Rashul,176912,2291
Jashore 5,89,277937,281544,281544,3607,3607,6,6,Bangladesh Jamaat-e-Islami,130596,Gazi Enamul Haque,132876,2280
Jashore 6,90,173231,175322,175322,2091,2091,5,5,Bangladesh Jamaat-e-Islami,91018,Md. Mokhtar Ali,92234,1216
Bagerhat 1,95,242390,244871,244871,2481,2481,8,8,Bangladesh Jamaat-e-Islami,116180,Md. Mashirur Rahman Khan,117527,1347
Bagerhat 2,96,235071,237396,237396,2325,2325,4,4,Bangladesh Jamaat-e-Islami,116370,Sheikh Manjurul Haque (Rahad),117709,1339
Bagerhat 3,97,189451,190445,191830,994,2379,5,5,Bangladesh Nationalist Party - BNP,102193,Sheikh Faridul Islam,103711,1518
Bagerhat 4,98,222047,224585,224585,2538,2538,6,6,Bangladesh Jamaat-e-Islami,114417,Md. Abdul Alim,116067,1650
Khulna 1,99,204284,205795,205795,1511,1511,12,12,Bangladesh Nationalist Party - BNP,120092,Ameer Ejaz Khan,121352,1260
Khulna 2,100,186430,189284,189284,2854,2854,3,3,Bangladesh Jamaat-e-Islami,92199,Sheikh Jahangir Hossain Helal,93789,1590
Khulna 3,101,145134,147966,147966,2832,2832,10,10,Bangladesh Nationalist Party - BNP,73570,Rakibul Islam,74845,1275
Khulna 4,102,243845,246896,246896,3051,3051,4,4,Bangladesh Nationalist Party - BNP,121623,Azizul Baree Helal,123162,1539
Khulna 5,103,294931,298209,298209,3278,3278,4,4,Bangladesh Nationalist Party - BNP,147625,Mohammad Ali Asghar,148854,1229
Khulna 6,104,279571,282672,282672,3101,3101,5,5,Bangladesh Jamaat-e-Islami,148956,Md. Abul Kalam Azad,150724,1768
Satkhira 1,105,364910,369097,369097,4187,4187,5,5,Bangladesh Jamaat-e-Islami,190967,Md. Izzat Ullah,193772,2805
Satkhira 2,106,385172,389823,389823,4651,4651,5,5,Bangladesh Jamaat-e-Islami,263503,Muhammad Abdul Khaliq,266959,3456
Satkhira 3,107,346879,350233,350233,3354,3354,6,6,Bangladesh Jamaat-e-Islami,182165,Hafez Muhaj Rabiul Bashar,184233,2068
Satkhira 4,108,196772,198383,198383,1611,1611,4,4,Bangladesh Jamaat-e-Islami,105805,G. M. Nazrul Islam,106913,1108
Barguna 1,109,279289,283649,283649,4360,4360,4,4,Islamic Andolan Bangladesh,138510,Md. Ali Ullah,140291,1781
Barguna 2,110,190896,194622,194622,3726,3726,9,9,Bangladesh Nationalist Party - BNP,89428,Md. Nurul Islam,90643,1215
Bhola 1,115,205671,196496,208481,-9175,2810,8,8,Bangladesh Jatiya Party - BJP,104462,Andaleeve Rahman,105543,1081
Bhola 2,116,212333,215422,215422,3089,3089,8,8,Bangladesh Nationalist Party - BNP,118131,Md. Hafiz Ibrahim,119085,954
Bhola 3,117,210055,212153,212153,2098,2098,6,6,Bangladesh Nationalist Party - BNP,145127,"Hafiz Uddin Ahmed, Bir Bikram",145990,863
Bhola 4,118,294100,296927,297427,2827,3327,7,7,Bangladesh Nationalist Party - BNP,188390,Mohammad Nurul Islam,189351,961
Barishal 1,119,196851,199585,199585,2734,2734,5,5,Bangladesh Nationalist Party - BNP,99418,Zahir Uddin Swapon,100552,1134
Barishal 2,120,222654,226273,226273,3619,3619,8,8,Bangladesh Nationalist Party - BNP,140085,Sardar Sarfuddin Ahmed,141622,1537
Barishal 3,121,170347,173705,173705,3358,3358,6,6,Bangladesh Nationalist Party - BNP,79771,Zainul Abedin,80930,1159
