seat,ec_id,ec_valid,our_tvc,our_known,tvc_diff,known_diff,ec_ncand,our_ncand,ec_winner_party,ec_winner_votes,our_winner,our_winner_votes,winner_vote_diff
Chandpur 1,260,203526,208969,208969,5443,5443,6,6,Bangladesh Nationalist Party - BNP,131329,A. N. M. Ehsanul Hoque Milon,133032,1703
Chandpur 2,261,239857,244864,244864,5007,5007,8,8,Bangladesh Nationalist Party - BNP,170583,Md. Jalal Uddin,172506,1923
Chandpur 3,262,277710,283839,283839,6129,6129,7,7,Bangladesh Nationalist Party - BNP,163610,Sheikh Farid Ahmed,165404,1794
Chandpur 4,263,210033,216493,216493,6460,6460,8,8,Independent,73599,Md. Abdul Hannan,74175,576
Chandpur 5,264,275763,282963,282963,7200,7200,7,7,Bangladesh Nationalist Party - BNP,182588,Md. Mominul Haque,185404,2816
Feni 1,265,204633,212495,212495,7862,7862,7,7,Bangladesh Nationalist Party - BNP,117231,Munshi Rafiqul Alam,119904,2673
Feni 2,266,213536,215422,217033,1886,3497,11,11,Bangladesh Nationalist Party - BNP,128206,Zainal Abedin,131210,3004
Feni 3,267,264747,275622,276022,10875,11275,8,8,Bangladesh Nationalist Party - BNP,154229,Mr. Abdul Awal Mintu,157825,3596
Cox's Bazar 1,294,349540,356275,356275,6735,6735,3,3,Bangladesh Nationalist Party - BNP,219758,Salahuddin Ahmed,222019,2261
Cox's Bazar 2,295,224170,227185,227185,3015,3015,5,5,Bangladesh Nationalist Party - BNP,124660,Alamgir Muhammad Mahfuz Ullah Farid,125543,883
Cox's Bazar 3,296,343486,350988,350988,7502,7502,6,6,Bangladesh Nationalist Party - BNP,180507,Lutfur Rahman,182096,1589
Cox's Bazar 4,297,247782,250332,250332,2550,2550,4,4,Bangladesh Nationalist Party - BNP,123021,Shahjahan Chowdhury,123582,561
Rangamati 1,299,260598,263647,263647,3049,3049,7,7,Bangladesh Nationalist Party - BNP,199855,Deepen Dewan,201544,1689
