seat,rule,merged_name,merged_source,merged_party,merged_votes,into_name,into_sources,into_party,into_votes,similarity,note
Bagerhat 2,1,Sheikh Manjurul Haque (Rahad),bss,Bangladesh Jamaat-e-Islami (Jamaat),bss=117709,Sheikh Manjurul Haque,"ds,tbs",Bangladesh Jamaat-e-Islami (Jamaat),ds=117709; tbs=117709,1.00,name+party match (sim=1.00) [vote-boosted]
Bagerhat 2,1,Sheikh Manjurul Haque (Rahad),dt,Bangladesh Jamaat-e-Islami (Jamaat),dt=117709,Sheikh Manjurul Haque (Rahad),"bss,ds,tbs",Bangladesh Jamaat-e-Islami (Jamaat),bss=117709; ds=117709; tbs=117709,1.00,name+party match (sim=1.00) [vote-boosted]
Bagerhat 3,1,M. A. H. Selim,ds,Independent Candidate (Independent),ds=0,M. A. H. Selim,tbs,Independent Candidate (Independent),tbs=425,1.00,name+party match (sim=1.00)
Bagerhat 3,1,M. A. H. Selim,dt,Independent Candidate (Independent),dt=425,M. A. H. Selim,"ds,tbs",Independent Candidate (Independent),ds=0; tbs=425,1.00,name+party match (sim=1.00) [vote-boosted]
Bagerhat 3,1,Mohammed Abdul Wadud Sheikh,ds,Bangladesh Jamaat-e-Islami (Jamaat),ds=83705,Md. Abdul Wadud Sheikh,tbs,Bangladesh Jamaat-e-Islami (Jamaat),tbs=83550,0.89,name+party match (sim=0.89)
Bagerhat 3,1,Mohammad Abdul Wadud Sheikh,bss,Bangladesh Jamaat-e-Islami (Jamaat),bss=83550,Mohammed Abdul Wadud Sheikh,"ds,tbs",Bangladesh Jamaat-e-Islami (Jamaat),ds=83705; tbs=83550,0.89,name+party match (sim=0.89) [vote-boosted]
Bagerhat 3,1,Mohammad Abdul Wadud Sheikh,dt,Bangladesh Jamaat-e-Islami (Jamaat),dt=83550,Mohammed Abdul Wadud Sheikh,"bss,ds,tbs",Bangladesh Jamaat-e-Islami (Jamaat),bss=83550; ds=83705; tbs=83550,0.89,name+party match (sim=0.89) [vote-boosted]
Bagerhat 3,1,Md. Habibur Rahman Master,ds,Jatiya Samajtantrik Dal (JSD),ds=0,Md. Habibur Rahman Master,tbs,Jatiya Samajtantrik Dal (JSD),tbs=349,1.00,name+party match (sim=1.00)
Bagerhat 3,1,Md. Habibur Rahman Master,dt,Jatiya Samajtantrik Dal (JSD),dt=349,Md. Habibur Rahman Master,"ds,tbs",Jatiya Samajtantrik Dal (JSD),ds=0; tbs=349,1.00,name+party match (sim=1.00) [vote-boosted]
Bagerhat 3,1,Sheikh Faridul Islam,ds,Bangladesh Nationalist Party (BNP),ds=103711,Sheikh Faridul Islam,tbs,Bangladesh Nationalist Party (BNP),tbs=102661,1.00,name+party match (sim=1.00)
Bagerhat 3,1,Sheikh Faridul Islam,bss,Bangladesh Nationalist Party (BNP),bss=102661,Sheikh Faridul Islam,"ds,tbs",Bangladesh Nationalist Party (BNP),ds=103711; tbs=102661,1.00,name+party match (sim=1.00) [vote-boosted]
Bagerhat 3,1,Sheikh Faridul Islam,dt,Bangladesh Nationalist Party (BNP),dt=102661,Sheikh Faridul Islam,"bss,ds,tbs",Bangladesh Nationalist Party (BNP),bss=102661; ds=103711; tbs=102661,1.00,name+party match (sim=1.00) [vote-boosted]
Bagerhat 3,1,Sheikh Zillur Rahman,ds,Islami Andolan Bangladesh (IAB),ds=0,Sheikh Zillur Rahman,tbs,Islami Andolan Bangladesh (IAB),tbs=3640,1.00,name+party match (sim=1.00)
Bagerhat 3,1,Sheikh Jillur Rahman,dt,Islami Andolan Bangladesh (IAB),dt=3460,Sheikh Zillur Rahman,"ds,tbs",Islami Andolan Bangladesh (IAB),ds=0; tbs=3640,0.95,name+party match (sim=0.95)
Bagerhat 4,1,Md. Omar Farooq,ds,Islami Andolan Bangladesh (IAB),ds=0,Md. Omar Faruk,tbs,Islami Andolan Bangladesh (IAB),tbs=8501,0.86,name+party match (sim=0.86)
Bagerhat 4,1,Md. Omar Faruk,dt,Islami Andolan Bangladesh (IAB),dt=8501,Md. Omar Farooq,"ds,tbs",Islami Andolan Bangladesh (IAB),ds=0; tbs=8501,0.86,name+party match (sim=0.86) [vote-boosted]
Bagerhat 4,1,Md. Abdul Alim,ds,Bangladesh Jamaat-e-Islami (Jamaat),ds=116067,Md. Abdul Alim,tbs,Bangladesh Jamaat-e-Islami (Jamaat),tbs=116067,1.00,name+party match (sim=1.00) [vote-boosted]
Bagerhat 4,1,Md. Abdul Alim,bss,Bangladesh Jamaat-e-Islami (Jamaat),bss=116067,Md. Abdul Alim,"ds,tbs",Bangladesh Jamaat-e-Islami (Jamaat),ds=116067; tbs=116067,1.00,name+party match (sim=1.00) [vote-boosted]
