seat_name,candidate,party,votes
Nilphamari 1,Mawlana Md. Monzurul Islam,Jamiat Ulema-e-Islam Bangladesh (JUIB),119059
Nilphamari 1,Md. Abdus Sattar,Bangladesh Jamaat-e-Islami (Jamaat),150824
Nilphamari 1,Md. Abdul Jalil,Islami Andolan Bangladesh (IAB),1871
Nilphamari 1,Md. Makhdum Azam Mashrafe,Jatiya Party (Manju) (JP–Manju),4501
Nilphamari 1,Md. Taslim Uddin,Jatiya Party (JaPa),12276
Nilphamari 1,Md. Rafiqul Islam,Socialist Party of Bangladesh (Marxist) (SPB-M),312
Nilphamari 1,Md. Sirajul Islam,Bangladesh Nationalist Front (BNF),210
Nilphamari 1,Md. Taslim Uddin,Jatiya Party (JaPa),12276
Nilphamari 2,Alfaruq Abdul Latif,Bangladesh Jamaat-e-Islami (Jamaat),146430
Nilphamari 2,Md. Minhazul Islam Minhaz,Independent Candidate (Independent),307
Nilphamari 2,Md. Sarwarul Alam,Khelafat Majlis,351
Nilphamari 2,Shahrin Islam,Bangladesh Nationalist Party (BNP),135418
Nilphamari 2,Md. Sirajul Islam,Bangladesh Nationalist Front (BNF),193
Nilphamari 2,Hasibul Islam,Islami Andolan Bangladesh (IAB),3260
Nilphamari 3,Alhaz Sayed Ali,Bangladesh Nationalist Party (BNP),89807
Nilphamari 3,Obaidullah Salafi,Bangladesh Jamaat-e-Islami (Jamaat),109686
Nilphamari 3,Amzad Hossain Sarker,Islami Andolan Bangladesh (IAB),990
Nilphamari 3,Rohan Chowdhury,Jatiya Party (JaPa),3391
Nilphamari 4,Abdul Muttakim,Bangladesh Jamaat-e-Islami (Jamaat),126222
Nilphamari 4,S. M. Mamunur Rashid,Independent Candidate (Independent),436
Nilphamari 4,Jobaidur Rahman Hira,Independent Candidate (Independent),1008
Nilphamari 4,Md. Abdul Gafur Sarkar,Bangladesh Nationalist Party (BNP),82086
Nilphamari 4,Md. Riyad Arfan Sarkar,Independent Candidate (Independent),3826
Nilphamari 4,Md. Shahidul Islam,Islami Andolan Bangladesh (IAB),8335
Nilphamari 4,Md. Siddiqul Alam,Jatiya Party (JaPa),67757
Nilphamari 4,Md. Maidul Islam,Socialist Party of Bangladesh (Marxist) (SPB-M),630
Nilphamari 4,Mirza Md. Shawkat Akbar,Bangladesh Jatiya Party (BJP),97
Lalmonirhat 1,Anowarul Islam Razu,Bangladesh Jamaat-e-Islami (Jamaat),129572
Lalmonirhat 1,Md. Hasan Razib Prodhan,Bangladesh Nationalist Party (BNP),138686
Lalmonirhat 2,Md. Firoz Haidar,Bangladesh Jamaat-e-Islami (Jamaat),107886
Lalmonirhat 2,Md. Rokon Uddin Babul,Bangladesh Nationalist Party (BNP),118359
Lalmonirhat 3,Asadul Habib Dulu,Bangladesh Nationalist Party (BNP),139651
Lalmonirhat 3,Md. Abu Taher,Bangladesh Jamaat-e-Islami (Jamaat),56244
Rangpur 1,Md. Mokarram Hossain Sujon,Bangladesh Nationalist Party (BNP),69407
Rangpur 1,Md. Raihan Siraji,Bangladesh Jamaat-e-Islami (Jamaat),145088
Rangpur 2,Anisul Islam Mondol,Jatiya Party (JaPa),19693
Rangpur 2,A. T. M. Azharul Islam,Bangladesh Jamaat-e-Islami (Jamaat),89456
Rangpur 2,Md. Ali Sarkar,Bangladesh Nationalist Party (BNP),53626
Rangpur 3,Mahbubur Rahman Belal,Bangladesh Jamaat-e-Islami (Jamaat),175827
Rangpur 3,Shamsuzzaman Shamu,Bangladesh Nationalist Party (BNP),84578
Rangpur 4,Akhter Hossain,National Citizen Party (NCP),149966
Rangpur 4,Md. Emdadul Haque Varosha,Bangladesh Nationalist Party (BNP),140564
Rangpur 5,S. M. Fakhruz Zaman,Jatiya Party (JaPa),14944
Rangpur 5,Md. Golam Rabbani,Bangladesh Nationalist Party (BNP),115116
