seat_name,candidate,party,votes,num_sources,sources,vote_details,comment
Barishal 1,Zahir Uddin Swapon,Bangladesh Nationalist Party (BNP),100552,4,"bss,ds,dt,tbs",bss=100522; ds=100552; dt=100552; tbs=100552,
Barishal 1,Md. Kamrul Islam Khan,Bangladesh Jamaat-e-Islami (Jamaat),46263,4,"bss,ds,dt,tbs",bss=46263; ds=46263; dt=46263; tbs=46263,
Barishal 1,Abdus Sobhan,Independent Candidate (Independent),44188,3,"ds,dt,tbs",ds=0; dt=44188; tbs=44188,
Barishal 1,Md. Russell Sardar,Islami Andolan Bangladesh (IAB),6846,3,"ds,dt,tbs",ds=0; dt=6846; tbs=6846,
Barishal 1,Sher-e-Niabath Sekendar Ali,Jatiya Party (Manju) (JP–Manju),1736,3,"ds,dt,tbs",ds=0; dt=1736; tbs=1736,
Barishal 2,Sardar Sarfuddin Ahmed,Bangladesh Nationalist Party (BNP),141622,4,"bss,ds,dt,tbs",bss=141622; ds=141622; dt=141622; tbs=141622,
Barishal 2,Abdul Mannan,Bangladesh Jamaat-e-Islami (Jamaat),74082,4,"bss,ds,dt,tbs",bss=74082; ds=74082; dt=74082; tbs=78082,
Barishal 2,Mohammad Nesar Uddin,Islami Andolan Bangladesh (IAB),6021,3,"ds,dt,tbs",ds=0; dt=6021; tbs=6021,
Barishal 2,A. Haque,Jatiya Party (Manju) (JP–Manju),2329,3,"ds,dt,tbs",ds=0; dt=2329; tbs=2329,
Barishal 2,M. A. Jalil,Jatiya Party (JaPa),1199,3,"ds,dt,tbs",ds=0; dt=1199; tbs=1199,
Barishal 2,Ranjit Kumar Baroi,Gono Odhikar Parishad (GOP),700,3,"ds,dt,tbs",ds=0; dt=700; tbs=700,
Barishal 2,Saheb Ali,National People's Party (NPP),185,3,"ds,dt,tbs",ds=0; dt=185; tbs=185,fuzzy-merged 'Mr. Ali' (ds) -> 'Saheb Ali' (score=0.55)
Barishal 2,Md. Abul Kalam Azad,Jatiya Samajtantrik Dal (JSD),135,3,"ds,dt,tbs",ds=0; dt=135; tbs=135,
Barishal 3,Zainul Abedin,Bangladesh Nationalist Party (BNP),80930,4,"bss,ds,dt,tbs",bss=80930; ds=80930; dt=80930; tbs=80930,
Barishal 3,Mohammad Asaduzzaman Bhuiyan,Amar Bangladesh Party (AB),61192,4,"bss,ds,dt,tbs",bss=61192; ds=61192; dt=61192; tbs=61192,
Barishal 3,Muhammad Sirajul Islam,Islami Andolan Bangladesh (IAB),16325,3,"ds,dt,tbs",ds=0; dt=16325; tbs=16325,
Barishal 3,Golam Kibria Tipu,Jatiya Party (JaPa),14184,3,"ds,dt,tbs",ds=0; dt=14184; tbs=14184,
Barishal 3,Yamin H. M. Fardin,Gono Odhikar Parishad (GOP),860,3,"ds,dt,tbs",ds=0; dt=860; tbs=860,
