seat_name,candidate,party,votes,num_sources,sources,vote_details,comment
Dhaka 10,Abul Kalam Azad,Bangladesh Labour Party,0,2,"ds,dt",ds=0; dt=0,
Dhaka 10,Banhi Bepari,Jatiya Party (JaPa),0,2,"ds,dt",ds=0; dt=0,
Dhaka 10,Md. Abdul Awal,Islami Andolan Bangladesh (IAB),0,2,"ds,dt",ds=0; dt=0,
Dhaka 10,Md. Abu Hanif Hridoy,Bangladesh Republican Party (BRP),0,2,"ds,dt",ds=0; dt=0,
Dhaka 10,Md. Anichur Rahman,Bangladesh Sangskritik Muktijote (BSM),0,2,"ds,dt",ds=0; dt=0,
Dhaka 10,Md. Zakir Hossain,Janotar Dol,0,2,"ds,dt",ds=0; dt=0,
Dhaka 10,Nasreen Sultana,Amar Bangladesh Party (AB),0,2,"ds,dt",ds=0; dt=0,
Dhaka 10,Abdullah Al Hossain,Amjanatar Dol,0,1,dt,dt=0,
Dhaka 11,Md. Nahid Islam,National Citizen Party (NCP),93872,4,"bss,ds,dt,tbs",bss=93872; ds=93872; dt=93872; tbs=93872,
Dhaka 11,M. A. Quayum,Bangladesh Nationalist Party (BNP),91833,4,"bss,ds,dt,tbs",bss=91833; ds=91833; dt=91833; tbs=91833,
Dhaka 11,Sheikh Md. Fazle Bari Masud,Islami Andolan Bangladesh (IAB),4375,3,"ds,dt,tbs",ds=0; dt=4375; tbs=4375,
Dhaka 11,Shameem Ahmed,Jatiya Party (JaPa),1048,3,"ds,dt,tbs",ds=0; dt=1048; tbs=1048,
Dhaka 11,Kohinoor Akhter Bithi,Independent Candidate (Independent),794,3,"ds,dt,tbs",ds=0; dt=794; tbs=794,
Dhaka 11,Md. Zakir Hossain,Bangladesh Republican Party (BRP),283,3,"ds,dt,tbs",ds=0; dt=283; tbs=283,
Dhaka 11,Md. Mizanur Rahman,National People's Party (NPP),241,3,"ds,dt,tbs",ds=0; dt=241; tbs=241,
Dhaka 11,Kazi Md. Shahidullah,Bangladesh Sangskritik Muktijote (BSM),196,3,"ds,dt,tbs",ds=0; dt=196; tbs=196,
Dhaka 11,Md. Abdul Kader,Gono Forum (GF),130,3,"ds,dt,tbs",ds=0; dt=130; tbs=130,
Dhaka 11,Md. Arifur Rahman,Gono Odhikar Parishad (GOP),81,3,"ds,dt,tbs",ds=0; dt=81; tbs=81,
Dhaka 12,Md. Saiful Alam,Bangladesh Jamaat-e-Islami (Jamaat),53773,4,"bss,ds,dt,tbs",bss=53773; ds=53773; dt=9741; tbs=53773,vote-mismatch: spread=82%
Dhaka 12,Saiful Haque,Revolutionary Workers Party of Bangladesh (RWPB),30963,4,"bss,ds,dt,tbs",bss=30963; ds=30963; dt=30963; tbs=30963,
Dhaka 12,Saiful Alam Nirob,Independent Candidate (Independent),29869,3,"ds,dt,tbs",ds=0; dt=29869; tbs=29869,
Dhaka 12,Mahamudul Hasan,Islami Andolan Bangladesh (IAB),2058,3,"ds,dt,tbs",ds=0; dt=2058; tbs=2058,
Dhaka 12,Sarkar Mohammad Salauddin,Jatiya Party (JaPa),1770,3,"ds,dt,tbs",ds=0; dt=1770; tbs=1770,
Dhaka 12,Taslima Akhter,Ganosanhati Andolan (GSA),1511,3,"ds,dt,tbs",ds=0; dt=1511; tbs=1511,
Dhaka 12,Md. Tarek Rahman,Amjanatar Dol,1044,3,"ds,dt,tbs",ds=0; dt=1044; tbs=1044,
Dhaka 12,Kallol Banik,Communist Party of Bangladesh (CPB),453,3,"ds,dt,tbs",ds=0; dt=453; tbs=453,
Dhaka 12,Mohammad Shahjalal,Bangladesh Islami Front (BIF),184,3,"ds,dt,tbs",ds=0; dt=184; tbs=184,
Dhaka 12,Farid Ahmed,Janotar Dol,175,3,"ds,dt,tbs",ds=0; dt=175; tbs=175,
Dhaka 12,Mosammat Salma Akter,Insaniyat Biplob Bangladesh (IBB),133,3,"ds,dt,tbs",ds=0; dt=133; tbs=133,
Dhaka 12,Abul Bashar Chowdhury,Gono Odhikar Parishad (GOP),115,3,"ds,dt,tbs",ds=0; dt=115; tbs=115,
Dhaka 12,Muntasir Mahmud,Bangladesh Sangskritik Muktijote (BSM),115,3,"ds,dt,tbs",ds=0; dt=115; tbs=115,
Dhaka 12,Mominul Amin,Nationalist Democratic Movement (NDM),58,3,"ds,dt,tbs",ds=0; dt=58; tbs=58,
Dhaka 12,Mohammad Naim Hasan,Bangladesh Jatiya Party (BJP),47,3,"ds,dt,tbs",ds=0; dt=47; tbs=47,
Dhaka 13,Bobby Hajjaj,Bangladesh Nationalist Party (BNP),88387,4,"bss,ds,dt,tbs",bss=88387; ds=88387; dt=88387; tbs=88387,
Dhaka 13,Md. Mamunul Haque,Khelafat Majlis,86067,4,"bss,ds,dt,tbs",bss=86067; ds=86067; dt=86067; tbs=86067,
Dhaka 13,Sheikh Md. Robiul Islam,Independent Candidate (Independent),972,3,"ds,dt,tbs",ds=0; dt=972; tbs=972,
Dhaka 13,Sohel Rana,Independent Candidate (Independent),711,3,"ds,dt,tbs",ds=0; dt=711; tbs=711,
Dhaka 13,Fatema Akhter Monia,Insaniyat Biplob Bangladesh (IBB),513,3,"ds,dt,tbs",ds=0; dt=513; tbs=513,
Dhaka 13,Md. Khalekuzzaman,Bangladesh Samajtantrik Dal (Basad),486,3,"ds,dt,tbs",ds=0; dt=486; tbs=486,
Dhaka 13,Shahriar Iftekhar,Bangladesh Muslim League (BML),464,3,"ds,dt,tbs",ds=0; dt=464; tbs=464,
Dhaka 13,Mizanur Rahman,Gono Odhikar Parishad (GOP),336,3,"ds,dt,tbs",ds=0; dt=336; tbs=336,
Dhaka 13,Md. Shahabuddin,Bangladesh Minority Janata Party (BMJP),331,3,"ds,dt,tbs",ds=0; dt=331; tbs=331,
Dhaka 14,Mir Ahmad Bin Quasem,Bangladesh Jamaat-e-Islami (Jamaat),101113,4,"bss,ds,dt,tbs",bss=101113; ds=101113; dt=101113; tbs=101113,
Dhaka 14,Sanjida Islam,Bangladesh Nationalist Party (BNP),83323,4,"bss,ds,dt,tbs",bss=83323; ds=83323; dt=83323; tbs=83323,
Dhaka 14,Syed Abu Bakar Siddiqui,Independent Candidate (Independent),16328,3,"ds,dt,tbs",ds=0; dt=16328; tbs=16328,
Dhaka 14,Md. Abu Yousuf,Islami Andolan Bangladesh (IAB),3760,3,"ds,dt,tbs",ds=0; dt=3760; tbs=3760,
Dhaka 14,Md. Helal Uddin,Jatiya Party (JaPa),857,3,"ds,dt,tbs",ds=0; dt=857; tbs=857,
Dhaka 14,Md. Sohel Rana,Bangladesh Liberal Democratic Party (LDP),385,3,"ds,dt,tbs",ds=0; dt=385; tbs=385,
Dhaka 14,Riyaz Uddin,Communist Party of Bangladesh (CPB),369,3,"ds,dt,tbs",ds=0; dt=369; tbs=369,
Dhaka 14,Md. Osman Ali,Bangladesh Supreme Party (BSP),302,3,"ds,dt,tbs",ds=0; dt=302; tbs=302,
Dhaka 14,Nurul Amin,Jatiya Samajtantrik Dal (JSD),219,3,"ds,dt,tbs",ds=0; dt=219; tbs=219,
Dhaka 14,Mohammad Moniruzzaman,Amar Bangladesh Party (AB),138,3,"ds,dt,tbs",ds=0; dt=138; tbs=138,
Dhaka 14,Md. Liton,Bangladesh Republican Party (BRP),83,3,"ds,dt,tbs",ds=0; dt=83; tbs=83,
Dhaka 14,Md. Jashim Uddin,Gono Forum (GF),79,3,"ds,dt,tbs",ds=0; dt=79; tbs=79,
Dhaka 15,Md. Shafiqur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),85131,4,"bss,ds,dt,tbs",bss=85131; ds=85131; dt=85131; tbs=85131,
Dhaka 15,Md. Shafiqul Islam Khan,Bangladesh Nationalist Party (BNP),63517,4,"bss,ds,dt,tbs",bss=63513; ds=63517; dt=63517; tbs=63517,
Dhaka 15,Md. Shamsul Haque,Jatiya Party (JaPa),1421,3,"ds,dt,tbs",ds=0; dt=1421; tbs=1421,
Dhaka 15,Ahmed Sajedul Haque,Communist Party of Bangladesh (CPB),796,3,"ds,dt,tbs",ds=0; dt=796; tbs=796,"same-party-merged (LOW SIMILARITY 0.33): [dt,tbs] 'Md. Nilav Parvez' (dt=705; tbs=705) -> [ds,dt,tbs] 'Ahmed Sajedul Haque' (ds=0; dt=796; tbs=796), party=Communist Party of Bangladesh (CPB)"
Dhaka 15,Khan Shoaib Aman Ullah,Janotar Dol,378,3,"ds,dt,tbs",ds=0; dt=378; tbs=378,
Dhaka 15,Mubarak Hossain,Bangladesh Supreme Party (BSP),326,3,"ds,dt,tbs",ds=0; dt=326; tbs=326,
Dhaka 15,Md. Ashfaqur Rahman,Jatiya Samajtantrik Dal (JSD),210,3,"ds,dt,tbs",ds=0; dt=210; tbs=210,
Dhaka 16,Md. Abdul Baten,Bangladesh Jamaat-e-Islami (Jamaat),88828,4,"bss,ds,dt,tbs",bss=88828; ds=88828; dt=88828; tbs=88828,
Dhaka 16,Md. Aminul Haque,Bangladesh Nationalist Party (BNP),85467,4,"bss,ds,dt,tbs",bss=85467; ds=85467; dt=85467; tbs=85467,
Dhaka 16,Md. Saiful Islam,Islami Andolan Bangladesh (IAB),3679,3,"ds,dt,tbs",ds=0; dt=3679; tbs=3679,
Dhaka 16,Md. Sultan Ahmed Selim,Jatiya Party (JaPa),1464,3,"ds,dt,tbs",ds=0; dt=1464; tbs=1464,
Dhaka 16,Alhajj A. K. M. Moyazzem Hossain,Bangladesh Labour Party,494,3,"ds,dt,tbs",ds=0; dt=494; tbs=494,
Dhaka 16,Md. Rashidul Islam,Socialist Party of Bangladesh (Marxist) (SPB-M),209,3,"ds,dt,tbs",ds=0; dt=209; tbs=209,
Dhaka 16,Md. Tariqul Islam,National People's Party (NPP),167,3,"ds,dt,tbs",ds=0; dt=167; tbs=167,
Dhaka 16,Md. Abdul Quader Jilani,Bangladesh Sangskritik Muktijote (BSM),142,3,"ds,dt,tbs",ds=0; dt=142; tbs=142,
Dhaka 16,Md. Nazmul Haque,Bangladesh Jatiya Party (BJP),138,3,"ds,dt,tbs",ds=0; dt=138; tbs=138,
Dhaka 16,Md. Mamun Hossain,Gono Odhikar Parishad (GOP),109,3,"ds,dt,tbs",ds=0; dt=109; tbs=109,
Dhaka 16,Mohammad Touhiduzzaman,Bangladesh Khelafat Andolon (BKA),102,3,"ds,dt,tbs",ds=0; dt=102; tbs=102,
Dhaka 17,Tarique Rahman,Bangladesh Nationalist Party (BNP),72699,4,"bss,ds,dt,tbs",bss=72699; ds=72699; dt=72699; tbs=72699,
Dhaka 17,S. M. Khalekuzzaman,Bangladesh Jamaat-e-Islami (Jamaat),68300,4,"bss,ds,dt,tbs",bss=68300; ds=68300; dt=68300; tbs=68300,
Dhaka 17,Mohammad Ullah,Islami Andolan Bangladesh (IAB),1768,3,"ds,dt,tbs",ds=0; dt=1768; tbs=1768,
Dhaka 17,Atique Ahmed,Jatiya Party (JaPa),1168,3,"ds,dt,tbs",ds=0; dt=1168; tbs=1168,
Dhaka 17,Tapu Raihan,Jatiya Party (Manju) (JP–Manju),1041,3,"ds,dt,tbs",ds=0; dt=1041; tbs=1041,
Dhaka 17,Kazi Enayet Ullah,Independent Candidate (Independent),167,3,"ds,dt,tbs",ds=0; dt=167; tbs=167,
Dhaka 17,Md. Shamim Ahmed,Bangladesh Congress,130,3,"ds,dt,tbs",ds=0; dt=130; tbs=130,
Dhaka 17,Md. Anisuzzaman Khokon,Independent Candidate (Independent),111,3,"ds,dt,tbs",ds=0; dt=111; tbs=111,
Dhaka 17,Kamrul Hasan Nasim,Bangladesh Jatiya Party (BJP),92,3,"ds,dt,tbs",ds=0; dt=92; tbs=92,
Dhaka 17,Manzoor Humayun,Insaniyat Biplob Bangladesh (IBB),80,3,"ds,dt,tbs",ds=0; dt=80; tbs=80,
Dhaka 17,S. M. Abul Kalam Azad,Bangladesh Nationalist Front (BNF),61,3,"ds,dt,tbs",ds=0; dt=61; tbs=61,
Dhaka 17,Muhammad Rashidul Haque,Bangladesh Labour Party,60,3,"ds,dt,tbs",ds=0; dt=60; tbs=60,
Dhaka 18,S. M. Jahangir Hossain,Bangladesh Nationalist Party (BNP),144715,4,"bss,ds,dt,tbs",bss=144715; ds=144715; dt=144715; tbs=144715,
Dhaka 18,Ariful Islam,National Citizen Party (NCP),111297,4,"bss,ds,dt,tbs",bss=111297; ds=111297; dt=111297; tbs=111297,
Dhaka 18,Md. Anwar Hossain,Islami Andolan Bangladesh (IAB),4727,3,"ds,dt,tbs",ds=0; dt=4727; tbs=4727,
Dhaka 18,Md. Mohiuddin Howlader,Independent Candidate (Independent),3205,3,"ds,dt,tbs",ds=0; dt=3205; tbs=3205,
Dhaka 18,Md. Zakir Hossain,Jatiya Party (JaPa),2557,3,"ds,dt,tbs",ds=0; dt=2557; tbs=2557,
Dhaka 18,Md. Jasim Uddin,Bangladesh Islami Front (BIF),1647,3,"ds,dt,tbs",ds=0; dt=1647; tbs=1647,
Dhaka 18,Md. Ismail Hossain,Independent Candidate (Independent),930,3,"ds,dt,tbs",ds=0; dt=930; tbs=930,
Dhaka 18,Mahmudur Rahman Manna,Nagorik Oikya (NO),350,3,"ds,dt,tbs",ds=0; dt=350; tbs=350,
Dhaka 18,Mrs. Sabina Javed,National People's Party (NPP),301,3,"ds,dt,tbs",ds=0; dt=301; tbs=301,
Dhaka 18,Syed Harun Ur Rashid,Bangladesh Samajtantrik Dal (Basad),260,3,"ds,dt,tbs",ds=0; dt=260; tbs=260,
Dhaka 19,Dewan Mohammad Salauddin,Bangladesh Nationalist Party (BNP),190976,4,"bss,ds,dt,tbs",bss=190976; ds=190976; dt=101956; tbs=190976,vote-mismatch: spread=47%
Dhaka 19,Dilshana Parul,National Citizen Party (NCP),123283,4,"bss,ds,dt,tbs",bss=123283; ds=123283; dt=61269; tbs=125283,vote-mismatch: spread=51%
Dhaka 19,Chowdhury Hasan Sarwardy,Bangladesh Liberal Democratic Party (LDP),0,2,"ds,dt",ds=0; dt=0,
Dhaka 19,Md. Bahadur Islam,Jatiya Party (JaPa),0,2,"ds,dt",ds=0; dt=0,
Dhaka 19,Md. Israfil Hossain Shavery,National People's Party (NPP),0,2,"ds,dt",ds=0; dt=0,
Dhaka 19,Md. Kamrul,Bangladesh Muslim League (BML),0,2,"ds,dt",ds=0; dt=0,
Dhaka 19,Mohammad Faruk Khan,Islami Andolan Bangladesh (IAB),0,2,"ds,dt",ds=0; dt=0,
Dhaka 19,Sheikh Shawkat Hossain,Gono Odhikar Parishad (GOP),0,2,"ds,dt",ds=0; dt=0,
Dhaka 2,Md. Amanullah Aman,Bangladesh Nationalist Party (BNP),163793,4,"bss,ds,dt,tbs",bss=163793; ds=163793; dt=163793; tbs=163793,
Dhaka 2,Md. Abdul Haque,Bangladesh Jamaat-e-Islami (Jamaat),80053,4,"bss,ds,dt,tbs",bss=80053; ds=80053; dt=80053; tbs=80053,
Dhaka 2,Md. Jahirul Islam,Islami Andolan Bangladesh (IAB),6352,3,"ds,dt,tbs",ds=0; dt=6352; tbs=6352,
Dhaka 20,Md. Tamiz Uddin,Bangladesh Nationalist Party (BNP),162504,4,"bss,ds,dt,tbs",bss=162504; ds=162504; dt=162504; tbs=162504,
Dhaka 20,Nabila Tasnid,National Citizen Party (NCP),57787,4,"bss,ds,dt,tbs",bss=57787; ds=57787; dt=57787; tbs=57787,
Dhaka 20,Md. Ashraf Ali,Khelafat Majlis,9255,3,"ds,dt,tbs",ds=0; dt=9255; tbs=9255,
Dhaka 20,Ahsan Khan,Jatiya Party (JaPa),3135,3,"ds,dt,tbs",ds=0; dt=3135; tbs=3135,
Dhaka 20,Helal Uddin Ahmed,Amar Bangladesh Party (AB),492,3,"ds,dt,tbs",ds=0; dt=492; tbs=492,
Dhaka 20,Md. Arzu Mia,Jatiya Samajtantrik Dal (JSD),207,3,"ds,dt,tbs",ds=0; dt=207; tbs=207,
Dhaka 3,Goyasawar Chandra Roy,Bangladesh Nationalist Party (BNP),99163,4,"bss,ds,dt,tbs",bss=99163; ds=99163; dt=99163; tbs=99163,
Dhaka 3,Md. Shahinur Islam,Bangladesh Jamaat-e-Islami (Jamaat),83264,4,"bss,ds,dt,tbs",bss=83264; ds=83264; dt=83264; tbs=83264,
Dhaka 3,Md. Sultan Ahamed Khan,Islami Andolan Bangladesh (IAB),6286,3,"ds,dt,tbs",ds=0; dt=6286; tbs=6286,
Dhaka 3,Md. Faruk,Jatiya Party (JaPa),1075,3,"ds,dt,tbs",ds=0; dt=1075; tbs=1075,
Dhaka 3,Md. Bachchu Bhuiyan,Ganosanhati Andolan (GSA),378,3,"ds,dt,tbs",ds=0; dt=378; tbs=387,
Dhaka 3,Md. Monir Hossain,Independent Candidate (Independent),313,3,"ds,dt,tbs",ds=0; dt=313; tbs=313,
Dhaka 3,Mojibur Howladar,Bangladesh Samajtantrik Dal (Basad),196,3,"ds,dt,tbs",ds=0; dt=196; tbs=196,
Dhaka 3,Muhammad Rawshan Yazdani,Gono Forum (GF),182,3,"ds,dt,tbs",ds=0; dt=182; tbs=182,
Dhaka 3,Mohammad Jafar,Bangladesh Congress,155,3,"ds,dt,tbs",ds=0; dt=155; tbs=155,
Dhaka 3,Md. Sajjad,Gono Odhikar Parishad (GOP),97,3,"ds,dt,tbs",ds=0; dt=97; tbs=97,
Dhaka 4,Sayed Joynul Abedin,Bangladesh Jamaat-e-Islami (Jamaat),77367,4,"bss,ds,dt,tbs",bss=77367; ds=77367; dt=77367; tbs=77367,
Dhaka 4,Tanveer Ahmed,Bangladesh Nationalist Party (BNP),74447,4,"bss,ds,dt,tbs",bss=74447; ds=74447; dt=74447; tbs=74447,
Dhaka 4,Sayed Md. Mosaddek Billah,Islami Andolan Bangladesh (IAB),6518,3,"ds,dt,tbs",ds=0; dt=6518; tbs=6518,
Dhaka 4,Mohammad Mizanur Rahman,Independent Candidate (Independent),2867,3,"ds,dt,tbs",ds=0; dt=2867; tbs=2867,
Dhaka 4,Mohammad Firoz Alam,Communist Party of Bangladesh (CPB),367,3,"ds,dt,tbs",ds=0; dt=367; tbs=367,
Dhaka 4,Md. Abul Kalam Azad,Janotar Dol,191,3,"ds,dt,tbs",ds=0; dt=191; tbs=191,
Dhaka 4,Md. Zakir Hossain,Bangladesh Samajtantrik Dal (Basad),184,3,"ds,dt,tbs",ds=0; dt=184; tbs=184,
Dhaka 4,Sahel Ahmed Shohel,Bangladesh Sangskritik Muktijote (BSM),128,3,"ds,dt,tbs",ds=0; dt=128; tbs=128,
Dhaka 5,Mohammed Kamal Hossain,Bangladesh Jamaat-e-Islami (Jamaat),96641,4,"bss,ds,dt,tbs",bss=96641; ds=96641; dt=96641; tbs=96641,
Dhaka 5,Md. Nabi Ullah,Bangladesh Nationalist Party (BNP),87491,4,"bss,ds,dt,tbs",bss=87491; ds=87491; dt=87491; tbs=87491,
Dhaka 5,Md. Ibrahim,Islami Andolan Bangladesh (IAB),14206,3,"ds,dt,tbs",ds=0; dt=14206; tbs=14204,
Dhaka 5,Mir Abdus Sabur,Jatiya Party (JaPa),1346,3,"ds,dt,tbs",ds=0; dt=1346; tbs=1346,
Dhaka 5,Md. Humayun Kabir,Bangladesh Liberal Democratic Party (LDP),788,3,"ds,dt,tbs",ds=0; dt=788; tbs=788,
Dhaka 5,Md. Saiful Alam,Bangladesh Congress,262,3,"ds,dt,tbs",ds=0; dt=262; tbs=262,
Dhaka 5,Shahinur Akter Sumi,Socialist Party of Bangladesh (Marxist) (SPB-M),221,3,"ds,dt,tbs",ds=0; dt=221; tbs=221,
Dhaka 5,Tofazzal Hossain Mostofa,Communist Party of Bangladesh (CPB),206,3,"ds,dt,tbs",ds=0; dt=206; tbs=206,
Dhaka 5,Syed Mohammad Ibrahim,Gono Odhikar Parishad (GOP),93,3,"ds,dt,tbs",ds=0; dt=93; tbs=93,
Dhaka 5,Md. Golam Azom,Bangladesh Labour Party,81,3,"ds,dt,tbs",ds=0; dt=81; tbs=81,
Dhaka 5,Md. Taifur Rahman Rahi,Bangladesh Sangskritik Muktijote (BSM),35,3,"ds,dt,tbs",ds=0; dt=35; tbs=35,
Dhaka 6,Ishraque Hossain,Bangladesh Nationalist Party (BNP),78850,4,"bss,ds,dt,tbs",bss=78850; ds=78850; dt=78850; tbs=78850,
Dhaka 6,Md. Abdul Mannan,Bangladesh Jamaat-e-Islami (Jamaat),55697,4,"bss,ds,dt,tbs",bss=55697; ds=55697; dt=55697; tbs=55697,
Dhaka 6,Amir Uddin Ahmed (Dalu),Jatiya Party (JaPa),1778,3,"ds,dt,tbs",ds=0; dt=1778; tbs=1778,
Dhaka 6,Md. Yunus Ali Akand,Bangladesh Congress,319,2,"dt,tbs",dt=319; tbs=319,
Dhaka 6,Md. Aktar Hossain,Bangladesh Muslim League (BML),245,3,"ds,dt,tbs",ds=0; dt=245; tbs=245,
Dhaka 6,Ahmed Ali Sheikh,Gono Front (GF),152,3,"ds,dt,tbs",ds=0; dt=152; tbs=152,
Dhaka 6,Md. Fakhrul Islam,Gono Odhikar Parishad (GOP),138,3,"ds,dt,tbs",ds=0; dt=138; tbs=138,
Dhaka 7,Hamidur Rahman,Bangladesh Nationalist Party (BNP),104666,4,"bss,ds,dt,tbs",bss=104666; ds=104666; dt=104666; tbs=104666,
Dhaka 7,Md. Enayet Ullah,Bangladesh Jamaat-e-Islami (Jamaat),98483,4,"bss,ds,dt,tbs",bss=98483; ds=98483; dt=98483; tbs=98483,
Dhaka 7,Mohammad Ishaq Sarkar,Independent Candidate (Independent),11517,3,"ds,dt,tbs",ds=0; dt=11517; tbs=11517,
Dhaka 7,Md. Abdur Rahman,Islami Andolan Bangladesh (IAB),5081,3,"ds,dt,tbs",ds=0; dt=5081; tbs=5081,
Dhaka 7,Md. Habibullah,Bangladesh Khelafat Andolon (BKA),2783,3,"ds,dt,tbs",ds=0; dt=2783; tbs=2783,
Dhaka 7,Mohammad Saifuddin Ahmed Milon,Jatiya Party (JaPa),2294,3,"ds,dt,tbs",ds=0; dt=2294; tbs=2294,
Dhaka 7,Shima Dutta,Socialist Party of Bangladesh (Marxist) (SPB-M),677,3,"ds,dt,tbs",ds=0; dt=677; tbs=677,
Dhaka 7,Shafiqur Rahman,Bangladesh Republican Party (BRP),218,3,"ds,dt,tbs",ds=0; dt=218; tbs=218,
Dhaka 7,Shahana Selim,Jatiya Samajtantrik Dal (JSD),208,3,"ds,dt,tbs",ds=0; dt=208; tbs=208,
Dhaka 7,Maksudur Rahman,Bangladesh Sangskritik Muktijote (BSM),150,3,"ds,dt,tbs",ds=0; dt=150; tbs=150,
Dhaka 7,Md. Shahidul Islam,Bangladesh Jatiya Party (BJP),98,3,"ds,dt,tbs",ds=0; dt=98; tbs=98,
Dhaka 8,Mirza Abbas Uddin Ahmed,Bangladesh Nationalist Party (BNP),59366,4,"bss,ds,dt,tbs",bss=59366; ds=59366; dt=59366; tbs=59366,
Dhaka 8,Muhammad Nasiruddin Patwari,National Citizen Party (NCP),54127,4,"bss,ds,dt,tbs",bss=54127; ds=54127; dt=54127; tbs=54127,
Dhaka 8,Kefayet Ullah,Islami Andolan Bangladesh (IAB),1436,3,"ds,dt,tbs",ds=0; dt=1436; tbs=1436,
Dhaka 8,Md. Juber Alam Khan,Jatiya Party (JaPa),731,3,"ds,dt,tbs",ds=0; dt=731; tbs=731,
Dhaka 8,Tridip Kumar Saha,Communist Party of Bangladesh (CPB),714,3,"ds,dt,tbs",ds=0; dt=714; tbs=714,
Dhaka 8,Meghna Alam,Gono Odhikar Parishad (GOP),608,3,"ds,dt,tbs",ds=0; dt=608; tbs=608,
Dhaka 8,S. M. Sarowar,Bangladesh Islami Front (BIF),326,3,"ds,dt,tbs",ds=0; dt=326; tbs=326,
Dhaka 8,Md. Golam Sarowar,Janotar Dol,129,3,"ds,dt,tbs",ds=0; dt=129; tbs=129,
Dhaka 8,A. H. M. Rafiquzzaman Akanda,Socialist Party of Bangladesh (Marxist) (SPB-M),96,3,"ds,dt,tbs",ds=0; dt=96; tbs=96,
Dhaka 8,Md. Russell Kabir,Bangladesh Sangskritik Muktijote (BSM),78,3,"ds,dt,tbs",ds=0; dt=78; tbs=78,
Dhaka 8,A. F. M. Ismail Chowdhury,Jatiya Samajtantrik Dal (JSD),56,3,"ds,dt,tbs",ds=0; dt=56; tbs=56,
Dhaka 9,Habibur Rashid,Bangladesh Nationalist Party (BNP),111212,4,"bss,ds,dt,tbs",bss=111212; ds=111212; dt=111212; tbs=111212,
Dhaka 9,Mohammad Javed Mia,National Citizen Party (NCP),53460,4,"bss,ds,dt,tbs",bss=53460; ds=53460; dt=53460; tbs=53460,fuzzy-merged 'Javed Rasin' (tbs) -> 'Mohammad Javed Mia' (score=0.58)
Dhaka 9,Tasneem Jara,Independent Candidate (Independent),44684,3,"ds,dt,tbs",ds=0; dt=44684; tbs=44684,
Dhaka 9,Shah Iftekhar Ahsan,Islami Andolan Bangladesh (IAB),5827,3,"ds,dt,tbs",ds=0; dt=5827; tbs=5827,
Dhaka 9,Kazi Abul Khair,Jatiya Party (JaPa),1202,3,"ds,dt,tbs",ds=0; dt=1202; tbs=1202,
Dhaka 9,Md. Moniruzzaman,Communist Party of Bangladesh (CPB),462,3,"ds,dt,tbs",ds=0; dt=462; tbs=462,
Dhaka 9,Shaheen Khan,National People's Party (NPP),204,3,"ds,dt,tbs",ds=0; dt=204; tbs=204,
Dhaka 9,Nazma Akhtar,Gono Forum (GF),171,3,"ds,dt,tbs",ds=0; dt=171; tbs=171,
Dhaka 9,Nahid Hasan Chowdhury Jonayed,Insaniyat Biplob Bangladesh (IBB),131,3,"ds,dt,tbs",ds=0; dt=131; tbs=131,
Dhaka 9,Mohammad Shafi Ullah Chowdhury,Bangladesh Nationalist Front (BNF),124,3,"ds,dt,tbs",ds=0; dt=124; tbs=124,
Dhaka 9,Masud Hossain,Bangladesh Muslim League (BML),118,3,"ds,dt,tbs",ds=0; dt=118; tbs=118,
Dhaka 9,Khandaker Mizanur Rahman,Socialist Party of Bangladesh (Marxist) (SPB-M),93,3,"ds,dt,tbs",ds=0; dt=93; tbs=93,
Dinajpur 1,Md. Manzurul Islam,Bangladesh Nationalist Party (BNP),179314,4,"bss,ds,dt,tbs",bss=179314; ds=179314; dt=179314; tbs=179314,
Dinajpur 1,Md. Matiur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),117481,4,"bss,ds,dt,tbs",bss=117481; ds=117481; dt=117481; tbs=117481,
Dinajpur 1,Md. Chan Mia,Islami Andolan Bangladesh (IAB),3095,3,"ds,dt,tbs",ds=0; dt=3095; tbs=3095,
Dinajpur 1,Raghunath Chandra Roy,Zaker Party (ZP),2280,3,"ds,dt,tbs",ds=0; dt=2280; tbs=2280,
Dinajpur 1,Md. Shahinur Islam,Jatiya Party (JaPa),1530,3,"ds,dt,tbs",ds=0; dt=1530; tbs=1530,
Dinajpur 1,Md. Rezuwanul Islam,Gono Odhikar Parishad (GOP),395,3,"ds,dt,tbs",ds=0; dt=395; tbs=395,
Dinajpur 2,Md. Sadik Riyaz,Bangladesh Nationalist Party (BNP),139622,4,"bss,ds,dt,tbs",bss=144317; ds=144317; dt=139622; tbs=139622,
Dinajpur 2,A. K. M. Afjalul Anam,Bangladesh Jamaat-e-Islami (Jamaat),101831,4,"bss,ds,dt,tbs",bss=101831; ds=101831; dt=104887; tbs=104887,
Dinajpur 2,Md. Anm Bazlur Rashid,Independent Candidate (Independent),15618,3,"ds,dt,tbs",ds=0; dt=15618; tbs=15618,
Dinajpur 2,Md. Zulfikar Hossain,Jatiya Party (JaPa),4647,3,"ds,dt,tbs",ds=0; dt=4647; tbs=4647,
Dinajpur 2,Anowar Chowdhury Jibon,Independent Candidate (Independent),3857,3,"ds,dt,tbs",ds=0; dt=3857; tbs=3857,
