seat_name,candidate,party,votes
Chattogram 15,Shahjahan Chowdhury,Bangladesh Jamaat-e-Islami (Jamaat),181238
Chattogram 15,Shariful Alam Chowdhury,Islami Andolan Bangladesh (IAB),0
Chattogram 16,Abdul Malak,Bangladesh Islami Front (BIF),844
Chattogram 16,Ehsanul Hoque,Bangladesh Muslim League (BML),105
Chattogram 16,Haez Rufiullah,Islami Andolan Bangladesh (IAB),4054
Chattogram 16,Md. Ariful Hoque,Gono Odhikar Parishad (GOP),243
Chattogram 16,Miskatul Islam Chowdhury,Bangladesh Nationalist Party (BNP),83105
Chattogram 16,Md. Zahirul Islam,Bangladesh Jamaat-e-Islami (Jamaat),93167
Chattogram 16,Mohammed Liaquat Ali,Independent Candidate (Independent),55492
Chuadanga 1,Md. Masud Parves,Bangladesh Jamaat-e-Islami (Jamaat),211041
Chuadanga 1,Md. Sharifuzzaman,Bangladesh Nationalist Party (BNP),153193
Chuadanga 1,Md. Zahurul Islam,Islami Andolan Bangladesh (IAB),10122
Chuadanga 2,Mahmud Hasan Khan,Bangladesh Nationalist Party (BNP),163877
Chuadanga 2,Md. Hasanuzzaman,Islami Andolan Bangladesh (IAB),0
Chuadanga 2,Md. Ruhul Amin,Bangladesh Jamaat-e-Islami (Jamaat),208011
Cox's Bazar 1,Abdullah Al Faruk,Bangladesh Jamaat-e-Islami (Jamaat),129728
Cox's Bazar 1,Md. Sarwar Alam Kotobi,Islami Andolan Bangladesh (IAB),4528
Cox's Bazar 1,Salahuddin Ahmed,Bangladesh Nationalist Party (BNP),222019
Cox's Bazar 2,A. H. M. Hamidur Rahman Azad,Bangladesh Jamaat-e-Islami (Jamaat),89817
Cox's Bazar 2,Alamgir Md. Mahfuzullah Farid,Bangladesh Nationalist Party (BNP),124660
Cox's Bazar 2,Md. Mahmudul Karim,Jatiya Party (JaPa),0
Cox's Bazar 2,S. M. Rukunuzzaman Khan,Gono Odhikar Parishad (GOP),0
Cox's Bazar 2,Ziaul Haque,Islami Andolan Bangladesh (IAB),0
Cox's Bazar 3,Amirul Islam,Islami Andolan Bangladesh (IAB),0
Cox's Bazar 3,Jagadish Barua,Bangladesh Labour Party,0
Cox's Bazar 3,Lutfur Rahman,Bangladesh Nationalist Party (BNP),182096
Cox's Bazar 3,Md. Elias Mia,Independent Candidate (Independent),0
Cox's Bazar 3,Nurul Absar,Amjanatar Dol,0
Cox's Bazar 3,Shahidul Alam,Bangladesh Jamaat-e-Islami (Jamaat),161827
Cox's Bazar 4,Nur Ahmed Anwary,Bangladesh Jamaat-e-Islami (Jamaat),122033
Cox's Bazar 4,Nurul Haque,Islami Andolan Bangladesh (IAB),0
Cox's Bazar 4,Shahjahan Chowdhury,Bangladesh Nationalist Party (BNP),123582
Cox's Bazar 4,Sifuddin Khaled,Nationalist Democratic Movement (NDM),0
Cumilla 1,Abu Zayed Al Mahmud,Independent Candidate (Independent),0
Cumilla 1,Barua Monojit Dhimon,Jatiya Samajtantrik Dal (JSD),0
Cumilla 1,Bashir Ahmed,Islami Andolan Bangladesh (IAB),0
Cumilla 1,Khandaker Mosharraf Hossain,Bangladesh Nationalist Party (BNP),141440
Cumilla 1,Md. Moniruzzaman,Bangladesh Jamaat-e-Islami (Jamaat),94845
Cumilla 1,Md. Shafiul Bashar,Amar Bangladesh Party (AB),0
Cumilla 1,Md. Abul Kalam,Bangladesh Republican Party (BRP),0
Cumilla 1,Omar Faruk,Independent Candidate (Independent),0
Cumilla 1,Sayed Md. Iftaker Ahsan,Jatiya Party (JaPa),0
Cumilla 2,Abdus Salam,Bangladesh Islami Front (BIF),0
Cumilla 2,Md. Abdul Matin,Independent Candidate (Independent),63045
Cumilla 2,Md. Amir Hossain,Jatiya Party (JaPa),0
Cumilla 2,Md. Nazim Uddin,Bangladesh Jamaat-e-Islami (Jamaat),0
Cumilla 2,Md. Selim Bhuiyan,Bangladesh Nationalist Party (BNP),77037
Cumilla 2,Md. Ashraful Alam,Islami Andolan Bangladesh (IAB),0
Cumilla 3,Ahmad Abdul Kaiyum,Islami Andolan Bangladesh (IAB),0
Cumilla 3,Chowdhury Rakibul Hoque,Amjanatar Dol,0
Cumilla 3,Kazi Shah Mofazzal Hossain,Bangladesh Nationalist Party (BNP),159291
Cumilla 3,Md. Amdadoll Huque,Bangladesh Republican Party (BRP),0
Cumilla 3,Md. Khurshed Alam,Bangladesh Congress,0
Cumilla 3,Md. Sarifuddin Sarker,Insaniyat Biplob Bangladesh (IBB),0
Cumilla 3,Md. Yousuf Sohel,Bangladesh Jamaat-e-Islami (Jamaat),109599
Cumilla 3,Moniruzaman,Gono Odhikar Parishad (GOP),0
Cumilla 3,Riaz Md. Sharif,Nationalist Democratic Movement (NDM),0
Cumilla 4,Abdul Karim,Islami Andolan Bangladesh (IAB),0
Cumilla 4,Erfanul Hoque Sarker,Insaniyat Biplob Bangladesh (IBB),0
Cumilla 4,Md. Mazibur Rahman Farazi,Khelafat Majlis,0
Cumilla 4,Md. A. Jasim Uddin,Gono Odhikar Parishad (GOP),49885
Cumilla 4,Md. Abul Hasnat,National Citizen Party (NCP),166583
Cumilla 5,Abdullah Al Kafee,Communist Party of Bangladesh (CPB),0
Cumilla 5,Abul Kalam Idrish,Bangladesh Muslim League (BML),0
Cumilla 5,Md. Abul Bashar,National People's Party (NPP),0
Cumilla 5,Md. Emranul Hoque,Jatiya Party (JaPa),0
Cumilla 5,Md. Jashim Uddin,Bangladesh Nationalist Party (BNP),134485
Cumilla 5,Md. Rashedul Islam,Islami Andolan Bangladesh (IAB),0
Cumilla 5,Mobarak Hossen,Bangladesh Jamaat-e-Islami (Jamaat),124547
Cumilla 5,Sherin Akter,Jatiya Samajtantrik Dal (JSD),0
Cumilla 5,Tanzil Ahmed,Insaniyat Biplob Bangladesh (IBB),0
Cumilla 5,Zubair Ahmed Bhuiyan,Amar Bangladesh Party (AB),0
Cumilla 6,Kamrunnaher Sathi,Bangladesh Samajtantrik Dal (Basad),0
Cumilla 6,Kazi Din Mohammed,Bangladesh Jamaat-e-Islami (Jamaat),119851
Cumilla 6,Md. Amir Hossain Farazi,Bangladesh Sangskritik Muktijote (BSM),0
Cumilla 6,Md. Mashum Billah Miazi,Bangladesh Islami Front (BIF),0
Cumilla 6,Md. Monirul Haque Chowdhury,Bangladesh Nationalist Party (BNP),201706
Cumilla 6,Md. Yeasin,Bangladesh Muslim League (BML),0
Cumilla 6,Md. Harunur Rashid,Islami Andolan Bangladesh (IAB),0
Cumilla 6,Mubarak Hossain,Gono Odhikar Parishad (GOP),0
Cumilla 6,Obaidul Kabir Mohan,Jatiya Samajtantrik Dal (JSD),0
Cumilla 7,Atikul Alam,Independent Candidate (Independent),91690
Cumilla 7,Maolana Ehteshamul Hoque,Islami Andolan Bangladesh (IAB),0
Cumilla 7,Redwan Ahmed,Bangladesh Nationalist Party (BNP),48509
Cumilla 7,Sajal Kumar Kar,Bangladesh Sangskritik Muktijote (BSM),0
Cumilla 7,Soliman Khan,Khelafat Majlis,0
Cumilla 8,Abdul Kadir,Islami Oikya Jote (IOJ),0
Cumilla 8,H. M. M. Erfan,Jatiya Party (JaPa),0
Cumilla 8,Md. Ali Asraf,Bangladesh Samajtantrik Dal (Basad),0
Cumilla 8,Md. Mafiz Uddin Ahmed,Bangladesh Republican Party (BRP),0
Cumilla 8,Md. Shafiqul Alam Helal,Bangladesh Jamaat-e-Islami (Jamaat),45091
Cumilla 8,Md. Golam Morshad,Bangladesh Supreme Party (BSP),0
Cumilla 8,Md. Golam Shadek,Islami Andolan Bangladesh (IAB),0
Cumilla 8,Zakaria Taher,Bangladesh Nationalist Party (BNP),169178
Cumilla 9,Md. Abu Bakar Siddeq,Bangladesh Islami Front (BIF),0
Cumilla 9,Md. Abul Kalam,Bangladesh Nationalist Party (BNP),170008
Cumilla 9,Md. Abul Kashem,Independent Candidate (Independent),0
Cumilla 9,Md. Golam Mostafa Kamal,Jatiya Party (JaPa),0
Cumilla 9,Md. Mizanur Rahman Chowdhury,Bangladesh Sangskritik Muktijote (BSM),0
Cumilla 9,Salim Mahmud,Islami Andolan Bangladesh (IAB),0
Cumilla 9,Samira Hossain,Independent Candidate (Independent),0
Cumilla 9,Syed A. K. M. Sarowar Uddin Seddique,Bangladesh Jamaat-e-Islami (Jamaat),118961
Cumilla 10,Hasan Ahmed,Bangladesh Congress,0
Cumilla 10,Kazi Nure Alam Siddik,Bangladesh Sangskritik Muktijote (BSM),0
Cumilla 10,Md. Abdullah Al Noman,Amjanatar Dol,0
Cumilla 10,Md. Mobasher Alam Bhuiyan,Bangladesh Nationalist Party (BNP),163667
Cumilla 10,Md. Shamsuddoha,Islami Andolan Bangladesh (IAB),0
Cumilla 10,Md. Yasin Arafath,Bangladesh Jamaat-e-Islami (Jamaat),123733
Cumilla 10,Romiz Bin Arif,Gono Odhikar Parishad (GOP),0
Cumilla 11,A. F. M. Abdur Rahim,Bangladesh Congress,0
Cumilla 11,Md. Alamgir,Gono Front (GF),0
Cumilla 11,Md. Kamrul Huda,Bangladesh Nationalist Party (BNP),76638
Cumilla 11,Md. Main Uddin,Jatiya Party (JaPa),0
Cumilla 11,Md. Mohiuddin,Islami Andolan Bangladesh (IAB),0
Cumilla 11,Md. Yousuf,Bangladesh Sangskritik Muktijote (BSM),0
Cumilla 11,Syed Abdullah Mohammed Taher,Bangladesh Jamaat-e-Islami (Jamaat),133308
Dhaka 1,Antara Selima Huda,Independent Candidate (Independent),0
Dhaka 1,Khondaker Abu Ashfaque,Bangladesh Nationalist Party (BNP),173781
Dhaka 1,Md. Nasir Uddin Molla,Jatiya Party (JaPa),0
Dhaka 1,Md. Nazrul Islam,Bangladesh Jamaat-e-Islami (Jamaat),112622
Dhaka 1,Nurul Islam,Islami Andolan Bangladesh (IAB),0
Dhaka 1,Shakh Mohammed Ali,Bangladesh Labour Party,0
Dhaka 2,Md. Abdul Haque,Bangladesh Jamaat-e-Islami (Jamaat),80053
Dhaka 2,Md. Amanullah Aman,Bangladesh Nationalist Party (BNP),163793
Dhaka 2,Md. Jahirul Islam,Islami Andolan Bangladesh (IAB),0
Dhaka 3,Goyasawar Chandra Roy,Bangladesh Nationalist Party (BNP),99163
Dhaka 3,Md. Bacchu Buya,Ganosanhati Andolan (GSA),0
Dhaka 3,Md. Faruk,Jatiya Party (JaPa),0
Dhaka 3,Md. Manir Hossin,Independent Candidate (Independent),0
Dhaka 3,Md. Sajjad,Gono Odhikar Parishad (GOP),0
Dhaka 3,Md. Shahinur Islam,Bangladesh Jamaat-e-Islami (Jamaat),83264
Dhaka 3,Md. Sultan Ahamed Khan,Islami Andolan Bangladesh (IAB),0
Dhaka 3,Md. Jafor,Bangladesh Congress,0
Dhaka 3,Mozibor Howlader,Bangladesh Samajtantrik Dal (Basad),0
Dhaka 3,Md. Rowshen Yesdani,Gono Forum (GF),0
Dhaka 4,Md. Abul Kalam Azad,Janotar Dol,0
Dhaka 4,Md. Zakir Hossain,Bangladesh Samajtantrik Dal (Basad),0
Dhaka 4,Md. Firoz Alam,Communist Party of Bangladesh (CPB),0
Dhaka 4,Md. Mizanur Rahman,Independent Candidate (Independent),0
Dhaka 4,Sahel Ahmed Sohel,Bangladesh Sangskritik Muktijote (BSM),0
Dhaka 4,Syed Joynul Abedin,Bangladesh Jamaat-e-Islami (Jamaat),77367
Dhaka 4,Syed Md. Mosaddek Billah,Islami Andolan Bangladesh (IAB),0
Dhaka 4,Tanveer Ahmed,Bangladesh Nationalist Party (BNP),74447
Dhaka 5,Md. Golam Azam,Bangladesh Labour Party,0
Dhaka 5,Md. Humayun Kabir,Bangladesh Liberal Democratic Party (LDP),0
Dhaka 5,Md. Ibrahim,Islami Andolan Bangladesh (IAB),0
Dhaka 5,Md. Nabi Ullah,Bangladesh Nationalist Party (BNP),87491
Dhaka 5,Md. Saiful Alam,Bangladesh Congress,0
Dhaka 5,Md. Taifur Rahman Rahi,Bangladesh Sangskritik Muktijote (BSM),0
Dhaka 5,Mir Abdus Sabur,Jatiya Party (JaPa),0
Dhaka 5,Mohammed Kamal Hossain,Bangladesh Jamaat-e-Islami (Jamaat),96641
Dhaka 5,Sahinur Akter Sumi,Socialist Party of Bangladesh (Marxist) (SPB-M),0
Dhaka 5,Syed Md. Ibrahim,Gono Odhikar Parishad (GOP),0
Dhaka 5,Tofazzal Hossain Mostafa,Communist Party of Bangladesh (CPB),0
Dhaka 6,Ahmed Ali Sheikh,Gono Front (GF),0
Dhaka 6,Amir Uddin Ahmed,Jatiya Party (JaPa),0
Dhaka 6,Ishraque Hossain,Bangladesh Nationalist Party (BNP),78850
Dhaka 6,Md. Abdul Mannan,Bangladesh Jamaat-e-Islami (Jamaat),55697
Dhaka 6,Md. Akter Hossain,Bangladesh Muslim League (BML),0
Dhaka 6,Md. Fakrul Islam,Gono Odhikar Parishad (GOP),0
Dhaka 7,Hamidur Rahman,Bangladesh Nationalist Party (BNP),104666
Dhaka 7,Maksudur Rahman,Bangladesh Sangskritik Muktijote (BSM),0
Dhaka 7,Md. Abdur Rahman,Islami Andolan Bangladesh (IAB),0
Dhaka 7,Md. Enayat Ullah,Bangladesh Jamaat-e-Islami (Jamaat),98483
Dhaka 7,Md. Habibullah,Bangladesh Khelafat Andolon (BKA),0
Dhaka 7,Md. Shahidul Islam,Bangladesh Jatiya Party (BJP),0
Dhaka 7,Md. Ishaque Sarker,Independent Candidate (Independent),0
Dhaka 7,Md. Saifuddin Ahmed Milon,Jatiya Party (JaPa),0
Dhaka 7,Shafiqur Rahman,Bangladesh Republican Party (BRP),0
Dhaka 7,Shana Salim,Jatiya Samajtantrik Dal (JSD),0
Dhaka 7,Shima Dutta,Socialist Party of Bangladesh (Marxist) (SPB-M),0
Dhaka 8,A. F. M. Ismail Chowdhury,Jatiya Samajtantrik Dal (JSD),0
Dhaka 8,Ahm Rafiquzzaman Akhand,Socialist Party of Bangladesh (Marxist) (SPB-M),0
Dhaka 8,Kafait Ullah,Islami Andolan Bangladesh (IAB),0
Dhaka 8,Md. Golam Sarwar,Janotar Dol,0
Dhaka 8,Md. Rasel Kabir,Bangladesh Sangskritik Muktijote (BSM),0
Dhaka 8,Md. Zuber Alam Khan,Jatiya Party (JaPa),0
Dhaka 8,Meghna Alam,Gono Odhikar Parishad (GOP),0
Dhaka 8,Mirza Abbas Uddin Ahmed,Bangladesh Nationalist Party (BNP),59366
Dhaka 8,Md. Nasiruddin Patwary,National Citizen Party (NCP),54127
Dhaka 8,S. M. Sarwar,Bangladesh Islami Front (BIF),0
Dhaka 8,Tridip Kumar Saha,Communist Party of Bangladesh (CPB),0
Dhaka 9,Habibur Rashid,Bangladesh Nationalist Party (BNP),111212
Dhaka 9,Kazi Abul Khair,Jatiya Party (JaPa),0
Dhaka 9,Khandoker Mizanur Rahman,Socialist Party of Bangladesh (Marxist) (SPB-M),0
Dhaka 9,Masud Hossain,Bangladesh Muslim League (BML),0
Dhaka 9,Md. Moniruzzaman,Communist Party of Bangladesh (CPB),0
Dhaka 9,Md. Javed Mia,National Citizen Party (NCP),53460
Dhaka 9,Md. Shafi Ullah Chowdhury,Bangladesh Nationalist Front (BNF),0
Dhaka 9,Nahid Hasan Chowdhury Jonayed,Insaniyat Biplob Bangladesh (IBB),0
Dhaka 9,Nazma Akhter,Gono Forum (GF),0
Dhaka 9,Shah Iftekhar Ahsan,Islami Andolan Bangladesh (IAB),0
Dhaka 9,Shaheen Khan,National People's Party (NPP),0
Dhaka 9,Tasneem Jara,Independent Candidate (Independent),0
Dhaka 10,Abul Kalam Azad,Bangladesh Labour Party,0
Dhaka 10,Banhi Bepari,Jatiya Party (JaPa),0
Dhaka 10,Md. Abdul Awal,Islami Andolan Bangladesh (IAB),0
Dhaka 10,Md. Abu Hanif Redoy,Bangladesh Republican Party (BRP),0
Dhaka 10,Md. Anisur Rahman,Bangladesh Sangskritik Muktijote (BSM),0
Dhaka 10,Md. Jashim Uddin Sarker,Bangladesh Jamaat-e-Islami (Jamaat),77136
Dhaka 10,Md. Zakir Hossain,Janotar Dol,0
Dhaka 10,Nasreen Sultana,Amar Bangladesh Party (AB),0
Dhaka 10,Shaikh Rabiul Alam,Bangladesh Nationalist Party (BNP),80436
Dhaka 11,Kazi Md. Shahidullah,Bangladesh Sangskritik Muktijote (BSM),0
Dhaka 11,Kohinoor Akter Bithi,Independent Candidate (Independent),0
Dhaka 11,M. A. Quayum,Bangladesh Nationalist Party (BNP),91833
Dhaka 11,Md. Abdul Kader,Gono Forum (GF),0
Dhaka 11,Md. Arifur Rahman,Gono Odhikar Parishad (GOP),0
Dhaka 11,Md. Mizanur Rahman,National People's Party (NPP),0
Dhaka 11,Md. Nahid Islam,National Citizen Party (NCP),93872
Dhaka 11,Md. Zakir Hossain,Bangladesh Republican Party (BRP),0
Dhaka 11,Shake Md. Fazlay Bari Masud,Islami Andolan Bangladesh (IAB),0
Dhaka 11,Shameem Ahmed,Jatiya Party (JaPa),0
Dhaka 12,Abul Bashar Chowdhury,Gono Odhikar Parishad (GOP),0
Dhaka 12,Farid Ahmed,Janotar Dol,0
Dhaka 12,Kallol Banik,Communist Party of Bangladesh (CPB),0
Dhaka 12,Mahamudul Hasan,Islami Andolan Bangladesh (IAB),0
Dhaka 12,Md. Nayem Hasan,Bangladesh Jatiya Party (BJP),0
Dhaka 12,Md. Saiful Alam,Bangladesh Jamaat-e-Islami (Jamaat),53773
Dhaka 12,Md. Tarek Rahman,Amjanatar Dol,0
Dhaka 12,Md. Shahjalal,Bangladesh Islami Front (BIF),0
Dhaka 12,Mominul Amin,Nationalist Democratic Movement (NDM),0
Dhaka 12,Mst. Salma Akhter,Insaniyat Biplob Bangladesh (IBB),0
Dhaka 12,Muntasir Mahmud,Bangladesh Sangskritik Muktijote (BSM),0
Dhaka 12,Saiful Alam Nirob,Independent Candidate (Independent),0
Dhaka 12,Saiful Haq,Revolutionary Workers Party of Bangladesh (RWPB),30963
Dhaka 12,Sarker Md. Salahuddin,Jatiya Party (JaPa),0
Dhaka 12,Taslima Akhter,Ganosanhati Andolan (GSA),0
Dhaka 13,Bobby Hajjaj,Bangladesh Nationalist Party (BNP),88387
Dhaka 13,Fatema Akhter Monia,Insaniyat Biplob Bangladesh (IBB),0
Dhaka 13,Md. Mamunul Haque,Khelafat Majlis,86067
Dhaka 13,Md. Khalequzzaman,Bangladesh Samajtantrik Dal (Basad),0
Dhaka 13,Md. Shahabuddin,Bangladesh Minority Janata Party (BMJP),0
Dhaka 13,Mizanur Rahman,Gono Odhikar Parishad (GOP),0
Dhaka 13,Shahriar Iftekhar,Bangladesh Muslim League (BML),0
Dhaka 13,Sheikh Md. Rabiul Islam,Independent Candidate (Independent),0
Dhaka 13,Sohel Rana,Independent Candidate (Independent),0
Dhaka 14,Md. Abu Yousuf,Islami Andolan Bangladesh (IAB),0
Dhaka 14,Md. Helal Uddin,Jatiya Party (JaPa),0
Dhaka 14,Md. Jashim Uddin,Gono Forum (GF),0
Dhaka 14,Md. Liton,Bangladesh Republican Party (BRP),0
Dhaka 14,Md. Osman Ali,Bangladesh Supreme Party (BSP),0
Dhaka 14,Md. Sohel Rana,Bangladesh Liberal Democratic Party (LDP),0
Dhaka 14,Mir Ahmad Binqasem,Bangladesh Jamaat-e-Islami (Jamaat),101113
Dhaka 14,Md. Moniruzzaman,Amar Bangladesh Party (AB),0
Dhaka 14,Nurul Amin,Jatiya Samajtantrik Dal (JSD),0
Dhaka 14,Reaz Uddin,Communist Party of Bangladesh (CPB),0
Dhaka 14,Sanjida Islam,Bangladesh Nationalist Party (BNP),83323
Dhaka 14,Syed Abu Bakar Siddiqui,Independent Candidate (Independent),0
Dhaka 15,Ahmmad Sajedul Haq,Communist Party of Bangladesh (CPB),0
Dhaka 15,Md. Shafiqur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),85131
Dhaka 15,Khan Shoeb Aman Ullah,Janotar Dol,0
Dhaka 15,Md. Asfaqur Rahman,Jatiya Samajtantrik Dal (JSD),0
Dhaka 15,Md. Shafiqul Islam Khan,Bangladesh Nationalist Party (BNP),63517
Dhaka 15,Md. Shamsul Haque,Jatiya Party (JaPa),0
Dhaka 15,Mubarak Hossain,Bangladesh Supreme Party (BSP),0
Dhaka 16,Alhajj A. K. M. Moazzem Hossain,Bangladesh Labour Party,0
Dhaka 16,Md. Abdul Baten,Bangladesh Jamaat-e-Islami (Jamaat),88828
Dhaka 16,Md. Abdul Quader Jilani,Bangladesh Sangskritik Muktijote (BSM),0
Dhaka 16,Md. Aminul Haque,Bangladesh Nationalist Party (BNP),85467
Dhaka 16,Md. Mamun Hossain,Gono Odhikar Parishad (GOP),0
Dhaka 16,Md. Nazmul Haque,Bangladesh Jatiya Party (BJP),0
Dhaka 16,Md. Rashidul Islam,Socialist Party of Bangladesh (Marxist) (SPB-M),0
Dhaka 16,Md. Saiful Islam,Islami Andolan Bangladesh (IAB),0
Dhaka 16,Md. Sultan Ahmed Selim,Jatiya Party (JaPa),0
Dhaka 16,Md. Tariqul Islam,National People's Party (NPP),0
Dhaka 16,Md. Tuhiduzzaman,Bangladesh Khelafat Andolon (BKA),0
Dhaka 17,Atique Ahmed,Jatiya Party (JaPa),0
Dhaka 17,Kamrul Hasan Nasim,Bangladesh Jatiya Party (BJP),0
Dhaka 17,Kazi Enayet Ullah,Independent Candidate (Independent),0
Dhaka 17,Md. Anisuzzaman Khokon,Independent Candidate (Independent),0
Dhaka 17,Md. Shamim Ahmed,Bangladesh Congress,0
Dhaka 17,Md. Ullah,Islami Andolan Bangladesh (IAB),0
Dhaka 17,Monjur Humayun,Insaniyat Biplob Bangladesh (IBB),0
Dhaka 17,Md. Rashedul Haque,Bangladesh Labour Party,0
Dhaka 17,S. M. Khaliduzzaman,Bangladesh Jamaat-e-Islami (Jamaat),68300
Dhaka 17,Sm Abul Kalam Azad,Bangladesh Nationalist Front (BNF),0
Dhaka 17,Tapu Raihan,Jatiya Party (Manju) (JP–Manju),0
Dhaka 17,Tarique Rahman,Bangladesh Nationalist Party (BNP),72699
Dhaka 18,Ariful Islam,National Citizen Party (NCP),111297
Dhaka 18,Mahmudur Rahman Manna,Nagorik Oikya (NO),0
Dhaka 18,Md. Anwar Hossain,Islami Andolan Bangladesh (IAB),0
Dhaka 18,Md. Ismail Hossain,Independent Candidate (Independent),0
Dhaka 18,Md. Jakir Hossain,Jatiya Party (JaPa),0
Dhaka 18,Md. Jasim Uddin,Bangladesh Islami Front (BIF),0
Dhaka 18,Md. Mohiuddin Howlader,Independent Candidate (Independent),0
Dhaka 18,Mrs. Sabina Javed,National People's Party (NPP),0
Dhaka 18,S. M. Jahangir Hossain,Bangladesh Nationalist Party (BNP),144715
Dhaka 18,Syed Harun Or Rashid,Bangladesh Samajtantrik Dal (Basad),0
Dhaka 19,Chowdhury Hasan Sarwardy,Bangladesh Liberal Democratic Party (LDP),0
Dhaka 19,Dewan Md. Salahuddin,Bangladesh Nationalist Party (BNP),190976
Dhaka 19,Dilshana Parul,National Citizen Party (NCP),123283
Dhaka 19,Md. Bahadur Islam,Jatiya Party (JaPa),0
Dhaka 19,Md. Israfil Hossain Shavery,National People's Party (NPP),0
Dhaka 19,Md. Kamrul,Bangladesh Muslim League (BML),0
Dhaka 19,Md. Faruq Khan,Islami Andolan Bangladesh (IAB),0
Dhaka 19,Sheikh Shawkat Hossain,Gono Odhikar Parishad (GOP),0
Dhaka 20,Ahsan Khan,Jatiya Party (JaPa),0
Dhaka 20,Helal Uddin Ahmed,Amar Bangladesh Party (AB),0
Dhaka 20,Md. Arju Mia,Jatiya Samajtantrik Dal (JSD),0
Dhaka 20,Md. Ashraf Ali,Khelafat Majlis,0
Dhaka 20,Md. Tamiz Uddin,Bangladesh Nationalist Party (BNP),162504
Dhaka 20,Nabila Tasnid,National Citizen Party (NCP),57787
Dinajpur 1,Md. Chan Mia,Islami Andolan Bangladesh (IAB),0
Dinajpur 1,Md. Matiur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),117481
Dinajpur 1,Md. Monjurul Islam,Bangladesh Nationalist Party (BNP),179314
Dinajpur 1,Md. Rezuwanul Islam,Gono Odhikar Parishad (GOP),0
Dinajpur 1,Md. Shahinur Islam,Jatiya Party (JaPa),0
Dinajpur 1,Raghunath Chandra Roy,Zaker Party (ZP),0
Dinajpur 2,A. K. M. Afjalul Anam,Bangladesh Jamaat-e-Islami (Jamaat),101831
Dinajpur 2,Anowar Chowdhury Jibon,Independent Candidate (Independent),0
Dinajpur 2,Jobaier Sayed,Khelafat Majlis,0
Dinajpur 2,Md. Anm Bazlur Rashid,Independent Candidate (Independent),0
Dinajpur 2,Md. Mokaram Hossain,Bangladesh Muslim League (BML),0
Dinajpur 2,Md. Sadiq Reaz,Bangladesh Nationalist Party (BNP),144317
Dinajpur 2,Md. Zulfikar Hossain,Jatiya Party (JaPa),0
Dinajpur 2,Muha Redwanul Karim Rabid,Islami Andolan Bangladesh (IAB),0
Dinajpur 3,Ahmed Shafi Rubel,Jatiya Party (JaPa),0
Dinajpur 3,Amrit Kumar Roy,Communist Party of Bangladesh (CPB),0
Dinajpur 3,Kibria Hossain,Bangladesh Samajtantrik Dal (Basad),0
Dinajpur 3,Laila Tul Rima,Bangladesh Muslim League (BML),0
Dinajpur 3,Md. Khairuzzaman,Islami Andolan Bangladesh (IAB),0
Dinajpur 3,Md. Maynul Alam,Bangladesh Jamaat-e-Islami (Jamaat),134618
Dinajpur 3,Md. Rabiul Islam,Janotar Dol,0
Dinajpur 3,Syed Jahangir Alam,Bangladesh Nationalist Party (BNP),139207
Dinajpur 4,Akhtaruzzaman Mia,Bangladesh Nationalist Party (BNP),165577
Dinajpur 4,Md. Aftab Uddin Molla,Bangladesh Jamaat-e-Islami (Jamaat),127666
Dinajpur 4,Md. Anwar Hossain,Islami Andolan Bangladesh (IAB),0
Dinajpur 4,Md. Nurul Amin Shah,Jatiya Party (JaPa),0
Dinajpur 5,A. Z. M. Rezwanul Haque,Independent Candidate (Independent),113650
Dinajpur 5,Akm Qamruzzaman,Bangladesh Nationalist Party (BNP),0
Dinajpur 5,Md. Abdul Ahad,National Citizen Party (NCP),108948
Dinajpur 5,Md. Hazrat Ali Belal,Independent Candidate (Independent),0
Dinajpur 5,Md. Kazi Abdul Gafur,Jatiya Party (JaPa),0
Dinajpur 5,Md. Rustom Ali,Independent Candidate (Independent),0
Dinajpur 5,Sm Zakaria Bacchu,Independent Candidate (Independent),0
Dinajpur 6,Abu Zafar Md. Zahid Hossain,Bangladesh Nationalist Party (BNP),203887
Dinajpur 6,Md. Abdul Hakim,Bangladesh Samajtantrik Dal (Basad),0
Dinajpur 6,Md. Abdullah,Independent Candidate (Independent),0
Dinajpur 6,Md. Anowarul Islam,Bangladesh Jamaat-e-Islami (Jamaat),188719
Dinajpur 6,Md. Nur Alam Siddik,Islami Andolan Bangladesh (IAB),0
Dinajpur 6,Md. Rezaul Haque,Jatiya Party (JaPa),0
Dinajpur 6,Md. Shahnaoj Feroze Shuvo Shah,Independent Candidate (Independent),0
Faridpur 1,Khandaker Nasirul Islam,Bangladesh Nationalist Party (BNP),126475
Faridpur 1,Md. Abul Basar Khan,Independent Candidate (Independent),0
Faridpur 1,Md. Elias Molla,Bangladesh Jamaat-e-Islami (Jamaat),154772
Faridpur 1,Md. Golam Kabir Mia,Independent Candidate (Independent),0
Faridpur 1,Md. Hasibur Rahman,Independent Candidate (Independent),0
Faridpur 1,Md. Arifur Rahman,Independent Candidate (Independent),0
Faridpur 1,Mrinmoy Kanti Das,Bangladesh Minority Janata Party (BMJP),0
Faridpur 1,Sheikh Abdur Rahman Ziko,Independent Candidate (Independent),0
Faridpur 1,Sultan Ahmed Khan,Jatiya Party (JaPa),0
