seat_name,candidate,party,votes
Bhola 1,Md. Mizanur Rahman,National People's Party (NPP),0
Bhola 1,Md. Nazrul Islam,Bangladesh Jamaat-e-Islami (Jamaat),75337
Bhola 1,Md. Obaidul Rahman,Islami Andolan Bangladesh (IAB),0
Bhola 1,Md. Ashraf Ali,Bangladesh Islami Front (BIF),0
Bhola 1,Rafizul Hossain,Independent Candidate (Independent),0
Bhola 2,Md. Jahangir Alam Rintu,Jatiya Party (JaPa),0
Bhola 2,Md. Ala Uddin,Amjanatar Dol,0
Bhola 2,Md. Hafiz Ibrahim,Bangladesh Nationalist Party (BNP),119085
Bhola 2,Md. Zakir Hossain Laskar,Independent Candidate (Independent),0
Bhola 2,Md. Fazlul Karim,Bangladesh Jamaat-e-Islami (Jamaat),93703
Bhola 2,Mohibullah Khokon,Independent Candidate (Independent),0
Bhola 2,Mokfar Uddin Chowdhury,Bangladesh Liberal Democratic Party (LDP),0
Bhola 2,Tashlima Begum,Independent Candidate (Independent),0
Bhola 3,Hafiz Uddin Ahmed,Bangladesh Nationalist Party (BNP),145990
Bhola 3,Md. Abu Tayyab,Gono Odhikar Parishad (GOP),0
Bhola 3,Md. Kamal Uddin,Jatiya Party (JaPa),0
Bhola 3,Md. Mosleh Uddin,Islami Andolan Bangladesh (IAB),0
Bhola 3,Md. Nizamul Haque,Bangladesh Development Party (BDP),57351
Bhola 4,Abul Kalam,Nationalist Democratic Movement (NDM),0
Bhola 4,Abul Mukarram Md. Kamal Uddin,Islami Andolan Bangladesh (IAB),0
Bhola 4,Md. Jalal Uddin Rumi,Amjanatar Dol,0
Bhola 4,Md. Mizanur Rahman,Jatiya Party (JaPa),0
Bhola 4,Md. Mustafa Kamal,Bangladesh Jamaat-e-Islami (Jamaat),81437
Bhola 4,Md. Nurul Islam,Bangladesh Nationalist Party (BNP),189351
Bhola 4,Md. Rafiqul Islam,Independent Candidate (Independent),0
Bogura 1,A. B. M. Mustafa Kemal Pasha,Islami Andolan Bangladesh (IAB),0
Bogura 1,Kazi Rafiqul Islam,Bangladesh Nationalist Party (BNP),171440
Bogura 1,Md. Asadul Haque,Bangladesh Congress,0
Bogura 1,Md. Shahabuddin,Bangladesh Jamaat-e-Islami (Jamaat),57959
Bogura 1,Md. Zulfiqar Ali,Gono Forum (GF),0
Bogura 2,Abul Azad Md. Shahaduzzaman,Bangladesh Jamaat-e-Islami (Jamaat),93548
Bogura 2,Mahmudur Rahman Manna,Nagorik Oikya (NO),0
Bogura 2,Md. Jamal Uddin,Islami Andolan Bangladesh (IAB),0
Bogura 2,Md. Rezaul Karim Talu,Independent Candidate (Independent),0
Bogura 2,Md. Selim Sarkar,Gono Odhikar Parishad (GOP),0
Bogura 2,Mir Shah Alam,Bangladesh Nationalist Party (BNP),145024
Bogura 2,Shariful Islam Jinnah,Jatiya Party (JaPa),0
Bogura 3,Md. Abdul Mohit Talukder,Bangladesh Nationalist Party (BNP),127406
Bogura 3,Md. Noor Md.,Bangladesh Jamaat-e-Islami (Jamaat),111026
Bogura 3,Md. Shahinul Islam,Jatiya Party (JaPa),0
Bogura 3,Md. Shahjahan Ali Talukder,Islami Andolan Bangladesh (IAB),0
Bogura 4,Md. Idris Ali,Islami Andolan Bangladesh (IAB),0
Bogura 4,Md. Mosharraf Hossain,Bangladesh Nationalist Party (BNP),155339
Bogura 4,Md. Mustafa Faisal,Bangladesh Jamaat-e-Islami (Jamaat),108978
Bogura 4,Shahin Mustafa Kamal,Jatiya Party (JaPa),0
Bogura 5,Gulam Md. Siraj,Bangladesh Nationalist Party (BNP),248841
Bogura 5,Khan Qudrat E. Saqlain,Bangladesh Liberal Democratic Party (LDP),0
Bogura 5,Md. Dabibur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),143329
Bogura 5,Mir Md. Mahmudur Rahman,Islami Andolan Bangladesh (IAB),0
Bogura 5,Shipan Kumar Ravidas,Communist Party of Bangladesh (CPB),0
Bogura 6,Abdullah Al Waqi,Jatiya Samajtantrik Dal (JSD),0
Bogura 6,Abu Numan Md. Mamunur Rashid,Islami Andolan Bangladesh (IAB),0
Bogura 6,Dilruba,Bangladesh Samajtantrik Dal (Basad),0
Bogura 6,Md. Abidur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),0
Bogura 6,Tarique Rahman,Bangladesh Nationalist Party (BNP),0
Bogura 7,Md. Ansar Ali,Bangladesh Muslim League (BML),0
Bogura 7,Md. Golam Rabbani,Bangladesh Jamaat-e-Islami (Jamaat),0
Bogura 7,Md. Shafiqul Islam,Islami Andolan Bangladesh (IAB),0
Bogura 7,Morshed Milton,Bangladesh Nationalist Party (BNP),158196
Brahmanbaria 1,A. K. M. Aminul Islam,Bangladesh Jamaat-e-Islami (Jamaat),24430
Brahmanbaria 1,A. K. M. Kamruzzaman,Independent Candidate (Independent),35220
Brahmanbaria 1,Hussain Ahmed,Islami Andolan Bangladesh (IAB),907
Brahmanbaria 1,Iqbal Chowdhury,Independent Candidate (Independent),17666
Brahmanbaria 1,M. A. Hannan,Bangladesh Nationalist Party (BNP),68092
Brahmanbaria 1,Md. Habibur Rahman,Independent Candidate (Independent),106
Brahmanbaria 1,Md. Shah Alam,Jatiya Party (JaPa),265
Brahmanbaria 1,Md. Sharif Mridha,Insaniyat Biplob Bangladesh (IBB),139
Brahmanbaria 2,Ashraf Uddin,National Citizen Party (NCP),0
Brahmanbaria 2,Ed. Md. Ziaul Haque Mridha,Jatiya Party (JaPa),0
Brahmanbaria 2,Md. Main Uddin,Insaniyat Biplob Bangladesh (IBB),0
Brahmanbaria 2,Mohammed Junaid Al Habib,Jamiat Ulema-e-Islam Bangladesh (JUIB),80434
Brahmanbaria 2,Nesar Ahmad,Islami Andolan Bangladesh (IAB),0
Brahmanbaria 2,Rumin Farhana,Independent Candidate (Independent),118547
Brahmanbaria 2,Sn Tarun Dey,Independent Candidate (Independent),0
Brahmanbaria 2,Sharifa Akhter,Amjanatar Dol,0
Brahmanbaria 2,Taimur Reza Md. Shahzad,Jatiya Samajtantrik Dal (JSD),0
Brahmanbaria 3,Ataullah,National Citizen Party (NCP),62547
Brahmanbaria 3,Ayesha Akhter,Bangladesh Islami Front (BIF),0
Brahmanbaria 3,Md. Abu Hanif,Insaniyat Biplob Bangladesh (IBB),0
Brahmanbaria 3,Md. Khaled Hossain Mahbub,Bangladesh Nationalist Party (BNP),209636
Brahmanbaria 3,Md. Omar Yusuf Khan,Independent Candidate (Independent),0
Brahmanbaria 3,Md. Rezaul Islam Bhuiyan,Jatiya Party (JaPa),0
Brahmanbaria 3,Niazul Karim,Islami Andolan Bangladesh (IAB),0
Brahmanbaria 4,Md. Ataur Rahman Sarker,Bangladesh Jamaat-e-Islami (Jamaat),91796
Brahmanbaria 4,Md. Jasim,Islami Andolan Bangladesh (IAB),0
Brahmanbaria 4,Md. Zahirul Haque Chowdhury,Gono Odhikar Parishad (GOP),0
Brahmanbaria 4,Md. Zahirul Haque Khan,Jatiya Party (JaPa),0
Brahmanbaria 4,Mushfiqur Rahman,Bangladesh Nationalist Party (BNP),139842
Brahmanbaria 4,Rafi Uddin,Insaniyat Biplob Bangladesh (IBB),0
Brahmanbaria 4,Shaheen Khan,National People's Party (NPP),0
Brahmanbaria 5,Amjad Hossain,Khelafat Majlis,0
Brahmanbaria 5,Kazi Nazmul Hossain,Independent Candidate (Independent),84708
