seat_name,candidate,party,votes
Barishal 3,Md. Azmul Hasan Jihad,Bangladesh Samajtantrik Dal (Basad),214
Barishal 4,Md. Rajib Ahsan,Bangladesh Nationalist Party (BNP),128322
Barishal 4,Mohammad Abdul Jabbar,Bangladesh Jamaat-e-Islami (Jamaat),74684
Barishal 4,Syed Eshaq Md. Abul Khayer,Islami Andolan Bangladesh (IAB),36753
Barishal 4,Abdul Jalil,Bangladesh Sangskritik Muktijote (BSM),413
Barishal 4,Abdus Salam (Khokon),Jatiya Samajtantrik Dal (JSD),334
Barishal 5,Md. Mojibur Rahman Sarwar,Bangladesh Nationalist Party (BNP),135146
Barishal 5,Mufti Syed Md. Fayzul Karim,Islami Andolan Bangladesh (IAB),95044
Barishal 5,Monisha Chakraborty,Bangladesh Samajtantrik Dal (Basad),22486
Barishal 5,Akhtar Rahman,Jatiya Party (JaPa),909
Barishal 5,Abdul Hannan Sikder,National People's Party (NPP),494
Barishal 5,Md. Saidur Rahman,Socialist Party of Bangladesh (Marxist) (SPB-M),300
Barishal 6,Abul Hossain Khan,Bangladesh Nationalist Party (BNP),82217
Barishal 6,Md. Mahmudunnabi,Bangladesh Jamaat-e-Islami (Jamaat),55988
Barishal 6,Mufti Syed Md. Fayzul Karim,Islami Andolan Bangladesh (IAB),29146
Barishal 6,Md. Kamrul Islam Khan,Independent Candidate (Independent),366
Barishal 6,Abdul Quddus,Bangladesh Muslim League (BML),244
Barishal 6,Md. Salauddin Mia,Gono Odhikar Parishad (GOP),139
Jhalokathi 1,Rafiqul Islam Jamal,Bangladesh Nationalist Party (BNP),62010
Jhalokathi 1,Foyzul Haque,Bangladesh Jamaat-e-Islami (Jamaat),55120
Jhalokathi 1,Ibrahim,Islami Andolan Bangladesh (IAB),7744
Jhalokathi 1,Md. Rubel Howladar,Jatiya Party (JaPa),2562
Jhalokathi 1,M. Main Alam Firozi,Jatiya Party (JaPa),593
Jhalokathi 1,Md. Sabbir Ahmed,Jatiya Party (JaPa),345
Jhalokathi 1,Md. Kamruzzaman Khan,Jatiya Party (JaPa),321
Jhalokathi 1,Md. Shahadat Hossain,Gono Odhikar Parishad (GOP),132
Jhalokathi 1,Md. Sohrab Hossain,Jatiya Samajtantrik Dal (JSD),110
Jhalokathi 1,Md. Jasim Uddin Talukdar,Janotar Dol,63
Jhalokathi 2,Israt Sultana Elen Bhutto,Bangladesh Nationalist Party (BNP),113419
Jhalokathi 2,S. M. Niamul Karim,Bangladesh Jamaat-e-Islami (Jamaat),70556
Jhalokathi 2,Muhammad Sirajul Islam Siraji,Islami Andolan Bangladesh (IAB),24543
Jhalokathi 2,Syed Razzak Ali,Independent Candidate (Independent),3125
Jhalokathi 2,Md. Mahmudul Islam Sagar,Gono Odhikar Parishad (GOP),212
Jhalokathi 2,Forkan Hossain,National People's Party (NPP),127
Jhalokathi 2,Masud Parvez,Jatiya Samajtantrik Dal (JSD),105
Jhalokathi 2,Md. Nuruddin Sardar,Independent Candidate (Independent),77
Pirojpur 1,Masud Saeedi,Bangladesh Jamaat-e-Islami (Jamaat),132659
Pirojpur 1,Alamgir Hossain,Bangladesh Nationalist Party (BNP),107105
Pirojpur 2,Ahmed Sohel Manjur,Bangladesh Nationalist Party (BNP),105185
Pirojpur 2,Shamim Saeedi,Bangladesh Jamaat-e-Islami (Jamaat),96897
Pirojpur 2,Mahmud Hossain,Independent Candidate (Independent),16219
Pirojpur 2,Md. Abul Kalam Azad,Islami Andolan Bangladesh (IAB),6697
Pirojpur 2,Md. Mahibul Hossain,Jatiya Party (JaPa),4705
Pirojpur 2,Faisal Khan,Amar Bangladesh Party (AB),390
Pirojpur 2,Md. Anisur Rahman,Gono Odhikar Parishad (GOP),145
Pirojpur 3,Md. Ruhul Amin Dulal,Bangladesh Nationalist Party (BNP),63791
Pirojpur 3,Md. Shamim Hamidi,National Citizen Party (NCP),36616
Pirojpur 3,Md. Rustam Ali Farazi,Islami Andolan Bangladesh (IAB),35968
Pirojpur 3,Touhiduzzaman,Independent Candidate (Independent),231
Pirojpur 3,Karim Sikder,Jatiya Samajtantrik Dal (JSD),212
Pirojpur 3,Md. Mashrekul Azam (Rabi),Jatiya Party (JaPa),169
Brahmanbaria 1,M. A. Hannan,Bangladesh Nationalist Party (BNP),68092
Brahmanbaria 1,A. K. M. Kamruzzaman,Independent Candidate (Independent),35220
Brahmanbaria 1,A. K. M. Aminul Islam,Bangladesh Jamaat-e-Islami (Jamaat),24430
Brahmanbaria 1,Iqbal Chowdhury,Independent Candidate (Independent),17666
Brahmanbaria 1,Hussain Ahmed,Islami Andolan Bangladesh (IAB),907
Brahmanbaria 1,Md. Shah Alam,Jatiya Party (JaPa),265
Brahmanbaria 1,Md. Sharif Mridha,Insaniyat Biplob Bangladesh (IBB),139
Brahmanbaria 1,Md. Habibur Rahman,Independent Candidate (Independent),106
Brahmanbaria 2,Rumin Farhana,Independent Candidate (Independent),118547
Brahmanbaria 2,Mohammad Junayed Al Habib,Jamiat Ulema-e-Islam Bangladesh (JUIB),80434
Brahmanbaria 2,Ashraf Uddin,National Citizen Party (NCP),20401
Brahmanbaria 2,S. N. Tarun Dey,Independent Candidate (Independent),12560
Brahmanbaria 2,Nesar Ahmad,Islami Andolan Bangladesh (IAB),3851
Brahmanbaria 2,Md. Main Uddin,Insaniyat Biplob Bangladesh (IBB),1419
