seat_name,candidate,party,votes
Noakhali 4,Md. Firoz Alam Masud,Islami Andolan Bangladesh (IAB),14783
Noakhali 4,Md. Shariful Islam,Jatiya Party (JaPa),2344
Noakhali 4,Bitul Chandra Talukder,Socialist Party of Bangladesh (Marxist) (SPB-M),917
Noakhali 4,Abduj Jaher,Gono Odhikar Parishad (GOP),542
Noakhali 4,Md. Yunus Nabi,Insaniyat Biplob Bangladesh (IBB),493
Noakhali 5,Mohammad Fakhrul Islam,Bangladesh Nationalist Party (BNP),147808
Noakhali 5,Mohammad Belayet Hossain,Bangladesh Jamaat-e-Islami (Jamaat),120453
Noakhali 5,Abu Naser,Islami Andolan Bangladesh (IAB),6224
Noakhali 5,Md. Shawkat Hossain,Janotar Dol,4855
Noakhali 5,Khaja Tanvir Ahmed,Jatiya Party (JaPa),1684
Noakhali 5,Omar Ali,Independent Candidate (Independent),814
Noakhali 5,Md. Kamal Uddin Patwari,Jatiya Samajtantrik Dal (JSD),298
Noakhali 5,Mohammad Shamchuddoha,Bangladesh Islami Front (BIF),277
Noakhali 5,Mun Tahar Begum,Socialist Party of Bangladesh (Marxist) (SPB-M),173
Noakhali 5,Touhidul Islam,Insaniyat Biplob Bangladesh (IBB),162
Noakhali 5,Mohammad Anisul Haque,Bangladesh Republican Party (BRP),141
Noakhali 5,Muhammad Yunus,Independent Candidate (Independent),133
Noakhali 6,Abdul Hannan Masud,National Citizen Party (NCP),91899
Noakhali 6,Mohammad Mahbuber Rahman,Bangladesh Nationalist Party (BNP),64021
Noakhali 6,Mohammad Fazlul Azim,Independent Candidate (Independent),4783
Noakhali 6,Tanbir Uddin Rajib,Independent Candidate (Independent),3764
Noakhali 6,Mohammad Nurul Islam Sharif,Islami Andolan Bangladesh (IAB),2197
Noakhali 6,Mohammad Abdul Motaleb,Jatiya Samajtantrik Dal (JSD),1239
Noakhali 6,Amirul Islam Mohammad Abdul Malek,Bangladesh Supreme Party (BSP),505
Noakhali 6,A. T. M. Nabi Ullah,Jatiya Party (JaPa),280
Noakhali 6,Mohammad Azhar Uddin,Gono Odhikar Parishad (GOP),191
Noakhali 6,Mohammad Abul Hossain,Bangladesh Liberal Democratic Party (LDP),86
Lakshmipur 1,Md. Shahadat Hossain,Bangladesh Nationalist Party (BNP),86811
Lakshmipur 1,Md. Mahbub Alam,National Citizen Party (NCP),59265
Lakshmipur 1,Md. Zakir Hossain Patwary,Islami Andolan Bangladesh (IAB),11156
Lakshmipur 1,Mohammad Mahmudur Rahman Mahmud,Jatiya Party (JaPa),414
Lakshmipur 1,Md. Billal Hossain,Bangladesh Samajtantrik Dal (Basad),203
Lakshmipur 1,Md. Kawsar Alam,Gono Odhikar Parishad (GOP),115
Lakshmipur 1,Md. Alamgir Hossain,Nationalist Democratic Movement (NDM),106
Lakshmipur 2,Md. Abul Khair Bhuiyan,Bangladesh Nationalist Party (BNP),146321
Lakshmipur 2,S. U. M. Ruhul Amin Bhuiyan,Bangladesh Jamaat-e-Islami (Jamaat),133698
Lakshmipur 2,Helal Uddin,Islami Andolan Bangladesh (IAB),6774
Lakshmipur 2,Md. Ibrahim Mia,Bangladesh Supreme Party (BSP),1780
Lakshmipur 2,Abul Bashar,Gono Odhikar Parishad (GOP),424
Lakshmipur 2,Md. Farhad Mia,Bangladesh Kallyan Party (BKP),288
Lakshmipur 2,Mohammad Rezaul Karim,Nagorik Oikya (NO),253
Lakshmipur 3,Md. Shahid Uddin Chowdhury Annie,Bangladesh Nationalist Party (BNP),135612
Lakshmipur 3,Md. Rezaul Karim,Bangladesh Jamaat-e-Islami (Jamaat),122802
Lakshmipur 3,Md. Ibrahim,Islami Andolan Bangladesh (IAB),5051
Lakshmipur 3,A. K. M. Mahi Uddin,Jatiya Party (JaPa),1139
Lakshmipur 3,Md. Samsuddin,Bangladesh Liberal Democratic Party (LDP),488
Lakshmipur 3,Selim Mahmud,National People's Party (NPP),289
Lakshmipur 4,A. B. M. Ashraf Uddin (Nizan),Bangladesh Nationalist Party (BNP),115199
Lakshmipur 4,Md. Ashrafur Rahman Hafizullah,Bangladesh Jamaat-e-Islami (Jamaat),73756
Lakshmipur 4,Tania Rob,Jatiya Samajtantrik Dal (JSD),22040
Lakshmipur 4,Khaled Saifullah,Islami Andolan Bangladesh (IAB),21103
Lakshmipur 4,Milon Krishna Mondol,Bangladesh Samajtantrik Dal (Basad),440
Lakshmipur 4,Nurul Huda Chowdhury,Independent Candidate (Independent),422
Lakshmipur 4,Sharaf Uddin Azad,Independent Candidate (Independent),411
Lakshmipur 4,A. N. M. Manjur Morshed,Independent Candidate (Independent),396
Lakshmipur 4,Md. Redowan Ullah,Gono Odhikar Parishad (GOP),259
Chattogram 1,Nurul Amin,Bangladesh Nationalist Party (BNP),128799
Chattogram 1,Mohammad Saifur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),84538
Chattogram 1,Ferdous Ahmed Chowdhury,Islami Andolan Bangladesh (IAB),2108
Chattogram 1,Syed Shahadat Hossain,Jatiya Party (JaPa),1659
Chattogram 1,Rezaul Karim,Insaniyat Biplob Bangladesh (IBB),780
Chattogram 1,Sheikh Zulfikar Bulbul Chowdhury,Bangladesh Muslim League (BML),269
Chattogram 1,A. K. M. Abu Yusuf,Jatiya Samajtantrik Dal (JSD),258
Chattogram 2,Sarwar Alamgir,Bangladesh Nationalist Party (BNP),139831
Chattogram 2,Mohammad Nurul Amin,Bangladesh Jamaat-e-Islami (Jamaat),65550
Chattogram 2,Shahzada Syed Saifuddin Ahmed,Bangladesh Supreme Party (BSP),12737
Chattogram 2,Mohammad Zulfikar Ali Mannan,Islami Andolan Bangladesh (IAB),2248
Chattogram 2,Mohammad Golam Nawsher Ali,Janotar Dol,397
Chattogram 2,Jinnat Akter,Independent Candidate (Independent),276
Chattogram 2,Ahmed Kabir,Jatiya Party (JaPa),270
Chattogram 2,Rabiul Hasan,Gono Odhikar Parishad (GOP),266
Chattogram 3,Mostafa Kamal Pasha,Bangladesh Nationalist Party (BNP),73037
Chattogram 3,Muhammad Alauddin,Bangladesh Jamaat-e-Islami (Jamaat),39662
Chattogram 3,Mohammad Amzad Hossain,Islami Andolan Bangladesh (IAB),5145
Chattogram 3,Md. Moyahidul Mawla,Independent Candidate (Independent),308
Chattogram 4,Mohammad Aslam Chowdhury,Bangladesh Nationalist Party (BNP),143552
Chattogram 4,Md. Anwar Siddique,Bangladesh Jamaat-e-Islami (Jamaat),91404
Chattogram 4,Md. Sirajuddaula,Bangladesh Islami Front (BIF),7267
Chattogram 4,Md. Didarul Mawla,Islami Andolan Bangladesh (IAB),1337
Chattogram 4,Md. Shahidul Islam Chowdhury,Bangladesh Supreme Party (BSP),923
Chattogram 4,Md. Masuddaula,Communist Party of Bangladesh (CPB),738
Chattogram 4,Zahidul Alam,Ganosanhati Andolan (GSA),301
Chattogram 4,Md. Zakaria Khaled,Bangladesh Nezame Islam Party (BNIP),193
Chattogram 4,A. T. M. Parvez,Gono Odhikar Parishad (GOP),166
Chattogram 5,Mir Mohammad Helal Uddin,Bangladesh Nationalist Party (BNP),147054
Chattogram 5,Md. Nasir Uddin,Khelafat Majlis,46589
Chattogram 5,Muhammad Rafiqul Islam,Bangladesh Islami Front (BIF),15420
Chattogram 5,Mati Ullah Nuri,Islami Andolan Bangladesh (IAB),2422
Chattogram 5,Mohammad Imam Uddin Riyad,Jatiya Party (JaPa),1129
Chattogram 5,Md. Alauddin,Bangladesh Labour Party,396
Chattogram 6,Giasuddin Qader Chowdhury,Bangladesh Nationalist Party (BNP),112237
Chattogram 6,Mohammad Ilias Nuri,Bangladesh Islami Front (BIF),27146
Chattogram 6,Md. Shahjahan Manju,Bangladesh Jamaat-e-Islami (Jamaat),22118
Chattogram 6,Nasir Uddin Talukdar,Ganosanhati Andolan (GSA),829
Chattogram 7,Humam Qader Chowdhury,Bangladesh Nationalist Party (BNP),101445
Chattogram 7,A. T. M. Rezaul Karim,Bangladesh Jamaat-e-Islami (Jamaat),41719
Chattogram 7,Muhammad Iqbal Hasan,Bangladesh Islami Front (BIF),30239
Chattogram 7,Abdullah Al Harun,Islami Andolan Bangladesh (IAB),1307
Chattogram 7,Promod Baran Barua,Communist Party of Bangladesh (CPB),441
Chattogram 7,Md. Mehdi Rased,Jatiya Party (JaPa),411
Chattogram 7,Md. Abdur Rahman,Amar Bangladesh Party (AB),158
Chattogram 7,Md. Belal Uddin,Gono Odhikar Parishad (GOP),129
Chattogram 8,Ershad Ullah,Bangladesh Nationalist Party (BNP),152969
Chattogram 8,Md. Abu Naser,Bangladesh Jamaat-e-Islami (Jamaat),53564
Chattogram 8,Syed Muhammad Hasan,Bangladesh Islami Front (BIF),42585
Chattogram 8,Md. Jobairul Hasan Arif,National Citizen Party (NCP),3349
Chattogram 8,Mohammad Nurul Alam,Islami Andolan Bangladesh (IAB),1208
Chattogram 8,Mohammad Emdadul Haque,Jatiya Party (JaPa),884
Chattogram 9,Mohammad Abu Sufian,Bangladesh Nationalist Party (BNP),109388
Chattogram 9,Dr. A. K. M. Fazlul Haque,Bangladesh Jamaat-e-Islami (Jamaat),53807
Chattogram 9,Muhammad Wahed Murad,Bangladesh Islami Front (BIF),4204
Chattogram 9,Syed Mohammad Hasan Maruf,Ganosanhati Andolan (GSA),1040
Chattogram 9,Abdus Shukkur,Islami Andolan Bangladesh (IAB),941
Chattogram 9,Md. Haidar Ali Chowdhury,Janotar Dol,561
Chattogram 9,Md. Shafi Uddin Kabir,Socialist Party of Bangladesh (Marxist) (SPB-M),494
Chattogram 9,Abdul Momen Chowdhury,Jatiya Samajtantrik Dal (JSD),128
Chattogram 9,Mohammad Naim Uddin,Jatiya Party (JaPa),112
Chattogram 9,Md. Nurul Absar Majumdar,Nagorik Oikya (NO),107
Chattogram 10,Saeed Al Noman,Bangladesh Nationalist Party (BNP),122978
Chattogram 10,Muhammad Shamsuzzaman Helali,Bangladesh Jamaat-e-Islami (Jamaat),76919
Chattogram 10,Muhammad Jannatul Islam,Islami Andolan Bangladesh (IAB),3880
Chattogram 10,Md. Liaqat Ali,Bangladesh Islami Front (BIF),2441
Chattogram 10,Mohammad Emdad Hossain Chowdhury,Jatiya Party (JaPa),1079
Chattogram 10,Sabina Khatun,Insaniyat Biplob Bangladesh (IBB),960
Chattogram 10,Mohammad Arman Ali,Jatiya Party (JaPa),357
Chattogram 10,Asma Akter,Socialist Party of Bangladesh (Marxist) (SPB-M),305
Chattogram 10,Md. Osman Gani,Bangladesh Labour Party,161
Chattogram 11,Amir Khasru Mahmud Chowdhury,Bangladesh Nationalist Party (BNP),115999
Chattogram 11,Mohammad Shafiul Alam,Bangladesh Jamaat-e-Islami (Jamaat),76681
Chattogram 11,Muhammad Abu Taher,Bangladesh Islami Front (BIF),5127
Chattogram 11,Md. Nur Uddin,Islami Andolan Bangladesh (IAB),2557
Chattogram 11,Abu Taher,Jatiya Party (JaPa),1004
Chattogram 11,Ujjal Bhowmik,Gono Forum (GF),307
Chattogram 11,Deepa Majumdar,Socialist Party of Bangladesh (Marxist) (SPB-M),231
Chattogram 11,Md. Aziz Mia,Insaniyat Biplob Bangladesh (IBB),210
Chattogram 11,Mohammad Jahangir Bhuiyan,Independent Candidate (Independent),178
Chattogram 11,Md. Nizamul Haque Al Qaderi,Bangladesh Samajtantrik Dal (Basad),120
Chattogram 11,Muhammad Nezam Uddin,Gono Odhikar Parishad (GOP),104
Chattogram 12,Mohammad Enamul Haque,Bangladesh Nationalist Party (BNP),135044
Chattogram 12,Syed Air Mohammad Peyaru,Bangladesh Islami Front (BIF),28999
Chattogram 12,Mohammad Faridul Alam,Bangladesh Jamaat-e-Islami (Jamaat),21706
Chattogram 12,Mohammad Abu Taleb Helali,Insaniyat Biplob Bangladesh (IBB),929
Chattogram 12,S. M. Belal Nur,Islami Andolan Bangladesh (IAB),901
Chattogram 12,Farid Ahmed Chowdhury,Jatiya Party (JaPa),732
Chattogram 12,Muhammad Shakhawat Hossain,Independent Candidate (Independent),243
Chattogram 12,M. Yakub Ali,Bangladesh Liberal Democratic Party (LDP),118
Chattogram 13,Sarwar Jamal Nizam,Bangladesh Nationalist Party (BNP),126192
Chattogram 13,S. M. Shahjahan,Bangladesh Islami Front (BIF),51450
Chattogram 13,Mahmudul Hasan,Bangladesh Jamaat-e-Islami (Jamaat),35030
Chattogram 13,Abdur Rab Chowdhury,Jatiya Party (JaPa),440
Chattogram 13,Mohammad Emran,Nationalist Democratic Movement (NDM),204
Chattogram 13,Md. Rezaul Mostafa,Insaniyat Biplob Bangladesh (IBB),191
Chattogram 13,Md. Mujibur Rahman Chowdhury,Gono Odhikar Parishad (GOP),168
Chattogram 14,Alhaj Jasim Uddin Ahmed,Bangladesh Nationalist Party (BNP),76493
Chattogram 14,Omar Faruk,Bangladesh Liberal Democratic Party (LDP),75467
Chattogram 14,Mawlana Md. Solaiman,Bangladesh Islami Front (BIF),22992
Chattogram 14,Mohammad Mizanul Haque Chowdhury,Independent Candidate (Independent),3630
Chattogram 14,Mohammad Abdul Hamid,Islami Andolan Bangladesh (IAB),1539
Chattogram 14,Shafiqul Islam Rahi,Jatiya Party (JaPa),1165
Chattogram 14,Mohammad Badsha Mia,Jatiya Party (JaPa),293
Chattogram 14,H. M. Iliyas,Insaniyat Biplob Bangladesh (IBB),149
Chattogram 15,Shahjahan Chowdhury,Bangladesh Jamaat-e-Islami (Jamaat),181238
Chattogram 15,Nazmul Mostafa Amin,Bangladesh Nationalist Party (BNP),130661
Chattogram 15,Shariful Alam Chowdhury,Islami Andolan Bangladesh (IAB),2909
Chattogram 16,Mohammad Jahirul Islam,Bangladesh Jamaat-e-Islami (Jamaat),93167
Chattogram 16,Mishkatul Islam Chowdhury,Bangladesh Nationalist Party (BNP),83105
Chattogram 16,Mohammad Liaqat Ali,Islami Andolan Bangladesh (IAB),55492
Chattogram 16,Hafez Ruhullah,Islami Andolan Bangladesh (IAB),4054
Chattogram 16,Abdul Malek,Bangladesh Islami Front (BIF),844
Chattogram 16,Md. Ariful Haque,Gono Odhikar Parishad (GOP),243
Chattogram 16,Ehsanul Haque,Bangladesh Muslim League (BML),105
Cox's Bazar 1,Salahuddin Ahmed,Bangladesh Nationalist Party (BNP),222019
Cox's Bazar 1,Abdullah Al Faruq,Bangladesh Jamaat-e-Islami (Jamaat),129728
Cox's Bazar 1,Md. Sarwar Alam Kutubi,Islami Andolan Bangladesh (IAB),4528
Cox's Bazar 2,Alamgir Muhammad Mahfuz Ullah Farid,Bangladesh Nationalist Party (BNP),125543
Cox's Bazar 2,A. H. M. Hamidur Rahman Azad,Bangladesh Jamaat-e-Islami (Jamaat),91889
Cox's Bazar 2,Ziaul Haque,Islami Andolan Bangladesh (IAB),8799
Cox's Bazar 2,Md. Mahmudul Karim,Jatiya Party (JaPa),757
Cox's Bazar 2,S. M. Rokonuzzaman Khan,Gono Odhikar Parishad (GOP),197
Cox's Bazar 3,Lutfur Rahman,Bangladesh Nationalist Party (BNP),182096
Cox's Bazar 3,Shahidul Alam (Bahadur),Bangladesh Jamaat-e-Islami (Jamaat),161827
Cox's Bazar 3,Amirul Islam,Islami Andolan Bangladesh (IAB),5149
Cox's Bazar 3,Md. Ilias Mia,Independent Candidate (Independent),947
Cox's Bazar 3,Jagadish Barua,Bangladesh Labour Party,602
Cox's Bazar 3,Nurul Absar,Amjanatar Dol,367
Cox's Bazar 4,Shahjahan Chowdhury,Bangladesh Nationalist Party (BNP),123582
Cox's Bazar 4,Nur Ahmed Anwari,Bangladesh Jamaat-e-Islami (Jamaat),122033
Cox's Bazar 4,Nurul Haque,Islami Andolan Bangladesh (IAB),4338
Cox's Bazar 4,Saifuddin Khaled,Nationalist Democratic Movement (NDM),379
Khagrachhari 1,Abdul Wadud Bhuiyan,Bangladesh Nationalist Party (BNP),151040
Khagrachhari 1,Dharma Jyoti Chakma,Independent Candidate (Independent),68315
Khagrachhari 1,Md. Yakub Ali,Bangladesh Jamaat-e-Islami (Jamaat),58545
Khagrachhari 1,Samiran Dewan,Independent Candidate (Independent),47910
Khagrachhari 1,Md. Kawsar,Islami Andolan Bangladesh (IAB),3089
Khagrachhari 1,Ushyepru Marma,Bangladesh Minority Janata Party (BMJP),1030
Khagrachhari 1,Mithila Roaza,Jatiya Party (JaPa),1024
Khagrachhari 1,Jiruna Tripura,Independent Candidate (Independent),904
Khagrachhari 1,Dinmoy Roaza,Gono Odhikar Parishad (GOP),755
Khagrachhari 1,Md. Nur Islam,Insaniyat Biplob Bangladesh (IBB),683
Khagrachhari 1,Md. Mostafa,Bangladesh Muslim League (BML),184
Rangamati 1,Dipen Dewan,Bangladesh Nationalist Party (BNP),201544
Rangamati 1,Pahel Chakma,Independent Candidate (Independent),31222
Rangamati 1,Muhammad Abu Bakar Siddique,Khelafat Majlis,22715
Rangamati 1,Md. Jasim Uddin,Islami Andolan Bangladesh (IAB),3672
Rangamati 1,Ashok Talukder,Jatiya Party (JaPa),2974
Rangamati 1,Jui Chakma,Revolutionary Workers Party of Bangladesh (RWPB),1071
Rangamati 1,Md. Abul Bashar (Badsha),Gono Odhikar Parishad (GOP),449
Bandarban 1,Saching Pru,Bangladesh Nationalist Party (BNP),141455
Bandarban 1,Abu Sayeed Md. Suja Uddin,National Citizen Party (NCP),26162
Bandarban 1,Md. Abul Kalam Azad,Islami Andolan Bangladesh (IAB),4718
Bandarban 1,Abu Zafar Mohammad Waliullah,Jatiya Party (JaPa),2435
Tangail 1,Fakir Mahbub Anam,Bangladesh Nationalist Party (BNP),153932
Tangail 1,Muhammad Abdullahel Kafi,Bangladesh Jamaat-e-Islami (Jamaat),94462
Tangail 1,Md. Asadul Islam,Independent Candidate (Independent),28259
Tangail 1,Muhammad Ilias Hossain,Jatiya Party (JaPa),2194
Tangail 1,Md. Harun Or Rashid,Islami Andolan Bangladesh (IAB),1731
Tangail 1,Mohammad Ali,Independent Candidate (Independent),723
Tangail 2,Md. Abdus Salam Pintu,Bangladesh Nationalist Party (BNP),198213
Tangail 2,Md. Humayun Kabir,Bangladesh Jamaat-e-Islami (Jamaat),60871
Tangail 2,Md. Monowar Hossain Sagar,Islami Andolan Bangladesh (IAB),4777
Tangail 2,Md. Humayun Kabir Talukdar,Jatiya Party (JaPa),1854
Tangail 3,Md. Lutfar Rahman Khan Azad,Independent Candidate (Independent),107901
Tangail 3,S. M. Obaidul Haque,Bangladesh Nationalist Party (BNP),82769
Tangail 3,Saifullah Haider,National Citizen Party (NCP),34588
Tangail 3,Md. Rezaul Karim,Islami Andolan Bangladesh (IAB),4075
Tangail 3,Ainin Nahar,Independent Candidate (Independent),1087
Tangail 4,Md. Lutfar Rahman,Bangladesh Nationalist Party (BNP),105342
Tangail 4,Abdul Latif Siddiqui,Bangladesh Jamaat-e-Islami (Jamaat),62509
Tangail 4,Khandaker Abdur Razzak,Bangladesh Jamaat-e-Islami (Jamaat),50192
Tangail 4,Md. Abdul Halim Mia,Independent Candidate (Independent),4152
Tangail 4,Ali Amjad Hossain,Islami Andolan Bangladesh (IAB),1822
Tangail 4,Md. Liaqat Ali,Jatiya Party (JaPa),758
Tangail 5,Sultan Salauddin Tuku,Bangladesh Nationalist Party (BNP),131279
Tangail 5,Ahsan Habib,Bangladesh Jamaat-e-Islami (Jamaat),80283
Tangail 5,Md. Farhad Iqbal,Jatiya Party (JaPa),69408
Tangail 5,Khandaker Zakir Hossain,Islami Andolan Bangladesh (IAB),2600
Tangail 5,Md. Mozammel Haque,Jatiya Party (JaPa),1636
Tangail 5,Md. Hasrat Khan Bhasani,Bangladesh Supreme Party (BSP),1189
Tangail 5,Syed Khalekuzzaman Mostafa,Jatiya Samajtantrik Dal (JSD),1092
Tangail 5,Md. Shafiqul Islam,Gono Odhikar Parishad (GOP),263
Tangail 5,Fatema Akter,Ganosanhati Andolan (GSA),221
Tangail 5,A. K. M. Shafiqul Islam,Bangladesh Congress,109
Tangail 6,Md. Rabiul Awal,Bangladesh Nationalist Party (BNP),150952
Tangail 6,A. K. M. Abdul Hamid,Bangladesh Jamaat-e-Islami (Jamaat),91914
Tangail 6,Md. Jewel Sarkar,Independent Candidate (Independent),15161
Tangail 6,Md. Akhinur Mia,Islami Andolan Bangladesh (IAB),12068
Tangail 6,Md. Akhinur Mia,Islami Andolan Bangladesh (IAB),12068
Tangail 6,Tarek Shams Khan,Jatiya Party (JaPa),3489
Tangail 6,Muhammad Ashraful Islam,Independent Candidate (Independent),2996
Tangail 6,Mohammad Mamunur Rahim,Jatiya Party (JaPa),1166
Tangail 7,Abul Kalam Azad Siddiqui,Bangladesh Nationalist Party (BNP),141253
Tangail 7,Mohammad Abdullah Ebne Abul Hossain,Bangladesh Jamaat-e-Islami (Jamaat),71040
Tangail 7,Md. Tofazzal Hossain,Bangladesh Republican Party (BRP),1492
Tangail 8,Ahmed Azam Khan,Bangladesh Nationalist Party (BNP),114217
Tangail 8,Salauddin Alamgir,Jatiya Party (JaPa),77130
Tangail 8,Md. Shafiqul Islam Khan,Bangladesh Jamaat-e-Islami (Jamaat),55709
Tangail 8,Md. Nazmul Hasan,Jatiya Party (JaPa),565
Tangail 8,Awal Mahmud,Revolutionary Workers Party of Bangladesh (RWPB),510
Tangail 8,Md. Alamgir Hossain,Amjanatar Dol,330
Kishoreganj 1,Mazharul Islam,Bangladesh Nationalist Party (BNP),124035
Kishoreganj 1,Hedayatullah Hadi,Khelafat Majlis,101132
Kishoreganj 1,Md. Rezaul Karim Khan,Independent Candidate (Independent),37334
Kishoreganj 1,Alal Mia,Socialist Party of Bangladesh (Marxist) (SPB-M),960
Kishoreganj 1,Md. Enamul Haque,Communist Party of Bangladesh (CPB),925
Kishoreganj 1,Ahmed Ali,Khelafat Majlis,684
Kishoreganj 1,Tarek Mohammad Shahidul Islam,National People's Party (NPP),247
Kishoreganj 1,Md. Masud Mia,Bangladesh Samajtantrik Dal (Basad),234
Kishoreganj 2,Advocate Md. Jalal Uddin,Bangladesh Nationalist Party (BNP),143669
Kishoreganj 2,Md. Shafiqul Islam,Bangladesh Jamaat-e-Islami (Jamaat),120975
Kishoreganj 2,Md. Abul Basar Rezwan,Islami Andolan Bangladesh (IAB),3566
Kishoreganj 2,Md. Afzal Hossain Bhuiyan,Jatiya Party (JaPa),2113
Kishoreganj 2,Nur Uddin Ahmed,Independent Candidate (Independent),1313
Kishoreganj 2,Md. Shafiqul Islam,Gono Odhikar Parishad (GOP),395
Kishoreganj 2,Md. Anisuzzaman Khokon,Independent Candidate (Independent),363
Kishoreganj 2,Md. Billal Hossain,Bangladesh Nationalist Front (BNF),222
Kishoreganj 3,Dr. Muhammad Osman Faruq,Bangladesh Nationalist Party (BNP),112466
Kishoreganj 3,Jihad Khan,Bangladesh Jamaat-e-Islami (Jamaat),102476
Kishoreganj 3,Md. Alamgir Hossain,Islami Andolan Bangladesh (IAB),10777
Kishoreganj 3,A. K. M. Alamgir,Independent Candidate (Independent),1487
Kishoreganj 3,Md. Abu Bakar Siddique,Jatiya Party (JaPa),1249
Kishoreganj 3,Dilowar Hossain Bhuiyan,Ganatantri Party (GP),191
Kishoreganj 3,Mohammad Aminul Islam,National People's Party (NPP),118
Kishoreganj 4,Md. Fazlur Rahman,Bangladesh Nationalist Party (BNP),132553
Kishoreganj 4,Md. Rokon Reza Sheikh,Bangladesh Jamaat-e-Islami (Jamaat),55646
Kishoreganj 4,Kazi Reha Kabir,Independent Candidate (Independent),2972
Kishoreganj 4,Md. Shaheen Reza Chowdhury,Independent Candidate (Independent),2537
Kishoreganj 4,Billal Ahmed Majumdar,Islami Andolan Bangladesh (IAB),2487
Kishoreganj 4,Khairul Islam Thakur,Khelafat Majlis,879
Kishoreganj 4,Nurul Islam,Jatiya Party (JaPa),516
Kishoreganj 4,Md. Zainal Abedin,National People's Party (NPP),105
Kishoreganj 5,Sheikh Mojibur Rahman Iqbal,Independent Candidate (Independent),79604
Kishoreganj 5,Syed Ehsanul Huda,Bangladesh Nationalist Party (BNP),66450
Kishoreganj 5,Md. Ramzan Ali,Bangladesh Jamaat-e-Islami (Jamaat),54400
Kishoreganj 5,Mohammad Delawar Hossain,Islami Andolan Bangladesh (IAB),2688
Kishoreganj 5,A. H. M. Qayyum (Hasnat Qayyum),Independent Candidate (Independent),1897
Kishoreganj 5,Md. Oli Ullah,Bangladesh Islami Front (BIF),1313
Kishoreganj 5,Md. Mahbubul Alam,Jatiya Party (JaPa),295
Kishoreganj 5,Md. Sazzad Hossain,Bangladesh Muslim League (BML),135
Kishoreganj 6,Md. Shariful Alam,Bangladesh Nationalist Party (BNP),187159
Kishoreganj 6,Ataullah Amin,Khelafat Majlis,44095
Kishoreganj 6,Mohammad Musa Khan,Islami Andolan Bangladesh (IAB),2411
Kishoreganj 6,Md. Rubel Hossain,Bangladesh Islami Front (BIF),2172
Kishoreganj 6,Mohammad Ayub Hossain,Jatiya Party (JaPa),806
Kishoreganj 6,Naimul Hasan,Insaniyat Biplob Bangladesh (IBB),630
Kishoreganj 6,Dr. Mohammad Habil Mia,Communist Party of Bangladesh (CPB),312
Kishoreganj 6,Shafi Uddin Ahmad,Gono Forum (GF),220
Kishoreganj 6,Md. Nazrul Islam,National People's Party (NPP),185
Manikganj 1,S. A. Jinnah Kabir,Bangladesh Nationalist Party (BNP),137773
Manikganj 1,Md. Tozammel Haque,Independent Candidate (Independent),77818
Manikganj 1,Abu Bakar Siddique,Bangladesh Jamaat-e-Islami (Jamaat),71310
Manikganj 1,Md. Abdul Ali Bepari,Independent Candidate (Independent),6966
Manikganj 1,Md. Khorshed Alam,Islami Andolan Bangladesh (IAB),3247
Manikganj 1,Mohammad Ilias Hossain,Gono Odhikar Parishad (GOP),1066
Manikganj 1,Mohammad Shahjahan Khan,Janotar Dol,283
Manikganj 2,Mainul Islam Khan,Bangladesh Nationalist Party (BNP),175776
Manikganj 2,Md. Salah Uddin,Khelafat Majlis,81531
Manikganj 2,S. M. Abdul Mannan,Jatiya Party (JaPa),7081
Manikganj 2,Mohammad Ali,Islami Andolan Bangladesh (IAB),3847
Manikganj 3,Afroza Khanam,Bangladesh Nationalist Party (BNP),167345
Manikganj 3,Muhammad Saeed Noor,Khelafat Majlis,64242
Manikganj 3,Md. Ataur Rahman Ata,Independent Candidate (Independent),20551
Manikganj 3,Rafiqul Islam Khan,Independent Candidate (Independent),3610
Manikganj 3,Md. Shahjahan Ali,Jatiya Samajtantrik Dal (JSD),3510
Manikganj 3,Samsuddin,Islami Andolan Bangladesh (IAB),2787
Manikganj 3,Abul Bashar Badsha,Jatiya Party (JaPa),1966
Manikganj 3,Moyazzem Hossain Khan Majlish,Jatiya Party (JaPa),1337
Manikganj 3,Mofijul Islam Khan Kamal,Independent Candidate (Independent),684
Munshiganj 1,Md. Abdullah,Bangladesh Nationalist Party (BNP),167562
Munshiganj 1,A. K. M. Fakhruddin Razi,Bangladesh Jamaat-e-Islami (Jamaat),101568
Munshiganj 1,Mohammad Momin Ali,Independent Candidate (Independent),30678
Munshiganj 1,Md. Atiqur Rahman Khan,Islami Andolan Bangladesh (IAB),9039
Munshiganj 1,Abdur Rahman,Communist Party of Bangladesh (CPB),443
Munshiganj 1,Rokeya Akter,Insaniyat Biplob Bangladesh (IBB),320
Munshiganj 2,Abdus Salam Azad,Bangladesh Nationalist Party (BNP),121154
Munshiganj 2,Majedul Islam,National Citizen Party (NCP),58573
Munshiganj 2,K. M. Billal,Islami Andolan Bangladesh (IAB),13387
Munshiganj 2,Md. Noman Mia,Jatiya Party (JaPa),2857
Munshiganj 2,Ashiq Mahmud,Bangladesh Islami Front (BIF),651
Munshiganj 3,Md. Kamruzzaman,Bangladesh Nationalist Party (BNP),124691
Munshiganj 3,Md. Mohiuddin,Independent Candidate (Independent),88936
Munshiganj 3,Noor Hossain Noorani,Khelafat Majlis,54456
