seat_name,division,district,area,total_voters,male_voters,female_voters,total_centers,total_candidates,total_votes_cast,referendum_yes,referendum_no,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,independent_total,Bangladesh Nationalist Party (BNP),Bangladesh Jamaat-e-Islami (Jamaat),National Citizen Party (NCP),Khelafat Majlis,Islami Andolan Bangladesh (IAB),Jatiya Party (JaPa),Bangladesh Islami Front (BIF),Gono Odhikar Parishad (GOP),Jamiat Ulema-e-Islam Bangladesh (JUIB),Bangladesh Liberal Democratic Party (LDP),Amar Bangladesh Party (AB),Bangladesh Development Party (BDP),Bangladesh Jatiya Party (BJP),Ganosanhati Andolan (GSA),Communist Party of Bangladesh (CPB),Jatiya Samajtantrik Dal (JSD),Bangladesh Samajtantrik Dal (Basad),Unique - Govinda Chandra Pramanik,Revolutionary Workers Party of Bangladesh (RWPB),Bangladesh Supreme Party (BSP),Bangladesh Nezame Islam Party (BNIP),Jatiya Party (Manju) (JP–Manju),Insaniyat Biplob Bangladesh (IBB),Janotar Dol,Bangladesh Republican Party (BRP),Zaker Party (ZP),Socialist Party of Bangladesh (Marxist) (SPB-M),Bangladesh Minority Janata Party (BMJP),Bangladesh Muslim League (BML),Bangladesh Congress,Nagorik Oikya (NO),Bangladesh Khelafat Andolon (BKA),Amjanatar Dol,National People's Party (NPP),Bangladesh Labour Party,Bangladesh National Awami Party–Bangladesh NAP (BNAP),Gono Forum (GF),Bangladesh Sangskritik Muktijote (BSM),Islami Oikya Jote (IOJ),Jatiya Ganatantrik Party (JAGPA),Nationalist Democratic Movement (NDM),Bangladesh Nationalist Front (BNF),Bangladesh Kallyan Party (BKP),Gono Front (GF),Ganatantri Party (GP),Bangladesh Somo Odhikar Party (BEP)
Chattogram 9,Chattogram,Chattogram,"Chittagong City Corporation (15 No. Bagmaniram Ward, 16 No. Chowkbazar Ward,17 No.  West Baklia Ward,18 No.  East Baklia Ward, 19 No. South Bakalia Ward, 20 No. Dewan Bazar Ward, 21 No. Jamal Khan Ward, 22 No. Enayet Bazar Ward, 23 No. North Pathantuli Ward, 31 No. Alkaran Ward, 32 No. Underkilla Ward, 33 No. Firingi Bazar Ward, 35 No. Patharghata Ward, 36 No.Bakshi Hat Ward)",416363,213906,202448,142,10,163195,93191,74245,Mohammad Abu Sufyan,Bangladesh Nationalist Party (BNP),109388,Dr. A. K. M. Fazlul Haque,Bangladesh Jamaat-e-Islami (Jamaat),53807,,109388,53807,,,941,,4204,,,,,,,1040,,128,,,,,,,112,561,,,494,,,,107,,,,,,,,,,,,,,,
Chuadanga 1,Khulna,Chuadanga,"Alamdanga, Chuadanga Sadar (Alukdia Union, Mominpur Union, Qutubpur Union, Chuadanga Sadar, Shankarachandra Union, Padma Bila Union)",511657,254385,257265,181,3,374356,258824,81025,Md. Masood Parvez,Bangladesh Jamaat-e-Islami (Jamaat),211041,Md. Sharifuzzaman,Bangladesh Nationalist Party (BNP),153193,,153193,211041,,,10122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuadanga 2,Khulna,Chuadanga,"Damurhuda, Chuadanga Sadar (Begumpur Union, Titudah Union, Nehalpur Union, Garaitupi union), Jeevannagar",492431,246716,245711,173,3,371888,257575,83129,Md. Ruhul Amin,Bangladesh Jamaat-e-Islami (Jamaat),208011,Mahmud Hasan Khan,Bangladesh Nationalist Party (BNP),163877,,163877,208011,,,6374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cox's Bazar 1,Chattogram,Cox's Bazar,"Chakaria, Pekua",540490,290291,250198,158,3,356275,204585,130153,Salahuddin Ahmed,Bangladesh Nationalist Party (BNP),222019,Abdullah Al Farukh,Bangladesh Jamaat-e-Islami (Jamaat),129728,,222019,129728,,,4528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cox's Bazar 2,Chattogram,Cox's Bazar,"Kutubdia, Maheshkhali",387851,206453,181398,118,5,214477,130373,87410,Alamgir Muhammad Mahfuz Ullah Farid,Bangladesh Nationalist Party (BNP),125543,A. H. M. Hamidur Rahman Azad,Bangladesh Jamaat-e-Islami (Jamaat),91889,,125543,91889,,,8799,757,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cox's Bazar 3,Chattogram,Cox's Bazar,"Cox's Bazar Sadar, Ramu",545962,291099,254862,176,6,343923,238991,94074,Lutfur Rahman,Bangladesh Nationalist Party (BNP),182096,Shahidul Alam (Bahadur),Bangladesh Jamaat-e-Islami (Jamaat),161827,947,182096,161827,,,5149,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,,602,,,,,,,,,,,
Cox's Bazar 4,Chattogram,Cox's Bazar,"Ukhia, Teknaf",375688,192803,182879,104,4,245615,155782,74986,Shahjahan Chowdhury,Bangladesh Nationalist Party (BNP),123582,Noor Ahmad Anwari,Bangladesh Jamaat-e-Islami (Jamaat),122033,,123582,122033,,,4338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,,,,,
Cumilla 1,Chattogram,Cumilla,"Meghna, Daudkandi",438616,225088,213528,157,9,236285,171139,55556,Dr. Khandaker Mosharraf Hossain,Bangladesh Nationalist Party (BNP),141440,Md. Moniruzzaman,Bangladesh Jamaat-e-Islami (Jamaat),94845,406,141440,94845,,,6502,631,,,,,511,,,,,,144,,,,,,,,411,,,,,,,,,,,,,,,,,,,,,
Cumilla 10,Chattogram,Cumilla,"Nangalkot, Lalmai, Comilla Sadar South",536227,276647,259579,187,7,287400,179696,95732,Md. Mobasher Alam Bhuiyan,Bangladesh Nationalist Party (BNP),163667,মুহাম্মদ ইয়াছিন আরাফাত,Bangladesh Jamaat-e-Islami (Jamaat),123733,,163667,123733,,,7959,,,293,,,,,,,,,,,,,,,,,,,,,,400,,,373,,,,,322,,,,,,,,
Cumilla 11,Chattogram,Cumilla,Chauddagram,421632,216923,204705,125,7,209946,167253,44926,Syed Abdullah Mohammed Taher,Bangladesh Jamaat-e-Islami (Jamaat),133308,Md. Kamrul Huda,Bangladesh Nationalist Party (BNP),76638,,76638,133308,,,2766,704,,,,,,,,,,,,,,,,,,,,,,,,194,,,,,,,,186,,,,,,98,,
Cumilla 2,Chattogram,Cumilla,"Titas, Homna",375067,196119,178947,94,6,140082,0,0,Md. Selim Bhuiyan,Bangladesh Nationalist Party (BNP),77037,Md. Abdul Matin,Independent Candidate (Independent),63045,63045,77037,53384,,,6611,570,767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumilla 3,Chattogram,Cumilla,Muradnagar,500726,258905,241817,148,9,268890,191730,58913,Qazi Shah Mofazzal Hossain (Kaikobad),Bangladesh Nationalist Party (BNP),159291,Md. Yousuf Sohel,Bangladesh Jamaat-e-Islami (Jamaat),109599,,159291,109599,,,3593,,,633,,,,,,,,,,,,,,,167,,111,,,,,717,,,244,,,,,,,,152,,,,,
Cumilla 4,Chattogram,Cumilla,Debidwar,410559,215237,195319,114,5,216468,171289,39381,Md. Abul Hasnat,National Citizen Party (NCP),166583,Md. A. Jasim Uddin,Gono Odhikar Parishad (GOP),49885,,,,166583,248,2232,,,49885,,,,,,,,,,,,,,,427,,,,,,,,,,,,,,,,,,,,,,,
Cumilla 5,Chattogram,Cumilla,"Brahmanpara, Burichong",476172,247155,229017,140,10,259032,177367,72642,Md. Jashim Uddin,Bangladesh Nationalist Party (BNP),134485,Mobarak Hussain,Bangladesh Jamaat-e-Islami (Jamaat),124547,,134485,124547,,,1505,705,,,,,2029,,,,342,153,,,,,,,167,,,,,,147,,,,,104,,,,,,,,,,,,
Cumilla 6,Chattogram,Cumilla,"Comilla Adarsh ​​Sadar, Comilla City Corporation, Comilla Cantonment",644777,324195,320575,152,8,321557,213249,98450,Md. Monirul Haque Chowdhury,Bangladesh Nationalist Party (BNP),201706,Qazi Deen Mohammad,Bangladesh Jamaat-e-Islami (Jamaat),119851,,201706,119851,,,2476,,4648,215,,,,,,,,453,515,,,,,,,,,,,,1597,,,,,,,,,153,,,,,,,,
Cumilla 7,Chattogram,Cumilla,Chandina,329166,169361,159799,89,5,140199,123668,49358,Atiqul Alam,Independent Candidate (Independent),91690,Redowan Ahmed,Bangladesh Nationalist Party (BNP),48509,91690,48509,,,26319,14277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,,,,,,,,
Cumilla 8,Chattogram,Cumilla,Barura,380833,196098,184732,103,8,214269,133590,68970,Zakaria Taher,Bangladesh Nationalist Party (BNP),169178,Md. Shafiqul Alam Helal,Bangladesh Jamaat-e-Islami (Jamaat),45091,,169178,45091,,,2276,727,,,,,,,,,,,160,,,3224,,,,,161,,,,,,,,,,,,,,279,,,,,,,
Cumilla 9,Chattogram,Cumilla,"Laksam, Manoharganj",478535,247765,230769,126,8,288969,175749,103535,Md. Abul Kalam,Bangladesh Nationalist Party (BNP),170008,Syed A. K. M. Sarowar Uddin Seddique,Bangladesh Jamaat-e-Islami (Jamaat),118961,811,170008,118961,,,7626,1216,3919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,,,,,
Dhaka 1,Dhaka,Dhaka,"Dohar, Nawabganj",545140,276050,269085,184,6,286403,0,0,Khondaker Abu Ashfaque,Bangladesh Nationalist Party (BNP),173781,Mohammad Nazrul Islam,Bangladesh Jamaat-e-Islami (Jamaat),112622,4880,173781,112622,,,6607,1362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,,,,,,,,,,,
Dhaka 10,Dhaka,Dhaka,"Dhaka South City Corporation ( 14, 15, 16, 17, 18, 22 no. Ward )",388660,204604,184050,119,10,157572,0,0,Sheikh Rabiul Alam,Bangladesh Nationalist Party (BNP),80436,Md. Jashim Uddin Sarker,Bangladesh Jamaat-e-Islami (Jamaat),77136,,80436,77136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhaka 11,Dhaka,Dhaka,"Dhaka North City Corporation ( 21, 22, 23, 37, 38, 39, 40, 41, 42 no Ward )",439078,222877,216198,162,10,185705,0,0,Md. Nahid Islam,National Citizen Party (NCP),93872,M. A. Quayum,Bangladesh Nationalist Party (BNP),91833,794,91833,,93872,,4375,1048,,81,,,,,,,,,,,,,,,,,283,,,,,,,,,241,,,130,196,,,,,,,,
Dhaka 12,Dhaka,Dhaka,"Dhaka North City Corporation ( 24, 25, 26, 27, 35, 36 no. Ward )",333320,174349,158968,140,15,84736,0,0,Md. Saiful Alam,Bangladesh Jamaat-e-Islami (Jamaat),53773,Saiful Haque,Revolutionary Workers Party of Bangladesh (RWPB),30963,29869,,53773,,,2058,1770,184,115,,,,,47,1511,453,,,,30963,,,,133,175,,,,,,,,,1044,,,,,115,,,58,,,,,
Dhaka 13,Dhaka,Dhaka,"Dhaka North City Corporation ( 28, 29, 30, 31, 32, 33, 34 no. Ward )",408791,209812,198971,135,9,174454,135300,39117,Bobby Hajjaj,Bangladesh Nationalist Party (BNP),88387,Md. Mamunul Haque,Khelafat Majlis,86067,1683,88387,,,86067,,,,336,,,,,,,,,486,,,,,,513,,,,,331,464,,,,,,,,,,,,,,,,,
Dhaka 14,Dhaka,Dhaka,"Dhaka North City Corporation, ( 7, 8, 9, 10, 11, 12 no. Ward ) Savar ( Kaundia )",456044,232066,223974,166,12,184436,24685,6707,Mir Ahmad Bin Quasem,Bangladesh Jamaat-e-Islami (Jamaat),101113,Sanjida Islam,Bangladesh Nationalist Party (BNP),83323,16328,83323,101113,,,3760,857,,,,385,138,,,,369,219,,,,302,,,,,83,,,,,,,,,,,,79,,,,,,,,,
Dhaka 15,Dhaka,Dhaka,"Dhaka North City Corporation ( 4, 13, 14, 16 )",351718,179616,172098,133,8,148648,120293,29479,Md. Shafiqur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),85131,Md. Shafiqul Islam Khan,Bangladesh Nationalist Party (BNP),63517,,63517,85131,,,,1421,,,,,,,,,1501,210,,,,326,,,,378,,,,,,,,,,,,,,,,,,,,,,
Dhaka 16,Dhaka,Dhaka,"Dhaka North City Corporation ( 2, 3, 5, 6 no Ward )",400499,201168,199323,137,11,174295,0,0,Md. Abdul Baten,Bangladesh Jamaat-e-Islami (Jamaat),88828,Md. Aminul Haque,Bangladesh Nationalist Party (BNP),85467,,85467,88828,,,3679,1464,,109,,,,,138,,,,,,,,,,,,,,209,,,,,102,,167,494,,,142,,,,,,,,
Dhaka 17,Dhaka,Dhaka,"Dhaka North City Corporation, ( 15, 18, 19, 20 no. Ward ) Dhaka Cantonment",333777,174709,159060,124,12,140999,111050,30952,Tarique Rahman,Bangladesh Nationalist Party (BNP),72699,S. M. Khalekuzzaman,Bangladesh Jamaat-e-Islami (Jamaat),68300,278,72699,68300,,,1768,1168,,,,,,,92,,,,,,,,,1041,80,,,,,,,130,,,,,60,,,,,,,61,,,,
Dhaka 18,Dhaka,Dhaka,"Dhaka North City Corporation ( 1, 17, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54 no. Ward ),  Airport",613883,313050,300827,217,10,256012,129940,39908,S. M. Jahangir Hossain,Bangladesh Nationalist Party (BNP),144715,Ariful Islam,National Citizen Party (NCP),111297,4135,144715,,111297,,4727,2557,1647,,,,,,,,,,260,,,,,,,,,,,,,,350,,,301,,,,,,,,,,,,
Dhaka 19,Dhaka,Dhaka,"Savar ( Shimulia, Dhamsona, Pathalia, Yearpur, Ashulia, Birulia, Savar, Bongaon )",747070,379906,367151,292,8,314259,0,0,Dewan Mohammad Salauddin,Bangladesh Nationalist Party (BNP),190976,Dilshana Parul,National Citizen Party (NCP),123283,,190976,,123283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhaka 2,Dhaka,Dhaka,"Keraniganj, Savar, ( Tetuljhora, Amin Bazar, Bhakurta ) Dhaka south city corporation ( 55, 56, 57 no. Ward )",419215,217908,201298,197,3,243846,0,0,Md. Amanullah Aman,Bangladesh Nationalist Party (BNP),163793,Md. Abdul Haque,Bangladesh Jamaat-e-Islami (Jamaat),80053,,163793,80053,,,6352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhaka 20,Dhaka,Dhaka,Dhamrai,376639,187835,188802,149,6,220291,0,0,Md. Tamiz Uddin,Bangladesh Nationalist Party (BNP),162504,Nabila Tasnid,National Citizen Party (NCP),57787,,162504,,57787,9255,,3135,,,,,492,,,,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhaka 3,Dhaka,Dhaka,"Keraniganj, ( Zinzira, Aganagar, Suvadda, Taghoria, Konda )",362159,184971,177184,126,10,182427,137047,44637,Goyasawar Chandra Roy,Bangladesh Nationalist Party (BNP),99163,Md. Shahinur Islam,Bangladesh Jamaat-e-Islami (Jamaat),83264,313,99163,83264,,,6286,1075,,97,,,,,,378,,,196,,,,,,,,,,,,,155,,,,,,,182,,,,,,,,,
Dhaka 4,Dhaka,Dhaka,"Dhaka South City Corporation ( 47, 51, 52, 53, 54, 58, 59 no. Ward )",362506,186467,176034,77,8,151814,0,0,Sayed Joynul Abedin,Bangladesh Jamaat-e-Islami (Jamaat),77367,Tanveer Ahmed,Bangladesh Nationalist Party (BNP),74447,2867,74447,77367,,,6518,,,,,,,,,,367,,184,,,,,,,191,,,,,,,,,,,,,,128,,,,,,,,
Dhaka 5,Dhaka,Dhaka,"Dhaka South City Corporation ( 48, 49, 50, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70 no. Ward )",419996,214594,205397,187,11,184132,9462,3160,Mohammed Kamal Hossain,Bangladesh Jamaat-e-Islami (Jamaat),96641,Md. Nabi Ullah,Bangladesh Nationalist Party (BNP),87491,,87491,96641,,,14206,1346,,93,,788,,,,,206,,,,,,,,,,,,221,,,262,,,,,81,,,35,,,,,,,,
Dhaka 6,Dhaka,Dhaka,"Dhaka South City Corporation ( 34, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46 no. Ward )",292283,152519,139761,98,7,134547,30172,14019,Ishraque Hossain,Bangladesh Nationalist Party (BNP),78850,Md. Abdul Mannan,Bangladesh Jamaat-e-Islami (Jamaat),55697,,78850,55697,,,,1778,,138,,,,,,,,,,,,,,,,,,,,,245,319,,,,,,,,,,,,,,152,,
Dhaka 7,Dhaka,Dhaka,"Dhaka South City Corporation ( 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36 no. Ward )",479376,248481,230883,125,11,203149,0,0,Hamidur Rahman,Bangladesh Nationalist Party (BNP),104666,Md. Enayet Ullah,Bangladesh Jamaat-e-Islami (Jamaat),98483,11517,104666,98483,,,5081,2294,,,,,,,98,,,208,,,,,,,,,218,,677,,,,,2783,,,,,,150,,,,,,,,
Dhaka 8,Dhaka,Dhaka,"Dhaka South City Corporation ( 8, 9, 10, 11, 12, 13, 19, 20, 21 no. Ward )",275471,152795,122675,110,11,113493,84501,32463,Mirza Abbas Uddin Ahmed,Bangladesh Nationalist Party (BNP),59366,Muhammad Nasiruddin Patwari,National Citizen Party (NCP),54127,,59366,,54127,,1436,731,326,608,,,,,,,714,56,,,,,,,,129,,,96,,,,,,,,,,,78,,,,,,,,
Dhaka 9,Dhaka,Dhaka,"Dhaka South City Corporation ( 1, 2, 3, 4, 5, 6, 7, 71, 72, 73, 74, 75 no. Ward )",469360,237673,231682,169,12,164672,0,0,Habibur Rashid,Bangladesh Nationalist Party (BNP),111212,Mohammad Javed Mia,National Citizen Party (NCP),53460,44684,111212,,53460,,5827,1202,,,,,,,,,462,,,,,,,,131,,,,93,,118,,,,,204,,,171,,,,,124,,,,
Dinajpur 1,Rangpur,Dinajpur,"Birganj, Kaharole",417133,208919,208212,123,6,296795,0,0,Md. Manzurul Islam,Bangladesh Nationalist Party (BNP),179314,Md. Matiur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),117481,,179314,117481,,,3095,1530,,395,,,,,,,,,,,,,,,,,,2280,,,,,,,,,,,,,,,,,,,,
Dinajpur 2,Rangpur,Dinajpur,"Bochaganj, Biral",371478,187112,184366,113,8,246148,0,0,Md. Sadik Riyaz,Bangladesh Nationalist Party (BNP),139622,A. K. M. Afjalul Anam,Bangladesh Jamaat-e-Islami (Jamaat),101831,19475,139622,101831,,1046,1067,4647,,,,,,,,,,,,,,,,,,,,,,,461,,,,,,,,,,,,,,,,,
Dinajpur 3,Rangpur,Dinajpur,Dinajpur Sadar,415636,205486,210148,130,8,273825,0,0,Syed Jahangir Alam,Bangladesh Nationalist Party (BNP),140608,Md. Mainul Alam,Bangladesh Jamaat-e-Islami (Jamaat),136239,,140608,136239,,,1408,3838,,,,,,,,,701,,283,,,,,,,337,,,,,214,,,,,,,,,,,,,,,,,
Dinajpur 4,Rangpur,Dinajpur,"Khansama, Chirirbandar",421278,211304,209972,130,4,293243,0,0,Md. Akhtaruzzaman Mia,Bangladesh Nationalist Party (BNP),166717,Md. Aftab Uddin Mollah,Bangladesh Jamaat-e-Islami (Jamaat),129056,,166717,129056,,,1699,3152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinajpur 5,Rangpur,Dinajpur,"Parbatipur, Phulbari",477516,238583,238930,140,7,222598,0,0,A. Z. M. Rezwanul Haque,Independent Candidate (Independent),114484,Md. Abdul Ahad,National Citizen Party (NCP),110195,122803,98544,,110195,,,1503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinajpur 6,Rangpur,Dinajpur,"Nawabganj, Birampur, Hakimpur, Ghoraghat",557692,278086,279593,194,7,392606,0,0,Abu Jafar Md. Zahid Hossain,Bangladesh Nationalist Party (BNP),205118,Md. Anowarul Islam,Bangladesh Jamaat-e-Islami (Jamaat),190703,570,205118,190703,,,1659,2689,,,,,,,,,,,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faridpur 1,Dhaka,Faridpur,"Madhukhali, Boalmari, Alfadanga",510540,259335,251204,196,9,281247,185413,112803,Md. Ilias Mollah,Bangladesh Jamaat-e-Islami (Jamaat),154145,Khandaker Nasirul Islam,Bangladesh Nationalist Party (BNP),126476,36985,126476,154145,,,,506,,,,,,,,,,,,,,,,,,,,,,786,,,,,,,,,,,,,,,,,,
Faridpur 2,Dhaka,Faridpur,"Nagarkanda, Saltha, Sadarpur ( Krishnapur )",332041,172904,159137,115,6,210999,123073,67208,Shama Obayed Islam,Bangladesh Nationalist Party (BNP),121694,Md. Akram Ali,Khelafat Majlis,89305,,121694,,,89305,2368,,,675,,,,,,,,,,,,,,,617,,,,,,,257,,,,,,,,,,,,,,,,
Faridpur 3,Dhaka,Faridpur,Faridpur Sadar,432628,216022,216600,154,6,272660,179030,80507,Nayab Yusuf Ahmed,Bangladesh Nationalist Party (BNP),148545,Md. Abdut Tawab,Bangladesh Jamaat-e-Islami (Jamaat),124115,1253,148545,124115,,,4022,,,,,,,,,,967,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faridpur 4,Dhaka,Faridpur,"Charbhadrasan, Sadarpur, Bhanga",496706,254655,242050,189,8,203248,143102,111090,Md. Shahidul Islam,Bangladesh Nationalist Party (BNP),127443,Md. Sarwar Hossain,Bangladesh Jamaat-e-Islami (Jamaat),75805,57868,127443,75805,,1118,11498,550,,,,,,,,,714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feni 1,Chattogram,Feni,"Parashuram, Fulgazi, Chagalnaya",385652,198759,186890,115,7,212495,139549,60458,Munshi Rafiqul Alam,Bangladesh Nationalist Party (BNP),119904,S. M. Kamal Uddin,Bangladesh Jamaat-e-Islami (Jamaat),85615,,119904,85615,,,5323,940,,,,,,,,,,,,,,,,,,,,,,,188,215,,310,,,,,,,,,,,,,,
Feni 2,Chattogram,Feni,Feni Sadar,437078,225881,211194,140,11,211268,138732,72533,Zainal Abedin,Bangladesh Nationalist Party (BNP),131210,Mohammad Mojibur Rahman Bhuiyan,Amar Bangladesh Party (AB),80058,703,131210,,,820,1927,,,409,,,80058,,,,,240,,,,,,,239,,,,322,,,,,304,801,,,,,,,,,,,,,
Feni 3,Chattogram,Feni,"Daganbhuiyan, Sonagazi",508194,263227,244965,144,8,265585,161321,100014,Mr. Abdul Awal Mintu,Bangladesh Nationalist Party (BNP),157425,Mohammad Fakhruddin,Bangladesh Jamaat-e-Islami (Jamaat),108160,,157425,108160,,,6701,1427,531,,,,,,,,,,731,,,,,,327,,,,,,,,,320,,,,,,,,,,,,,,
Gaibandha 1,Rangpur,Gaibandha,Sundarganj,419111,207573,211535,114,8,178723,0,0,Md. Mazedur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),140726,Khandaker Ziaul Islam Mohammad Ali,Bangladesh Nationalist Party (BNP),37997,20777,37997,140726,,,1557,25523,,,,,,,,,,,,,,,,,,,,,305,,,,,,141,,,,,,,,,,,,,
Gaibandha 2,Rangpur,Gaibandha,Gaibandha Sadar,411460,202034,209415,114,7,215520,0,0,Md. Abdul Karim,Bangladesh Jamaat-e-Islami (Jamaat),122630,Md. Anisuzzaman Khan Babu,Bangladesh Nationalist Party (BNP),92890,,92890,122630,,,2351,21143,,,,,,,,,2318,,,,,,,,,196,,,620,,,,,,,,,,,,,,,,,,,
Gaibandha 3,Rangpur,Gaibandha,"Sadullapur, Palashbari",506185,248901,257275,134,10,303321,0,0,Abul Kauchar Mohammad Nazrul Islam,Bangladesh Jamaat-e-Islami (Jamaat),162457,Professor Dr. Syed Mainul Hasan Sadiq,Bangladesh Nationalist Party (BNP),139864,853,139864,162457,,,1246,904,,995,,,,,,,298,,,,,,,,49,71,,,,,,,,,,,,,,,,,,,,,,
Gaibandha 4,Rangpur,Gaibandha,Gobindaganj,468384,231616,236758,139,6,282510,0,0,Mohammad Shamim Qaiser,Bangladesh Nationalist Party (BNP),142772,Md. Abdur Rahim Sarkar,Bangladesh Jamaat-e-Islami (Jamaat),139738,777,142772,139738,,,710,1174,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaibandha 5,Rangpur,Gaibandha,"Saghata, Phulchari",385261,192277,192981,145,9,162757,0,0,Md. Abdul Wareth,Bangladesh Jamaat-e-Islami (Jamaat),89274,Md. Faruk Alam Sarkar,Bangladesh Nationalist Party (BNP),73483,8730,73483,89274,,,1839,36138,,,,,,,,,434,,,,,,,,,,,,217,,,,,,,,,,,,,,,,,,,
Gazipur 1,Dhaka,Gazipur,"Kaliakair, Gazipur City Corporation ( 1-18 no. Ward )",720939,360234,360693,237,8,358241,261580,88991,Md. Mojibur Rahman,Bangladesh Nationalist Party (BNP),208688,Md. Shah Alam Bakshi,Bangladesh Jamaat-e-Islami (Jamaat),149553,6703,208688,149553,,,5696,3325,,,,,,,,,,,,,,,,,,,,,232,,,,,,,,168,,,,,,,,,129,,
Gazipur 2,Dhaka,Gazipur,"Gazipur City Corporation ( 19-38 no. Ward, 43-57 no. Ward ), Gazipur Cantonment",804333,400402,403918,272,12,329556,255667,84976,M. Manjurul Karim Roni,Bangladesh Nationalist Party (BNP),188606,Ali Nasser Khan,National Citizen Party (NCP),140950,444,188606,,140950,,12657,4125,,245,,,,,,,1397,,1155,,,,,,417,537,,,250,,,,,,,,,,,,,,,,,200,,
Gazipur 3,Dhaka,Gazipur,"Gazipur Sadar ( Mirzapur, Bhawalgarh, Pirujali ), Sreepur",527360,260191,267162,180,7,262882,195355,80266,S. M. Rafiqul Islam,Bangladesh Nationalist Party (BNP),162343,Muhammad Ehsanul Haque,Khelafat Majlis,100539,21963,162343,,,100539,6036,1995,,,,,,,,,,,484,,,,,,,,,,,,,,,,,,,,,,2332,,,,,,,
Gazipur 4,Dhaka,Gazipur,Kapasia,330977,164429,166548,122,8,192169,127743,58098,Salah Uddin,Bangladesh Jamaat-e-Islami (Jamaat),101779,Shah Riazul Hannan,Bangladesh Nationalist Party (BNP),90390,1521,90390,101779,,,2348,2147,,,,,,,,,1091,,,,,,,,,,,,,,,,,,278,135,,,,,,,,,,,,
Gazipur 5,Dhaka,Gazipur,"Gazipur City Corporation ( 39-42 no. Ward ), Gazipur Sadar ( Baria ), Kaliganj",354643,179093,175548,124,7,211992,133648,78071,A. K. M. Fazlul Haque Milon,Bangladesh Nationalist Party (BNP),133869,Md. Khairul Hassan,Bangladesh Jamaat-e-Islami (Jamaat),78123,,133869,78123,,,4411,1497,837,,,,,,,,,,,,,,,,,6592,,,,,,,,,,,,,223,,,,,,,,,
Gopalganj 1,Dhaka,Gopalganj,"Musksudpur, Kashiani ( Maheshpur,  Parulia, Mahmudpur, Sajail, Kashiani, Ratail, Rajpat )",399510,202816,196694,138,9,123791,54716,128298,Md. Selimuzzaman Mollya,Bangladesh Nationalist Party (BNP),69462,Md. Kabir Miya( Closest ),Gono Odhikar Parishad (GOP),54329,59168,69462,34635,,,5870,621,,54329,,,,,,,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gopalganj 2,Dhaka,Gopalganj,"Kashiani ( Fukra, Orakandi, Hatiara, Singa, Bethuri, Puisur, Nijamkandi ), Gopalganj sadar",384326,194060,190262,151,13,73087,34301,107290,K. M. Babar,Bangladesh Nationalist Party (BNP),40048,M. H. Khan Manju,Independent Candidate (Independent),33039,74118,40048,,,28604,2911,419,,305,,,,,,,,,,,,,,,,,,1371,,,,,,,,,,,215,,,,,,,,,
Gopalganj 3,Dhaka,Gopalganj,"Tungipara, Kotalipara",308784,158403,150380,108,8,95330,33498,93368,"S, M, Jilani",Bangladesh Nationalist Party (BNP),60991,Gobinda Chandra Pramanik,Independent Candidate (Independent),34339,38144,60991,,,25153,4717,,,2600,,,,,,,,,,34339,,,,,,,,,,,,,,,,591,,,269,,,,,,,,,
